SYMBOL,Pattern
ABINFRA,Gravestone Doji
ABLBL,Gravestone Doji
ABSLLIQUID,Gravestone Doji
ABSLMSCIN,Gravestone Doji
AFSL,Gravestone Doji
ANANTRAJ,Gravestone Doji
ANTELOPUS,Gravestone Doji
ANURAS,Gravestone Doji
ARKADE,Gravestone Doji
ASMS,Gravestone Doji
ATGL,Gravestone Doji
AUBANK,Gravestone Doji
AVTNPL,Gravestone Doji
BAJAJHCARE,Gravestone Doji
BANARISUG,Gravestone Doji
BANKBETA,Gravestone Doji
BIRLANU,Gravestone Doji
CAMLINFINE,Gravestone Doji
CAMPUS,Gravestone Doji
CAMS,Gravestone Doji
CENTENKA,Gravestone Doji
CHEMBONDCH,Gravestone Doji
CHEMPLASTS,Gravestone Doji
COFFEEDAY,Gravestone Doji
DALBHARAT,Gravestone Doji
DCMNVL,Gravestone Doji
DEEPAKNTR,Gravestone Doji
DENTA,Gravestone Doji
DIXON,Gravestone Doji
DLF,Gravestone Doji
DONEAR,Gravestone Doji
EIDPARRY,Gravestone Doji
EIHOTEL,Gravestone Doji
ELECTCAST,Gravestone Doji
EMAMILTD,Gravestone Doji
EMAMIREAL,Gravestone Doji
EMMVEE,Gravestone Doji
ESABINDIA,Gravestone Doji
ESSARSHPNG,Gravestone Doji
EUROBOND,Gravestone Doji
FIEMIND,Gravestone Doji
GARFIBRES,Gravestone Doji
GLOBUSSPR,Gravestone Doji
GNFC,Gravestone Doji
GROWWCAPM,Gravestone Doji
GROWWNIFTY,Gravestone Doji
GTL,Gravestone Doji
HDFCSENSEX,Gravestone Doji
HERANBA,Gravestone Doji
HIMATSEIDE,Gravestone Doji
HINDCOMPOS,Gravestone Doji
HMAAGRO,Gravestone Doji
HOMEFIRST,Gravestone Doji
IIFLCAPS,Gravestone Doji
INFRA,Gravestone Doji
ITCHOTELS,Gravestone Doji
IVP,Gravestone Doji
JBMA,Gravestone Doji
JINDWORLD,Gravestone Doji
JKTYRE,Gravestone Doji
KAKATCEM,Gravestone Doji
KAVDEFENCE,Gravestone Doji
KFINTECH,Gravestone Doji
KIRIINDUS,Gravestone Doji
KOTARISUG,Gravestone Doji
KROSS,Gravestone Doji
LAXMIDENTL,Gravestone Doji
LICNETFSEN,Gravestone Doji
LIQUID,Gravestone Doji
LIQUIDSBI,Gravestone Doji
LUXIND,Gravestone Doji
M&M,Gravestone Doji
MAGNUM,Gravestone Doji
MAHESHWARI,Gravestone Doji
MANINFRA,Gravestone Doji
MANUGRAPH,Gravestone Doji
MAYURUNIQ,Gravestone Doji
MAZDA,Gravestone Doji
MBEL,Gravestone Doji
MINDACORP,Gravestone Doji
MOBIKWIK,Gravestone Doji
MOLOWVOL,Gravestone Doji
MONARCH,Gravestone Doji
MONTECARLO,Gravestone Doji
MOQUALITY,Gravestone Doji
MOTOGENFIN,Gravestone Doji
MUTHOOTFIN,Gravestone Doji
MUTHOOTMF,Gravestone Doji
NDTV,Gravestone Doji
NELCO,Gravestone Doji
NFL,Gravestone Doji
NIFTY1,Gravestone Doji
NIFTY100EW,Gravestone Doji
NILKAMAL,Gravestone Doji
NUVAMA,Gravestone Doji
NV20BEES,Gravestone Doji
OAL,Gravestone Doji
ODIGMA,Gravestone Doji
ORIENTCEM,Gravestone Doji
PACEDIGITK,Gravestone Doji
PAGEIND,Gravestone Doji
PAVNAIND,Gravestone Doji
PGIL,Gravestone Doji
PICCADIL,Gravestone Doji
PLASTIBLEN,Gravestone Doji
PNGJL,Gravestone Doji
PRITIKAUTO,Gravestone Doji
PROSTARM,Gravestone Doji
PROTEAN,Gravestone Doji
PRUDENT,Gravestone Doji
PYRAMID,Gravestone Doji
QUAL30IETF,Gravestone Doji
RADHIKAJWE,Gravestone Doji
RAMCOIND,Gravestone Doji
RBZJEWEL,Gravestone Doji
REPCOHOME,Gravestone Doji
REPRO,Gravestone Doji
SAATVIKGL,Gravestone Doji
SADBHIN,Gravestone Doji
SAHYADRI,Gravestone Doji
SANDESH,Gravestone Doji
SANGHIIND,Gravestone Doji
SELECTIPO,Gravestone Doji
SENSEXADD,Gravestone Doji
SENSEXIETF,Gravestone Doji
SEPC,Gravestone Doji
SHANTIGEAR,Gravestone Doji
SHIVATEX,Gravestone Doji
SHK,Gravestone Doji
SMLT,Gravestone Doji
SOBHA,Gravestone Doji
STARTECK,Gravestone Doji
STLNETWORK,Gravestone Doji
STYLEBAAZA,Gravestone Doji
SUBEXLTD,Gravestone Doji
SUMMITSEC,Gravestone Doji
SUNDARAM,Gravestone Doji
TALBROAUTO,Gravestone Doji
TCPLPACK,Gravestone Doji
TEXMOPIPES,Gravestone Doji
THOMASCOTT,Gravestone Doji
TOP15IETF,Gravestone Doji
TOP20,Gravestone Doji
TRIDENT,Gravestone Doji
TSFINV,Gravestone Doji
TVSSRICHAK,Gravestone Doji
VALIANTLAB,Gravestone Doji
VINATIORGA,Gravestone Doji
VINNY,Gravestone Doji
VINYLINDIA,Gravestone Doji
VISHNU,Gravestone Doji
VMSTMT,Gravestone Doji
WAKEFIT,Gravestone Doji
ZODIAC,Gravestone Doji
