SYMBOL,Type
ABFRL,Bullish Divergence
ACC,Bullish Divergence
ADANIENT,Bullish Divergence
BERGEPAINT,Bullish Divergence
CONCOR,Bullish Divergence
EXIDEIND,Bullish Divergence
GODFRYPHLP,Bullish Divergence
GODREJPROP,Bullish Divergence
HONAUT,Bullish Divergence
IEX,Bullish Divergence
INOXWIND,Bullish Divergence
IRCTC,Bullish Divergence
IRFC,Bullish Divergence
MAZDOCK,Bullish Divergence
NCC,Bullish Divergence
NHPC,Bullish Divergence
PIIND,Bullish Divergence
SBICARD,Bullish Divergence
SUZLON,Bullish Divergence
TATAELXSI,Bullish Divergence
UBL,Bullish Divergence
UCOBANK,Bullish Divergence
VGUARD,Bullish Divergence
WHIRLPOOL,Bullish Divergence
WIPRO,Bullish Divergence
ZEEL,Bullish Divergence
