SYMBOL,Pattern
AARTECH,Shooting Star
ABINFRA,Shooting Star
ABLBL,Shooting Star
ABSLLIQUID,Shooting Star
ABSLMSCIN,Shooting Star
ACC,Shooting Star
ADVENTHTL,Shooting Star
AFSL,Shooting Star
ALLTIME,Shooting Star
AMRUTANJAN,Shooting Star
ANANTRAJ,Shooting Star
ANTELOPUS,Shooting Star
ANUP,Shooting Star
ANURAS,Shooting Star
ARCHIDPLY,Shooting Star
ARKADE,Shooting Star
ARVSMART,Shooting Star
ASMS,Shooting Star
ATGL,Shooting Star
AUBANK,Shooting Star
AVANTEL,Shooting Star
AVTNPL,Shooting Star
BAJAJHCARE,Shooting Star
BANARISUG,Shooting Star
BANKBETA,Shooting Star
BHARATGEAR,Shooting Star
BIRLANU,Shooting Star
BOROLTD,Shooting Star
BSE,Shooting Star
CAMLINFINE,Shooting Star
CAMPUS,Shooting Star
CAMS,Shooting Star
CEATLTD,Shooting Star
CENTENKA,Shooting Star
CENTURYPLY,Shooting Star
CHEMBONDCH,Shooting Star
CHEMPLASTS,Shooting Star
CHOICEIN,Shooting Star
COFFEEDAY,Shooting Star
DALBHARAT,Shooting Star
DCMNVL,Shooting Star
DEEPAKNTR,Shooting Star
DEEPINDS,Shooting Star
DELTACORP,Shooting Star
DENTA,Shooting Star
DIXON,Shooting Star
DLF,Shooting Star
DONEAR,Shooting Star
DPABHUSHAN,Shooting Star
E2E,Shooting Star
EIDPARRY,Shooting Star
EIHOTEL,Shooting Star
ELECON,Shooting Star
ELECTCAST,Shooting Star
ELM250,Shooting Star
EMAMILTD,Shooting Star
EMAMIREAL,Shooting Star
EMMVEE,Shooting Star
ESABINDIA,Shooting Star
ESSARSHPNG,Shooting Star
EUROBOND,Shooting Star
EVERESTIND,Shooting Star
FCSSOFT,Shooting Star
FIEMIND,Shooting Star
FINKURVE,Shooting Star
FMGOETZE,Shooting Star
GARFIBRES,Shooting Star
GHCLTEXTIL,Shooting Star
GLOBALVECT,Shooting Star
GLOBUSSPR,Shooting Star
GNFC,Shooting Star
GROWWCAPM,Shooting Star
GROWWN200,Shooting Star
GROWWNET,Shooting Star
GROWWNIFTY,Shooting Star
GTL,Shooting Star
GTLINFRA,Shooting Star
HDFCBANK,Shooting Star
HDFCSENSEX,Shooting Star
HERANBA,Shooting Star
HIMATSEIDE,Shooting Star
HINDCOMPOS,Shooting Star
HMAAGRO,Shooting Star
HOMEFIRST,Shooting Star
IIFLCAPS,Shooting Star
INDOAMIN,Shooting Star
INDOBORAX,Shooting Star
INDTERRAIN,Shooting Star
INFRA,Shooting Star
IONEXCHANG,Shooting Star
ITCHOTELS,Shooting Star
IVP,Shooting Star
JBMA,Shooting Star
JINDWORLD,Shooting Star
JKIPL,Shooting Star
JKTYRE,Shooting Star
JSLL,Shooting Star
KAKATCEM,Shooting Star
KAVDEFENCE,Shooting Star
KFINTECH,Shooting Star
KIRIINDUS,Shooting Star
KIRLOSIND,Shooting Star
KOTARISUG,Shooting Star
KROSS,Shooting Star
LAXMIDENTL,Shooting Star
LICNETFN50,Shooting Star
LICNETFSEN,Shooting Star
LICNFNHGP,Shooting Star
LIQUID,Shooting Star
LIQUIDSBI,Shooting Star
LOVABLE,Shooting Star
LUXIND,Shooting Star
LYPSAGEMS,Shooting Star
M&M,Shooting Star
MAGNUM,Shooting Star
MAHESHWARI,Shooting Star
MAHLIFE,Shooting Star
MANINFRA,Shooting Star
MANUGRAPH,Shooting Star
MAXESTATES,Shooting Star
MAYURUNIQ,Shooting Star
