DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,AARTIIND,EQUITY,254.0,290.0,247.0,284.65,0
2015-02-28,AARTIIND,EQUITY,288.7,309.9,267.0,290.55,0
2015-03-31,AARTIIND,EQUITY,292.6,377.4,285.2,350.8,0
2015-04-30,AARTIIND,EQUITY,342.95,381.0,293.55,313.65,0
2015-05-31,AARTIIND,EQUITY,329.5,348.0,308.4,317.65,0
2015-06-30,AARTIIND,EQUITY,311.0,355.0,307.0,340.2,0
2015-07-31,AARTIIND,EQUITY,342.8,423.0,331.4,417.8,0
2015-08-31,AARTIIND,EQUITY,420.7,452.3,377.25,423.85,0
2015-09-30,AARTIIND,EQUITY,420.0,557.8,397.0,550.25,0
2015-10-31,AARTIIND,EQUITY,568.0,587.0,506.1,512.0,0
2015-11-30,AARTIIND,EQUITY,512.0,530.5,485.0,496.15,0
2015-12-31,AARTIIND,EQUITY,495.95,528.9,477.0,523.1,0
2016-01-31,AARTIIND,EQUITY,522.7,528.0,431.75,492.7,0
2016-02-29,AARTIIND,EQUITY,483.0,502.0,418.2,426.0,0
2016-03-31,AARTIIND,EQUITY,454.0,537.0,450.05,515.45,0
2016-04-30,AARTIIND,EQUITY,519.95,554.5,498.55,532.05,0
2016-05-31,AARTIIND,EQUITY,525.05,540.0,496.0,519.35,0
2016-06-30,AARTIIND,EQUITY,516.5,539.7,481.05,520.55,0
2016-07-31,AARTIIND,EQUITY,520.5,568.95,520.0,555.0,0
2016-08-31,AARTIIND,EQUITY,558.9,635.0,531.6,619.5,0
2016-09-30,AARTIIND,EQUITY,617.05,633.0,578.05,620.65,0
2016-10-31,AARTIIND,EQUITY,625.0,764.0,621.55,757.0,0
2016-11-30,AARTIIND,EQUITY,752.9,758.9,664.1,724.9,0
2016-12-31,AARTIIND,EQUITY,734.7,734.7,672.1,684.95,0
2017-01-31,AARTIIND,EQUITY,681.0,729.85,672.65,718.3,0
2017-02-28,AARTIIND,EQUITY,723.95,802.95,711.3,773.35,0
2017-03-31,AARTIIND,EQUITY,783.2,805.0,653.3,765.55,0
2017-04-30,AARTIIND,EQUITY,792.8,884.0,768.7,877.8,0
2017-05-31,AARTIIND,EQUITY,864.4,977.95,810.0,880.3,0
2017-06-30,AARTIIND,EQUITY,882.0,1039.7,859.7,916.8,0
2017-07-31,AARTIIND,EQUITY,925.0,999.0,898.75,972.05,0
2017-08-31,AARTIIND,EQUITY,954.55,955.65,821.05,868.15,0
2017-09-30,AARTIIND,EQUITY,866.0,944.9,835.0,892.95,0
2017-10-31,AARTIIND,EQUITY,896.95,959.95,865.3,953.3,0
2017-11-30,AARTIIND,EQUITY,953.3,960.0,875.5,911.6,0
2017-12-31,AARTIIND,EQUITY,912.0,1166.0,875.0,1133.9,0
2018-01-31,AARTIIND,EQUITY,1147.75,1171.95,1000.0,1056.75,0
2018-02-28,AARTIIND,EQUITY,1065.0,1194.95,1040.0,1173.05,0
2018-03-31,AARTIIND,EQUITY,1173.1,1209.45,1041.0,1146.8,0
2018-04-30,AARTIIND,EQUITY,1165.0,1360.0,1150.0,1343.45,0
2018-05-31,AARTIIND,EQUITY,1346.6,1354.05,1196.1,1244.5,0
2018-06-30,AARTIIND,EQUITY,1235.0,1300.0,1150.1,1229.0,0
2018-07-31,AARTIIND,EQUITY,1239.95,1279.45,1182.0,1224.5,0
2018-08-31,AARTIIND,EQUITY,1220.05,1438.0,1215.0,1375.0,0
2018-09-30,AARTIIND,EQUITY,1375.0,1384.95,1100.0,1162.2,0
2018-10-31,AARTIIND,EQUITY,1155.2,1325.0,1104.85,1298.25,0
2018-11-30,AARTIIND,EQUITY,1312.7,1519.95,1312.7,1435.9,0
2018-12-31,AARTIIND,EQUITY,1435.0,1475.0,1350.55,1443.7,0
2019-01-31,AARTIIND,EQUITY,1450.0,1659.5,1422.0,1625.65,0
2019-02-28,AARTIIND,EQUITY,1620.0,1807.85,1300.0,1390.1,0
2019-03-31,AARTIIND,EQUITY,1405.1,1604.0,1398.25,1577.65,0
2019-04-30,AARTIIND,EQUITY,1589.9,1674.7,1551.55,1622.65,0
2019-05-31,AARTIIND,EQUITY,1622.65,1899.0,1533.1,1869.15,0
2019-06-30,AARTIIND,EQUITY,1879.85,1884.0,1690.55,1778.05,0
2019-07-31,AARTIIND,EQUITY,1775.0,1819.9,1592.05,1666.0,0
2019-08-31,AARTIIND,EQUITY,1633.55,1806.9,1425.75,1591.5,0
2019-09-30,AARTIIND,EQUITY,1583.3,1700.0,797.0,800.7,0
2019-10-31,AARTIIND,EQUITY,808.2,892.0,741.0,876.5,0
2019-11-30,AARTIIND,EQUITY,881.95,881.95,791.1,843.65,0
2019-12-31,AARTIIND,EQUITY,843.65,845.0,759.5,830.75,0
2020-01-31,AARTIIND,EQUITY,836.0,999.0,829.0,985.1,0
2020-02-29,AARTIIND,EQUITY,959.0,1071.0,926.3,976.05,0
2020-03-31,AARTIIND,EQUITY,986.0,999.5,668.0,766.75,0
2020-04-30,AARTIIND,EQUITY,801.1,1137.85,770.75,1102.4,0
2020-05-31,AARTIIND,EQUITY,1116.0,1192.0,963.05,976.15,0
2020-06-30,AARTIIND,EQUITY,986.0,1006.3,850.3,931.4,0
2020-07-31,AARTIIND,EQUITY,936.0,995.0,891.4,990.4,0
2020-08-31,AARTIIND,EQUITY,1027.0,1229.0,982.3,1047.7,0
2020-09-30,AARTIIND,EQUITY,1049.0,1131.0,990.0,1014.95,0
2020-10-31,AARTIIND,EQUITY,1020.95,1030.0,966.45,1000.55,0
2020-11-30,AARTIIND,EQUITY,1028.0,1163.0,990.0,1155.3,0
2020-12-31,AARTIIND,EQUITY,1158.0,1287.0,1131.0,1234.8,0
2021-01-31,AARTIIND,EQUITY,1244.0,1349.9,1120.15,1159.25,0
2021-02-28,AARTIIND,EQUITY,1175.1,1259.4,1072.55,1235.0,0
2021-03-31,AARTIIND,EQUITY,1288.0,1399.4,1192.55,1317.45,0
2021-04-30,AARTIIND,EQUITY,1330.0,1644.75,1315.0,1604.85,0
2021-05-31,AARTIIND,EQUITY,1600.0,1815.05,1595.8,1677.4,0
2021-06-30,AARTIIND,EQUITY,1682.75,1862.0,845.05,871.75,0
2021-07-31,AARTIIND,EQUITY,874.5,941.95,840.5,934.8,0
2021-08-31,AARTIIND,EQUITY,946.0,987.0,893.95,938.1,0
2021-09-30,AARTIIND,EQUITY,914.0,963.65,880.5,929.85,0
2021-10-31,AARTIIND,EQUITY,1030.0,1168.0,946.95,964.1,0
2021-11-30,AARTIIND,EQUITY,970.0,996.0,900.0,937.3,0
2021-12-31,AARTIIND,EQUITY,943.2,1014.8,903.15,1004.6,0
2022-01-31,AARTIIND,EQUITY,1023.7,1118.0,950.0,986.9,0
2022-02-28,AARTIIND,EQUITY,1016.0,1040.95,861.0,926.15,0
