DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,ABBOTINDIA,EQUITY,3804.4,4240.0,3787.0,3976.45,0
2015-02-28,ABBOTINDIA,EQUITY,4040.0,4075.0,3708.5,3775.5,0
2015-03-31,ABBOTINDIA,EQUITY,3800.1,4115.0,3714.9,3952.6,0
2015-04-30,ABBOTINDIA,EQUITY,4000.0,4100.0,3768.0,3940.35,0
2015-05-31,ABBOTINDIA,EQUITY,3951.05,4144.0,3772.4,4040.7,0
2015-06-30,ABBOTINDIA,EQUITY,4045.0,4070.0,3710.55,3894.65,0
2015-07-31,ABBOTINDIA,EQUITY,3934.0,4710.0,3900.1,4458.7,0
2015-08-31,ABBOTINDIA,EQUITY,4510.05,4948.0,4401.15,4801.3,0
2015-09-30,ABBOTINDIA,EQUITY,4798.0,6177.7,4600.0,5681.8,0
2015-10-31,ABBOTINDIA,EQUITY,5819.0,5889.9,5385.05,5580.9,0
2015-11-30,ABBOTINDIA,EQUITY,5590.0,5590.0,4960.05,5217.9,0
2015-12-31,ABBOTINDIA,EQUITY,5204.25,6042.0,5110.45,6010.75,0
2016-01-31,ABBOTINDIA,EQUITY,6028.9,6030.0,4830.0,5065.3,0
2016-02-29,ABBOTINDIA,EQUITY,5197.65,5265.0,4600.0,4786.2,0
2016-03-31,ABBOTINDIA,EQUITY,4994.0,5244.0,4456.0,4705.2,0
2016-04-30,ABBOTINDIA,EQUITY,4705.2,4850.0,4509.5,4630.05,0
2016-05-31,ABBOTINDIA,EQUITY,4680.0,4781.75,4444.4,4705.05,0
2016-06-30,ABBOTINDIA,EQUITY,4707.0,4755.0,4353.7,4616.1,0
2016-07-31,ABBOTINDIA,EQUITY,4610.0,4815.0,4610.0,4666.55,0
2016-08-31,ABBOTINDIA,EQUITY,4666.0,4830.0,4584.7,4660.8,0
2016-09-30,ABBOTINDIA,EQUITY,4677.35,4795.0,4511.1,4744.75,0
2016-10-31,ABBOTINDIA,EQUITY,4744.0,5020.0,4620.0,4998.6,0
2016-11-30,ABBOTINDIA,EQUITY,5040.0,5040.0,4411.0,4901.7,0
2016-12-31,ABBOTINDIA,EQUITY,4949.0,4949.0,4515.0,4722.3,0
2017-01-31,ABBOTINDIA,EQUITY,4709.6,4747.0,4360.0,4401.7,0
2017-02-28,ABBOTINDIA,EQUITY,4401.0,4692.0,4360.0,4463.0,0
2017-03-31,ABBOTINDIA,EQUITY,4489.0,4840.0,4382.0,4642.6,0
2017-04-30,ABBOTINDIA,EQUITY,4723.5,4840.0,4361.0,4424.05,0
2017-05-31,ABBOTINDIA,EQUITY,4110.0,4348.0,3988.0,4177.9,0
2017-06-30,ABBOTINDIA,EQUITY,4126.0,4425.0,4126.0,4272.7,0
2017-07-31,ABBOTINDIA,EQUITY,4260.05,4620.0,4181.3,4444.85,0
2017-08-31,ABBOTINDIA,EQUITY,4392.25,4475.0,4156.05,4173.25,0
2017-09-30,ABBOTINDIA,EQUITY,4199.0,4280.0,4001.0,4231.05,0
2017-10-31,ABBOTINDIA,EQUITY,4225.0,4385.85,4102.0,4231.2,0
2017-11-30,ABBOTINDIA,EQUITY,4220.0,5413.4,4216.0,5274.25,0
2017-12-31,ABBOTINDIA,EQUITY,5271.0,5644.95,5185.0,5524.95,0
2018-01-31,ABBOTINDIA,EQUITY,5525.0,5650.0,5238.85,5625.05,0
2018-02-28,ABBOTINDIA,EQUITY,5570.1,6125.0,5261.0,5743.1,0
2018-03-31,ABBOTINDIA,EQUITY,5767.15,5785.0,5252.15,5452.95,0
2018-04-30,ABBOTINDIA,EQUITY,5674.0,6690.0,5600.0,6179.65,0
2018-05-31,ABBOTINDIA,EQUITY,6170.0,7338.0,6061.0,6674.35,0
2018-06-30,ABBOTINDIA,EQUITY,6729.0,7850.0,6238.15,7238.2,0
2018-07-31,ABBOTINDIA,EQUITY,7239.0,7830.0,7005.05,7666.8,0
2018-08-31,ABBOTINDIA,EQUITY,7666.8,8699.0,7506.0,8330.75,0
2018-09-30,ABBOTINDIA,EQUITY,8399.0,8820.05,7611.0,7773.55,0
2018-10-31,ABBOTINDIA,EQUITY,7780.1,7879.9,6900.0,7568.7,0
2018-11-30,ABBOTINDIA,EQUITY,7574.2,7749.0,7111.2,7420.15,0
2018-12-31,ABBOTINDIA,EQUITY,7453.95,7899.8,7271.0,7516.65,0
2019-01-31,ABBOTINDIA,EQUITY,7550.0,8273.5,7430.0,8070.1,0
2019-02-28,ABBOTINDIA,EQUITY,8120.0,8325.0,7151.2,7437.6,0
2019-03-31,ABBOTINDIA,EQUITY,7429.8,7487.95,7200.0,7304.8,0
2019-04-30,ABBOTINDIA,EQUITY,7350.0,8099.0,7236.05,7421.35,0
2019-05-31,ABBOTINDIA,EQUITY,7425.15,8098.0,7160.0,7777.55,0
2019-06-30,ABBOTINDIA,EQUITY,7791.0,8995.0,7711.2,8887.95,0
2019-07-31,ABBOTINDIA,EQUITY,8900.0,9000.65,8278.0,8363.6,0
2019-08-31,ABBOTINDIA,EQUITY,8326.7,9324.0,8300.0,9148.6,0
2019-09-30,ABBOTINDIA,EQUITY,9450.0,10998.0,9405.0,10596.55,0
2019-10-31,ABBOTINDIA,EQUITY,10575.0,12173.75,10350.0,11774.4,0
2019-11-30,ABBOTINDIA,EQUITY,11750.0,13050.0,11350.0,12578.4,0
2019-12-31,ABBOTINDIA,EQUITY,12678.4,13470.05,12561.1,13075.5,0
2020-01-31,ABBOTINDIA,EQUITY,13170.6,13452.15,12440.1,12498.8,0
2020-02-29,ABBOTINDIA,EQUITY,12320.0,16499.0,12186.55,15718.95,0
2020-03-31,ABBOTINDIA,EQUITY,15875.0,16880.0,12501.45,15451.1,0
2020-04-30,ABBOTINDIA,EQUITY,15775.0,18500.0,15210.0,17730.75,0
2020-05-31,ABBOTINDIA,EQUITY,18399.0,18580.0,16225.0,16723.4,0
2020-06-30,ABBOTINDIA,EQUITY,16950.0,17799.0,15528.75,15736.5,0
2020-07-31,ABBOTINDIA,EQUITY,15799.85,15928.95,14811.0,15536.35,0
2020-08-31,ABBOTINDIA,EQUITY,16212.55,17350.0,16000.0,16377.1,0
2020-09-30,ABBOTINDIA,EQUITY,16375.0,17050.0,15539.95,16486.95,0
2020-10-31,ABBOTINDIA,EQUITY,16470.0,16595.0,15125.0,15298.15,0
2020-11-30,ABBOTINDIA,EQUITY,15300.0,16050.0,15050.0,15399.05,0
2020-12-31,ABBOTINDIA,EQUITY,15450.0,16699.9,15133.05,15769.1,0
2021-01-31,ABBOTINDIA,EQUITY,15800.0,15862.9,14100.0,14222.05,0
2021-02-28,ABBOTINDIA,EQUITY,14350.0,14995.0,13959.8,14389.45,0
2021-03-31,ABBOTINDIA,EQUITY,14550.0,15267.8,14300.0,14983.3,0
2021-04-30,ABBOTINDIA,EQUITY,15000.0,15400.0,14586.05,15151.75,0
2021-05-31,ABBOTINDIA,EQUITY,15150.0,16400.0,15003.0,16029.05,0
2021-06-30,ABBOTINDIA,EQUITY,16057.85,16910.0,15832.0,16808.9,0
2021-07-31,ABBOTINDIA,EQUITY,16825.35,19244.7,16650.0,19012.75,0
2021-08-31,ABBOTINDIA,EQUITY,19000.0,19994.7,17355.05,19272.1,0
2021-09-30,ABBOTINDIA,EQUITY,20150.0,21870.0,19201.0,20517.8,0
2021-10-31,ABBOTINDIA,EQUITY,23200.0,23934.45,19700.0,20049.4,0
2021-11-30,ABBOTINDIA,EQUITY,20025.0,20400.0,19000.0,19087.25,0
2021-12-31,ABBOTINDIA,EQUITY,19100.2,19604.5,17681.65,19485.65,0
2022-01-31,ABBOTINDIA,EQUITY,19397.95,19397.95,15951.05,16079.75,0
