DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-12-31,ALKEM,EQUITY,1380.0,1543.95,1356.2,1485.25,0
2016-01-31,ALKEM,EQUITY,1495.0,1582.0,1281.0,1358.8,0
2016-02-29,ALKEM,EQUITY,1382.8,1430.9,1227.0,1264.65,0
2016-03-31,ALKEM,EQUITY,1324.0,1421.0,1294.05,1356.45,0
2016-04-30,ALKEM,EQUITY,1282.0,1369.55,1181.0,1190.95,0
2016-05-31,ALKEM,EQUITY,1152.5,1291.1,1152.5,1263.4,0
2016-06-30,ALKEM,EQUITY,1264.0,1415.0,1258.0,1384.4,0
2016-07-31,ALKEM,EQUITY,1387.0,1592.95,1341.0,1566.7,0
2016-08-31,ALKEM,EQUITY,1580.0,1626.0,1465.0,1547.75,0
2016-09-30,ALKEM,EQUITY,1576.8,1856.0,1548.6,1661.25,0
2016-10-31,ALKEM,EQUITY,1700.0,1763.0,1588.0,1631.9,0
2016-11-30,ALKEM,EQUITY,1662.0,1760.5,1548.95,1699.85,0
2016-12-31,ALKEM,EQUITY,1700.0,1715.0,1519.0,1628.65,0
2017-01-31,ALKEM,EQUITY,1626.0,1700.0,1610.25,1668.35,0
2017-02-28,ALKEM,EQUITY,1667.0,2185.0,1647.1,2141.55,0
2017-03-31,ALKEM,EQUITY,2154.35,2227.95,1895.65,2204.9,0
2017-04-30,ALKEM,EQUITY,2164.0,2400.0,1897.0,1971.4,0
2017-05-31,ALKEM,EQUITY,1990.55,2001.0,1809.0,1931.5,0
2017-06-30,ALKEM,EQUITY,1932.0,1990.0,1800.0,1855.6,0
2017-07-31,ALKEM,EQUITY,1835.0,1860.0,1718.1,1832.0,0
2017-08-31,ALKEM,EQUITY,1794.0,1894.55,1578.3,1800.35,0
2017-09-30,ALKEM,EQUITY,1800.0,1913.0,1734.0,1840.75,0
2017-10-31,ALKEM,EQUITY,1844.9,1919.8,1810.0,1873.8,0
2017-11-30,ALKEM,EQUITY,1875.0,2078.9,1864.45,1987.1,0
2017-12-31,ALKEM,EQUITY,1992.0,2237.0,1964.15,2201.9,0
2018-01-31,ALKEM,EQUITY,2201.0,2469.0,2168.85,2198.75,0
2018-02-28,ALKEM,EQUITY,2200.0,2244.7,2029.75,2226.3,0
2018-03-31,ALKEM,EQUITY,2230.95,2260.0,1850.05,1988.35,0
2018-04-30,ALKEM,EQUITY,1924.8,1994.0,1726.0,1976.35,0
2018-05-31,ALKEM,EQUITY,1971.0,2069.2,1888.0,1916.85,0
2018-06-30,ALKEM,EQUITY,1926.0,2032.95,1880.0,1891.15,0
2018-07-31,ALKEM,EQUITY,1897.0,2150.0,1802.05,2119.05,0
2018-08-31,ALKEM,EQUITY,2119.55,2242.0,1979.95,2114.7,0
2018-09-30,ALKEM,EQUITY,2122.0,2268.0,1998.55,2054.95,0
2018-10-31,ALKEM,EQUITY,2030.0,2075.0,1850.0,1906.85,0
2018-11-30,ALKEM,EQUITY,1914.8,1989.0,1836.8,1912.65,0
2018-12-31,ALKEM,EQUITY,1912.0,1958.2,1840.0,1949.2,0
2019-01-31,ALKEM,EQUITY,1957.0,1984.7,1840.0,1883.2,0
2019-02-28,ALKEM,EQUITY,1878.55,1929.0,1736.9,1743.8,0
2019-03-31,ALKEM,EQUITY,1759.9,1816.0,1690.0,1750.85,0
2019-04-30,ALKEM,EQUITY,1762.0,1783.95,1695.1,1718.35,0
2019-05-31,ALKEM,EQUITY,1709.75,1987.2,1670.0,1794.35,0
2019-06-30,ALKEM,EQUITY,1776.4,1831.2,1661.0,1669.0,0
2019-07-31,ALKEM,EQUITY,1684.0,1836.0,1670.0,1741.95,0
2019-08-31,ALKEM,EQUITY,1764.95,1844.9,1660.0,1817.7,0
2019-09-30,ALKEM,EQUITY,1880.0,1997.05,1795.0,1905.1,0
2019-10-31,ALKEM,EQUITY,1910.0,2027.9,1873.0,1997.7,0
2019-11-30,ALKEM,EQUITY,2013.4,2150.0,1940.8,2029.1,0
2019-12-31,ALKEM,EQUITY,2022.1,2107.0,1958.0,2013.9,0
2020-01-31,ALKEM,EQUITY,2013.9,2405.0,2006.9,2397.65,0
2020-02-29,ALKEM,EQUITY,2380.0,2716.9,2350.0,2625.5,0
2020-03-31,ALKEM,EQUITY,2645.0,2670.0,1881.3,2325.85,0
2020-04-30,ALKEM,EQUITY,2279.0,2879.0,2250.0,2599.4,0
2020-05-31,ALKEM,EQUITY,2696.0,2730.0,2222.0,2262.9,0
2020-06-30,ALKEM,EQUITY,2290.0,2510.15,2260.0,2368.3,0
2020-07-31,ALKEM,EQUITY,2366.0,2718.35,2325.0,2662.1,0
2020-08-31,ALKEM,EQUITY,2825.0,3090.0,2705.55,2722.7,0
2020-09-30,ALKEM,EQUITY,2729.0,2987.9,2682.0,2777.95,0
2020-10-31,ALKEM,EQUITY,2784.0,2823.0,2563.65,2634.3,0
2020-11-30,ALKEM,EQUITY,2634.3,2865.0,2616.0,2841.65,0
2020-12-31,ALKEM,EQUITY,2805.05,2988.0,2761.1,2926.2,0
2021-01-31,ALKEM,EQUITY,2930.0,3151.5,2914.85,3006.95,0
2021-02-28,ALKEM,EQUITY,2950.0,2989.45,2710.0,2722.05,0
2021-03-31,ALKEM,EQUITY,2831.0,2961.0,2540.05,2769.8,0
2021-04-30,ALKEM,EQUITY,2766.0,2856.95,2670.1,2759.05,0
2021-05-31,ALKEM,EQUITY,2759.05,3088.95,2750.55,2989.2,0
2021-06-30,ALKEM,EQUITY,3009.0,3259.0,2900.0,3199.35,0
2021-07-31,ALKEM,EQUITY,3197.35,3558.9,3179.05,3453.6,0
2021-08-31,ALKEM,EQUITY,3455.0,3933.0,3361.0,3878.6,0
2021-09-30,ALKEM,EQUITY,3855.9,4070.0,3684.05,3980.75,0
2021-10-31,ALKEM,EQUITY,3962.0,4026.1,3584.75,3610.65,0
2021-11-30,ALKEM,EQUITY,3610.65,3778.45,3244.05,3593.45,0
2021-12-31,ALKEM,EQUITY,3590.5,3748.95,3254.6,3624.05,0
2022-01-31,ALKEM,EQUITY,3671.55,3786.0,3348.6,3539.15,0
2022-02-28,ALKEM,EQUITY,3549.95,3588.3,3135.0,3277.95,0
2022-03-31,ALKEM,EQUITY,3239.0,3724.95,3206.15,3620.7,0
2022-04-30,ALKEM,EQUITY,3600.0,3619.85,3231.0,3250.4,0
2022-05-31,ALKEM,EQUITY,3295.0,3336.9,2828.0,3149.05,0
2022-06-30,ALKEM,EQUITY,3149.0,3180.0,2928.2,2998.55,0
2022-07-31,ALKEM,EQUITY,2995.0,3325.0,2970.95,3225.15,0
2022-08-31,ALKEM,EQUITY,3205.0,3222.35,2855.0,2974.65,0
2022-09-30,ALKEM,EQUITY,2960.0,3400.0,2952.0,3277.2,0
2022-10-31,ALKEM,EQUITY,3294.4,3337.9,3065.0,3155.2,0
2022-11-30,ALKEM,EQUITY,3170.9,3325.0,3025.0,3124.2,0
2022-12-31,ALKEM,EQUITY,3127.25,3174.8,2940.05,3004.7,0
2023-01-31,ALKEM,EQUITY,3005.0,3094.8,2973.0,3011.3,0
2023-02-28,ALKEM,EQUITY,3020.5,3350.0,3011.3,3175.0,0
2023-03-31,ALKEM,EQUITY,3175.0,3414.35,3042.3,3396.1,0
2023-04-30,ALKEM,EQUITY,3399.7,3520.0,3300.85,3509.9,0
2023-05-31,ALKEM,EQUITY,3517.15,3625.0,3186.3,3359.6,0
2023-06-30,ALKEM,EQUITY,3383.95,3517.5,3307.2,3512.85,0
2023-07-31,ALKEM,EQUITY,3512.1,4050.0,3475.0,3978.75,0
2023-08-31,ALKEM,EQUITY,3971.0,4234.9,3635.0,3642.85,0
2023-09-30,ALKEM,EQUITY,3642.85,3770.95,3512.05,3605.9,0
2023-10-31,ALKEM,EQUITY,3629.95,3735.0,3447.0,3721.85,0
2023-11-30,ALKEM,EQUITY,3734.0,4795.5,3676.05,4723.55,0
2023-12-31,ALKEM,EQUITY,4724.9,5216.75,4589.25,5202.6,0
2024-01-31,ALKEM,EQUITY,5209.95,5301.0,4763.25,4996.05,0
2024-02-29,ALKEM,EQUITY,5000.15,5520.0,4659.0,5127.35,0
2024-03-31,ALKEM,EQUITY,5150.0,5225.0,4650.0,4942.0,0
2024-04-30,ALKEM,EQUITY,4930.15,5044.9,4567.05,4833.05,0
2024-05-31,ALKEM,EQUITY,4830.15,5578.8,4739.5,4810.45,0
2024-06-30,ALKEM,EQUITY,4815.0,5259.0,4667.4,4991.35,0
2024-07-31,ALKEM,EQUITY,4968.6,6267.2,4872.0,5309.5,0
2024-08-31,ALKEM,EQUITY,5090.0,6199.9,5063.0,6170.35,0
2024-09-30,ALKEM,EQUITY,6310.45,6439.9,5461.1,6052.8,0
2024-10-31,ALKEM,EQUITY,5324.15,6375.0,5156.05,5779.25,0
2024-11-30,ALKEM,EQUITY,5265.0,5745.1,5182.2,5642.45,0
2024-12-31,ALKEM,EQUITY,6297.35,6428.9,5341.55,5633.9,0
2025-01-31,ALKEM,EQUITY,5673.9,5673.9,4820.0,5063.05,0
2025-02-28,ALKEM,EQUITY,4856.65,5654.0,4491.65,4646.2,0
2025-03-31,ALKEM,EQUITY,4601.0,5687.0,4523.0,4881.7,0
2025-04-30,ALKEM,EQUITY,5048.5,5719.0,4523.05,5116.0,0
2025-05-31,ALKEM,EQUITY,5140.0,5736.0,4826.5,5098.5,0
2025-06-30,ALKEM,EQUITY,5095.0,5704.0,4676.5,4939.0,0
2025-07-31,ALKEM,EQUITY,5527.15,5687.5,4611.85,5031.1,0
2025-08-31,ALKEM,EQUITY,5555.95,5710.0,4700.65,5303.5,0
2025-09-30,ALKEM,EQUITY,5566.4,5678.5,4755.1,5425.0,0
2025-10-31,ALKEM,EQUITY,5429.0,5648.0,4608.0,5506.5,0
