DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-01-31,AMBER,EQUITY,1175.0,1299.0,1115.0,1249.65,0
2018-02-28,AMBER,EQUITY,1254.8,1328.9,1065.1,1092.2,0
2018-03-31,AMBER,EQUITY,1093.0,1192.4,1059.95,1069.4,0
2018-04-30,AMBER,EQUITY,1091.0,1149.0,1070.0,1138.7,0
2018-05-31,AMBER,EQUITY,1142.0,1200.0,1055.8,1080.15,0
2018-06-30,AMBER,EQUITY,1075.0,1075.0,880.1,911.05,0
2018-07-31,AMBER,EQUITY,940.0,1049.0,887.0,973.8,0
2018-08-31,AMBER,EQUITY,975.0,1025.0,899.15,984.35,0
2018-09-30,AMBER,EQUITY,975.0,1127.9,913.15,927.3,0
2018-10-31,AMBER,EQUITY,918.0,944.0,826.3,861.2,0
2018-11-30,AMBER,EQUITY,869.9,925.0,845.35,919.5,0
2018-12-31,AMBER,EQUITY,919.5,950.95,845.1,905.05,0
2019-01-31,AMBER,EQUITY,910.2,950.5,727.7,742.35,0
2019-02-28,AMBER,EQUITY,743.0,760.0,622.0,674.65,0
2019-03-31,AMBER,EQUITY,672.5,830.5,672.5,816.6,0
2019-04-30,AMBER,EQUITY,828.45,866.0,770.0,783.2,0
2019-05-31,AMBER,EQUITY,791.95,873.7,701.0,835.25,0
2019-06-30,AMBER,EQUITY,843.05,850.0,790.0,824.75,0
2019-07-31,AMBER,EQUITY,820.0,860.0,772.25,785.45,0
2019-08-31,AMBER,EQUITY,780.0,870.05,750.8,826.05,0
2019-09-30,AMBER,EQUITY,822.5,1010.0,804.0,908.15,0
2019-10-31,AMBER,EQUITY,908.15,1060.0,867.8,1045.4,0
2019-11-30,AMBER,EQUITY,1053.65,1055.0,964.25,1032.0,0
2019-12-31,AMBER,EQUITY,1040.0,1145.0,1005.0,1117.15,0
2020-01-31,AMBER,EQUITY,1120.0,1635.0,1109.5,1510.45,0
2020-02-29,AMBER,EQUITY,1423.45,1695.0,1314.65,1371.2,0
2020-03-31,AMBER,EQUITY,1382.0,1495.9,985.05,1230.45,0
2020-04-30,AMBER,EQUITY,1268.05,1309.8,920.9,1071.95,0
2020-05-31,AMBER,EQUITY,1094.0,1261.1,1048.1,1245.85,0
2020-06-30,AMBER,EQUITY,1290.0,1618.05,1279.95,1437.85,0
2020-07-31,AMBER,EQUITY,1449.95,1590.0,1426.55,1482.5,0
2020-08-31,AMBER,EQUITY,1744.9,1870.3,1642.2,1733.5,0
2020-09-30,AMBER,EQUITY,1730.0,2119.7,1706.05,2038.4,0
2020-10-31,AMBER,EQUITY,2064.8,2544.2,1865.0,2180.4,0
2020-11-30,AMBER,EQUITY,2185.0,2467.0,2085.0,2399.6,0
2020-12-31,AMBER,EQUITY,2453.85,2481.1,2202.1,2352.8,0
2021-01-31,AMBER,EQUITY,2365.25,2773.95,2365.25,2579.75,0
2021-02-28,AMBER,EQUITY,2665.0,3315.0,2665.0,3232.7,0
2021-03-31,AMBER,EQUITY,3232.0,3662.0,2990.0,3315.85,0
2021-04-30,AMBER,EQUITY,3319.0,3389.4,3000.0,3099.3,0
2021-05-31,AMBER,EQUITY,3090.0,3147.95,2683.6,2727.75,0
2021-06-30,AMBER,EQUITY,2727.75,3030.0,2694.5,2926.2,0
2021-07-31,AMBER,EQUITY,2928.0,3097.0,2906.0,2991.7,0
2021-08-31,AMBER,EQUITY,3000.0,3055.0,2710.75,2894.9,0
2021-09-30,AMBER,EQUITY,3060.0,3310.0,3030.35,3263.7,0
2021-10-31,AMBER,EQUITY,3394.0,3788.65,3175.55,3305.75,0
2021-11-30,AMBER,EQUITY,3207.0,3595.0,2975.0,3029.45,0
2021-12-31,AMBER,EQUITY,3080.0,3545.65,3029.0,3316.2,0
2022-01-31,AMBER,EQUITY,3315.0,3705.0,3033.0,3610.05,0
2022-02-28,AMBER,EQUITY,3528.1,3924.75,3089.0,3481.8,0
2022-03-31,AMBER,EQUITY,3420.0,3823.05,3365.6,3523.25,0
2022-04-30,AMBER,EQUITY,3540.0,3794.65,3441.8,3709.7,0
2022-05-31,AMBER,EQUITY,3928.0,3968.85,2305.95,2633.0,0
2022-06-30,AMBER,EQUITY,2669.7,2725.0,2040.0,2246.65,0
2022-07-31,AMBER,EQUITY,2251.0,2564.5,2251.0,2493.7,0
2022-08-31,AMBER,EQUITY,2475.0,2580.0,2204.4,2264.55,0
2022-09-30,AMBER,EQUITY,2270.0,2390.7,2142.0,2363.7,0
2022-10-31,AMBER,EQUITY,2354.7,2399.9,1995.55,2065.05,0
2022-11-30,AMBER,EQUITY,2075.4,2088.7,1920.0,1924.25,0
2022-12-31,AMBER,EQUITY,1927.0,2055.45,1849.6,1891.3,0
2023-01-31,AMBER,EQUITY,1897.0,2073.25,1843.0,1912.25,0
2023-02-28,AMBER,EQUITY,1911.0,1945.45,1847.7,1885.75,0
2023-03-31,AMBER,EQUITY,1888.0,2087.0,1762.5,1824.6,0
2023-04-30,AMBER,EQUITY,1840.0,1908.95,1805.55,1868.1,0
2023-05-31,AMBER,EQUITY,1850.6,2228.9,1805.7,2116.7,0
2023-06-30,AMBER,EQUITY,2126.7,2457.85,2071.35,2256.2,0
2023-07-31,AMBER,EQUITY,2234.8,2525.95,2171.0,2434.95,0
2023-08-31,AMBER,EQUITY,2435.0,2990.0,2336.9,2899.75,0
2023-09-30,AMBER,EQUITY,2991.0,3095.95,2797.35,2976.8,0
2023-10-31,AMBER,EQUITY,2976.8,3080.0,2721.05,2934.2,0
2023-11-30,AMBER,EQUITY,2920.0,3480.0,2876.0,3048.65,0
2023-12-31,AMBER,EQUITY,3080.0,3388.0,3013.3,3135.4,0
2024-01-31,AMBER,EQUITY,3155.0,4614.2,3074.0,4437.05,0
2024-02-29,AMBER,EQUITY,4390.05,4589.9,3388.0,3682.6,0
2024-03-31,AMBER,EQUITY,3700.0,3785.0,2992.5,3657.7,0
2024-04-30,AMBER,EQUITY,3698.0,3939.0,3502.95,3846.65,0
2024-05-31,AMBER,EQUITY,3894.95,4549.0,3493.0,3598.85,0
2024-06-30,AMBER,EQUITY,3745.0,4563.65,3462.45,4521.75,0
2024-07-31,AMBER,EQUITY,4490.0,6333.0,4030.65,4334.5,0
2024-08-31,AMBER,EQUITY,4547.0,4614.9,3964.0,4467.3,0
2024-09-30,AMBER,EQUITY,4490.0,5840.0,4266.1,4809.1,0
2024-10-31,AMBER,EQUITY,4560.05,7159.0,4441.0,6040.25,0
2024-11-30,AMBER,EQUITY,4565.0,6786.4,4520.55,6064.95,0
