DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,AMBUJACEM,EQUITY,229.0,257.05,218.1,248.75,0
2015-02-28,AMBUJACEM,EQUITY,250.0,273.0,242.5,269.45,0
2015-03-31,AMBUJACEM,EQUITY,272.0,287.0,243.0,255.3,0
2015-04-30,AMBUJACEM,EQUITY,263.7,266.35,224.05,232.4,0
2015-05-31,AMBUJACEM,EQUITY,241.0,244.65,224.55,237.6,0
2015-06-30,AMBUJACEM,EQUITY,237.6,241.05,214.3,229.9,0
2015-07-31,AMBUJACEM,EQUITY,230.0,257.3,226.75,232.3,0
2015-08-31,AMBUJACEM,EQUITY,230.5,237.9,197.4,207.2,0
2015-09-30,AMBUJACEM,EQUITY,207.0,221.5,196.25,205.8,0
2015-10-31,AMBUJACEM,EQUITY,212.0,214.75,202.7,206.95,0
2015-11-30,AMBUJACEM,EQUITY,207.65,231.0,188.75,198.9,0
2015-12-31,AMBUJACEM,EQUITY,200.1,206.3,188.1,203.05,0
2016-01-31,AMBUJACEM,EQUITY,203.5,206.4,185.2,195.35,0
2016-02-29,AMBUJACEM,EQUITY,200.8,201.95,185.0,187.95,0
2016-03-31,AMBUJACEM,EQUITY,193.0,235.65,191.65,232.55,0
2016-04-30,AMBUJACEM,EQUITY,231.9,236.9,216.5,221.0,0
2016-05-31,AMBUJACEM,EQUITY,221.05,232.85,207.55,228.4,0
2016-06-30,AMBUJACEM,EQUITY,229.0,258.5,228.05,254.8,0
2016-07-31,AMBUJACEM,EQUITY,255.7,278.0,252.15,271.25,0
2016-08-31,AMBUJACEM,EQUITY,271.65,281.7,256.25,277.95,0
2016-09-30,AMBUJACEM,EQUITY,275.1,279.35,249.55,251.75,0
2016-10-31,AMBUJACEM,EQUITY,253.4,259.5,240.4,241.4,0
2016-11-30,AMBUJACEM,EQUITY,239.7,247.45,191.0,210.8,0
2016-12-31,AMBUJACEM,EQUITY,211.9,217.2,197.0,206.3,0
2017-01-31,AMBUJACEM,EQUITY,209.0,233.5,209.0,229.05,0
2017-02-28,AMBUJACEM,EQUITY,229.35,242.8,226.25,229.35,0
2017-03-31,AMBUJACEM,EQUITY,228.8,238.35,222.9,236.65,0
2017-04-30,AMBUJACEM,EQUITY,238.95,252.75,236.55,245.9,0
2017-05-31,AMBUJACEM,EQUITY,243.0,263.5,233.05,241.25,0
2017-06-30,AMBUJACEM,EQUITY,240.0,248.9,228.7,246.55,0
2017-07-31,AMBUJACEM,EQUITY,246.4,275.0,245.6,263.15,0
2017-08-31,AMBUJACEM,EQUITY,259.9,282.0,258.1,280.35,0
2017-09-30,AMBUJACEM,EQUITY,281.9,291.5,260.0,266.45,0
2017-10-31,AMBUJACEM,EQUITY,268.3,288.8,266.05,281.5,0
2017-11-30,AMBUJACEM,EQUITY,282.1,287.5,259.25,262.5,0
2017-12-31,AMBUJACEM,EQUITY,263.65,274.0,255.0,272.05,0
2018-01-31,AMBUJACEM,EQUITY,271.1,280.0,257.15,261.8,0
2018-02-28,AMBUJACEM,EQUITY,263.4,269.7,245.55,252.35,0
2018-03-31,AMBUJACEM,EQUITY,252.9,256.25,223.0,232.95,0
2018-04-30,AMBUJACEM,EQUITY,240.6,252.75,234.3,250.65,0
2018-05-31,AMBUJACEM,EQUITY,250.9,251.75,204.25,205.4,0
2018-06-30,AMBUJACEM,EQUITY,204.5,215.15,195.55,207.45,0
2018-07-31,AMBUJACEM,EQUITY,207.8,231.7,189.0,230.7,0
2018-08-31,AMBUJACEM,EQUITY,229.5,243.45,220.2,241.35,0
2018-09-30,AMBUJACEM,EQUITY,242.95,245.4,208.2,223.55,0
2018-10-31,AMBUJACEM,EQUITY,223.0,227.85,188.35,197.15,0
2018-11-30,AMBUJACEM,EQUITY,197.6,221.65,197.2,217.45,0
2018-12-31,AMBUJACEM,EQUITY,218.6,230.65,200.25,225.1,0
