DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,AUROPHARMA,EQUITY,1139.4,1252.0,1080.0,1247.75,0
2015-02-28,AUROPHARMA,EQUITY,1240.0,1273.3,930.0,1033.15,0
2015-03-31,AUROPHARMA,EQUITY,1085.0,1279.8,1054.35,1221.6,0
2015-04-30,AUROPHARMA,EQUITY,1269.0,1432.2,1177.5,1285.65,0
2015-05-31,AUROPHARMA,EQUITY,1299.45,1412.0,1252.0,1374.2,0
2015-06-30,AUROPHARMA,EQUITY,1374.0,1462.8,1257.5,1452.0,0
2015-07-31,AUROPHARMA,EQUITY,1467.95,1535.0,715.0,759.9,0
2015-08-31,AUROPHARMA,EQUITY,759.3,832.2,645.45,753.0,0
2015-09-30,AUROPHARMA,EQUITY,747.95,770.6,690.1,769.2,0
2015-10-31,AUROPHARMA,EQUITY,767.95,861.55,732.5,835.95,0
2015-11-30,AUROPHARMA,EQUITY,840.0,858.95,794.55,809.75,0
2015-12-31,AUROPHARMA,EQUITY,812.8,891.5,787.3,875.95,0
2016-01-31,AUROPHARMA,EQUITY,879.9,886.0,766.2,834.25,0
2016-02-29,AUROPHARMA,EQUITY,807.0,807.9,582.0,655.65,0
2016-03-31,AUROPHARMA,EQUITY,685.0,761.95,670.2,744.9,0
2016-04-30,AUROPHARMA,EQUITY,731.8,796.0,720.0,759.95,0
2016-05-31,AUROPHARMA,EQUITY,764.0,822.35,712.5,785.3,0
2016-06-30,AUROPHARMA,EQUITY,790.75,802.7,667.05,742.5,0
2016-07-31,AUROPHARMA,EQUITY,746.5,813.95,743.0,791.45,0
2016-08-31,AUROPHARMA,EQUITY,798.95,806.8,729.0,790.85,0
2016-09-30,AUROPHARMA,EQUITY,775.0,882.8,766.35,855.45,0
2016-10-31,AUROPHARMA,EQUITY,862.0,895.0,798.6,811.8,0
2016-11-30,AUROPHARMA,EQUITY,824.8,826.75,698.0,740.8,0
2016-12-31,AUROPHARMA,EQUITY,744.9,756.9,621.9,669.3,0
2017-01-31,AUROPHARMA,EQUITY,673.0,730.8,661.1,681.8,0
2017-02-28,AUROPHARMA,EQUITY,675.0,709.3,628.25,677.2,0
2017-03-31,AUROPHARMA,EQUITY,680.35,710.35,649.9,675.2,0
2017-04-30,AUROPHARMA,EQUITY,683.4,687.0,604.1,606.75,0
2017-05-31,AUROPHARMA,EQUITY,587.0,626.7,503.05,574.15,0
2017-06-30,AUROPHARMA,EQUITY,575.0,692.65,570.25,684.6,0
2017-07-31,AUROPHARMA,EQUITY,685.0,794.7,675.05,718.6,0
2017-08-31,AUROPHARMA,EQUITY,736.9,750.4,668.4,725.25,0
2017-09-30,AUROPHARMA,EQUITY,729.5,776.0,665.05,691.65,0
2017-10-31,AUROPHARMA,EQUITY,700.0,775.0,694.85,760.0,0
2017-11-30,AUROPHARMA,EQUITY,763.5,809.45,689.05,692.85,0
2017-12-31,AUROPHARMA,EQUITY,696.0,702.6,650.0,687.95,0
2018-01-31,AUROPHARMA,EQUITY,690.0,698.8,623.0,629.55,0
2018-02-28,AUROPHARMA,EQUITY,628.6,631.35,560.7,613.9,0
2018-03-31,AUROPHARMA,EQUITY,615.0,628.0,544.1,557.85,0
2018-04-30,AUROPHARMA,EQUITY,597.5,653.0,587.0,642.0,0
2018-05-31,AUROPHARMA,EQUITY,641.45,644.75,551.95,556.3,0
2018-06-30,AUROPHARMA,EQUITY,538.0,627.6,527.0,607.1,0
2018-07-31,AUROPHARMA,EQUITY,609.7,636.0,565.05,591.55,0
2018-08-31,AUROPHARMA,EQUITY,593.0,719.95,591.85,712.75,0
2018-09-30,AUROPHARMA,EQUITY,715.0,827.45,674.1,744.45,0
2018-10-31,AUROPHARMA,EQUITY,743.9,796.8,708.5,791.55,0
2018-11-30,AUROPHARMA,EQUITY,800.0,822.2,759.3,810.7,0
2018-12-31,AUROPHARMA,EQUITY,812.0,830.45,697.1,732.95,0
2019-01-31,AUROPHARMA,EQUITY,734.0,795.7,708.25,787.8,0
2019-02-28,AUROPHARMA,EQUITY,782.05,804.95,695.0,712.05,0
2019-03-31,AUROPHARMA,EQUITY,715.0,802.55,713.7,784.25,0
2019-04-30,AUROPHARMA,EQUITY,792.9,838.0,770.0,819.05,0
2019-05-31,AUROPHARMA,EQUITY,815.5,830.0,656.5,672.4,0
2019-06-30,AUROPHARMA,EQUITY,659.0,660.85,576.0,608.05,0
2019-07-31,AUROPHARMA,EQUITY,610.0,622.0,542.0,571.25,0
2019-08-31,AUROPHARMA,EQUITY,563.5,617.6,536.6,600.7,0
2019-09-30,AUROPHARMA,EQUITY,606.0,639.3,580.0,589.0,0
2019-10-31,AUROPHARMA,EQUITY,589.05,596.5,436.65,469.85,0
2019-11-30,AUROPHARMA,EQUITY,472.4,507.5,389.35,449.9,0
2019-12-31,AUROPHARMA,EQUITY,452.7,474.45,440.4,456.85,0
2020-01-31,AUROPHARMA,EQUITY,459.6,518.0,442.0,481.4,0
