DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BAJFINANCE,EQUITY,3483.95,4492.4,3392.2,4050.55,0
2015-02-28,BAJFINANCE,EQUITY,4099.0,4398.85,3965.0,4107.1,0
2015-03-31,BAJFINANCE,EQUITY,4390.5,4477.0,3901.15,4108.45,0
2015-04-30,BAJFINANCE,EQUITY,4158.0,4699.0,3913.5,4044.3,0
2015-05-31,BAJFINANCE,EQUITY,4260.0,4600.0,4115.7,4216.55,0
2015-06-30,BAJFINANCE,EQUITY,4280.0,5499.0,4208.25,5443.4,0
2015-07-31,BAJFINANCE,EQUITY,5450.0,5660.0,4951.2,5511.3,0
2015-08-31,BAJFINANCE,EQUITY,5700.0,5720.2,4751.25,5021.2,0
2015-09-30,BAJFINANCE,EQUITY,5021.2,5274.0,4677.05,5131.25,0
2015-10-31,BAJFINANCE,EQUITY,5225.0,5427.7,4913.0,5222.35,0
2015-11-30,BAJFINANCE,EQUITY,5233.0,5645.0,5175.1,5515.15,0
2015-12-31,BAJFINANCE,EQUITY,5515.0,6040.0,5380.7,6009.95,0
2016-01-31,BAJFINANCE,EQUITY,6016.1,6389.0,5349.05,5928.4,0
2016-02-29,BAJFINANCE,EQUITY,6037.0,6837.95,5601.0,5932.05,0
2016-03-31,BAJFINANCE,EQUITY,6280.0,6990.0,6179.8,6924.15,0
2016-04-30,BAJFINANCE,EQUITY,6939.0,7531.7,6795.2,6829.1,0
2016-05-31,BAJFINANCE,EQUITY,6874.0,7858.05,6750.0,7588.8,0
2016-06-30,BAJFINANCE,EQUITY,7528.0,8025.0,7416.4,7996.7,0
2016-07-31,BAJFINANCE,EQUITY,8050.0,10478.4,7995.0,10372.65,0
2016-08-31,BAJFINANCE,EQUITY,10460.0,11770.0,9723.45,11011.1,0
2016-09-30,BAJFINANCE,EQUITY,11229.0,11299.0,1011.2,1055.9,0
2016-10-31,BAJFINANCE,EQUITY,1069.0,1163.3,1040.1,1072.55,0
2016-11-30,BAJFINANCE,EQUITY,1087.0,1089.95,762.3,919.8,0
2016-12-31,BAJFINANCE,EQUITY,926.0,929.9,760.5,842.2,0
2017-01-31,BAJFINANCE,EQUITY,852.0,1072.0,842.0,1036.9,0
2017-02-28,BAJFINANCE,EQUITY,1039.0,1119.0,1025.0,1108.2,0
2017-03-31,BAJFINANCE,EQUITY,1120.0,1206.0,1019.1,1171.1,0
2017-04-30,BAJFINANCE,EQUITY,1190.0,1349.9,1165.0,1276.2,0
2017-05-31,BAJFINANCE,EQUITY,1271.25,1374.0,1190.55,1326.95,0
2017-06-30,BAJFINANCE,EQUITY,1334.0,1432.9,1313.9,1373.1,0
2017-07-31,BAJFINANCE,EQUITY,1380.0,1739.8,1366.5,1703.1,0
2017-08-31,BAJFINANCE,EQUITY,1724.95,1837.4,1590.0,1781.9,0
2017-09-30,BAJFINANCE,EQUITY,1790.0,1974.95,1759.0,1838.05,0
2017-10-31,BAJFINANCE,EQUITY,1860.0,1973.7,1700.1,1800.6,0
2017-11-30,BAJFINANCE,EQUITY,1809.6,1848.0,1707.05,1727.05,0
2017-12-31,BAJFINANCE,EQUITY,1737.0,1797.6,1627.05,1756.7,0
2018-01-31,BAJFINANCE,EQUITY,1759.5,1843.0,1632.6,1677.85,0
2018-02-28,BAJFINANCE,EQUITY,1681.8,1760.0,1546.5,1640.25,0
2018-03-31,BAJFINANCE,EQUITY,1635.0,1798.0,1594.2,1767.55,0
2018-04-30,BAJFINANCE,EQUITY,1840.0,1967.75,1836.7,1907.7,0
2018-05-31,BAJFINANCE,EQUITY,1909.0,2177.9,1818.0,2109.9,0
