DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BALRAMCHIN,EQUITY,60.25,65.2,59.15,61.75,0
2015-02-28,BALRAMCHIN,EQUITY,62.0,66.4,55.6,60.6,0
2015-03-31,BALRAMCHIN,EQUITY,58.75,59.55,46.9,49.55,0
2015-04-30,BALRAMCHIN,EQUITY,52.9,54.25,45.55,45.95,0
2015-05-31,BALRAMCHIN,EQUITY,45.3,46.5,41.25,42.05,0
2015-06-30,BALRAMCHIN,EQUITY,43.5,46.5,38.5,40.5,0
2015-07-31,BALRAMCHIN,EQUITY,40.1,51.4,40.1,50.4,0
2015-08-31,BALRAMCHIN,EQUITY,49.9,57.1,37.0,39.85,0
2015-09-30,BALRAMCHIN,EQUITY,39.85,54.6,38.1,52.75,0
2015-10-31,BALRAMCHIN,EQUITY,54.75,67.0,54.75,60.75,0
2015-11-30,BALRAMCHIN,EQUITY,60.7,85.7,54.75,73.3,0
2015-12-31,BALRAMCHIN,EQUITY,73.9,77.0,69.05,70.0,0
2016-01-31,BALRAMCHIN,EQUITY,70.7,91.5,70.05,88.95,0
2016-02-29,BALRAMCHIN,EQUITY,93.5,95.0,70.25,81.4,0
2016-03-31,BALRAMCHIN,EQUITY,86.4,115.0,82.2,107.85,0
2016-04-30,BALRAMCHIN,EQUITY,108.0,112.2,99.75,107.1,0
2016-05-31,BALRAMCHIN,EQUITY,108.0,119.45,101.6,108.2,0
2016-06-30,BALRAMCHIN,EQUITY,108.6,129.65,106.5,125.7,0
2016-07-31,BALRAMCHIN,EQUITY,125.7,136.2,123.3,132.55,0
2016-08-31,BALRAMCHIN,EQUITY,133.05,138.0,106.5,107.25,0
2016-09-30,BALRAMCHIN,EQUITY,103.4,114.8,101.5,107.75,0
2016-10-31,BALRAMCHIN,EQUITY,108.45,122.15,107.45,115.4,0
2016-11-30,BALRAMCHIN,EQUITY,116.25,124.7,103.9,122.5,0
2016-12-31,BALRAMCHIN,EQUITY,123.5,127.15,115.45,125.25,0
2017-01-31,BALRAMCHIN,EQUITY,124.5,146.95,124.4,141.7,0
2017-02-28,BALRAMCHIN,EQUITY,142.0,162.25,140.75,152.85,0
2017-03-31,BALRAMCHIN,EQUITY,153.0,156.5,141.25,145.35,0
2017-04-30,BALRAMCHIN,EQUITY,148.5,170.5,148.3,162.25,0
2017-05-31,BALRAMCHIN,EQUITY,158.15,169.25,152.65,155.0,0
2017-06-30,BALRAMCHIN,EQUITY,155.75,158.85,143.0,151.0,0
2017-07-31,BALRAMCHIN,EQUITY,152.45,167.5,150.4,165.4,0
2017-08-31,BALRAMCHIN,EQUITY,162.7,177.2,155.25,171.75,0
2017-09-30,BALRAMCHIN,EQUITY,172.05,182.5,155.85,160.9,0
2017-10-31,BALRAMCHIN,EQUITY,162.9,172.0,156.0,171.45,0
2017-11-30,BALRAMCHIN,EQUITY,175.75,179.45,155.25,159.15,0
2017-12-31,BALRAMCHIN,EQUITY,159.4,162.0,129.8,132.4,0
2018-01-31,BALRAMCHIN,EQUITY,133.45,144.9,116.5,122.15,0
2018-02-28,BALRAMCHIN,EQUITY,122.0,123.0,106.05,119.75,0
2018-03-31,BALRAMCHIN,EQUITY,119.2,120.8,74.8,75.65,0
2018-04-30,BALRAMCHIN,EQUITY,78.0,82.75,64.15,70.0,0
2018-05-31,BALRAMCHIN,EQUITY,70.6,75.35,58.7,71.45,0
2018-06-30,BALRAMCHIN,EQUITY,71.65,75.5,63.25,64.35,0
2018-07-31,BALRAMCHIN,EQUITY,64.35,74.45,59.7,73.3,0
2018-08-31,BALRAMCHIN,EQUITY,73.0,77.85,69.0,76.45,0
2018-09-30,BALRAMCHIN,EQUITY,76.85,98.95,68.0,71.05,0
2018-10-31,BALRAMCHIN,EQUITY,70.1,113.35,65.0,107.3,0
2018-11-30,BALRAMCHIN,EQUITY,107.7,119.6,96.25,101.15,0
2018-12-31,BALRAMCHIN,EQUITY,101.75,107.3,96.05,102.0,0
2019-01-31,BALRAMCHIN,EQUITY,102.5,114.85,98.1,101.9,0
2019-02-28,BALRAMCHIN,EQUITY,102.5,134.35,101.15,131.0,0
2019-03-31,BALRAMCHIN,EQUITY,134.25,144.1,126.65,137.1,0
2019-04-30,BALRAMCHIN,EQUITY,138.5,153.2,128.65,150.6,0
2019-05-31,BALRAMCHIN,EQUITY,150.6,169.0,134.0,154.0,0
2019-06-30,BALRAMCHIN,EQUITY,154.5,162.0,125.65,139.15,0
2019-07-31,BALRAMCHIN,EQUITY,144.0,165.35,138.8,141.65,0
2019-08-31,BALRAMCHIN,EQUITY,141.45,145.45,109.55,132.85,0
2019-09-30,BALRAMCHIN,EQUITY,131.8,173.9,128.4,154.45,0
2019-10-31,BALRAMCHIN,EQUITY,156.75,167.0,147.35,162.95,0
2019-11-30,BALRAMCHIN,EQUITY,164.6,170.35,141.4,153.0,0
2019-12-31,BALRAMCHIN,EQUITY,154.0,187.0,152.6,183.4,0
2020-01-31,BALRAMCHIN,EQUITY,184.2,195.0,165.3,166.2,0
