DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-03-31,BANDHANBNK,EQUITY,499.0,499.0,455.0,469.05,0
2018-04-30,BANDHANBNK,EQUITY,484.6,540.8,478.0,513.45,0
2018-05-31,BANDHANBNK,EQUITY,513.0,520.9,463.1,470.5,0
2018-06-30,BANDHANBNK,EQUITY,479.0,560.0,467.0,526.55,0
2018-07-31,BANDHANBNK,EQUITY,530.0,719.8,523.0,701.35,0
2018-08-31,BANDHANBNK,EQUITY,703.5,731.4,612.0,694.8,0
2018-09-30,BANDHANBNK,EQUITY,694.05,696.0,531.0,565.25,0
2018-10-31,BANDHANBNK,EQUITY,475.55,521.35,368.1,390.25,0
2018-11-30,BANDHANBNK,EQUITY,395.0,498.2,391.0,483.65,0
2018-12-31,BANDHANBNK,EQUITY,487.95,583.7,462.0,550.15,0
2019-01-31,BANDHANBNK,EQUITY,552.5,563.7,397.0,403.95,0
2019-02-28,BANDHANBNK,EQUITY,404.5,497.75,397.95,480.05,0
2019-03-31,BANDHANBNK,EQUITY,484.5,532.4,478.0,526.25,0
2019-04-30,BANDHANBNK,EQUITY,528.5,613.0,520.3,599.45,0
2019-05-31,BANDHANBNK,EQUITY,594.0,636.3,536.15,591.7,0
2019-06-30,BANDHANBNK,EQUITY,591.1,602.9,520.0,538.75,0
2019-07-31,BANDHANBNK,EQUITY,542.15,563.55,432.0,480.75,0
2019-08-31,BANDHANBNK,EQUITY,478.95,508.95,452.25,469.6,0
2019-09-30,BANDHANBNK,EQUITY,457.55,538.4,437.0,491.9,0
2019-10-31,BANDHANBNK,EQUITY,495.5,650.0,465.5,612.3,0
2019-11-30,BANDHANBNK,EQUITY,616.95,618.9,505.05,581.2,0
2019-12-31,BANDHANBNK,EQUITY,582.0,588.5,457.0,508.25,0
2020-01-31,BANDHANBNK,EQUITY,510.8,526.0,435.0,450.35,0
2020-02-29,BANDHANBNK,EQUITY,439.7,481.2,370.0,383.5,0
2020-03-31,BANDHANBNK,EQUITY,395.8,410.7,152.2,203.75,0
2020-04-30,BANDHANBNK,EQUITY,196.2,266.45,167.5,262.35,0
2020-05-31,BANDHANBNK,EQUITY,247.95,262.85,195.4,218.15,0
2020-06-30,BANDHANBNK,EQUITY,225.0,367.8,223.0,319.3,0
2020-07-31,BANDHANBNK,EQUITY,321.25,402.0,315.0,345.1,0
2020-08-31,BANDHANBNK,EQUITY,314.45,328.35,283.0,305.8,0
2020-09-30,BANDHANBNK,EQUITY,308.7,322.35,251.4,273.0,0
2020-10-31,BANDHANBNK,EQUITY,276.85,332.35,276.05,289.45,0
2020-11-30,BANDHANBNK,EQUITY,294.0,374.95,294.0,367.0,0
2020-12-31,BANDHANBNK,EQUITY,377.85,430.7,365.8,402.25,0
2021-01-31,BANDHANBNK,EQUITY,402.0,424.9,297.0,309.45,0
2021-02-28,BANDHANBNK,EQUITY,330.0,353.8,322.65,345.25,0
2021-03-31,BANDHANBNK,EQUITY,341.5,371.0,330.0,338.9,0
2021-04-30,BANDHANBNK,EQUITY,341.95,360.1,301.7,329.75,0
2021-05-31,BANDHANBNK,EQUITY,324.9,330.0,278.7,307.4,0
2021-06-30,BANDHANBNK,EQUITY,308.25,354.35,301.5,330.25,0
