DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BATAINDIA,EQUITY,1305.5,1496.0,1260.5,1423.05,0
2015-02-28,BATAINDIA,EQUITY,1423.0,1423.0,1196.0,1225.15,0
2015-03-31,BATAINDIA,EQUITY,1296.75,1296.75,1062.4,1090.85,0
2015-04-30,BATAINDIA,EQUITY,1094.0,1178.4,975.0,1019.2,0
2015-05-31,BATAINDIA,EQUITY,1031.55,1134.4,1011.65,1070.95,0
2015-06-30,BATAINDIA,EQUITY,1068.9,1069.0,975.1,1057.7,0
2015-07-31,BATAINDIA,EQUITY,1050.0,1220.0,1046.0,1200.4,0
2015-08-31,BATAINDIA,EQUITY,1218.0,1244.0,975.05,1072.6,0
2015-09-30,BATAINDIA,EQUITY,1065.0,1157.9,996.0,1078.25,0
2015-10-31,BATAINDIA,EQUITY,1093.0,1103.0,497.3,502.95,0
2015-11-30,BATAINDIA,EQUITY,502.0,532.4,456.65,499.5,0
2015-12-31,BATAINDIA,EQUITY,502.0,524.8,464.15,521.95,0
2016-01-31,BATAINDIA,EQUITY,519.0,519.0,438.0,476.4,0
2016-02-29,BATAINDIA,EQUITY,468.0,501.0,446.45,455.65,0
2016-03-31,BATAINDIA,EQUITY,468.5,515.0,468.5,508.6,0
2016-04-30,BATAINDIA,EQUITY,507.5,597.5,502.4,584.2,0
2016-05-31,BATAINDIA,EQUITY,586.0,599.2,530.05,572.4,0
2016-06-30,BATAINDIA,EQUITY,574.0,580.5,502.45,545.85,0
2016-07-31,BATAINDIA,EQUITY,546.1,608.75,546.1,605.45,0
2016-08-31,BATAINDIA,EQUITY,612.0,613.65,520.35,534.45,0
2016-09-30,BATAINDIA,EQUITY,539.2,548.0,475.25,490.3,0
2016-10-31,BATAINDIA,EQUITY,493.0,507.5,469.8,481.3,0
2016-11-30,BATAINDIA,EQUITY,481.8,486.4,399.2,415.85,0
2016-12-31,BATAINDIA,EQUITY,415.9,452.0,404.0,450.4,0
2017-01-31,BATAINDIA,EQUITY,450.55,499.0,444.4,479.45,0
2017-02-28,BATAINDIA,EQUITY,479.7,514.5,474.75,508.55,0
2017-03-31,BATAINDIA,EQUITY,514.0,572.8,491.9,567.95,0
