DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-03-31,BDL,EQUITY,370.0,414.6,362.0,396.65,0
2018-04-30,BDL,EQUITY,392.0,421.9,372.3,402.35,0
2018-05-31,BDL,EQUITY,396.0,425.0,370.0,405.4,0
2018-06-30,BDL,EQUITY,403.0,407.45,370.0,376.15,0
2018-07-31,BDL,EQUITY,378.35,389.0,333.0,384.2,0
2018-08-31,BDL,EQUITY,384.2,387.7,348.6,349.95,0
2018-09-30,BDL,EQUITY,350.0,379.25,280.0,280.45,0
2018-10-31,BDL,EQUITY,280.45,299.0,265.0,282.3,0
2018-11-30,BDL,EQUITY,281.3,326.75,274.25,281.3,0
2018-12-31,BDL,EQUITY,282.0,288.1,260.0,276.25,0
2019-01-31,BDL,EQUITY,279.3,320.1,254.9,258.05,0
2019-02-28,BDL,EQUITY,258.75,316.6,225.0,304.0,0
2019-03-31,BDL,EQUITY,304.0,307.0,277.0,283.3,0
2019-04-30,BDL,EQUITY,285.0,320.9,277.0,278.3,0
2019-05-31,BDL,EQUITY,275.1,340.9,250.65,298.75,0
2019-06-30,BDL,EQUITY,299.05,341.9,281.5,339.75,0
2019-07-31,BDL,EQUITY,336.9,345.0,289.0,294.0,0
2019-08-31,BDL,EQUITY,293.3,304.0,262.2,280.0,0
2019-09-30,BDL,EQUITY,273.0,324.8,270.15,295.9,0
2019-10-31,BDL,EQUITY,294.25,348.0,277.0,328.35,0
2019-11-30,BDL,EQUITY,328.0,364.8,315.25,333.35,0
2019-12-31,BDL,EQUITY,330.0,342.1,282.1,294.45,0
2020-01-31,BDL,EQUITY,295.0,332.0,288.25,290.25,0
2020-02-29,BDL,EQUITY,283.1,323.9,260.1,274.15,0
2020-03-31,BDL,EQUITY,280.4,286.0,145.3,185.15,0
2020-04-30,BDL,EQUITY,186.0,248.4,180.15,216.3,0
2020-05-31,BDL,EQUITY,210.05,252.0,210.05,235.0,0
2020-06-30,BDL,EQUITY,238.35,357.0,231.65,333.25,0
2020-07-31,BDL,EQUITY,329.0,455.0,311.0,384.85,0
2020-08-31,BDL,EQUITY,405.0,481.7,385.0,396.0,0
2020-09-30,BDL,EQUITY,379.9,408.5,280.4,314.75,0
2020-10-31,BDL,EQUITY,316.0,333.4,288.0,289.4,0
2020-11-30,BDL,EQUITY,293.0,331.65,285.5,327.7,0
2020-12-31,BDL,EQUITY,326.0,349.0,297.1,340.35,0
2021-01-31,BDL,EQUITY,344.5,365.9,323.95,331.0,0
2021-02-28,BDL,EQUITY,335.0,380.0,330.5,350.3,0
2021-03-31,BDL,EQUITY,372.0,391.05,330.1,332.55,0
2021-04-30,BDL,EQUITY,333.0,351.9,321.1,336.85,0
2021-05-31,BDL,EQUITY,336.75,376.0,326.0,361.7,0
2021-06-30,BDL,EQUITY,372.0,377.6,345.25,357.95,0
2021-07-31,BDL,EQUITY,362.95,426.6,359.25,420.05,0
2021-08-31,BDL,EQUITY,420.8,429.2,367.0,393.1,0
2021-09-30,BDL,EQUITY,389.9,412.9,376.2,382.95,0
2021-10-31,BDL,EQUITY,377.7,455.0,371.0,405.45,0
2021-11-30,BDL,EQUITY,405.45,451.0,370.0,414.45,0
2021-12-31,BDL,EQUITY,414.2,439.0,377.2,389.55,0
2022-01-31,BDL,EQUITY,392.4,511.75,385.65,497.9,0
2022-02-28,BDL,EQUITY,494.9,536.3,406.5,448.15,0
2022-03-31,BDL,EQUITY,458.95,612.0,448.0,549.3,0
2022-04-30,BDL,EQUITY,548.4,904.9,545.0,748.2,0
2022-05-31,BDL,EQUITY,720.9,812.8,624.75,783.65,0
2022-06-30,BDL,EQUITY,808.0,853.35,647.6,681.25,0
2022-07-31,BDL,EQUITY,677.0,819.4,660.05,811.75,0
2022-08-31,BDL,EQUITY,816.0,893.0,785.75,817.8,0
2022-09-30,BDL,EQUITY,837.0,979.1,808.0,874.75,0
2022-10-31,BDL,EQUITY,868.0,1026.95,835.95,958.2,0
2022-11-30,BDL,EQUITY,959.5,1001.0,912.7,969.0,0
2022-12-31,BDL,EQUITY,973.5,992.0,797.4,944.1,0
2023-01-31,BDL,EQUITY,942.0,957.0,862.65,945.35,0
2023-02-28,BDL,EQUITY,959.0,984.0,787.0,934.5,0
2023-03-31,BDL,EQUITY,941.0,1013.0,878.5,988.7,0
2023-04-30,BDL,EQUITY,979.0,1030.0,951.75,1005.3,0
2023-05-31,BDL,EQUITY,1043.4,1114.9,975.3,1101.75,0
2023-06-30,BDL,EQUITY,1100.0,1247.0,1062.95,1120.25,0
2023-07-31,BDL,EQUITY,1127.2,1278.0,1083.95,1227.55,0
2023-08-31,BDL,EQUITY,1211.0,1216.6,1093.1,1126.4,0
2023-09-30,BDL,EQUITY,1131.15,1224.4,956.0,1031.3,0
2023-10-31,BDL,EQUITY,1026.05,1043.0,900.0,974.15,0
2023-11-30,BDL,EQUITY,982.25,1184.0,973.0,1162.75,0
2023-12-31,BDL,EQUITY,1192.0,1810.95,1185.05,1712.35,0
2024-01-31,BDL,EQUITY,1720.0,1838.8,1625.25,1707.05,0
2024-02-29,BDL,EQUITY,1713.25,1984.8,1556.35,1809.1,0
2024-03-31,BDL,EQUITY,1825.0,1880.0,1552.1,1751.9,0
2024-04-30,BDL,EQUITY,1777.0,2097.95,1685.0,1977.55,0
2024-05-31,BDL,EQUITY,1987.0,2958.0,1411.0,1557.35,0
2024-06-30,BDL,EQUITY,1662.95,1662.95,1293.2,1596.6,0
2024-07-31,BDL,EQUITY,1626.0,1794.7,1040.6,1460.1,0
2024-08-31,BDL,EQUITY,1741.05,1773.3,1277.2,1302.9,0
2024-09-30,BDL,EQUITY,1287.45,1289.7,1096.0,1160.0,0
2024-10-31,BDL,EQUITY,1688.0,1688.5,1000.0,1085.3,0
2024-11-30,BDL,EQUITY,1638.0,1676.5,890.0,1150.0,0
2024-12-31,BDL,EQUITY,1246.95,1297.8,1015.9,1122.85,0
2025-01-31,BDL,EQUITY,1112.05,2009.5,1091.9,1305.0,0
2025-02-28,BDL,EQUITY,1251.8,2032.0,966.15,975.4,0
2025-03-31,BDL,EQUITY,975.4,2030.0,907.0,1281.4,0
2025-04-30,BDL,EQUITY,1179.5,2013.5,958.75,1529.6,0
2025-05-31,BDL,EQUITY,1191.75,2096.6,1188.55,2015.5,0
2025-06-30,BDL,EQUITY,1213.0,1998.8,1051.0,1943.2,0
2025-07-31,BDL,EQUITY,1113.15,1972.7,1057.3,1619.0,0
2025-08-31,BDL,EQUITY,1185.0,1975.0,1158.85,1435.7,0
2025-09-30,BDL,EQUITY,1177.0,1654.0,1167.1,1493.2,0
2025-10-31,BDL,EQUITY,1191.0,1991.9,1115.35,1529.9,0
2025-11-30,BDL,EQUITY,1120.0,1974.9,1103.0,1513.6,0
2025-12-31,BDL,EQUITY,1131.5,1610.0,1048.0,1466.5,0
2026-01-31,BDL,EQUITY,1475.0,1593.9,1404.0,1538.2,0
2026-02-28,BDL,EQUITY,1269.0,1277.4,1233.3,1265.2,0
2026-03-31,BDL,EQUITY,1241.4,1426.0,1131.2,1136.9,0
