DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BHARATFORG,EQUITY,938.0,1052.0,875.55,1034.45,0
2015-02-28,BHARATFORG,EQUITY,1036.45,1317.0,1016.1,1249.0,0
2015-03-31,BHARATFORG,EQUITY,1260.0,1347.3,1186.95,1276.85,0
2015-04-30,BHARATFORG,EQUITY,1339.1,1363.0,1146.1,1254.75,0
2015-05-31,BHARATFORG,EQUITY,1267.95,1331.75,1200.55,1231.55,0
2015-06-30,BHARATFORG,EQUITY,1223.45,1240.0,1026.8,1063.25,0
2015-07-31,BHARATFORG,EQUITY,1061.2,1152.0,1041.15,1147.85,0
2015-08-31,BHARATFORG,EQUITY,1173.1,1293.0,1084.0,1167.9,0
2015-09-30,BHARATFORG,EQUITY,1150.0,1174.0,882.4,907.55,0
2015-10-31,BHARATFORG,EQUITY,953.0,967.8,810.0,859.35,0
2015-11-30,BHARATFORG,EQUITY,868.9,900.0,837.15,850.55,0
2015-12-31,BHARATFORG,EQUITY,854.7,916.7,783.0,892.0,0
2016-01-31,BHARATFORG,EQUITY,893.0,897.8,740.8,833.55,0
2016-02-29,BHARATFORG,EQUITY,838.0,847.35,720.0,746.4,0
2016-03-31,BHARATFORG,EQUITY,780.0,915.0,780.0,873.1,0
2016-04-30,BHARATFORG,EQUITY,877.0,883.0,760.1,798.1,0
2016-05-31,BHARATFORG,EQUITY,797.6,810.8,704.9,755.4,0
2016-06-30,BHARATFORG,EQUITY,758.6,774.0,682.0,760.25,0
2016-07-31,BHARATFORG,EQUITY,765.0,785.0,718.8,760.95,0
2016-08-31,BHARATFORG,EQUITY,763.0,872.25,716.0,850.3,0
2016-09-30,BHARATFORG,EQUITY,859.0,969.2,827.1,910.8,0
2016-10-31,BHARATFORG,EQUITY,923.0,978.0,853.0,884.9,0
2016-11-30,BHARATFORG,EQUITY,885.9,932.0,826.5,903.5,0
2016-12-31,BHARATFORG,EQUITY,908.0,1008.45,860.4,906.55,0
2017-01-31,BHARATFORG,EQUITY,908.0,964.95,904.0,931.95,0
2017-02-28,BHARATFORG,EQUITY,932.15,1095.0,930.0,1053.45,0
2017-03-31,BHARATFORG,EQUITY,1053.3,1075.0,995.0,1042.1,0
2017-04-30,BHARATFORG,EQUITY,1080.0,1157.95,1028.0,1144.75,0
2017-05-31,BHARATFORG,EQUITY,1169.95,1180.0,1020.5,1169.85,0
2017-06-30,BHARATFORG,EQUITY,1176.0,1219.0,1052.9,1092.65,0
2017-07-31,BHARATFORG,EQUITY,1100.0,1165.0,1091.35,1148.7,0
2017-08-31,BHARATFORG,EQUITY,1151.1,1201.9,1113.4,1127.8,0
2017-09-30,BHARATFORG,EQUITY,1131.05,1290.05,586.0,588.9,0
2017-10-31,BHARATFORG,EQUITY,600.0,710.1,600.0,698.2,0
2017-11-30,BHARATFORG,EQUITY,705.25,749.95,684.05,693.15,0
2017-12-31,BHARATFORG,EQUITY,695.95,738.95,672.0,731.5,0
2018-01-31,BHARATFORG,EQUITY,731.5,756.0,700.55,717.1,0
2018-02-28,BHARATFORG,EQUITY,718.5,798.0,672.0,789.85,0
2018-03-31,BHARATFORG,EQUITY,791.8,797.4,678.0,699.65,0
2018-04-30,BHARATFORG,EQUITY,728.1,782.2,707.85,774.7,0
2018-05-31,BHARATFORG,EQUITY,773.95,784.8,636.0,650.7,0
2018-06-30,BHARATFORG,EQUITY,643.1,668.85,591.0,612.7,0
2018-07-31,BHARATFORG,EQUITY,618.0,655.9,575.0,640.65,0
2018-08-31,BHARATFORG,EQUITY,645.5,685.0,605.2,679.05,0
2018-09-30,BHARATFORG,EQUITY,685.8,693.9,591.25,601.1,0
