DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BHARTIARTL,EQUITY,354.4,395.7,339.1,373.7,0
2015-02-28,BHARTIARTL,EQUITY,370.0,374.0,340.1,355.2,0
2015-03-31,BHARTIARTL,EQUITY,356.3,404.5,339.1,393.3,0
2015-04-30,BHARTIARTL,EQUITY,402.3,427.0,371.8,381.1,0
2015-05-31,BHARTIARTL,EQUITY,392.0,435.0,380.7,425.6,0
2015-06-30,BHARTIARTL,EQUITY,415.95,437.3,406.0,420.05,0
2015-07-31,BHARTIARTL,EQUITY,423.7,452.45,404.1,418.8,0
2015-08-31,BHARTIARTL,EQUITY,422.8,427.7,332.5,354.3,0
2015-09-30,BHARTIARTL,EQUITY,351.0,365.7,315.6,337.85,0
2015-10-31,BHARTIARTL,EQUITY,349.0,374.7,336.95,349.05,0
2015-11-30,BHARTIARTL,EQUITY,347.5,353.8,317.1,334.35,0
2015-12-31,BHARTIARTL,EQUITY,335.95,341.75,304.15,340.4,0
2016-01-31,BHARTIARTL,EQUITY,339.95,344.0,282.3,289.9,0
2016-02-29,BHARTIARTL,EQUITY,296.6,334.9,295.7,315.5,0
2016-03-31,BHARTIARTL,EQUITY,322.0,361.4,321.0,350.8,0
2016-04-30,BHARTIARTL,EQUITY,350.2,385.0,325.6,363.6,0
2016-05-31,BHARTIARTL,EQUITY,363.0,369.3,339.3,351.4,0
2016-06-30,BHARTIARTL,EQUITY,353.55,370.0,337.35,366.8,0
2016-07-31,BHARTIARTL,EQUITY,365.8,381.8,357.6,362.05,0
2016-08-31,BHARTIARTL,EQUITY,363.45,368.75,328.75,331.65,0
2016-09-30,BHARTIARTL,EQUITY,308.15,330.0,306.5,314.0,0
2016-10-31,BHARTIARTL,EQUITY,314.0,326.15,296.25,318.85,0
2016-11-30,BHARTIARTL,EQUITY,318.0,326.8,294.0,324.6,0
2016-12-31,BHARTIARTL,EQUITY,324.0,337.45,288.7,305.65,0
2017-01-31,BHARTIARTL,EQUITY,303.1,369.95,300.0,348.2,0
2017-02-28,BHARTIARTL,EQUITY,346.0,401.0,340.15,365.15,0
2017-03-31,BHARTIARTL,EQUITY,368.55,369.8,325.8,350.05,0
2017-04-30,BHARTIARTL,EQUITY,342.95,361.95,332.75,355.5,0
2017-05-31,BHARTIARTL,EQUITY,346.7,381.6,336.5,371.55,0
2017-06-30,BHARTIARTL,EQUITY,370.0,386.35,360.6,379.7,0
2017-07-31,BHARTIARTL,EQUITY,381.45,431.6,373.95,418.95,0
2017-08-31,BHARTIARTL,EQUITY,420.85,438.15,403.75,427.7,0
2017-09-30,BHARTIARTL,EQUITY,430.0,430.45,371.0,389.45,0
2017-10-31,BHARTIARTL,EQUITY,392.0,519.35,373.15,497.2,0
2017-11-30,BHARTIARTL,EQUITY,518.5,544.7,481.15,496.45,0
2017-12-31,BHARTIARTL,EQUITY,498.9,547.5,476.85,529.65,0
2018-01-31,BHARTIARTL,EQUITY,531.0,538.1,435.05,439.85,0
2018-02-28,BHARTIARTL,EQUITY,440.05,449.4,403.2,428.55,0
2018-03-31,BHARTIARTL,EQUITY,429.05,436.6,391.25,398.7,0
2018-04-30,BHARTIARTL,EQUITY,404.0,427.4,374.15,409.55,0
2018-05-31,BHARTIARTL,EQUITY,412.9,418.35,351.6,373.6,0
2018-06-30,BHARTIARTL,EQUITY,384.0,393.4,362.1,381.95,0
2018-07-31,BHARTIARTL,EQUITY,381.1,392.55,331.0,390.6,0
2018-08-31,BHARTIARTL,EQUITY,390.0,399.0,363.0,383.85,0
2018-09-30,BHARTIARTL,EQUITY,387.0,397.5,335.15,338.55,0
2018-10-31,BHARTIARTL,EQUITY,339.0,340.0,276.85,292.35,0
2018-11-30,BHARTIARTL,EQUITY,293.0,339.8,287.35,313.5,0
2018-12-31,BHARTIARTL,EQUITY,316.5,333.4,282.0,312.5,0
2019-01-31,BHARTIARTL,EQUITY,315.95,345.25,294.5,306.4,0
2019-02-28,BHARTIARTL,EQUITY,305.1,326.95,292.85,318.05,0
2019-03-31,BHARTIARTL,EQUITY,317.8,356.55,302.1,333.1,0
2019-04-30,BHARTIARTL,EQUITY,333.9,361.0,314.05,320.3,0
2019-05-31,BHARTIARTL,EQUITY,322.9,356.0,312.6,348.8,0
2019-06-30,BHARTIARTL,EQUITY,351.5,366.95,334.3,346.65,0
2019-07-31,BHARTIARTL,EQUITY,347.0,371.15,328.1,337.6,0
2019-08-31,BHARTIARTL,EQUITY,335.0,378.75,321.15,346.8,0
2019-09-30,BHARTIARTL,EQUITY,336.0,374.9,332.55,367.05,0
2019-10-31,BHARTIARTL,EQUITY,370.0,397.0,325.5,374.25,0
2019-11-30,BHARTIARTL,EQUITY,363.35,455.65,350.3,442.45,0
2019-12-31,BHARTIARTL,EQUITY,471.15,485.6,417.6,455.8,0
2020-01-31,BHARTIARTL,EQUITY,456.05,527.35,443.1,496.45,0
2020-02-29,BHARTIARTL,EQUITY,496.05,568.85,496.05,523.5,0
2020-03-31,BHARTIARTL,EQUITY,534.0,536.0,361.75,440.9,0
2020-04-30,BHARTIARTL,EQUITY,432.0,535.95,415.6,514.3,0
2020-05-31,BHARTIARTL,EQUITY,538.0,612.0,526.05,552.6,0
2020-06-30,BHARTIARTL,EQUITY,559.0,593.7,537.0,559.85,0
2020-07-31,BHARTIARTL,EQUITY,575.0,596.8,543.05,554.85,0
2020-08-31,BHARTIARTL,EQUITY,548.0,565.0,508.0,513.1,0
2020-09-30,BHARTIARTL,EQUITY,517.5,555.45,416.15,420.95,0
2020-10-31,BHARTIARTL,EQUITY,426.0,488.0,394.0,433.75,0
2020-11-30,BHARTIARTL,EQUITY,435.0,494.95,435.0,463.25,0
2020-12-31,BHARTIARTL,EQUITY,481.0,527.0,474.0,509.7,0
2021-01-31,BHARTIARTL,EQUITY,512.25,610.65,508.2,553.6,0
2021-02-28,BHARTIARTL,EQUITY,584.9,622.5,551.75,556.3,0
2021-03-31,BHARTIARTL,EQUITY,540.5,550.75,499.55,517.3,0
2021-04-30,BHARTIARTL,EQUITY,519.95,550.0,514.55,536.75,0
2021-05-31,BHARTIARTL,EQUITY,530.0,577.0,518.7,534.9,0
2021-06-30,BHARTIARTL,EQUITY,537.45,551.5,519.0,525.65,0
2021-07-31,BHARTIARTL,EQUITY,529.0,576.7,521.1,561.65,0
2021-08-31,BHARTIARTL,EQUITY,566.0,668.1,560.0,664.05,0
2021-09-30,BHARTIARTL,EQUITY,669.95,753.0,648.0,688.3,0
2021-10-31,BHARTIARTL,EQUITY,684.4,714.65,675.0,685.35,0
2021-11-30,BHARTIARTL,EQUITY,689.95,781.8,689.6,728.25,0
2021-12-31,BHARTIARTL,EQUITY,733.0,737.4,645.1,683.8,0
2022-01-31,BHARTIARTL,EQUITY,692.25,754.0,677.35,729.3,0
2022-02-28,BHARTIARTL,EQUITY,726.1,731.75,645.45,686.5,0
2022-03-31,BHARTIARTL,EQUITY,684.0,769.9,666.0,754.95,0
2022-04-30,BHARTIARTL,EQUITY,759.8,777.85,716.85,739.0,0
2022-05-31,BHARTIARTL,EQUITY,737.0,739.35,667.85,700.2,0
2022-06-30,BHARTIARTL,EQUITY,701.55,706.2,634.2,684.95,0
2022-07-31,BHARTIARTL,EQUITY,684.85,696.5,628.75,677.95,0
2022-08-31,BHARTIARTL,EQUITY,700.0,754.2,680.7,726.6,0
2022-09-30,BHARTIARTL,EQUITY,725.0,809.0,719.65,799.9,0
2022-10-31,BHARTIARTL,EQUITY,803.4,833.8,759.85,832.0,0
2022-11-30,BHARTIARTL,EQUITY,828.0,860.55,804.2,848.75,0
2022-12-31,BHARTIARTL,EQUITY,853.0,853.2,760.1,806.1,0
2023-01-31,BHARTIARTL,EQUITY,806.25,821.5,751.65,770.3,0
2023-02-28,BHARTIARTL,EQUITY,775.95,794.95,738.45,742.25,0
2023-03-31,BHARTIARTL,EQUITY,742.4,778.95,735.8,749.0,0
2023-04-30,BHARTIARTL,EQUITY,768.0,802.05,752.55,799.3,0
2023-05-31,BHARTIARTL,EQUITY,779.3,888.75,773.65,849.9,0
2023-06-30,BHARTIARTL,EQUITY,837.95,883.0,819.0,878.75,0
2023-07-31,BHARTIARTL,EQUITY,864.35,901.4,862.5,889.9,0
2023-08-31,BHARTIARTL,EQUITY,883.2,897.45,847.05,856.4,0
2023-09-30,BHARTIARTL,EQUITY,853.15,948.7,852.75,926.4,0
2023-10-31,BHARTIARTL,EQUITY,918.25,960.25,900.05,914.4,0
2023-11-30,BHARTIARTL,EQUITY,903.0,1018.2,895.45,1014.7,0
2023-12-31,BHARTIARTL,EQUITY,1015.0,1045.95,960.0,1032.2,0
2024-01-31,BHARTIARTL,EQUITY,1031.95,1200.65,1007.0,1170.7,0
2024-02-29,BHARTIARTL,EQUITY,1165.05,1175.2,1097.65,1123.35,0
2024-03-31,BHARTIARTL,EQUITY,1128.0,1245.0,1117.4,1228.6,0
2024-04-30,BHARTIARTL,EQUITY,1228.0,1354.0,1189.45,1322.3,0
2024-05-31,BHARTIARTL,EQUITY,1315.25,1433.6,1258.15,1372.75,0
2024-06-30,BHARTIARTL,EQUITY,1415.3,1536.25,1279.85,1444.05,0
2024-07-31,BHARTIARTL,EQUITY,1462.0,1670.0,1408.45,1491.55,0
2024-08-31,BHARTIARTL,EQUITY,1431.0,1608.4,1423.15,1589.05,0
2024-09-30,BHARTIARTL,EQUITY,1523.25,1779.0,1523.25,1709.55,0
2024-10-31,BHARTIARTL,EQUITY,1441.0,1742.25,1426.15,1612.6,0
2024-11-30,BHARTIARTL,EQUITY,1450.0,1648.9,1428.0,1627.15,0
2024-12-31,BHARTIARTL,EQUITY,1596.15,1687.0,1550.1,1587.75,0
2025-01-31,BHARTIARTL,EQUITY,1593.0,2030.8,1574.25,1626.3,0
2025-02-28,BHARTIARTL,EQUITY,1720.0,2114.8,1559.5,1570.2,0
2025-03-31,BHARTIARTL,EQUITY,1579.0,2109.9,1572.75,1733.4,0
2025-04-30,BHARTIARTL,EQUITY,1662.15,2135.6,1568.0,1864.5,0
2025-05-31,BHARTIARTL,EQUITY,1670.0,2111.9,1649.1,1856.2,0
2025-06-30,BHARTIARTL,EQUITY,1665.9,2123.3,1590.45,2009.6,0
