DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BHEL,EQUITY,265.6,297.8,250.0,291.75,0
2015-02-28,BHEL,EQUITY,291.4,298.95,250.75,270.9,0
2015-03-31,BHEL,EQUITY,263.45,275.8,228.0,235.35,0
2015-04-30,BHEL,EQUITY,230.35,244.45,222.55,238.05,0
2015-05-31,BHEL,EQUITY,245.5,258.0,222.1,251.65,0
2015-06-30,BHEL,EQUITY,251.1,259.95,238.15,247.9,0
2015-07-31,BHEL,EQUITY,247.3,290.0,247.3,278.35,0
2015-08-31,BHEL,EQUITY,283.65,287.95,214.35,226.45,0
2015-09-30,BHEL,EQUITY,225.0,227.9,192.0,205.55,0
2015-10-31,BHEL,EQUITY,206.0,219.7,197.0,198.85,0
2015-11-30,BHEL,EQUITY,198.25,202.75,172.8,175.05,0
2015-12-31,BHEL,EQUITY,176.0,176.95,164.15,169.15,0
2016-01-31,BHEL,EQUITY,169.0,172.0,131.8,138.7,0
2016-02-29,BHEL,EQUITY,140.55,140.7,90.15,90.85,0
2016-03-31,BHEL,EQUITY,96.8,117.8,95.8,113.85,0
2016-04-30,BHEL,EQUITY,113.8,135.45,112.35,125.4,0
2016-05-31,BHEL,EQUITY,125.0,132.2,115.65,120.5,0
2016-06-30,BHEL,EQUITY,122.0,128.2,113.75,127.7,0
2016-07-31,BHEL,EQUITY,129.0,151.25,128.9,145.9,0
2016-08-31,BHEL,EQUITY,146.0,149.0,132.2,139.1,0
2016-09-30,BHEL,EQUITY,134.25,162.9,129.6,134.7,0
2016-10-31,BHEL,EQUITY,136.6,143.65,129.8,138.95,0
2016-11-30,BHEL,EQUITY,140.0,146.8,122.5,130.15,0
2016-12-31,BHEL,EQUITY,130.6,131.2,116.1,121.2,0
2017-01-31,BHEL,EQUITY,121.2,142.2,120.7,137.05,0
2017-02-28,BHEL,EQUITY,137.7,163.8,135.7,162.45,0
2017-03-31,BHEL,EQUITY,163.0,172.1,155.8,162.85,0
2017-04-30,BHEL,EQUITY,167.55,182.75,165.5,175.7,0
2017-05-31,BHEL,EQUITY,175.0,179.0,133.6,138.2,0
2017-06-30,BHEL,EQUITY,138.2,142.45,130.8,135.3,0
2017-07-31,BHEL,EQUITY,135.65,147.5,133.5,145.1,0
2017-08-31,BHEL,EQUITY,144.55,145.0,121.3,128.9,0
2017-09-30,BHEL,EQUITY,129.0,145.85,82.1,83.95,0
2017-10-31,BHEL,EQUITY,85.25,101.3,82.5,98.0,0
2017-11-30,BHEL,EQUITY,98.6,100.7,85.85,92.0,0
2017-12-31,BHEL,EQUITY,92.5,94.5,86.75,92.5,0
2018-01-31,BHEL,EQUITY,92.65,107.95,92.6,100.2,0
2018-02-28,BHEL,EQUITY,100.5,102.05,89.4,89.9,0
2018-03-31,BHEL,EQUITY,90.85,91.8,79.85,81.35,0
2018-04-30,BHEL,EQUITY,85.65,91.15,84.5,87.8,0
