DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,BPCL,EQUITY,648.9,763.25,630.0,748.85,0
2015-02-28,BPCL,EQUITY,746.0,772.05,693.0,744.25,0
2015-03-31,BPCL,EQUITY,759.9,815.9,713.1,810.8,0
2015-04-30,BPCL,EQUITY,807.0,835.0,720.4,764.75,0
2015-05-31,BPCL,EQUITY,785.0,855.0,703.6,850.15,0
2015-06-30,BPCL,EQUITY,851.1,883.95,803.0,879.35,0
2015-07-31,BPCL,EQUITY,885.0,987.0,863.25,926.75,0
2015-08-31,BPCL,EQUITY,918.0,979.55,802.9,883.2,0
2015-09-30,BPCL,EQUITY,871.2,898.95,817.7,850.7,0
2015-10-31,BPCL,EQUITY,863.9,925.6,837.25,871.1,0
2015-11-30,BPCL,EQUITY,873.0,924.05,861.55,901.75,0
2015-12-31,BPCL,EQUITY,902.2,946.9,867.25,892.3,0
2016-01-31,BPCL,EQUITY,893.0,947.0,861.0,893.15,0
2016-02-29,BPCL,EQUITY,873.0,874.3,731.15,769.25,0
2016-03-31,BPCL,EQUITY,799.0,921.9,771.3,904.3,0
2016-04-30,BPCL,EQUITY,900.0,994.75,880.2,978.0,0
2016-05-31,BPCL,EQUITY,982.0,1024.7,881.15,980.5,0
2016-06-30,BPCL,EQUITY,995.0,1078.0,980.0,1072.15,0
2016-07-31,BPCL,EQUITY,1075.0,1156.0,543.6,592.65,0
2016-08-31,BPCL,EQUITY,596.95,617.7,558.0,602.6,0
2016-09-30,BPCL,EQUITY,590.0,628.6,563.1,612.6,0
2016-10-31,BPCL,EQUITY,616.0,687.95,615.0,669.05,0
2016-11-30,BPCL,EQUITY,671.05,679.85,621.15,643.95,0
2016-12-31,BPCL,EQUITY,636.8,645.0,598.15,635.5,0
2017-01-31,BPCL,EQUITY,640.0,726.8,636.6,681.65,0
2017-02-28,BPCL,EQUITY,682.05,727.0,662.0,670.05,0
2017-03-31,BPCL,EQUITY,675.0,676.9,615.25,649.85,0
2017-04-30,BPCL,EQUITY,643.2,744.9,631.2,719.25,0
2017-05-31,BPCL,EQUITY,741.0,769.25,686.55,742.65,0
2017-06-30,BPCL,EQUITY,739.4,746.8,599.0,639.4,0
2017-07-31,BPCL,EQUITY,640.1,687.0,454.4,471.15,0
2017-08-31,BPCL,EQUITY,485.6,534.45,465.3,529.0,0
2017-09-30,BPCL,EQUITY,532.0,541.5,449.4,471.3,0
2017-10-31,BPCL,EQUITY,477.0,551.55,467.0,541.6,0
2017-11-30,BPCL,EQUITY,542.0,544.9,487.45,503.85,0
2017-12-31,BPCL,EQUITY,504.8,542.5,489.35,517.7,0
2018-01-31,BPCL,EQUITY,518.0,523.0,465.25,492.3,0
2018-02-28,BPCL,EQUITY,491.1,494.0,422.7,429.55,0
2018-03-31,BPCL,EQUITY,432.0,468.4,402.5,427.45,0
2018-04-30,BPCL,EQUITY,429.0,454.5,369.85,387.35,0
2018-05-31,BPCL,EQUITY,390.6,413.0,359.55,403.95,0
2018-06-30,BPCL,EQUITY,411.1,429.15,361.85,373.3,0
2018-07-31,BPCL,EQUITY,375.0,407.5,363.75,389.75,0
2018-08-31,BPCL,EQUITY,395.0,405.0,353.5,362.1,0
2018-09-30,BPCL,EQUITY,365.5,383.45,337.1,374.15,0
2018-10-31,BPCL,EQUITY,372.0,383.8,238.55,275.1,0
2018-11-30,BPCL,EQUITY,278.2,342.85,275.1,324.4,0
2018-12-31,BPCL,EQUITY,322.0,376.5,317.2,362.75,0
2019-01-31,BPCL,EQUITY,361.05,369.3,331.55,345.45,0
2019-02-28,BPCL,EQUITY,347.2,348.7,312.05,337.55,0
2019-03-31,BPCL,EQUITY,338.25,409.9,337.15,397.55,0
2019-04-30,BPCL,EQUITY,398.0,399.5,333.45,379.85,0
2019-05-31,BPCL,EQUITY,380.1,421.7,348.0,409.35,0
2019-06-30,BPCL,EQUITY,417.5,419.9,373.1,392.45,0
2019-07-31,BPCL,EQUITY,391.0,392.85,328.2,345.5,0
2019-08-31,BPCL,EQUITY,345.0,357.85,308.35,355.25,0
2019-09-30,BPCL,EQUITY,353.5,482.05,349.0,470.1,0
2019-10-31,BPCL,EQUITY,498.0,545.0,475.45,526.6,0
2019-11-30,BPCL,EQUITY,520.05,549.0,488.0,511.55,0
2019-12-31,BPCL,EQUITY,508.05,509.5,471.65,491.55,0
2020-01-31,BPCL,EQUITY,492.0,493.9,451.6,456.95,0
