DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-02-28,BSE,EQUITY,1085.0,1200.0,942.0,946.95,0
2017-03-31,BSE,EQUITY,945.0,981.0,886.5,977.65,0
2017-04-30,BSE,EQUITY,985.8,1054.8,966.0,1004.45,0
2017-05-31,BSE,EQUITY,1004.0,1100.0,978.0,1093.4,0
2017-06-30,BSE,EQUITY,1095.25,1134.85,1040.0,1073.55,0
2017-07-31,BSE,EQUITY,1074.9,1178.35,1052.05,1083.7,0
2017-08-31,BSE,EQUITY,1084.0,1100.0,971.0,973.3,0
2017-09-30,BSE,EQUITY,975.7,1039.0,969.0,976.35,0
2017-10-31,BSE,EQUITY,982.4,1007.8,964.0,990.45,0
2017-11-30,BSE,EQUITY,991.0,997.85,926.2,928.1,0
2017-12-31,BSE,EQUITY,933.0,961.5,886.05,909.45,0
2018-01-31,BSE,EQUITY,917.0,984.9,886.5,892.5,0
2018-02-28,BSE,EQUITY,895.0,895.0,794.5,798.7,0
2018-03-31,BSE,EQUITY,805.0,808.0,726.0,756.2,0
2018-04-30,BSE,EQUITY,806.9,838.4,792.95,824.0,0
2018-05-31,BSE,EQUITY,830.95,840.0,798.25,829.2,0
2018-06-30,BSE,EQUITY,843.0,873.75,824.0,839.75,0
2018-07-31,BSE,EQUITY,844.0,878.45,788.0,793.15,0
2018-08-31,BSE,EQUITY,797.75,826.0,733.05,739.8,0
2018-09-30,BSE,EQUITY,745.7,784.0,681.0,683.1,0
2018-10-31,BSE,EQUITY,688.2,689.1,590.0,600.25,0
2018-11-30,BSE,EQUITY,604.0,630.0,596.1,605.25,0
2018-12-31,BSE,EQUITY,607.85,620.0,573.55,598.4,0
2019-01-31,BSE,EQUITY,599.0,605.7,584.0,589.45,0
2019-02-28,BSE,EQUITY,591.7,594.0,534.65,568.9,0
2019-03-31,BSE,EQUITY,570.0,643.0,567.6,611.15,0
2019-04-30,BSE,EQUITY,613.05,628.5,607.0,620.7,0
2019-05-31,BSE,EQUITY,622.6,648.0,589.0,619.2,0
2019-06-30,BSE,EQUITY,620.0,627.0,599.8,613.1,0
2019-07-31,BSE,EQUITY,611.0,618.95,501.0,508.25,0
2019-08-31,BSE,EQUITY,508.25,539.4,446.2,531.75,0
2019-09-30,BSE,EQUITY,534.25,575.0,521.2,564.25,0
2019-10-31,BSE,EQUITY,565.95,572.95,507.2,554.65,0
2019-11-30,BSE,EQUITY,557.4,563.0,495.0,505.2,0
2019-12-31,BSE,EQUITY,505.2,511.8,475.0,501.45,0
2020-01-31,BSE,EQUITY,500.5,555.55,492.1,533.4,0
2020-02-29,BSE,EQUITY,528.0,590.0,450.1,453.0,0
2020-03-31,BSE,EQUITY,457.0,464.9,275.0,296.8,0
2020-04-30,BSE,EQUITY,298.0,408.0,288.9,390.75,0
2020-05-31,BSE,EQUITY,384.0,462.9,371.6,377.9,0
2020-06-30,BSE,EQUITY,382.0,504.8,380.2,443.75,0
2020-07-31,BSE,EQUITY,440.5,558.7,440.5,514.95,0
2020-08-31,BSE,EQUITY,514.0,528.7,481.55,498.25,0
2020-09-30,BSE,EQUITY,499.1,608.0,491.8,545.75,0
2020-10-31,BSE,EQUITY,549.9,555.95,491.0,493.35,0
2020-11-30,BSE,EQUITY,495.0,588.0,473.05,553.4,0
2020-12-31,BSE,EQUITY,550.0,649.4,547.1,619.2,0
2021-01-31,BSE,EQUITY,620.9,658.0,576.2,588.15,0
2021-02-28,BSE,EQUITY,609.5,624.5,571.0,581.5,0
2021-03-31,BSE,EQUITY,582.35,601.15,535.5,571.1,0
2021-04-30,BSE,EQUITY,572.0,624.9,559.3,600.65,0
2021-05-31,BSE,EQUITY,596.0,977.8,594.0,962.2,0
2021-06-30,BSE,EQUITY,965.9,968.9,856.9,900.5,0
2021-07-31,BSE,EQUITY,905.45,1410.0,889.0,1248.8,0
2021-08-31,BSE,EQUITY,1265.9,1293.35,1023.25,1198.4,0
2021-09-30,BSE,EQUITY,1192.0,1294.9,1132.3,1231.25,0
2021-10-31,BSE,EQUITY,1234.8,1478.0,1225.05,1324.15,0
2021-11-30,BSE,EQUITY,1337.4,1640.0,1326.1,1559.85,0
2021-12-31,BSE,EQUITY,1572.0,2373.7,1551.6,1918.5,0
2022-01-31,BSE,EQUITY,1915.9,2194.8,1865.7,1953.15,0
2022-02-28,BSE,EQUITY,2001.0,2344.0,1858.85,1963.4,0
2022-03-31,BSE,EQUITY,1925.0,3140.0,869.25,944.0,0
2022-04-30,BSE,EQUITY,940.0,944.7,812.0,899.55,0
2022-05-31,BSE,EQUITY,897.3,904.0,650.0,755.85,0
2022-06-30,BSE,EQUITY,789.0,797.75,549.0,596.9,0
2022-07-31,BSE,EQUITY,594.95,686.95,586.45,678.5,0
2022-08-31,BSE,EQUITY,680.9,712.9,624.25,651.3,0
2022-09-30,BSE,EQUITY,655.7,700.0,595.0,605.9,0
2022-10-31,BSE,EQUITY,607.3,622.7,581.1,590.1,0
2022-11-30,BSE,EQUITY,592.4,613.9,554.05,577.2,0
2022-12-31,BSE,EQUITY,580.0,596.7,521.5,544.9,0
2023-01-31,BSE,EQUITY,544.0,571.0,503.05,513.45,0
2023-02-28,BSE,EQUITY,516.0,524.4,427.05,440.75,0
2023-03-31,BSE,EQUITY,443.0,478.8,406.2,430.95,0
2023-04-30,BSE,EQUITY,450.0,529.2,444.85,522.9,0
2023-05-31,BSE,EQUITY,519.8,564.3,506.5,557.7,0
2023-06-30,BSE,EQUITY,559.6,624.3,551.45,608.55,0
2023-07-31,BSE,EQUITY,683.0,814.0,671.5,809.25,0
2023-08-31,BSE,EQUITY,846.0,1084.9,818.0,1062.75,0
2023-09-30,BSE,EQUITY,1066.3,1438.0,1024.0,1297.95,0
2023-10-31,BSE,EQUITY,1300.0,1945.9,1252.65,1863.0,0
2023-11-30,BSE,EQUITY,1878.0,2544.3,1781.7,2476.95,0
2023-12-31,BSE,EQUITY,2500.0,2595.0,2202.0,2221.2,0
2024-01-31,BSE,EQUITY,2225.0,2355.9,1980.6,2323.6,0
2024-02-29,BSE,EQUITY,2342.7,2598.95,2159.85,2366.85,0
2024-03-31,BSE,EQUITY,2370.0,2570.0,1941.05,2515.9,0
2024-04-30,BSE,EQUITY,2557.4,3264.7,2530.0,2790.15,0
2024-05-31,BSE,EQUITY,2872.0,2900.0,2395.0,2693.85,0
2024-06-30,BSE,EQUITY,2799.0,2820.0,2452.3,2582.55,0
2024-07-31,BSE,EQUITY,2560.0,4897.4,2115.0,2556.45,0
2024-08-31,BSE,EQUITY,2410.0,2850.0,2356.0,2832.65,0
2024-09-30,BSE,EQUITY,2819.2,5607.95,2741.3,3684.65,0
2024-10-31,BSE,EQUITY,2331.0,4989.8,2245.0,4465.6,0
2024-11-30,BSE,EQUITY,2272.0,5578.9,2272.0,4670.75,0
2024-12-31,BSE,EQUITY,2888.0,5837.95,2831.75,5325.4,0
2025-01-31,BSE,EQUITY,5328.0,6133.4,2038.0,5305.95,0
2025-02-28,BSE,EQUITY,5469.0,6509.0,2647.0,4633.7,0
2025-03-31,BSE,EQUITY,4615.0,5787.2,2050.0,5479.8,0
2025-04-30,BSE,EQUITY,5468.0,6808.0,2205.0,6359.0,0
2025-05-31,BSE,EQUITY,5618.45,7588.0,2227.0,2674.0,0
2025-06-30,BSE,EQUITY,5858.0,6529.5,2102.0,2770.1,0
2025-07-31,BSE,EQUITY,5090.0,5748.7,2180.0,2427.4,0
2025-08-31,BSE,EQUITY,5392.0,6894.0,2090.0,2096.2,0
2025-09-30,BSE,EQUITY,5400.4,6650.0,2021.5,2040.2,0
2025-10-31,BSE,EQUITY,5184.45,5260.0,2242.4,2479.0,0
2025-11-30,BSE,EQUITY,3920.0,5724.0,2365.3,2902.4,0
2025-12-31,BSE,EQUITY,5194.0,7047.0,2179.3,2632.2,0
2026-01-31,BSE,EQUITY,2640.9,2900.0,2597.0,2797.0,0
2026-02-28,BSE,EQUITY,2725.0,2832.0,2699.2,2707.1,0
2026-03-31,BSE,EQUITY,2585.3,3009.0,2537.0,2779.8,0
