DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-10-31,CAMS,EQUITY,1410.0,1441.85,1293.0,1296.85,0
2020-11-30,CAMS,EQUITY,1302.0,1498.7,1261.5,1445.15,0
2020-12-31,CAMS,EQUITY,1450.0,1890.0,1425.65,1805.7,0
2021-01-31,CAMS,EQUITY,1791.0,1865.0,1752.0,1776.75,0
2021-02-28,CAMS,EQUITY,1801.0,2023.3,1701.0,1825.5,0
2021-03-31,CAMS,EQUITY,1860.0,1939.0,1741.5,1846.4,0
2021-04-30,CAMS,EQUITY,1865.0,2429.3,1780.0,2323.25,0
2021-05-31,CAMS,EQUITY,2323.25,2618.9,2200.0,2501.9,0
2021-06-30,CAMS,EQUITY,2528.7,2883.65,2491.0,2792.4,0
2021-07-31,CAMS,EQUITY,2800.0,3740.65,2771.05,3340.75,0
2021-08-31,CAMS,EQUITY,3378.0,3939.9,2801.0,3816.75,0
2021-09-30,CAMS,EQUITY,3975.0,3977.85,3020.0,3034.55,0
2021-10-31,CAMS,EQUITY,3154.0,3211.25,2900.0,3012.1,0
2021-11-30,CAMS,EQUITY,3012.1,3250.0,2884.0,3077.5,0
2021-12-31,CAMS,EQUITY,3035.7,3100.0,2560.05,2666.1,0
2022-01-31,CAMS,EQUITY,2760.0,2971.5,2551.25,2697.35,0
2022-02-28,CAMS,EQUITY,2780.0,2948.0,2230.0,2494.3,0
2022-03-31,CAMS,EQUITY,2488.0,2547.95,2292.0,2315.85,0
2022-04-30,CAMS,EQUITY,2320.8,2682.75,2320.8,2478.4,0
2022-05-31,CAMS,EQUITY,2439.0,2489.0,2037.15,2325.7,0
2022-06-30,CAMS,EQUITY,2333.0,2656.0,2232.0,2257.75,0
2022-07-31,CAMS,EQUITY,2258.8,2470.0,2152.0,2457.65,0
2022-08-31,CAMS,EQUITY,2440.2,2500.0,2177.05,2303.9,0
2022-09-30,CAMS,EQUITY,2300.2,2640.0,2279.25,2527.4,0
2022-10-31,CAMS,EQUITY,2527.0,2690.0,2443.45,2549.15,0
2022-11-30,CAMS,EQUITY,2556.95,2556.95,2255.0,2298.75,0
2022-12-31,CAMS,EQUITY,2311.0,2329.75,2150.0,2221.65,0
2023-01-31,CAMS,EQUITY,2226.7,2340.0,2188.1,2279.75,0
2023-02-28,CAMS,EQUITY,2288.0,2331.0,2208.1,2260.05,0
2023-03-31,CAMS,EQUITY,2255.0,2349.0,2010.0,2030.95,0
2023-04-30,CAMS,EQUITY,2133.5,2263.7,2026.2,2061.25,0
2023-05-31,CAMS,EQUITY,2053.4,2225.0,2048.6,2216.9,0
2023-06-30,CAMS,EQUITY,2216.9,2265.0,2132.0,2198.55,0
2023-07-31,CAMS,EQUITY,2281.0,2392.8,2220.15,2356.95,0
2023-08-31,CAMS,EQUITY,2375.7,2545.2,2340.1,2375.45,0
2023-09-30,CAMS,EQUITY,2376.0,2667.9,2351.0,2510.55,0
2023-10-31,CAMS,EQUITY,2518.9,2639.0,2240.0,2246.9,0
2023-11-30,CAMS,EQUITY,2258.95,2935.0,2230.0,2801.15,0
2023-12-31,CAMS,EQUITY,2820.0,2988.0,2618.05,2651.4,0
2024-01-31,CAMS,EQUITY,2659.0,2934.85,2643.3,2897.0,0
2024-02-29,CAMS,EQUITY,2933.75,3242.0,2776.65,3072.1,0
2024-03-31,CAMS,EQUITY,3099.0,3149.9,2707.1,2915.65,0
2024-04-30,CAMS,EQUITY,2954.0,3340.0,2942.05,3202.7,0
2024-05-31,CAMS,EQUITY,3225.0,3890.0,3030.05,3480.1,0
2024-06-30,CAMS,EQUITY,3600.0,3838.0,3151.1,3612.75,0
2024-07-31,CAMS,EQUITY,3727.1,4910.0,3706.1,4534.2,0
2024-08-31,CAMS,EQUITY,3753.05,4638.9,3733.3,4261.25,0
2024-09-30,CAMS,EQUITY,4321.0,5315.0,4234.6,4409.1,0
2024-10-31,CAMS,EQUITY,4005.0,4969.85,4000.0,4443.7,0
2024-11-30,CAMS,EQUITY,4153.95,5301.0,3975.0,4928.4,0
2024-12-31,CAMS,EQUITY,4407.0,5367.5,4375.0,5075.4,0
2025-01-31,CAMS,EQUITY,5010.2,5149.65,3471.35,3603.5,0
2025-02-28,CAMS,EQUITY,3671.25,4284.0,3126.0,3143.1,0
2025-03-31,CAMS,EQUITY,3162.05,4273.2,3031.05,3723.35,0
2025-04-30,CAMS,EQUITY,3429.0,4282.1,3077.2,3906.3,0
2025-05-31,CAMS,EQUITY,3540.0,4270.0,758.7,3961.1,0
2025-06-30,CAMS,EQUITY,3770.05,4375.0,3210.5,4290.2,0
2025-07-31,CAMS,EQUITY,4868.0,4969.0,3287.45,3736.8,0
2025-08-31,CAMS,EQUITY,4899.9,4929.25,746.3,3705.2,0
2025-09-30,CAMS,EQUITY,4707.0,4765.0,733.0,3758.6,0
2025-10-31,CAMS,EQUITY,4660.05,4695.65,3331.15,3941.3,0
2025-11-30,CAMS,EQUITY,3300.0,4329.9,722.0,3870.3,0
2025-12-31,CAMS,EQUITY,3378.35,4019.8,729.7,740.9,0
2026-01-31,CAMS,EQUITY,743.15,765.9,675.1,695.05,0
2026-02-28,CAMS,EQUITY,714.0,718.85,673.6,677.6,0
2026-03-31,CAMS,EQUITY,653.6,682.0,611.4,637.5,0
