DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CANBK,EQUITY,449.0,478.65,430.5,443.15,0
2015-02-28,CANBK,EQUITY,442.9,461.5,392.2,408.05,0
2015-03-31,CANBK,EQUITY,419.4,432.9,346.5,367.8,0
2015-04-30,CANBK,EQUITY,384.0,411.45,371.6,378.35,0
2015-05-31,CANBK,EQUITY,387.95,391.25,331.7,343.35,0
2015-06-30,CANBK,EQUITY,342.45,346.75,274.5,277.85,0
2015-07-31,CANBK,EQUITY,279.0,302.9,254.0,276.6,0
2015-08-31,CANBK,EQUITY,293.95,360.45,266.1,286.15,0
2015-09-30,CANBK,EQUITY,283.2,290.0,250.6,279.8,0
2015-10-31,CANBK,EQUITY,292.3,305.35,275.1,276.9,0
2015-11-30,CANBK,EQUITY,276.8,284.15,261.55,272.25,0
2015-12-31,CANBK,EQUITY,273.5,274.1,232.2,232.95,0
2016-01-31,CANBK,EQUITY,232.9,239.6,167.35,194.0,0
2016-02-29,CANBK,EQUITY,187.65,207.65,156.0,158.45,0
2016-03-31,CANBK,EQUITY,175.0,194.8,173.15,190.05,0
2016-04-30,CANBK,EQUITY,189.0,217.4,180.5,205.95,0
2016-05-31,CANBK,EQUITY,205.0,208.9,175.9,206.4,0
2016-06-30,CANBK,EQUITY,207.0,221.25,190.45,218.45,0
2016-07-31,CANBK,EQUITY,219.9,267.75,217.0,250.55,0
2016-08-31,CANBK,EQUITY,252.4,284.05,242.35,280.55,0
2016-09-30,CANBK,EQUITY,278.8,318.85,277.2,308.35,0
2016-10-31,CANBK,EQUITY,312.0,338.9,302.15,313.75,0
2016-11-30,CANBK,EQUITY,314.55,331.15,286.5,318.4,0
2016-12-31,CANBK,EQUITY,321.1,322.0,258.7,262.9,0
2017-01-31,CANBK,EQUITY,265.8,293.65,257.2,283.75,0
2017-02-28,CANBK,EQUITY,285.0,318.2,279.8,295.55,0
2017-03-31,CANBK,EQUITY,296.1,307.75,281.1,302.75,0
2017-04-30,CANBK,EQUITY,304.8,361.7,303.15,357.55,0
2017-05-31,CANBK,EQUITY,370.55,416.0,344.0,350.9,0
2017-06-30,CANBK,EQUITY,350.9,364.95,317.1,328.65,0
2017-07-31,CANBK,EQUITY,328.8,374.7,328.65,368.1,0
2017-08-31,CANBK,EQUITY,363.7,365.0,320.8,339.75,0
2017-09-30,CANBK,EQUITY,343.0,351.9,306.6,308.0,0
2017-10-31,CANBK,EQUITY,310.6,463.7,298.2,405.6,0
2017-11-30,CANBK,EQUITY,410.0,420.3,367.35,372.85,0
2017-12-31,CANBK,EQUITY,374.5,379.7,341.0,360.4,0
2018-01-31,CANBK,EQUITY,361.7,384.9,335.0,341.35,0
2018-02-28,CANBK,EQUITY,342.0,344.0,285.45,299.25,0
2018-03-31,CANBK,EQUITY,290.05,299.7,225.2,263.9,0
2018-04-30,CANBK,EQUITY,270.0,292.0,250.4,265.95,0
2018-05-31,CANBK,EQUITY,266.0,268.45,234.5,257.15,0
2018-06-30,CANBK,EQUITY,257.0,284.1,241.2,251.55,0
2018-07-31,CANBK,EQUITY,250.9,292.6,216.55,284.5,0
2018-08-31,CANBK,EQUITY,285.0,297.85,264.55,283.7,0
2018-09-30,CANBK,EQUITY,285.5,292.75,209.3,220.85,0
2018-10-31,CANBK,EQUITY,219.0,263.7,204.75,261.95,0
2018-11-30,CANBK,EQUITY,262.0,272.0,234.7,255.8,0
2018-12-31,CANBK,EQUITY,257.95,281.6,235.0,275.05,0
2019-01-31,CANBK,EQUITY,276.5,290.0,237.7,250.15,0
2019-02-28,CANBK,EQUITY,252.0,252.4,212.8,231.45,0
2019-03-31,CANBK,EQUITY,232.7,300.0,232.5,291.3,0
2019-04-30,CANBK,EQUITY,293.0,302.1,254.25,260.45,0
2019-05-31,CANBK,EQUITY,259.5,285.55,238.45,267.8,0
2019-06-30,CANBK,EQUITY,267.0,291.8,253.3,284.4,0
2019-07-31,CANBK,EQUITY,286.3,296.55,229.3,236.4,0
2019-08-31,CANBK,EQUITY,234.0,239.0,207.4,220.6,0
2019-09-30,CANBK,EQUITY,194.0,212.2,180.0,182.4,0
2019-10-31,CANBK,EQUITY,183.5,209.1,170.6,203.55,0
2019-11-30,CANBK,EQUITY,203.7,234.25,193.7,227.15,0
2019-12-31,CANBK,EQUITY,226.3,232.85,206.1,221.35,0
2020-01-31,CANBK,EQUITY,222.1,226.75,200.15,202.65,0
2020-02-29,CANBK,EQUITY,192.0,194.4,140.15,143.7,0
2020-03-31,CANBK,EQUITY,146.3,147.9,73.65,90.5,0
2020-04-30,CANBK,EQUITY,88.0,94.15,79.55,87.9,0
2020-05-31,CANBK,EQUITY,83.0,90.25,75.75,83.8,0
2020-06-30,CANBK,EQUITY,85.15,118.3,85.0,100.55,0
2020-07-31,CANBK,EQUITY,100.6,113.5,98.35,101.85,0
2020-08-31,CANBK,EQUITY,102.1,119.45,98.9,107.5,0
2020-09-30,CANBK,EQUITY,108.0,110.95,82.25,88.85,0
2020-10-31,CANBK,EQUITY,89.0,95.1,84.35,86.2,0
2020-11-30,CANBK,EQUITY,87.0,105.7,86.25,103.8,0
2020-12-31,CANBK,EQUITY,109.95,140.85,104.05,128.95,0
2021-01-31,CANBK,EQUITY,128.9,147.2,123.7,132.0,0
2021-02-28,CANBK,EQUITY,144.0,174.6,141.05,157.2,0
2021-03-31,CANBK,EQUITY,157.9,167.2,137.05,152.2,0
2021-04-30,CANBK,EQUITY,154.4,157.4,124.3,138.75,0
2021-05-31,CANBK,EQUITY,136.95,163.65,135.9,160.8,0
2021-06-30,CANBK,EQUITY,161.6,163.95,141.45,151.85,0
2021-07-31,CANBK,EQUITY,152.6,157.0,142.1,153.2,0
2021-08-31,CANBK,EQUITY,154.7,162.5,148.2,159.1,0
2021-09-30,CANBK,EQUITY,161.65,177.5,152.05,173.0,0
2021-10-31,CANBK,EQUITY,182.0,218.65,171.7,214.5,0
2021-11-30,CANBK,EQUITY,215.0,246.0,194.75,199.15,0
2021-12-31,CANBK,EQUITY,201.0,224.0,186.4,199.95,0
2022-01-31,CANBK,EQUITY,206.45,254.4,204.35,252.95,0
2022-02-28,CANBK,EQUITY,259.7,272.8,206.25,219.6,0
2022-03-31,CANBK,EQUITY,217.85,232.25,199.5,227.75,0
2022-04-30,CANBK,EQUITY,227.9,252.55,226.25,229.65,0
2022-05-31,CANBK,EQUITY,231.5,235.85,183.7,205.0,0
2022-06-30,CANBK,EQUITY,205.0,213.25,171.75,181.25,0
2022-07-31,CANBK,EQUITY,181.65,234.5,178.45,222.3,0
2022-08-31,CANBK,EQUITY,224.75,244.55,218.95,241.1,0
2022-09-30,CANBK,EQUITY,245.75,257.65,207.5,228.75,0
2022-10-31,CANBK,EQUITY,227.9,293.8,220.4,290.4,0
2022-11-30,CANBK,EQUITY,291.9,333.95,288.15,314.7,0
2022-12-31,CANBK,EQUITY,317.0,336.7,287.9,333.3,0
2023-01-31,CANBK,EQUITY,335.85,341.7,283.7,303.95,0
2023-02-28,CANBK,EQUITY,307.0,309.0,268.8,279.55,0
2023-03-31,CANBK,EQUITY,279.9,311.9,272.35,284.45,0
2023-04-30,CANBK,EQUITY,288.15,318.1,281.2,317.45,0
2023-05-31,CANBK,EQUITY,320.5,326.85,291.35,309.7,0
2023-06-30,CANBK,EQUITY,309.0,316.5,291.65,301.85,0
2023-07-31,CANBK,EQUITY,322.0,351.4,319.8,344.35,0
2023-08-31,CANBK,EQUITY,340.0,340.5,319.25,320.4,0
2023-09-30,CANBK,EQUITY,321.6,386.0,319.7,376.25,0
2023-10-31,CANBK,EQUITY,376.25,390.65,342.1,384.35,0
2023-11-30,CANBK,EQUITY,384.3,411.0,380.0,403.05,0
2023-12-31,CANBK,EQUITY,405.5,454.7,405.0,437.5,0
2024-01-31,CANBK,EQUITY,440.5,485.0,438.0,482.0,0
2024-02-29,CANBK,EQUITY,483.0,598.8,479.35,564.45,0
2024-03-31,CANBK,EQUITY,570.0,606.3,529.1,581.05,0
2024-04-30,CANBK,EQUITY,585.45,629.7,562.7,621.95,0
2024-05-31,CANBK,EQUITY,623.85,632.9,111.8,118.0,0
2024-06-30,CANBK,EQUITY,124.8,128.9,104.7,119.47,0
2024-07-31,CANBK,EQUITY,118.8,118.98,102.34,114.71,0
2024-08-31,CANBK,EQUITY,117.5,118.08,105.5,111.53,0
2024-09-30,CANBK,EQUITY,103.6,113.5,100.69,111.33,0
2024-10-31,CANBK,EQUITY,116.25,116.25,92.98,102.65,0
2024-11-30,CANBK,EQUITY,115.3,115.45,92.52,102.01,0
2024-12-31,CANBK,EQUITY,102.7,108.75,98.7,100.12,0
2025-01-31,CANBK,EQUITY,100.55,124.5,87.79,93.27,0
2025-02-28,CANBK,EQUITY,90.5,154.21,80.25,80.9,0
2025-03-31,CANBK,EQUITY,81.25,152.95,78.6,89.0,0
2025-04-30,CANBK,EQUITY,91.5,140.69,79.7,97.45,0
2025-05-31,CANBK,EQUITY,93.7,149.45,93.55,114.76,0
2025-06-30,CANBK,EQUITY,96.18,140.75,85.11,114.2,0
2025-07-31,CANBK,EQUITY,97.61,141.41,83.7,107.25,0
2025-08-31,CANBK,EQUITY,97.9,148.9,87.6,103.83,0
2025-09-30,CANBK,EQUITY,97.15,146.49,87.15,123.71,0
2025-10-31,CANBK,EQUITY,95.8,138.6,82.21,136.99,0
2025-11-30,CANBK,EQUITY,81.4,152.5,81.4,151.58,0
2025-12-31,CANBK,EQUITY,90.0,158.0,81.55,154.91,0
2026-01-31,CANBK,EQUITY,155.0,160.79,146.62,147.42,0
2026-02-28,CANBK,EQUITY,155.95,162.89,155.0,157.37,0
2026-03-31,CANBK,EQUITY,150.3,156.25,129.02,130.45,0
