DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CANFINHOME,EQUITY,500.0,724.0,497.0,618.1,0
2015-02-28,CANFINHOME,EQUITY,620.1,638.0,585.95,625.85,0
2015-03-31,CANFINHOME,EQUITY,616.0,632.15,554.0,607.4,0
2015-04-30,CANFINHOME,EQUITY,655.05,839.0,627.0,716.75,0
2015-05-31,CANFINHOME,EQUITY,738.3,752.05,632.85,681.5,0
2015-06-30,CANFINHOME,EQUITY,686.0,778.0,642.3,771.7,0
2015-07-31,CANFINHOME,EQUITY,775.5,867.0,740.1,807.45,0
2015-08-31,CANFINHOME,EQUITY,804.8,833.7,680.0,777.65,0
2015-09-30,CANFINHOME,EQUITY,774.95,934.0,720.0,913.75,0
2015-10-31,CANFINHOME,EQUITY,918.95,1029.0,912.05,955.35,0
2015-11-30,CANFINHOME,EQUITY,960.8,1018.0,900.0,967.05,0
2015-12-31,CANFINHOME,EQUITY,967.0,1120.0,960.05,1078.7,0
2016-01-31,CANFINHOME,EQUITY,1076.0,1107.0,845.0,1059.8,0
2016-02-29,CANFINHOME,EQUITY,1063.0,1064.0,840.0,943.8,0
2016-03-31,CANFINHOME,EQUITY,1013.0,1170.9,1001.0,1154.7,0
2016-04-30,CANFINHOME,EQUITY,1158.0,1324.8,1136.6,1202.15,0
2016-05-31,CANFINHOME,EQUITY,1202.0,1296.0,1131.8,1208.95,0
2016-06-30,CANFINHOME,EQUITY,1213.0,1261.0,1082.0,1222.25,0
2016-07-31,CANFINHOME,EQUITY,1229.95,1355.0,1191.0,1336.9,0
2016-08-31,CANFINHOME,EQUITY,1349.9,1509.0,1316.9,1491.35,0
2016-09-30,CANFINHOME,EQUITY,1519.75,1788.0,1510.0,1625.2,0
2016-10-31,CANFINHOME,EQUITY,1650.0,1889.85,1640.05,1828.95,0
2016-11-30,CANFINHOME,EQUITY,1870.0,1871.0,1259.9,1692.75,0
2016-12-31,CANFINHOME,EQUITY,1710.0,1718.0,1388.0,1581.15,0
2017-01-31,CANFINHOME,EQUITY,1605.5,1887.0,1605.5,1860.3,0
2017-02-28,CANFINHOME,EQUITY,1864.85,2056.95,1861.0,1935.15,0
2017-03-31,CANFINHOME,EQUITY,1952.0,2155.9,1895.0,2121.45,0
2017-04-30,CANFINHOME,EQUITY,2338.8,2668.0,2305.65,2617.25,0
2017-05-31,CANFINHOME,EQUITY,2813.9,2899.95,2445.2,2713.75,0
2017-06-30,CANFINHOME,EQUITY,2695.05,3330.0,2678.75,3232.55,0
2017-07-31,CANFINHOME,EQUITY,3227.0,3283.6,3035.0,3088.9,0
2017-08-31,CANFINHOME,EQUITY,3098.95,3104.85,2672.0,2865.55,0
2017-09-30,CANFINHOME,EQUITY,2860.0,2949.45,2540.9,2654.55,0
2017-10-31,CANFINHOME,EQUITY,2687.9,2690.0,478.0,480.15,0
2017-11-30,CANFINHOME,EQUITY,484.8,495.0,430.85,483.55,0
2017-12-31,CANFINHOME,EQUITY,484.0,512.45,450.0,472.85,0
2018-01-31,CANFINHOME,EQUITY,472.0,505.45,437.45,449.15,0
2018-02-28,CANFINHOME,EQUITY,450.0,545.0,402.5,541.45,0
2018-03-31,CANFINHOME,EQUITY,542.0,557.5,479.0,484.5,0
2018-04-30,CANFINHOME,EQUITY,435.0,458.4,414.65,421.5,0
