DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CEATLTD,EQUITY,860.0,880.95,790.1,819.8,0
2015-02-28,CEATLTD,EQUITY,818.0,844.3,696.2,754.45,0
2015-03-31,CEATLTD,EQUITY,751.85,841.0,746.0,804.45,0
2015-04-30,CEATLTD,EQUITY,826.0,951.55,721.8,761.65,0
2015-05-31,CEATLTD,EQUITY,769.0,819.75,705.1,776.45,0
2015-06-30,CEATLTD,EQUITY,778.0,801.95,609.05,662.2,0
2015-07-31,CEATLTD,EQUITY,657.3,917.95,651.0,915.25,0
2015-08-31,CEATLTD,EQUITY,934.3,1185.0,930.0,1097.5,0
2015-09-30,CEATLTD,EQUITY,1080.0,1299.0,1056.15,1281.95,0
2015-10-31,CEATLTD,EQUITY,1278.0,1319.9,1074.3,1081.55,0
2015-11-30,CEATLTD,EQUITY,1084.0,1129.4,958.1,1025.85,0
2015-12-31,CEATLTD,EQUITY,1031.0,1087.9,968.15,1051.4,0
2016-01-31,CEATLTD,EQUITY,1051.0,1093.0,875.1,940.55,0
2016-02-29,CEATLTD,EQUITY,924.0,993.0,852.0,947.8,0
2016-03-31,CEATLTD,EQUITY,1008.75,1144.4,1003.2,1086.65,0
2016-04-30,CEATLTD,EQUITY,1079.4,1186.85,1043.1,1098.6,0
2016-05-31,CEATLTD,EQUITY,1080.0,1120.0,892.4,924.0,0
2016-06-30,CEATLTD,EQUITY,928.0,928.8,730.0,838.85,0
2016-07-31,CEATLTD,EQUITY,838.95,914.4,835.05,863.75,0
2016-08-31,CEATLTD,EQUITY,870.0,930.8,834.65,893.2,0
2016-09-30,CEATLTD,EQUITY,897.0,1332.9,894.5,1326.4,0
2016-10-31,CEATLTD,EQUITY,1346.0,1420.0,1185.2,1214.35,0
2016-11-30,CEATLTD,EQUITY,1212.0,1320.0,1111.0,1280.65,0
2016-12-31,CEATLTD,EQUITY,1292.5,1298.6,1060.1,1163.1,0
2017-01-31,CEATLTD,EQUITY,1163.1,1245.55,1130.8,1168.6,0
2017-02-28,CEATLTD,EQUITY,1170.0,1223.7,1071.05,1180.55,0
2017-03-31,CEATLTD,EQUITY,1185.0,1343.35,1136.05,1324.85,0
2017-04-30,CEATLTD,EQUITY,1335.9,1588.0,1326.65,1525.9,0
2017-05-31,CEATLTD,EQUITY,1657.05,1897.45,1586.45,1683.4,0
2017-06-30,CEATLTD,EQUITY,1690.0,1947.9,1683.05,1795.0,0
2017-07-31,CEATLTD,EQUITY,1795.0,1927.5,1795.0,1877.15,0
2017-08-31,CEATLTD,EQUITY,1875.05,1937.3,1612.3,1705.7,0
2017-09-30,CEATLTD,EQUITY,1706.0,1830.0,1643.0,1714.6,0
2017-10-31,CEATLTD,EQUITY,1738.5,1768.95,1632.0,1671.9,0
2017-11-30,CEATLTD,EQUITY,1684.0,1859.2,1671.55,1784.1,0
2017-12-31,CEATLTD,EQUITY,1796.0,2013.95,1695.6,1950.85,0
2018-01-31,CEATLTD,EQUITY,1950.85,2011.55,1798.55,1820.85,0
2018-02-28,CEATLTD,EQUITY,1826.0,1902.0,1506.05,1602.45,0
