DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CHENNPETRO,EQUITY,70.05,79.55,69.0,77.35,0
2015-02-28,CHENNPETRO,EQUITY,78.25,82.2,71.85,76.6,0
2015-03-31,CHENNPETRO,EQUITY,76.0,82.4,62.25,68.35,0
2015-04-30,CHENNPETRO,EQUITY,68.95,93.5,68.95,91.3,0
2015-05-31,CHENNPETRO,EQUITY,92.75,123.8,84.95,117.35,0
2015-06-30,CHENNPETRO,EQUITY,115.1,187.85,101.5,170.4,0
2015-07-31,CHENNPETRO,EQUITY,170.0,210.0,162.5,191.9,0
2015-08-31,CHENNPETRO,EQUITY,181.7,264.9,172.4,230.9,0
2015-09-30,CHENNPETRO,EQUITY,227.9,236.75,199.0,222.9,0
2015-10-31,CHENNPETRO,EQUITY,225.0,247.25,210.25,214.5,0
2015-11-30,CHENNPETRO,EQUITY,214.8,222.5,166.1,196.4,0
2015-12-31,CHENNPETRO,EQUITY,197.05,214.7,190.55,200.5,0
2016-01-31,CHENNPETRO,EQUITY,200.9,209.5,176.0,186.2,0
2016-02-29,CHENNPETRO,EQUITY,184.8,187.5,137.8,172.3,0
2016-03-31,CHENNPETRO,EQUITY,181.5,208.35,175.0,199.2,0
2016-04-30,CHENNPETRO,EQUITY,200.0,228.25,195.75,213.75,0
2016-05-31,CHENNPETRO,EQUITY,213.5,220.0,189.35,200.4,0
2016-06-30,CHENNPETRO,EQUITY,201.5,204.1,178.0,197.35,0
2016-07-31,CHENNPETRO,EQUITY,198.0,276.5,196.0,266.85,0
2016-08-31,CHENNPETRO,EQUITY,268.65,301.0,255.65,294.5,0
2016-09-30,CHENNPETRO,EQUITY,297.5,309.9,274.15,287.25,0
2016-10-31,CHENNPETRO,EQUITY,290.0,303.25,279.0,281.15,0
2016-11-30,CHENNPETRO,EQUITY,284.0,290.8,230.05,278.85,0
2016-12-31,CHENNPETRO,EQUITY,281.85,286.25,251.55,273.9,0
2017-01-31,CHENNPETRO,EQUITY,271.0,360.95,271.0,329.8,0
2017-02-28,CHENNPETRO,EQUITY,330.5,404.7,326.2,379.85,0
2017-03-31,CHENNPETRO,EQUITY,381.05,387.35,355.45,363.05,0
2017-04-30,CHENNPETRO,EQUITY,375.0,394.35,362.0,380.95,0
2017-05-31,CHENNPETRO,EQUITY,379.0,424.9,359.15,381.0,0
2017-06-30,CHENNPETRO,EQUITY,380.0,396.8,339.95,353.95,0
2017-07-31,CHENNPETRO,EQUITY,352.55,412.0,350.0,387.0,0
2017-08-31,CHENNPETRO,EQUITY,411.0,449.95,363.75,448.35,0
2017-09-30,CHENNPETRO,EQUITY,450.0,462.8,380.9,402.95,0
2017-10-31,CHENNPETRO,EQUITY,410.0,480.5,400.0,468.8,0
2017-11-30,CHENNPETRO,EQUITY,472.0,475.6,410.25,425.0,0
2017-12-31,CHENNPETRO,EQUITY,422.0,441.0,403.1,428.6,0
2018-01-31,CHENNPETRO,EQUITY,428.7,464.4,410.35,413.7,0
2018-02-28,CHENNPETRO,EQUITY,414.0,417.45,349.05,364.7,0
2018-03-31,CHENNPETRO,EQUITY,365.2,371.4,310.5,327.35,0
2018-04-30,CHENNPETRO,EQUITY,343.2,359.4,315.2,321.05,0
2018-05-31,CHENNPETRO,EQUITY,321.85,323.7,262.45,283.4,0
2018-06-30,CHENNPETRO,EQUITY,288.0,318.8,282.9,304.05,0
2018-07-31,CHENNPETRO,EQUITY,304.0,323.5,266.55,315.05,0
2018-08-31,CHENNPETRO,EQUITY,314.5,344.95,300.2,314.65,0
2018-09-30,CHENNPETRO,EQUITY,315.9,316.4,256.35,278.4,0
2018-10-31,CHENNPETRO,EQUITY,279.0,288.0,220.65,256.1,0
