DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CIPLA,EQUITY,626.5,711.9,604.5,695.75,0
2015-02-28,CIPLA,EQUITY,698.0,706.5,626.25,669.85,0
2015-03-31,CIPLA,EQUITY,683.55,742.5,681.35,712.45,0
2015-04-30,CIPLA,EQUITY,714.0,746.1,618.75,636.0,0
2015-05-31,CIPLA,EQUITY,674.6,695.95,631.1,650.45,0
2015-06-30,CIPLA,EQUITY,645.5,672.75,571.25,615.4,0
2015-07-31,CIPLA,EQUITY,619.0,724.0,616.75,709.05,0
2015-08-31,CIPLA,EQUITY,717.95,745.0,605.7,682.15,0
2015-09-30,CIPLA,EQUITY,682.0,688.4,628.5,636.05,0
2015-10-31,CIPLA,EQUITY,643.9,704.9,641.35,690.45,0
2015-11-30,CIPLA,EQUITY,688.95,688.95,613.15,643.65,0
2015-12-31,CIPLA,EQUITY,645.5,661.4,622.0,649.75,0
2016-01-31,CIPLA,EQUITY,653.2,658.45,572.3,585.1,0
2016-02-29,CIPLA,EQUITY,601.0,606.05,505.0,514.15,0
2016-03-31,CIPLA,EQUITY,523.5,549.7,494.55,511.95,0
2016-04-30,CIPLA,EQUITY,513.8,544.3,497.05,537.0,0
2016-05-31,CIPLA,EQUITY,536.95,544.6,457.45,472.65,0
2016-06-30,CIPLA,EQUITY,474.7,506.8,459.6,501.0,0
2016-07-31,CIPLA,EQUITY,502.0,535.5,499.85,527.4,0
2016-08-31,CIPLA,EQUITY,528.8,587.5,510.2,572.95,0
2016-09-30,CIPLA,EQUITY,580.3,617.8,562.25,580.05,0
2016-10-31,CIPLA,EQUITY,584.7,600.5,570.0,575.15,0
2016-11-30,CIPLA,EQUITY,579.45,579.45,528.6,566.6,0
2016-12-31,CIPLA,EQUITY,567.0,589.15,548.1,568.8,0
2017-01-31,CIPLA,EQUITY,569.75,593.4,562.0,575.35,0
2017-02-28,CIPLA,EQUITY,573.0,621.25,566.3,583.7,0
2017-03-31,CIPLA,EQUITY,585.7,605.9,582.2,592.95,0
2017-04-30,CIPLA,EQUITY,600.0,603.9,545.4,557.45,0
2017-05-31,CIPLA,EQUITY,557.6,572.45,480.2,516.35,0
2017-06-30,CIPLA,EQUITY,519.7,558.9,513.05,555.6,0
2017-07-31,CIPLA,EQUITY,559.0,579.4,536.05,560.1,0
2017-08-31,CIPLA,EQUITY,562.85,594.0,525.45,571.9,0
2017-09-30,CIPLA,EQUITY,573.0,600.0,549.15,586.1,0
