DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,COLPAL,EQUITY,1786.0,1976.9,1786.0,1875.55,0
2015-02-28,COLPAL,EQUITY,1880.0,1995.0,1830.0,1921.1,0
2015-03-31,COLPAL,EQUITY,1955.4,2139.0,1925.0,2014.3,0
2015-04-30,COLPAL,EQUITY,2009.0,2198.0,1910.0,1988.2,0
2015-05-31,COLPAL,EQUITY,2031.0,2113.45,1950.05,2003.8,0
2015-06-30,COLPAL,EQUITY,1992.0,2048.8,1861.0,2039.75,0
2015-07-31,COLPAL,EQUITY,2030.25,2100.0,1948.0,1989.85,0
2015-08-31,COLPAL,EQUITY,1989.5,2058.2,1852.0,1954.8,0
2015-09-30,COLPAL,EQUITY,1930.0,2004.25,927.0,961.5,0
2015-10-31,COLPAL,EQUITY,970.0,994.9,895.1,955.35,0
2015-11-30,COLPAL,EQUITY,963.9,974.9,908.9,970.85,0
2015-12-31,COLPAL,EQUITY,974.0,1009.45,960.0,972.85,0
2016-01-31,COLPAL,EQUITY,973.0,982.45,846.55,857.95,0
2016-02-29,COLPAL,EQUITY,862.15,862.75,808.2,820.4,0
2016-03-31,COLPAL,EQUITY,830.8,858.7,790.05,830.85,0
2016-04-30,COLPAL,EQUITY,829.85,867.35,810.95,840.85,0
2016-05-31,COLPAL,EQUITY,842.0,866.35,787.2,861.35,0
2016-06-30,COLPAL,EQUITY,863.0,923.9,847.5,918.5,0
2016-07-31,COLPAL,EQUITY,921.05,971.7,910.7,933.35,0
2016-08-31,COLPAL,EQUITY,935.75,1033.0,930.55,948.35,0
2016-09-30,COLPAL,EQUITY,950.3,998.7,946.25,970.65,0
2016-10-31,COLPAL,EQUITY,971.75,993.8,908.15,973.15,0
2016-11-30,COLPAL,EQUITY,972.0,1031.2,880.0,933.7,0
2016-12-31,COLPAL,EQUITY,936.0,946.55,863.05,904.6,0
2017-01-31,COLPAL,EQUITY,905.7,924.0,861.3,887.65,0
2017-02-28,COLPAL,EQUITY,887.0,928.8,878.0,900.25,0
2017-03-31,COLPAL,EQUITY,900.5,1016.8,888.6,995.5,0
2017-04-30,COLPAL,EQUITY,1007.75,1047.8,980.0,1035.75,0
2017-05-31,COLPAL,EQUITY,1033.0,1049.0,966.75,1014.55,0
2017-06-30,COLPAL,EQUITY,1015.7,1123.7,1009.15,1110.85,0
2017-07-31,COLPAL,EQUITY,1116.0,1138.9,1059.3,1079.55,0
2017-08-31,COLPAL,EQUITY,1077.95,1119.0,1027.5,1112.55,0
2017-09-30,COLPAL,EQUITY,1115.0,1178.35,1050.0,1066.75,0
2017-10-31,COLPAL,EQUITY,1070.0,1115.85,1026.0,1064.65,0
2017-11-30,COLPAL,EQUITY,1057.5,1067.0,1015.1,1036.65,0
2017-12-31,COLPAL,EQUITY,1037.95,1103.5,1022.0,1100.0,0
2018-01-31,COLPAL,EQUITY,1095.5,1174.0,1084.85,1121.35,0
2018-02-28,COLPAL,EQUITY,1126.0,1139.95,1029.0,1041.1,0
2018-03-31,COLPAL,EQUITY,1043.95,1070.0,1020.9,1056.9,0
2018-04-30,COLPAL,EQUITY,1086.0,1133.0,1077.05,1123.2,0
2018-05-31,COLPAL,EQUITY,1132.8,1281.7,1084.55,1259.7,0
2018-06-30,COLPAL,EQUITY,1248.0,1257.0,1147.75,1184.85,0
2018-07-31,COLPAL,EQUITY,1183.0,1187.3,1067.55,1145.25,0
2018-08-31,COLPAL,EQUITY,1145.25,1195.05,1112.05,1169.0,0
2018-09-30,COLPAL,EQUITY,1173.25,1198.4,1055.4,1081.45,0
2018-10-31,COLPAL,EQUITY,1081.55,1150.0,1018.3,1117.5,0
2018-11-30,COLPAL,EQUITY,1120.0,1263.65,1088.0,1219.65,0
2018-12-31,COLPAL,EQUITY,1230.0,1354.8,1190.0,1343.55,0
2019-01-31,COLPAL,EQUITY,1349.8,1350.0,1254.05,1280.1,0
2019-02-28,COLPAL,EQUITY,1286.45,1317.45,1212.0,1256.45,0
2019-03-31,COLPAL,EQUITY,1256.5,1308.5,1227.2,1258.15,0
2019-04-30,COLPAL,EQUITY,1266.0,1281.4,1189.75,1208.15,0
2019-05-31,COLPAL,EQUITY,1209.0,1223.95,1103.05,1152.35,0
2019-06-30,COLPAL,EQUITY,1152.4,1189.9,1121.25,1127.7,0
2019-07-31,COLPAL,EQUITY,1130.0,1221.7,1120.8,1189.75,0
2019-08-31,COLPAL,EQUITY,1180.25,1278.65,1164.3,1274.55,0
2019-09-30,COLPAL,EQUITY,1245.0,1589.55,1224.8,1503.95,0
2019-10-31,COLPAL,EQUITY,1500.0,1586.7,1434.55,1549.2,0
2019-11-30,COLPAL,EQUITY,1558.8,1611.75,1453.85,1474.2,0
2019-12-31,COLPAL,EQUITY,1470.0,1499.65,1440.0,1462.9,0
2020-01-31,COLPAL,EQUITY,1455.65,1525.0,1324.25,1328.55,0
2020-02-29,COLPAL,EQUITY,1314.5,1393.25,1280.5,1285.4,0
2020-03-31,COLPAL,EQUITY,1300.2,1334.5,1065.0,1252.7,0
2020-04-30,COLPAL,EQUITY,1237.0,1565.8,1211.05,1459.1,0
2020-05-31,COLPAL,EQUITY,1405.0,1428.15,1257.05,1391.5,0
2020-06-30,COLPAL,EQUITY,1384.0,1425.0,1318.8,1406.7,0
2020-07-31,COLPAL,EQUITY,1398.0,1473.95,1361.5,1423.3,0
2020-08-31,COLPAL,EQUITY,1421.55,1467.45,1353.0,1363.25,0
2020-09-30,COLPAL,EQUITY,1370.0,1460.0,1322.15,1433.5,0
2020-10-31,COLPAL,EQUITY,1445.0,1559.8,1405.6,1516.7,0
2020-11-30,COLPAL,EQUITY,1516.7,1578.9,1464.75,1513.7,0
2020-12-31,COLPAL,EQUITY,1514.0,1630.0,1500.05,1565.25,0
2021-01-31,COLPAL,EQUITY,1565.0,1676.0,1495.55,1603.3,0
2021-02-28,COLPAL,EQUITY,1615.0,1650.8,1533.0,1581.2,0
2021-03-31,COLPAL,EQUITY,1585.1,1659.15,1519.1,1559.35,0
2021-04-30,COLPAL,EQUITY,1555.35,1592.8,1468.0,1481.9,0
2021-05-31,COLPAL,EQUITY,1478.0,1794.85,1470.55,1720.45,0
2021-06-30,COLPAL,EQUITY,1720.45,1739.95,1658.1,1685.8,0
2021-07-31,COLPAL,EQUITY,1702.0,1823.4,1670.0,1704.4,0
2021-08-31,COLPAL,EQUITY,1705.0,1716.0,1626.3,1693.3,0
2021-09-30,COLPAL,EQUITY,1709.0,1753.4,1660.15,1669.5,0
2021-10-31,COLPAL,EQUITY,1681.9,1724.1,1501.0,1542.6,0
2021-11-30,COLPAL,EQUITY,1530.0,1555.0,1414.0,1434.35,0
2021-12-31,COLPAL,EQUITY,1445.95,1484.9,1392.85,1481.3,0
2022-01-31,COLPAL,EQUITY,1473.95,1489.5,1375.6,1424.5,0
2022-02-28,COLPAL,EQUITY,1434.0,1473.75,1390.0,1450.4,0
2022-03-31,COLPAL,EQUITY,1435.0,1559.95,1388.0,1542.25,0
2022-04-30,COLPAL,EQUITY,1540.0,1667.0,1486.0,1654.55,0
2022-05-31,COLPAL,EQUITY,1647.1,1662.0,1542.15,1627.2,0
2022-06-30,COLPAL,EQUITY,1628.2,1649.7,1470.0,1486.85,0
2022-07-31,COLPAL,EQUITY,1488.8,1622.8,1484.35,1586.55,0
2022-08-31,COLPAL,EQUITY,1575.0,1679.9,1547.05,1674.95,0
2022-09-30,COLPAL,EQUITY,1683.0,1695.95,1553.0,1629.4,0
2022-10-31,COLPAL,EQUITY,1626.55,1646.9,1532.0,1631.75,0
2022-11-30,COLPAL,EQUITY,1638.0,1646.0,1555.0,1632.15,0
2022-12-31,COLPAL,EQUITY,1643.0,1669.95,1532.05,1536.3,0
2023-01-31,COLPAL,EQUITY,1538.0,1543.1,1434.6,1453.05,0
2023-02-28,COLPAL,EQUITY,1460.0,1482.0,1436.1,1473.5,0
2023-03-31,COLPAL,EQUITY,1479.0,1528.9,1472.25,1507.35,0
2023-04-30,COLPAL,EQUITY,1518.0,1598.0,1508.2,1595.1,0
2023-05-31,COLPAL,EQUITY,1581.7,1714.45,1560.0,1591.45,0
2023-06-30,COLPAL,EQUITY,1601.95,1705.0,1593.35,1688.1,0
2023-07-31,COLPAL,EQUITY,1790.0,2062.1,1752.25,2019.4,0
2023-08-31,COLPAL,EQUITY,2006.35,2023.15,1909.0,1942.05,0
2023-09-30,COLPAL,EQUITY,1942.05,2096.0,1914.0,2005.55,0
2023-10-31,COLPAL,EQUITY,1997.0,2129.4,1969.15,2113.8,0
2023-11-30,COLPAL,EQUITY,2113.8,2222.0,2084.6,2196.2,0
2023-12-31,COLPAL,EQUITY,2194.55,2544.0,2187.3,2529.7,0
2024-01-31,COLPAL,EQUITY,2520.0,2580.9,2378.9,2569.1,0
2024-02-29,COLPAL,EQUITY,2569.1,2621.7,2476.25,2526.75,0
2024-03-31,COLPAL,EQUITY,2534.0,2759.5,2505.0,2710.35,0
2024-04-30,COLPAL,EQUITY,2726.6,2873.7,2585.65,2824.85,0
2024-05-31,COLPAL,EQUITY,2807.4,2915.9,2625.0,2657.35,0
2024-06-30,COLPAL,EQUITY,2701.05,3069.05,2660.4,2843.15,0
2024-07-31,COLPAL,EQUITY,2888.0,3764.55,2850.0,3412.1,0
2024-08-31,COLPAL,EQUITY,2920.5,3694.9,2906.45,3640.35,0
2024-09-30,COLPAL,EQUITY,3656.0,3890.0,2777.5,3804.5,0
2024-10-31,COLPAL,EQUITY,2995.55,3752.85,2970.05,3062.5,0
2024-11-30,COLPAL,EQUITY,3058.1,3115.0,2668.85,2889.75,0
2024-12-31,COLPAL,EQUITY,3661.0,3675.35,2674.75,2680.65,0
2025-01-31,COLPAL,EQUITY,2693.75,2975.0,2207.3,2821.55,0
2025-02-28,COLPAL,EQUITY,2350.0,2579.8,2136.0,2464.6,0
2025-03-31,COLPAL,EQUITY,2464.6,2479.9,2098.4,2389.8,0
2025-04-30,COLPAL,EQUITY,2777.9,2777.9,2180.0,2587.4,0
2025-05-31,COLPAL,EQUITY,2718.85,2747.4,2125.5,2455.9,0
2025-06-30,COLPAL,EQUITY,2703.5,2713.95,2166.6,2407.1,0
2025-07-31,COLPAL,EQUITY,2753.45,2788.0,2155.1,2245.3,0
2025-08-31,COLPAL,EQUITY,2745.45,2803.45,2133.7,2331.8,0
2025-09-30,COLPAL,EQUITY,2798.95,2939.5,2137.0,2222.4,0
2025-10-31,COLPAL,EQUITY,2879.05,2880.0,2195.1,2243.0,0
2025-11-30,COLPAL,EQUITY,2430.05,2523.95,2135.0,2168.6,0
2025-12-31,COLPAL,EQUITY,2550.5,2625.4,2051.0,2075.7,0
2026-01-31,COLPAL,EQUITY,2086.1,2209.9,2029.4,2114.2,0
2026-02-28,COLPAL,EQUITY,2199.9,2301.6,2185.7,2254.5,0
2026-03-31,COLPAL,EQUITY,2198.8,2239.9,1838.1,1877.2,0
