DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CUB,EQUITY,93.65,99.0,92.5,93.35,0
2015-02-28,CUB,EQUITY,93.5,101.4,92.2,99.7,0
2015-03-31,CUB,EQUITY,99.5,101.8,93.55,96.9,0
2015-04-30,CUB,EQUITY,99.8,99.8,91.75,94.4,0
2015-05-31,CUB,EQUITY,95.1,104.0,94.4,102.75,0
2015-06-30,CUB,EQUITY,102.25,105.55,96.65,100.95,0
2015-07-31,CUB,EQUITY,101.1,102.95,97.7,101.1,0
2015-08-31,CUB,EQUITY,100.25,101.8,90.0,95.85,0
2015-09-30,CUB,EQUITY,94.15,96.4,85.35,91.95,0
2015-10-31,CUB,EQUITY,92.0,92.2,85.5,89.9,0
2015-11-30,CUB,EQUITY,89.5,90.5,84.5,85.75,0
2015-12-31,CUB,EQUITY,85.95,93.9,85.05,92.15,0
2016-01-31,CUB,EQUITY,92.05,92.8,77.8,80.0,0
2016-02-29,CUB,EQUITY,83.75,89.4,79.9,84.4,0
2016-03-31,CUB,EQUITY,88.05,95.2,85.05,94.8,0
2016-04-30,CUB,EQUITY,94.3,99.0,92.85,93.9,0
2016-05-31,CUB,EQUITY,93.55,108.0,93.2,106.55,0
2016-06-30,CUB,EQUITY,107.0,119.4,103.45,116.4,0
2016-07-31,CUB,EQUITY,117.45,131.0,117.1,129.85,0
2016-08-31,CUB,EQUITY,130.85,136.4,123.3,131.7,0
2016-09-30,CUB,EQUITY,132.35,147.9,128.2,132.1,0
2016-10-31,CUB,EQUITY,131.6,150.0,131.55,149.15,0
2016-11-30,CUB,EQUITY,149.1,153.0,128.0,134.7,0
2016-12-31,CUB,EQUITY,135.7,140.9,127.1,129.15,0
2017-01-31,CUB,EQUITY,130.15,155.0,128.2,150.05,0
2017-02-28,CUB,EQUITY,149.9,168.5,144.0,144.3,0
2017-03-31,CUB,EQUITY,145.5,152.65,137.05,151.6,0
2017-04-30,CUB,EQUITY,152.9,165.8,146.95,164.8,0
2017-05-31,CUB,EQUITY,167.25,184.0,162.05,171.15,0
2017-06-30,CUB,EQUITY,169.6,204.65,169.5,176.85,0
2017-07-31,CUB,EQUITY,178.45,187.6,157.5,176.35,0
2017-08-31,CUB,EQUITY,173.55,176.75,149.0,158.9,0
2017-09-30,CUB,EQUITY,158.6,174.2,147.0,162.3,0
2017-10-31,CUB,EQUITY,162.3,166.45,155.6,161.55,0
2017-11-30,CUB,EQUITY,162.8,168.5,159.75,167.45,0
2017-12-31,CUB,EQUITY,168.0,182.5,167.45,179.8,0
2018-01-31,CUB,EQUITY,180.5,182.0,158.0,158.7,0
2018-02-28,CUB,EQUITY,159.0,177.25,147.55,174.8,0
2018-03-31,CUB,EQUITY,174.95,184.95,165.25,172.45,0
2018-04-30,CUB,EQUITY,178.0,189.55,174.0,183.85,0
2018-05-31,CUB,EQUITY,181.65,203.35,176.0,196.35,0
2018-06-30,CUB,EQUITY,191.0,193.85,182.0,184.7,0
2018-07-31,CUB,EQUITY,185.4,190.0,165.2,171.9,0
2018-08-31,CUB,EQUITY,172.75,207.0,169.5,202.55,0
2018-09-30,CUB,EQUITY,203.4,203.4,162.05,177.75,0
2018-10-31,CUB,EQUITY,176.05,178.3,157.1,170.1,0
2018-11-30,CUB,EQUITY,169.45,179.6,163.0,174.35,0
2018-12-31,CUB,EQUITY,174.9,196.3,168.05,195.05,0
2019-01-31,CUB,EQUITY,195.0,197.7,185.1,191.0,0
2019-02-28,CUB,EQUITY,192.6,192.6,175.5,183.45,0
2019-03-31,CUB,EQUITY,182.7,206.0,181.05,204.85,0
2019-04-30,CUB,EQUITY,206.0,208.45,196.2,202.8,0
2019-05-31,CUB,EQUITY,202.7,218.5,193.2,212.0,0
2019-06-30,CUB,EQUITY,211.95,220.5,205.85,218.05,0
2019-07-31,CUB,EQUITY,218.5,219.15,190.5,193.7,0
2019-08-31,CUB,EQUITY,192.5,204.45,181.65,203.05,0
2019-09-30,CUB,EQUITY,195.0,227.0,191.7,218.65,0
2019-10-31,CUB,EQUITY,217.05,223.2,205.1,211.9,0
2019-11-30,CUB,EQUITY,210.0,227.0,203.2,224.8,0
2019-12-31,CUB,EQUITY,224.0,237.0,217.0,233.95,0
2020-01-31,CUB,EQUITY,235.4,249.35,226.0,231.25,0
