DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,CYIENT,EQUITY,515.0,591.95,509.0,532.5,0
2015-02-28,CYIENT,EQUITY,532.5,560.05,515.0,549.95,0
2015-03-31,CYIENT,EQUITY,551.0,575.2,486.6,501.9,0
2015-04-30,CYIENT,EQUITY,514.1,543.2,458.0,481.2,0
2015-05-31,CYIENT,EQUITY,482.0,569.85,460.05,558.45,0
2015-06-30,CYIENT,EQUITY,550.0,615.0,515.05,578.1,0
2015-07-31,CYIENT,EQUITY,570.05,575.45,496.2,545.1,0
2015-08-31,CYIENT,EQUITY,551.95,604.75,526.0,581.95,0
2015-09-30,CYIENT,EQUITY,580.6,614.95,536.65,558.65,0
2015-10-31,CYIENT,EQUITY,556.4,642.75,525.15,536.95,0
2015-11-30,CYIENT,EQUITY,539.95,539.95,480.0,484.0,0
2015-12-31,CYIENT,EQUITY,483.0,501.9,462.0,479.75,0
2016-01-31,CYIENT,EQUITY,479.95,548.0,406.0,438.2,0
2016-02-29,CYIENT,EQUITY,440.0,440.0,369.25,422.15,0
2016-03-31,CYIENT,EQUITY,432.0,440.0,396.0,426.7,0
2016-04-30,CYIENT,EQUITY,429.95,517.5,429.9,459.5,0
2016-05-31,CYIENT,EQUITY,461.0,490.0,454.75,482.95,0
2016-06-30,CYIENT,EQUITY,476.15,509.0,468.1,490.1,0
2016-07-31,CYIENT,EQUITY,487.05,517.4,468.35,493.7,0
2016-08-31,CYIENT,EQUITY,499.4,538.8,490.15,498.4,0
2016-09-30,CYIENT,EQUITY,481.15,498.9,454.85,470.6,0
2016-10-31,CYIENT,EQUITY,470.0,554.0,463.0,489.55,0
2016-11-30,CYIENT,EQUITY,503.95,512.3,440.0,496.55,0
2016-12-31,CYIENT,EQUITY,494.85,517.35,470.0,504.9,0
2017-01-31,CYIENT,EQUITY,504.9,542.95,459.0,460.95,0
2017-02-28,CYIENT,EQUITY,459.0,499.0,440.2,482.75,0
2017-03-31,CYIENT,EQUITY,482.0,488.0,460.5,467.5,0
2017-04-30,CYIENT,EQUITY,494.0,559.0,468.1,547.65,0
2017-05-31,CYIENT,EQUITY,545.0,555.45,475.2,478.0,0
2017-06-30,CYIENT,EQUITY,481.05,545.0,481.05,507.7,0
2017-07-31,CYIENT,EQUITY,507.0,548.1,503.25,524.85,0
2017-08-31,CYIENT,EQUITY,525.8,538.4,485.1,531.0,0
2017-09-30,CYIENT,EQUITY,530.0,539.0,474.0,510.85,0
2017-10-31,CYIENT,EQUITY,519.0,582.0,502.5,540.55,0
2017-11-30,CYIENT,EQUITY,544.6,597.7,522.25,575.75,0
2017-12-31,CYIENT,EQUITY,578.0,605.75,536.6,583.25,0
2018-01-31,CYIENT,EQUITY,583.35,686.0,571.75,641.85,0
2018-02-28,CYIENT,EQUITY,641.85,651.9,592.65,636.55,0
2018-03-31,CYIENT,EQUITY,636.0,699.0,617.05,694.85,0
2018-04-30,CYIENT,EQUITY,680.75,780.0,621.15,760.9,0
2018-05-31,CYIENT,EQUITY,763.05,887.0,731.1,736.8,0
2018-06-30,CYIENT,EQUITY,743.0,775.0,659.8,766.5,0
2018-07-31,CYIENT,EQUITY,768.0,777.7,670.65,704.35,0
2018-08-31,CYIENT,EQUITY,703.95,748.0,646.0,728.9,0
2018-09-30,CYIENT,EQUITY,736.8,819.5,690.65,745.2,0
2018-10-31,CYIENT,EQUITY,749.9,769.85,602.2,621.25,0
