DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-02-28,DALBHARAT,EQUITY,1030.0,1219.7,1030.0,1153.2,0
2019-03-31,DALBHARAT,EQUITY,1150.0,1204.8,966.05,989.5,0
2019-04-30,DALBHARAT,EQUITY,999.95,1179.15,984.65,1148.35,0
2019-05-31,DALBHARAT,EQUITY,1114.8,1219.9,1021.0,1181.7,0
2019-06-30,DALBHARAT,EQUITY,1182.0,1200.0,1035.45,1047.85,0
2019-07-31,DALBHARAT,EQUITY,1045.0,1070.0,899.55,921.55,0
2019-08-31,DALBHARAT,EQUITY,921.0,1025.0,896.05,900.15,0
2019-09-30,DALBHARAT,EQUITY,897.15,904.9,750.1,822.6,0
2019-10-31,DALBHARAT,EQUITY,820.3,865.25,775.9,809.8,0
2019-11-30,DALBHARAT,EQUITY,810.15,897.7,807.0,880.9,0
2019-12-31,DALBHARAT,EQUITY,885.9,891.05,771.7,800.3,0
2020-01-31,DALBHARAT,EQUITY,810.0,919.0,780.0,873.55,0
2020-02-29,DALBHARAT,EQUITY,850.0,908.15,765.0,782.1,0
2020-03-31,DALBHARAT,EQUITY,799.0,808.85,402.7,490.6,0
2020-04-30,DALBHARAT,EQUITY,460.05,569.9,415.55,521.65,0
2020-05-31,DALBHARAT,EQUITY,519.7,577.5,474.8,554.85,0
2020-06-30,DALBHARAT,EQUITY,565.0,720.0,549.5,673.3,0
2020-07-31,DALBHARAT,EQUITY,677.85,774.75,670.9,760.65,0
2020-08-31,DALBHARAT,EQUITY,754.0,825.0,732.7,749.75,0
2020-09-30,DALBHARAT,EQUITY,753.5,807.8,652.3,781.45,0
2020-10-31,DALBHARAT,EQUITY,781.45,874.4,740.0,842.85,0
2020-11-30,DALBHARAT,EQUITY,845.0,1111.0,825.2,1101.7,0
2020-12-31,DALBHARAT,EQUITY,1156.0,1189.75,945.0,1079.75,0
2021-01-31,DALBHARAT,EQUITY,1083.9,1219.0,1061.0,1154.95,0
2021-02-28,DALBHARAT,EQUITY,1230.0,1574.0,1204.0,1436.15,0
2021-03-31,DALBHARAT,EQUITY,1489.9,1689.75,1441.0,1589.0,0
2021-04-30,DALBHARAT,EQUITY,1598.0,1600.0,1405.1,1506.35,0
2021-05-31,DALBHARAT,EQUITY,1534.0,1911.0,1502.95,1765.0,0
2021-06-30,DALBHARAT,EQUITY,1778.4,1944.0,1728.0,1891.15,0
2021-07-31,DALBHARAT,EQUITY,1893.0,2375.0,1877.1,2139.1,0
2021-08-31,DALBHARAT,EQUITY,2156.6,2214.4,1836.4,2199.8,0
2021-09-30,DALBHARAT,EQUITY,2157.8,2548.4,1995.25,2105.75,0
2021-10-31,DALBHARAT,EQUITY,2110.0,2145.0,1842.0,2012.25,0
2021-11-30,DALBHARAT,EQUITY,2010.8,2199.0,1801.0,1873.4,0
2021-12-31,DALBHARAT,EQUITY,1874.85,1970.0,1756.15,1847.9,0
2022-01-31,DALBHARAT,EQUITY,1888.0,2104.15,1666.0,1781.8,0
2022-02-28,DALBHARAT,EQUITY,1900.9,2015.0,1493.15,1567.0,0
2022-03-31,DALBHARAT,EQUITY,1560.0,1560.35,1278.15,1495.6,0
2022-04-30,DALBHARAT,EQUITY,1502.0,1640.5,1485.0,1519.15,0
2022-05-31,DALBHARAT,EQUITY,1502.0,1509.95,1253.6,1362.5,0
2022-06-30,DALBHARAT,EQUITY,1372.9,1410.0,1212.5,1283.65,0
2022-07-31,DALBHARAT,EQUITY,1280.0,1618.95,1272.5,1599.65,0
2022-08-31,DALBHARAT,EQUITY,1595.1,1706.05,1504.25,1536.35,0
2022-09-30,DALBHARAT,EQUITY,1535.0,1794.7,1495.65,1598.0,0
2022-10-31,DALBHARAT,EQUITY,1595.0,1632.0,1476.05,1600.95,0
2022-11-30,DALBHARAT,EQUITY,1615.0,1826.0,1575.25,1820.7,0
2022-12-31,DALBHARAT,EQUITY,1828.0,1946.85,1753.7,1862.8,0
2023-01-31,DALBHARAT,EQUITY,1862.8,1918.35,1672.0,1767.75,0
2023-02-28,DALBHARAT,EQUITY,1771.05,1989.8,1734.8,1833.9,0
2023-03-31,DALBHARAT,EQUITY,1843.1,1979.0,1706.65,1968.25,0
2023-04-30,DALBHARAT,EQUITY,1971.7,2078.0,1901.5,1996.2,0
2023-05-31,DALBHARAT,EQUITY,2001.9,2160.0,1990.05,2129.95,0
2023-06-30,DALBHARAT,EQUITY,2130.0,2288.8,2077.1,2166.2,0
2023-07-31,DALBHARAT,EQUITY,2186.1,2199.0,1880.65,1953.8,0
2023-08-31,DALBHARAT,EQUITY,1982.0,2118.0,1873.3,2085.05,0
2023-09-30,DALBHARAT,EQUITY,2069.85,2424.75,2069.85,2404.35,0
2023-10-31,DALBHARAT,EQUITY,2404.35,2409.55,1995.05,2104.25,0
2023-11-30,DALBHARAT,EQUITY,2119.4,2260.45,2065.05,2217.55,0
2023-12-31,DALBHARAT,EQUITY,2245.35,2430.7,2137.2,2275.2,0
2024-01-31,DALBHARAT,EQUITY,2307.5,2382.0,2071.05,2279.8,0
2024-02-29,DALBHARAT,EQUITY,2300.0,2300.0,1986.3,2024.9,0
2024-03-31,DALBHARAT,EQUITY,2025.0,2103.15,1803.15,1942.15,0
2024-04-30,DALBHARAT,EQUITY,1942.05,2058.9,1767.05,1838.15,0
2024-05-31,DALBHARAT,EQUITY,1841.15,1867.4,1698.9,1775.7,0
