DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,DLF,EQUITY,137.0,175.0,131.6,169.9,0
2015-02-28,DLF,EQUITY,171.0,174.4,145.05,155.95,0
2015-03-31,DLF,EQUITY,156.95,167.4,139.1,158.25,0
2015-04-30,DLF,EQUITY,159.65,169.25,122.1,136.45,0
2015-05-31,DLF,EQUITY,139.8,141.5,115.1,117.75,0
2015-06-30,DLF,EQUITY,118.95,122.95,105.7,116.9,0
2015-07-31,DLF,EQUITY,116.8,120.4,94.2,115.05,0
2015-08-31,DLF,EQUITY,115.2,136.7,93.35,110.9,0
2015-09-30,DLF,EQUITY,108.0,138.75,104.1,137.35,0
2015-10-31,DLF,EQUITY,134.5,142.9,115.25,116.5,0
2015-11-30,DLF,EQUITY,116.5,123.35,101.8,114.6,0
2015-12-31,DLF,EQUITY,116.2,120.45,105.4,116.0,0
2016-01-31,DLF,EQUITY,115.95,122.75,90.0,96.35,0
2016-02-29,DLF,EQUITY,96.5,101.15,72.35,88.95,0
2016-03-31,DLF,EQUITY,101.0,116.55,99.25,114.75,0
2016-04-30,DLF,EQUITY,114.5,130.15,112.65,129.5,0
2016-05-31,DLF,EQUITY,128.95,133.9,117.3,129.9,0
2016-06-30,DLF,EQUITY,129.5,150.55,126.65,149.95,0
2016-07-31,DLF,EQUITY,150.9,165.6,149.2,161.3,0
2016-08-31,DLF,EQUITY,162.8,169.6,152.6,154.85,0
2016-09-30,DLF,EQUITY,150.95,159.4,138.1,146.15,0
2016-10-31,DLF,EQUITY,148.0,160.3,144.85,150.5,0
2016-11-30,DLF,EQUITY,150.3,151.9,104.15,115.0,0
2016-12-31,DLF,EQUITY,115.2,118.45,101.0,111.4,0
2017-01-31,DLF,EQUITY,116.0,140.0,113.95,134.95,0
2017-02-28,DLF,EQUITY,136.7,152.4,134.3,150.45,0
2017-03-31,DLF,EQUITY,154.9,155.4,139.15,148.65,0
2017-04-30,DLF,EQUITY,147.5,197.45,146.9,186.0,0
2017-05-31,DLF,EQUITY,190.6,216.0,170.2,179.55,0
2017-06-30,DLF,EQUITY,179.95,203.8,171.7,190.7,0
2017-07-31,DLF,EQUITY,191.0,207.2,189.75,193.35,0
2017-08-31,DLF,EQUITY,194.25,196.3,153.0,185.05,0
2017-09-30,DLF,EQUITY,184.55,197.55,158.2,164.3,0
2017-10-31,DLF,EQUITY,168.2,202.7,166.0,201.35,0
2017-11-30,DLF,EQUITY,203.0,234.9,194.15,233.25,0
2017-12-31,DLF,EQUITY,237.0,266.8,220.95,259.35,0
2018-01-31,DLF,EQUITY,259.45,273.85,245.55,250.1,0
2018-02-28,DLF,EQUITY,251.7,253.7,204.5,226.25,0
2018-03-31,DLF,EQUITY,225.55,229.7,198.8,201.25,0
2018-04-30,DLF,EQUITY,204.6,226.15,197.75,223.1,0
2018-05-31,DLF,EQUITY,222.8,224.1,183.25,209.9,0
2018-06-30,DLF,EQUITY,207.95,208.5,183.8,188.8,0
2018-07-31,DLF,EQUITY,189.0,198.85,168.0,196.3,0
2018-08-31,DLF,EQUITY,195.9,223.5,185.8,220.8,0
2018-09-30,DLF,EQUITY,213.1,216.55,159.6,162.55,0
2018-10-31,DLF,EQUITY,159.0,166.5,142.0,164.75,0
2018-11-30,DLF,EQUITY,165.45,183.5,161.75,178.1,0
2018-12-31,DLF,EQUITY,179.0,193.7,163.0,177.55,0
2019-01-31,DLF,EQUITY,177.1,187.75,143.1,164.85,0
2019-02-28,DLF,EQUITY,164.95,181.05,154.4,164.7,0
2019-03-31,DLF,EQUITY,166.0,206.4,165.2,202.45,0
2019-04-30,DLF,EQUITY,203.0,204.8,167.05,172.75,0
2019-05-31,DLF,EQUITY,171.05,200.2,158.15,191.2,0
2019-06-30,DLF,EQUITY,191.0,197.15,170.0,188.55,0
2019-07-31,DLF,EQUITY,189.7,196.6,169.75,178.15,0
2019-08-31,DLF,EQUITY,176.95,181.25,136.7,168.15,0
2019-09-30,DLF,EQUITY,163.3,174.15,151.4,155.6,0
2019-10-31,DLF,EQUITY,156.0,190.6,132.55,183.3,0
2019-11-30,DLF,EQUITY,184.4,226.6,182.3,219.7,0
2019-12-31,DLF,EQUITY,219.0,235.15,214.6,230.9,0
