DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,ESCORTS,EQUITY,127.7,139.05,120.15,129.15,0
2015-02-28,ESCORTS,EQUITY,128.05,137.8,112.2,134.2,0
2015-03-31,ESCORTS,EQUITY,135.4,145.55,124.4,127.35,0
2015-04-30,ESCORTS,EQUITY,127.2,143.0,120.0,123.75,0
2015-05-31,ESCORTS,EQUITY,124.8,127.3,110.0,111.35,0
2015-06-30,ESCORTS,EQUITY,112.35,125.0,101.4,120.2,0
2015-07-31,ESCORTS,EQUITY,120.4,150.9,119.9,141.45,0
2015-08-31,ESCORTS,EQUITY,139.95,180.5,130.7,174.75,0
2015-09-30,ESCORTS,EQUITY,172.0,176.5,148.55,152.75,0
2015-10-31,ESCORTS,EQUITY,155.9,188.2,155.05,176.2,0
2015-11-30,ESCORTS,EQUITY,176.7,180.5,148.8,174.7,0
2015-12-31,ESCORTS,EQUITY,175.1,176.4,150.7,171.9,0
2016-01-31,ESCORTS,EQUITY,171.9,173.8,124.8,135.15,0
2016-02-29,ESCORTS,EQUITY,136.0,137.9,112.8,125.7,0
2016-03-31,ESCORTS,EQUITY,131.8,144.3,127.1,139.25,0
2016-04-30,ESCORTS,EQUITY,138.15,175.85,137.7,169.25,0
2016-05-31,ESCORTS,EQUITY,168.85,181.7,162.6,174.7,0
2016-06-30,ESCORTS,EQUITY,176.0,225.5,168.2,219.9,0
2016-07-31,ESCORTS,EQUITY,221.9,269.7,217.35,262.5,0
2016-08-31,ESCORTS,EQUITY,264.95,334.9,255.5,325.45,0
2016-09-30,ESCORTS,EQUITY,332.4,392.7,330.6,375.6,0
2016-10-31,ESCORTS,EQUITY,383.4,413.9,368.05,375.25,0
2016-11-30,ESCORTS,EQUITY,378.0,390.8,270.0,322.7,0
2016-12-31,ESCORTS,EQUITY,324.9,331.0,277.05,296.7,0
2017-01-31,ESCORTS,EQUITY,298.95,375.9,293.5,363.6,0
2017-02-28,ESCORTS,EQUITY,365.0,463.45,361.2,449.05,0
2017-03-31,ESCORTS,EQUITY,450.9,549.0,445.55,538.75,0
2017-04-30,ESCORTS,EQUITY,538.95,563.5,520.2,547.5,0
2017-05-31,ESCORTS,EQUITY,568.0,696.75,564.1,692.95,0
2017-06-30,ESCORTS,EQUITY,697.0,767.55,635.0,645.15,0
2017-07-31,ESCORTS,EQUITY,639.0,695.95,634.55,669.35,0
2017-08-31,ESCORTS,EQUITY,707.0,709.0,544.0,647.3,0
2017-09-30,ESCORTS,EQUITY,649.95,687.15,605.4,659.65,0
2017-10-31,ESCORTS,EQUITY,665.95,787.75,652.05,760.15,0
2017-11-30,ESCORTS,EQUITY,766.0,780.9,679.2,718.25,0
2017-12-31,ESCORTS,EQUITY,730.0,796.6,645.85,787.45,0
2018-01-31,ESCORTS,EQUITY,787.85,852.65,740.0,811.75,0
2018-02-28,ESCORTS,EQUITY,814.95,922.95,814.05,892.85,0
2018-03-31,ESCORTS,EQUITY,904.3,906.9,788.15,818.1,0
2018-04-30,ESCORTS,EQUITY,891.3,1006.8,870.0,1004.3,0
2018-05-31,ESCORTS,EQUITY,1010.0,1017.7,841.25,932.45,0
2018-06-30,ESCORTS,EQUITY,937.4,939.95,821.35,871.65,0
2018-07-31,ESCORTS,EQUITY,872.0,943.55,827.25,928.05,0
2018-08-31,ESCORTS,EQUITY,929.1,929.15,852.25,869.75,0
2018-09-30,ESCORTS,EQUITY,868.0,876.0,601.35,611.8,0
2018-10-31,ESCORTS,EQUITY,607.8,649.6,541.0,627.0,0
2018-11-30,ESCORTS,EQUITY,645.0,709.8,636.0,704.7,0
2018-12-31,ESCORTS,EQUITY,719.8,719.8,585.05,706.1,0
2019-01-31,ESCORTS,EQUITY,708.5,764.8,630.25,659.6,0
2019-02-28,ESCORTS,EQUITY,673.85,693.7,601.0,657.6,0
2019-03-31,ESCORTS,EQUITY,672.6,833.9,663.4,796.05,0
2019-04-30,ESCORTS,EQUITY,803.0,804.7,720.0,738.9,0
2019-05-31,ESCORTS,EQUITY,713.5,714.0,542.0,597.95,0
2019-06-30,ESCORTS,EQUITY,595.0,610.0,519.3,536.45,0
2019-07-31,ESCORTS,EQUITY,538.1,578.0,453.1,469.95,0
2019-08-31,ESCORTS,EQUITY,463.0,521.65,423.55,510.2,0
2019-09-30,ESCORTS,EQUITY,494.6,681.0,450.5,580.35,0
2019-10-31,ESCORTS,EQUITY,584.95,674.6,567.0,659.35,0
2019-11-30,ESCORTS,EQUITY,660.0,687.8,631.0,637.2,0
2019-12-31,ESCORTS,EQUITY,641.35,666.4,592.05,629.6,0
2020-01-31,ESCORTS,EQUITY,630.0,835.5,602.0,803.65,0
2020-02-29,ESCORTS,EQUITY,775.2,914.7,764.75,780.1,0
2020-03-31,ESCORTS,EQUITY,820.0,875.0,526.05,662.6,0
2020-04-30,ESCORTS,EQUITY,594.0,792.65,558.85,713.35,0
2020-05-31,ESCORTS,EQUITY,701.9,918.95,680.4,903.25,0
2020-06-30,ESCORTS,EQUITY,912.0,1061.7,911.5,1040.0,0
2020-07-31,ESCORTS,EQUITY,1053.0,1210.0,1018.1,1134.0,0
2020-08-31,ESCORTS,EQUITY,1106.0,1198.0,1077.4,1087.6,0
2020-09-30,ESCORTS,EQUITY,1120.05,1342.75,1078.05,1318.45,0
2020-10-31,ESCORTS,EQUITY,1310.0,1310.0,1145.95,1200.95,0
2020-11-30,ESCORTS,EQUITY,1207.0,1446.8,1185.05,1403.85,0
2020-12-31,ESCORTS,EQUITY,1379.9,1434.9,1181.6,1260.4,0
2021-01-31,ESCORTS,EQUITY,1289.6,1389.7,1201.1,1205.7,0
2021-02-28,ESCORTS,EQUITY,1279.45,1468.45,1247.65,1310.9,0
2021-03-31,ESCORTS,EQUITY,1300.0,1389.4,1260.5,1287.8,0
2021-04-30,ESCORTS,EQUITY,1310.0,1316.9,1111.0,1118.6,0
2021-05-31,ESCORTS,EQUITY,1106.5,1192.0,1100.0,1171.8,0
2021-06-30,ESCORTS,EQUITY,1189.0,1234.25,1131.1,1220.1,0
2021-07-31,ESCORTS,EQUITY,1235.85,1241.85,1128.0,1184.35,0
2021-08-31,ESCORTS,EQUITY,1184.0,1379.2,1157.7,1346.35,0
2021-09-30,ESCORTS,EQUITY,1345.35,1571.9,1288.0,1480.1,0
2021-10-31,ESCORTS,EQUITY,1485.0,1588.0,1422.0,1569.4,0
2021-11-30,ESCORTS,EQUITY,1566.1,1889.75,1441.1,1846.3,0
2021-12-31,ESCORTS,EQUITY,1853.0,1918.9,1791.1,1908.7,0
2022-01-31,ESCORTS,EQUITY,1904.1,1907.9,1829.35,1850.35,0
2022-02-28,ESCORTS,EQUITY,1846.5,1882.1,1749.6,1850.95,0
2022-03-31,ESCORTS,EQUITY,1872.05,1882.0,1601.15,1690.85,0
2022-04-30,ESCORTS,EQUITY,1670.0,1934.0,1510.15,1634.85,0
2022-05-31,ESCORTS,EQUITY,1580.0,1683.65,1534.1,1629.95,0
2022-06-30,ESCORTS,EQUITY,1646.25,1646.25,1306.7,1444.8,0
2022-07-31,ESCORTS,EQUITY,1449.95,1793.95,1424.55,1733.0,0
2022-08-31,ESCORTS,EQUITY,1642.4,2033.85,1604.65,1994.75,0
2022-09-30,ESCORTS,EQUITY,2024.9,2190.0,1904.05,2127.8,0
2022-10-31,ESCORTS,EQUITY,2133.0,2156.25,1945.75,2038.35,0
2022-11-30,ESCORTS,EQUITY,2048.0,2303.9,1926.0,2286.5,0
2022-12-31,ESCORTS,EQUITY,2290.0,2358.35,1990.6,2140.15,0
2023-01-31,ESCORTS,EQUITY,2161.95,2212.6,1990.05,2088.4,0
2023-02-28,ESCORTS,EQUITY,2109.3,2139.0,1956.55,2075.35,0
2023-03-31,ESCORTS,EQUITY,2080.05,2093.8,1807.7,1891.05,0
2023-04-30,ESCORTS,EQUITY,1872.0,2010.0,1840.0,1981.15,0
2023-05-31,ESCORTS,EQUITY,1984.4,2191.0,1981.05,2176.3,0
2023-06-30,ESCORTS,EQUITY,2200.05,2259.9,2111.85,2248.4,0
2023-07-31,ESCORTS,EQUITY,2260.0,2581.0,2192.0,2539.45,0
2023-08-31,ESCORTS,EQUITY,2564.0,3343.85,2530.0,3159.25,0
2023-09-30,ESCORTS,EQUITY,3110.0,3343.0,3026.0,3185.1,0
2023-10-31,ESCORTS,EQUITY,3181.0,3440.15,3031.1,3132.5,0
2023-11-30,ESCORTS,EQUITY,3149.0,3293.15,3036.6,3150.3,0
2023-12-31,ESCORTS,EQUITY,3179.95,3284.6,2924.5,2983.1,0
2024-01-31,ESCORTS,EQUITY,2996.0,3058.8,2794.95,2983.25,0
2024-02-29,ESCORTS,EQUITY,3023.95,3045.0,2747.0,2856.45,0
2024-03-31,ESCORTS,EQUITY,2845.05,2966.35,2670.55,2777.3,0
2024-04-30,ESCORTS,EQUITY,2779.0,3410.0,2768.3,3358.55,0
2024-05-31,ESCORTS,EQUITY,3365.0,4223.0,3331.1,3818.3,0
2024-06-30,ESCORTS,EQUITY,3845.0,4409.55,3753.1,4146.5,0
