DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-01-31,ETERNAL,EQUITY,264.75,330.25,259.6,329.0,0
2025-02-28,ETERNAL,EQUITY,220.05,301.8,220.05,300.55,0
2025-03-31,ETERNAL,EQUITY,245.0,334.8,236.75,297.75,0
2025-04-30,ETERNAL,EQUITY,262.1,329.0,218.4,232.52,0
2025-05-31,ETERNAL,EQUITY,234.5,334.4,221.1,238.31,0
2025-06-30,ETERNAL,EQUITY,240.0,336.3,231.85,264.15,0
2025-07-31,ETERNAL,EQUITY,261.4,341.6,256.2,307.8,0
2025-08-31,ETERNAL,EQUITY,235.25,331.35,226.6,313.95,0
2025-09-30,ETERNAL,EQUITY,216.0,347.5,209.86,325.5,0
2025-10-31,ETERNAL,EQUITY,256.8,368.45,252.35,317.75,0
2025-11-30,ETERNAL,EQUITY,216.0,313.0,214.1,300.1,0
2025-12-31,ETERNAL,EQUITY,232.0,327.9,232.0,278.05,0
2026-01-31,ETERNAL,EQUITY,278.6,305.0,250.5,273.6,0
2026-02-28,ETERNAL,EQUITY,260.0,264.9,243.75,246.3,0
2026-03-31,ETERNAL,EQUITY,238.0,244.5,212.6,233.17,0
