DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,EXIDEIND,EQUITY,178.05,205.2,176.3,186.05,0
2015-02-28,EXIDEIND,EQUITY,188.0,203.0,174.45,180.4,0
2015-03-31,EXIDEIND,EQUITY,181.0,199.95,174.6,177.75,0
2015-04-30,EXIDEIND,EQUITY,178.7,193.15,167.55,171.55,0
2015-05-31,EXIDEIND,EQUITY,161.9,164.45,150.15,153.7,0
2015-06-30,EXIDEIND,EQUITY,154.35,156.95,142.0,148.3,0
2015-07-31,EXIDEIND,EQUITY,148.5,156.6,136.15,146.25,0
2015-08-31,EXIDEIND,EQUITY,149.55,168.6,143.7,153.6,0
2015-09-30,EXIDEIND,EQUITY,151.6,164.95,143.8,155.65,0
2015-10-31,EXIDEIND,EQUITY,153.9,165.5,148.5,149.5,0
2015-11-30,EXIDEIND,EQUITY,151.5,154.45,138.75,148.6,0
2015-12-31,EXIDEIND,EQUITY,148.6,148.95,135.5,146.45,0
2016-01-31,EXIDEIND,EQUITY,146.9,148.5,116.0,120.25,0
2016-02-29,EXIDEIND,EQUITY,122.9,133.85,116.5,127.85,0
2016-03-31,EXIDEIND,EQUITY,130.0,142.5,129.3,139.35,0
2016-04-30,EXIDEIND,EQUITY,139.05,153.4,132.65,147.25,0
2016-05-31,EXIDEIND,EQUITY,147.0,164.8,138.75,164.25,0
2016-06-30,EXIDEIND,EQUITY,164.0,170.7,154.0,169.3,0
2016-07-31,EXIDEIND,EQUITY,169.35,184.45,169.35,179.1,0
2016-08-31,EXIDEIND,EQUITY,180.1,187.7,168.5,185.3,0
2016-09-30,EXIDEIND,EQUITY,185.85,199.5,176.5,183.0,0
2016-10-31,EXIDEIND,EQUITY,184.0,207.65,184.0,195.75,0
2016-11-30,EXIDEIND,EQUITY,198.9,204.8,168.45,181.15,0
2016-12-31,EXIDEIND,EQUITY,182.0,183.8,170.05,180.1,0
2017-01-31,EXIDEIND,EQUITY,181.0,204.4,178.75,197.3,0
2017-02-28,EXIDEIND,EQUITY,196.0,223.1,196.0,211.85,0
2017-03-31,EXIDEIND,EQUITY,212.05,226.5,208.6,224.35,0
2017-04-30,EXIDEIND,EQUITY,230.7,240.55,223.5,229.85,0
2017-05-31,EXIDEIND,EQUITY,222.3,247.9,219.2,230.25,0
2017-06-30,EXIDEIND,EQUITY,230.0,232.4,208.75,220.5,0
2017-07-31,EXIDEIND,EQUITY,220.0,231.0,212.5,217.5,0
2017-08-31,EXIDEIND,EQUITY,225.95,225.95,194.7,196.85,0
2017-09-30,EXIDEIND,EQUITY,197.0,228.0,197.0,205.95,0
2017-10-31,EXIDEIND,EQUITY,208.0,213.25,197.8,208.75,0
2017-11-30,EXIDEIND,EQUITY,210.0,214.8,195.1,205.05,0
2017-12-31,EXIDEIND,EQUITY,206.1,224.65,200.1,223.35,0
2018-01-31,EXIDEIND,EQUITY,222.0,237.2,214.15,223.35,0
2018-02-28,EXIDEIND,EQUITY,221.2,225.75,201.1,207.4,0
2018-03-31,EXIDEIND,EQUITY,205.4,225.75,202.45,222.85,0
2018-04-30,EXIDEIND,EQUITY,234.45,252.0,230.0,248.3,0
2018-05-31,EXIDEIND,EQUITY,248.3,269.0,241.85,259.7,0
2018-06-30,EXIDEIND,EQUITY,255.0,261.7,245.05,258.3,0
2018-07-31,EXIDEIND,EQUITY,260.0,280.5,253.0,279.75,0
2018-08-31,EXIDEIND,EQUITY,281.65,304.7,259.6,285.1,0
2018-09-30,EXIDEIND,EQUITY,285.75,288.5,251.75,265.45,0
2018-10-31,EXIDEIND,EQUITY,264.95,269.95,240.1,266.05,0
2018-11-30,EXIDEIND,EQUITY,266.0,266.0,237.05,262.8,0
2018-12-31,EXIDEIND,EQUITY,263.5,273.8,241.8,267.95,0
2019-01-31,EXIDEIND,EQUITY,268.5,270.7,215.5,226.9,0
2019-02-28,EXIDEIND,EQUITY,226.5,230.95,194.3,219.75,0
2019-03-31,EXIDEIND,EQUITY,220.95,234.55,215.5,218.7,0
2019-04-30,EXIDEIND,EQUITY,219.65,229.5,210.0,214.15,0
2019-05-31,EXIDEIND,EQUITY,214.0,222.7,203.15,212.95,0
2019-06-30,EXIDEIND,EQUITY,211.0,216.7,195.95,201.3,0
2019-07-31,EXIDEIND,EQUITY,203.0,209.9,178.1,183.25,0
2019-08-31,EXIDEIND,EQUITY,183.8,185.8,168.3,178.55,0
2019-09-30,EXIDEIND,EQUITY,176.2,208.75,166.0,195.2,0
2019-10-31,EXIDEIND,EQUITY,195.25,199.0,170.6,193.1,0
2019-11-30,EXIDEIND,EQUITY,192.4,200.7,184.1,195.05,0
2019-12-31,EXIDEIND,EQUITY,195.0,197.7,176.0,186.5,0
2020-01-31,EXIDEIND,EQUITY,186.9,208.25,179.15,197.15,0
2020-02-29,EXIDEIND,EQUITY,191.25,196.15,161.2,164.35,0
2020-03-31,EXIDEIND,EQUITY,165.2,168.0,124.7,131.6,0
2020-04-30,EXIDEIND,EQUITY,132.85,163.35,127.3,157.25,0
2020-05-31,EXIDEIND,EQUITY,149.8,164.7,142.35,162.9,0
2020-06-30,EXIDEIND,EQUITY,165.4,175.0,145.65,148.2,0
2020-07-31,EXIDEIND,EQUITY,149.35,162.75,147.6,155.65,0
2020-08-31,EXIDEIND,EQUITY,154.0,178.4,153.0,164.05,0
2020-09-30,EXIDEIND,EQUITY,164.0,169.5,153.6,164.9,0
