DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,FORTIS,EQUITY,110.6,119.85,104.5,114.0,0
2015-02-28,FORTIS,EQUITY,113.05,162.5,112.8,160.85,0
2015-03-31,FORTIS,EQUITY,162.45,173.0,142.0,164.6,0
2015-04-30,FORTIS,EQUITY,170.05,184.4,141.55,154.8,0
2015-05-31,FORTIS,EQUITY,172.5,175.8,158.0,174.4,0
2015-06-30,FORTIS,EQUITY,176.0,185.7,153.0,179.55,0
2015-07-31,FORTIS,EQUITY,179.65,194.35,171.65,191.3,0
2015-08-31,FORTIS,EQUITY,190.8,199.8,155.85,167.95,0
2015-09-30,FORTIS,EQUITY,164.9,184.85,148.9,168.9,0
2015-10-31,FORTIS,EQUITY,172.5,176.7,153.7,155.1,0
2015-11-30,FORTIS,EQUITY,156.5,168.35,155.0,166.2,0
2015-12-31,FORTIS,EQUITY,168.85,191.65,162.65,180.05,0
2016-01-31,FORTIS,EQUITY,181.4,186.35,161.0,178.5,0
2016-02-29,FORTIS,EQUITY,176.45,180.9,141.0,167.35,0
2016-03-31,FORTIS,EQUITY,171.5,184.95,161.5,175.5,0
2016-04-30,FORTIS,EQUITY,175.0,188.25,174.1,175.15,0
2016-05-31,FORTIS,EQUITY,175.45,182.0,155.7,161.65,0
2016-06-30,FORTIS,EQUITY,161.95,169.0,151.7,157.7,0
2016-07-31,FORTIS,EQUITY,158.8,184.0,152.6,171.75,0
2016-08-31,FORTIS,EQUITY,172.5,198.9,170.1,178.3,0
2016-09-30,FORTIS,EQUITY,176.4,184.4,161.0,167.0,0
2016-10-31,FORTIS,EQUITY,168.0,188.9,166.65,178.5,0
2016-11-30,FORTIS,EQUITY,181.0,186.4,155.3,177.35,0
2016-12-31,FORTIS,EQUITY,178.65,189.0,168.65,180.85,0
2017-01-31,FORTIS,EQUITY,181.8,205.0,178.7,183.75,0
2017-02-28,FORTIS,EQUITY,182.25,201.9,179.15,192.8,0
2017-03-31,FORTIS,EQUITY,194.0,197.0,173.7,180.7,0
2017-04-30,FORTIS,EQUITY,190.7,222.9,180.0,220.3,0
2017-05-31,FORTIS,EQUITY,226.0,226.2,191.2,195.15,0
2017-06-30,FORTIS,EQUITY,195.9,201.95,157.45,162.0,0
2017-07-31,FORTIS,EQUITY,163.4,170.35,142.15,155.55,0
2017-08-31,FORTIS,EQUITY,156.6,166.45,125.55,146.05,0
2017-09-30,FORTIS,EQUITY,147.1,158.4,143.15,144.0,0
2017-10-31,FORTIS,EQUITY,145.05,154.3,143.2,143.9,0
2017-11-30,FORTIS,EQUITY,144.9,146.05,123.4,144.85,0
2017-12-31,FORTIS,EQUITY,146.0,167.9,126.5,160.45,0
2018-01-31,FORTIS,EQUITY,159.95,170.9,135.15,139.05,0
2018-02-28,FORTIS,EQUITY,136.5,167.4,116.15,159.8,0
2018-03-31,FORTIS,EQUITY,159.0,167.45,120.45,123.35,0
2018-04-30,FORTIS,EQUITY,130.8,157.4,127.55,152.4,0
2018-05-31,FORTIS,EQUITY,156.0,160.95,141.2,147.15,0
2018-06-30,FORTIS,EQUITY,146.1,148.0,129.25,134.85,0
2018-07-31,FORTIS,EQUITY,134.75,149.45,132.0,139.65,0
2018-08-31,FORTIS,EQUITY,139.65,152.3,139.05,146.6,0
2018-09-30,FORTIS,EQUITY,146.85,149.9,131.4,134.95,0
2018-10-31,FORTIS,EQUITY,134.95,141.8,126.45,140.35,0
2018-11-30,FORTIS,EQUITY,140.6,149.3,138.0,147.7,0
2018-12-31,FORTIS,EQUITY,147.0,153.0,130.0,140.5,0
2019-01-31,FORTIS,EQUITY,140.5,141.7,134.85,135.2,0
2019-02-28,FORTIS,EQUITY,134.15,139.0,133.0,134.75,0
2019-03-31,FORTIS,EQUITY,134.55,143.0,132.75,135.75,0
2019-04-30,FORTIS,EQUITY,136.45,144.85,135.1,138.55,0
