DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,GLENMARK,EQUITY,783.25,789.0,702.6,719.15,0
2015-02-28,GLENMARK,EQUITY,723.8,822.85,704.1,779.45,0
2015-03-31,GLENMARK,EQUITY,792.8,879.65,751.0,786.15,0
2015-04-30,GLENMARK,EQUITY,792.7,940.75,790.3,890.3,0
2015-05-31,GLENMARK,EQUITY,908.95,929.0,830.8,875.3,0
2015-06-30,GLENMARK,EQUITY,852.2,1016.2,819.0,994.15,0
2015-07-31,GLENMARK,EQUITY,1003.15,1101.7,928.5,1011.9,0
2015-08-31,GLENMARK,EQUITY,998.0,1262.9,975.0,1154.8,0
2015-09-30,GLENMARK,EQUITY,1118.0,1157.8,972.0,1049.2,0
2015-10-31,GLENMARK,EQUITY,1056.5,1074.9,927.5,991.5,0
2015-11-30,GLENMARK,EQUITY,996.5,1000.0,922.5,981.0,0
2015-12-31,GLENMARK,EQUITY,988.95,995.95,848.2,921.9,0
2016-01-31,GLENMARK,EQUITY,921.9,954.0,727.7,771.35,0
2016-02-29,GLENMARK,EQUITY,798.1,799.65,671.1,735.65,0
2016-03-31,GLENMARK,EQUITY,777.0,844.0,763.1,795.05,0
2016-04-30,GLENMARK,EQUITY,789.7,845.0,758.6,829.45,0
2016-05-31,GLENMARK,EQUITY,830.0,892.7,810.6,851.15,0
2016-06-30,GLENMARK,EQUITY,854.0,865.8,730.0,799.05,0
2016-07-31,GLENMARK,EQUITY,800.0,872.0,797.5,860.95,0
2016-08-31,GLENMARK,EQUITY,865.5,877.95,814.25,841.1,0
2016-09-30,GLENMARK,EQUITY,847.0,956.0,832.7,923.45,0
2016-10-31,GLENMARK,EQUITY,925.0,951.5,886.0,933.05,0
2016-11-30,GLENMARK,EQUITY,940.0,994.0,851.3,875.6,0
2016-12-31,GLENMARK,EQUITY,884.75,954.9,852.05,888.45,0
2017-01-31,GLENMARK,EQUITY,894.0,924.7,863.0,893.85,0
2017-02-28,GLENMARK,EQUITY,890.25,970.0,880.5,925.5,0
2017-03-31,GLENMARK,EQUITY,925.0,944.1,830.0,852.1,0
2017-04-30,GLENMARK,EQUITY,860.0,915.9,858.6,894.95,0
2017-05-31,GLENMARK,EQUITY,886.05,890.0,600.0,636.65,0
2017-06-30,GLENMARK,EQUITY,640.0,664.0,622.0,632.8,0
2017-07-31,GLENMARK,EQUITY,634.95,746.0,631.6,697.05,0
2017-08-31,GLENMARK,EQUITY,698.5,711.1,591.75,609.1,0
2017-09-30,GLENMARK,EQUITY,614.0,641.3,570.0,598.3,0
2017-10-31,GLENMARK,EQUITY,601.7,626.9,594.65,617.7,0
2017-11-30,GLENMARK,EQUITY,619.0,629.0,562.1,564.1,0
2017-12-31,GLENMARK,EQUITY,565.75,602.0,525.85,594.75,0
2018-01-31,GLENMARK,EQUITY,596.15,647.0,588.1,606.2,0
2018-02-28,GLENMARK,EQUITY,605.0,609.0,517.05,544.55,0
2018-03-31,GLENMARK,EQUITY,546.75,567.0,524.0,526.3,0
2018-04-30,GLENMARK,EQUITY,550.05,589.4,545.1,571.7,0
2018-05-31,GLENMARK,EQUITY,572.0,572.95,493.5,535.95,0
2018-06-30,GLENMARK,EQUITY,536.0,613.95,514.25,583.05,0
2018-07-31,GLENMARK,EQUITY,587.75,601.85,547.15,581.75,0
2018-08-31,GLENMARK,EQUITY,583.4,671.6,570.15,665.65,0
2018-09-30,GLENMARK,EQUITY,671.0,711.9,619.0,632.15,0
2018-10-31,GLENMARK,EQUITY,631.0,640.3,574.25,621.5,0
2018-11-30,GLENMARK,EQUITY,621.75,684.9,615.25,653.15,0
2018-12-31,GLENMARK,EQUITY,655.9,705.9,610.1,693.05,0
2019-01-31,GLENMARK,EQUITY,690.5,697.6,623.75,651.65,0
2019-02-28,GLENMARK,EQUITY,654.8,665.0,554.0,596.55,0
2019-03-31,GLENMARK,EQUITY,593.0,666.8,587.65,647.2,0
2019-04-30,GLENMARK,EQUITY,648.0,659.3,616.55,638.4,0
2019-05-31,GLENMARK,EQUITY,636.7,639.0,536.65,545.35,0
2019-06-30,GLENMARK,EQUITY,547.0,549.0,442.0,443.35,0
2019-07-31,GLENMARK,EQUITY,443.3,458.6,405.8,426.05,0
2019-08-31,GLENMARK,EQUITY,422.7,436.0,353.5,384.3,0
2019-09-30,GLENMARK,EQUITY,392.3,392.9,319.3,325.05,0
2019-10-31,GLENMARK,EQUITY,326.0,332.2,270.0,315.4,0
2019-11-30,GLENMARK,EQUITY,317.0,374.0,267.25,337.3,0
2019-12-31,GLENMARK,EQUITY,338.0,359.5,322.6,347.45,0
2020-01-31,GLENMARK,EQUITY,347.7,365.2,308.6,310.2,0
2020-02-29,GLENMARK,EQUITY,301.4,346.45,275.0,277.55,0
2020-03-31,GLENMARK,EQUITY,279.5,292.2,161.65,205.85,0
2020-04-30,GLENMARK,EQUITY,201.55,360.95,195.8,337.05,0
2020-05-31,GLENMARK,EQUITY,346.0,363.6,322.9,355.05,0
2020-06-30,GLENMARK,EQUITY,358.0,573.05,356.25,450.3,0
2020-07-31,GLENMARK,EQUITY,445.0,458.5,405.0,452.35,0
2020-08-31,GLENMARK,EQUITY,453.95,509.0,442.3,469.6,0
2020-09-30,GLENMARK,EQUITY,469.0,518.45,441.7,482.65,0
2020-10-31,GLENMARK,EQUITY,487.0,509.55,464.25,474.8,0
2020-11-30,GLENMARK,EQUITY,474.0,515.65,460.4,471.4,0
2020-12-31,GLENMARK,EQUITY,479.15,549.0,464.65,493.5,0
2021-01-31,GLENMARK,EQUITY,493.75,532.0,469.9,471.55,0
2021-02-28,GLENMARK,EQUITY,481.0,513.25,449.6,466.2,0
2021-03-31,GLENMARK,EQUITY,469.0,492.95,442.05,464.7,0
2021-04-30,GLENMARK,EQUITY,466.0,590.0,462.35,576.8,0
2021-05-31,GLENMARK,EQUITY,577.0,634.9,554.0,592.5,0
2021-06-30,GLENMARK,EQUITY,594.15,672.0,591.0,652.55,0
2021-07-31,GLENMARK,EQUITY,652.4,690.95,581.8,607.45,0
2021-08-31,GLENMARK,EQUITY,614.9,616.0,511.05,530.3,0
2021-09-30,GLENMARK,EQUITY,532.1,544.0,489.15,510.45,0
2021-10-31,GLENMARK,EQUITY,519.85,539.0,477.1,503.9,0
2021-11-30,GLENMARK,EQUITY,503.95,551.8,457.0,523.8,0
2021-12-31,GLENMARK,EQUITY,522.0,542.7,472.5,528.55,0
2022-01-31,GLENMARK,EQUITY,524.25,528.7,465.4,486.55,0
2022-02-28,GLENMARK,EQUITY,496.5,505.5,423.0,448.5,0
2022-03-31,GLENMARK,EQUITY,439.95,469.7,429.05,442.0,0
2022-04-30,GLENMARK,EQUITY,444.25,487.55,425.5,439.55,0
2022-05-31,GLENMARK,EQUITY,438.3,440.9,378.05,393.55,0
2022-06-30,GLENMARK,EQUITY,394.1,401.9,348.5,386.35,0
2022-07-31,GLENMARK,EQUITY,385.2,398.95,360.45,380.85,0
2022-08-31,GLENMARK,EQUITY,377.5,408.0,361.4,371.15,0
2022-09-30,GLENMARK,EQUITY,370.6,396.6,363.65,388.65,0
2022-10-31,GLENMARK,EQUITY,389.55,409.45,378.15,404.55,0
2022-11-30,GLENMARK,EQUITY,409.8,444.0,401.15,430.7,0
2022-12-31,GLENMARK,EQUITY,436.0,451.0,406.9,424.15,0
2023-01-31,GLENMARK,EQUITY,423.3,440.15,369.05,384.0,0
2023-02-28,GLENMARK,EQUITY,386.7,453.8,378.8,428.75,0
2023-03-31,GLENMARK,EQUITY,430.9,468.0,414.25,464.7,0
2023-04-30,GLENMARK,EQUITY,477.0,568.75,474.0,563.45,0
2023-05-31,GLENMARK,EQUITY,543.95,629.85,539.6,597.75,0
2023-06-30,GLENMARK,EQUITY,597.65,684.85,596.0,676.0,0
2023-07-31,GLENMARK,EQUITY,663.5,832.9,661.0,787.85,0
2023-08-31,GLENMARK,EQUITY,786.0,836.9,737.35,766.85,0
2023-09-30,GLENMARK,EQUITY,772.0,880.0,754.0,855.5,0
2023-10-31,GLENMARK,EQUITY,852.05,859.9,731.5,747.75,0
2023-11-30,GLENMARK,EQUITY,750.0,799.8,722.1,779.95,0
2023-12-31,GLENMARK,EQUITY,781.8,859.0,772.4,853.95,0
2024-01-31,GLENMARK,EQUITY,854.0,922.7,847.55,910.2,0
2024-02-29,GLENMARK,EQUITY,920.1,942.0,771.0,925.1,0
2024-03-31,GLENMARK,EQUITY,925.1,969.4,883.0,958.45,0
2024-04-30,GLENMARK,EQUITY,959.05,1098.0,959.05,1057.2,0
2024-05-31,GLENMARK,EQUITY,1060.35,1356.5,985.2,1160.35,0
2024-06-30,GLENMARK,EQUITY,1174.95,1264.0,1109.05,1230.5,0
2024-07-31,GLENMARK,EQUITY,1270.0,1774.9,1236.55,1468.75,0
2024-08-31,GLENMARK,EQUITY,1338.1,1750.0,1335.25,1731.75,0
2024-09-30,GLENMARK,EQUITY,1702.7,1795.0,1504.55,1673.5,0
2024-10-31,GLENMARK,EQUITY,1361.95,1830.95,1330.85,1694.55,0
