DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,GODREJPROP,EQUITY,258.0,287.7,248.0,279.5,0
2015-02-28,GODREJPROP,EQUITY,277.05,309.5,273.55,298.75,0
2015-03-31,GODREJPROP,EQUITY,297.05,302.3,232.05,251.15,0
2015-04-30,GODREJPROP,EQUITY,260.0,282.0,231.5,241.95,0
2015-05-31,GODREJPROP,EQUITY,245.3,273.95,238.0,268.05,0
2015-06-30,GODREJPROP,EQUITY,269.95,272.7,238.55,246.85,0
2015-07-31,GODREJPROP,EQUITY,250.0,295.7,246.65,268.1,0
2015-08-31,GODREJPROP,EQUITY,269.7,358.5,260.0,309.4,0
2015-09-30,GODREJPROP,EQUITY,312.0,336.5,280.5,329.1,0
2015-10-31,GODREJPROP,EQUITY,321.3,375.0,316.0,343.5,0
2015-11-30,GODREJPROP,EQUITY,343.5,354.0,305.15,336.5,0
2015-12-31,GODREJPROP,EQUITY,336.5,347.9,319.0,336.25,0
2016-01-31,GODREJPROP,EQUITY,335.6,339.0,299.0,300.25,0
2016-02-29,GODREJPROP,EQUITY,304.8,308.7,265.65,267.35,0
2016-03-31,GODREJPROP,EQUITY,271.2,313.25,271.2,295.85,0
2016-04-30,GODREJPROP,EQUITY,296.95,351.05,294.5,340.05,0
2016-05-31,GODREJPROP,EQUITY,338.9,344.5,309.05,329.5,0
2016-06-30,GODREJPROP,EQUITY,330.0,377.5,314.8,363.65,0
2016-07-31,GODREJPROP,EQUITY,365.45,384.3,356.65,361.3,0
2016-08-31,GODREJPROP,EQUITY,361.7,385.9,345.0,359.65,0
2016-09-30,GODREJPROP,EQUITY,354.9,359.0,329.95,347.2,0
2016-10-31,GODREJPROP,EQUITY,347.9,369.0,345.0,359.05,0
2016-11-30,GODREJPROP,EQUITY,367.25,373.35,288.45,300.6,0
2016-12-31,GODREJPROP,EQUITY,302.9,309.1,286.35,303.2,0
2017-01-31,GODREJPROP,EQUITY,307.9,340.85,305.2,330.65,0
2017-02-28,GODREJPROP,EQUITY,333.3,394.4,330.7,364.1,0
2017-03-31,GODREJPROP,EQUITY,367.95,406.9,358.05,385.05,0
2017-04-30,GODREJPROP,EQUITY,405.0,489.0,405.0,464.3,0
2017-05-31,GODREJPROP,EQUITY,544.5,552.0,474.0,490.65,0
2017-06-30,GODREJPROP,EQUITY,486.0,564.5,483.5,520.0,0
2017-07-31,GODREJPROP,EQUITY,525.0,539.9,501.3,522.15,0
2017-08-31,GODREJPROP,EQUITY,517.0,584.9,487.6,579.5,0
2017-09-30,GODREJPROP,EQUITY,580.0,679.8,579.95,619.75,0
2017-10-31,GODREJPROP,EQUITY,626.9,697.35,610.15,679.3,0
2017-11-30,GODREJPROP,EQUITY,683.0,739.85,655.05,728.2,0
2017-12-31,GODREJPROP,EQUITY,728.2,749.0,678.6,692.55,0
2018-01-31,GODREJPROP,EQUITY,692.55,911.85,692.55,799.6,0
2018-02-28,GODREJPROP,EQUITY,803.4,849.0,750.0,780.2,0
2018-03-31,GODREJPROP,EQUITY,781.0,785.75,714.5,722.9,0
2018-04-30,GODREJPROP,EQUITY,738.9,828.05,705.0,805.25,0
2018-05-31,GODREJPROP,EQUITY,801.25,890.0,722.0,731.05,0
2018-06-30,GODREJPROP,EQUITY,737.75,797.6,701.9,719.05,0
2018-07-31,GODREJPROP,EQUITY,724.05,739.0,651.1,714.75,0
2018-08-31,GODREJPROP,EQUITY,715.0,758.4,676.7,687.7,0
2018-09-30,GODREJPROP,EQUITY,679.2,704.95,550.1,590.9,0
2018-10-31,GODREJPROP,EQUITY,588.0,610.0,460.4,599.2,0
2018-11-30,GODREJPROP,EQUITY,602.1,689.8,591.05,663.2,0
2018-12-31,GODREJPROP,EQUITY,672.0,715.25,615.6,652.7,0
2019-01-31,GODREJPROP,EQUITY,652.3,782.25,646.75,741.9,0
2019-02-28,GODREJPROP,EQUITY,742.0,782.0,699.0,709.45,0
2019-03-31,GODREJPROP,EQUITY,715.0,885.0,684.0,813.15,0
2019-04-30,GODREJPROP,EQUITY,819.9,963.0,811.05,829.9,0
2019-05-31,GODREJPROP,EQUITY,834.9,939.9,748.0,887.1,0
2019-06-30,GODREJPROP,EQUITY,887.0,1014.8,840.0,1002.3,0
2019-07-31,GODREJPROP,EQUITY,1002.0,1119.6,883.0,952.95,0
2019-08-31,GODREJPROP,EQUITY,951.5,957.0,873.05,900.65,0
2019-09-30,GODREJPROP,EQUITY,905.0,1114.0,875.3,1038.7,0
2019-10-31,GODREJPROP,EQUITY,1033.0,1038.0,941.0,997.3,0
2019-11-30,GODREJPROP,EQUITY,999.9,1025.0,844.5,908.8,0
2019-12-31,GODREJPROP,EQUITY,909.0,995.0,875.1,988.3,0
2020-01-31,GODREJPROP,EQUITY,991.0,1111.95,918.05,1080.3,0
2020-02-29,GODREJPROP,EQUITY,990.0,1182.7,985.0,1003.05,0
2020-03-31,GODREJPROP,EQUITY,1029.5,1044.0,505.0,603.25,0
2020-04-30,GODREJPROP,EQUITY,603.9,724.9,577.05,677.6,0
2020-05-31,GODREJPROP,EQUITY,633.0,694.5,575.0,688.4,0
2020-06-30,GODREJPROP,EQUITY,692.0,923.4,692.0,867.1,0
2020-07-31,GODREJPROP,EQUITY,867.1,939.0,841.3,926.6,0
2020-08-31,GODREJPROP,EQUITY,927.9,964.45,843.5,913.25,0
2020-09-30,GODREJPROP,EQUITY,911.15,948.45,819.75,860.45,0
2020-10-31,GODREJPROP,EQUITY,870.0,1064.8,835.55,1034.45,0
2020-11-30,GODREJPROP,EQUITY,1037.0,1175.0,905.55,1165.45,0
2020-12-31,GODREJPROP,EQUITY,1194.7,1446.0,1175.0,1432.15,0
2021-01-31,GODREJPROP,EQUITY,1432.0,1527.9,1233.1,1257.2,0
2021-02-28,GODREJPROP,EQUITY,1337.5,1564.65,1330.0,1540.55,0
2021-03-31,GODREJPROP,EQUITY,1547.65,1555.0,1267.0,1406.75,0
2021-04-30,GODREJPROP,EQUITY,1380.3,1407.0,1272.05,1368.35,0
2021-05-31,GODREJPROP,EQUITY,1335.55,1394.9,1210.15,1369.7,0
2021-06-30,GODREJPROP,EQUITY,1380.0,1445.9,1331.35,1397.8,0
2021-07-31,GODREJPROP,EQUITY,1402.85,1624.0,1383.05,1602.35,0
2021-08-31,GODREJPROP,EQUITY,1601.0,1697.85,1431.4,1489.0,0
2021-09-30,GODREJPROP,EQUITY,1568.3,2410.0,1560.0,2311.9,0
2021-10-31,GODREJPROP,EQUITY,2345.0,2598.0,2186.3,2233.3,0
2021-11-30,GODREJPROP,EQUITY,2247.1,2471.55,1960.0,1996.7,0
2021-12-31,GODREJPROP,EQUITY,1973.8,2125.0,1766.35,1871.8,0
2022-01-31,GODREJPROP,EQUITY,1919.55,2012.5,1548.0,1715.15,0
2022-02-28,GODREJPROP,EQUITY,1736.0,1792.0,1432.0,1502.15,0
2022-03-31,GODREJPROP,EQUITY,1507.0,1685.0,1368.0,1672.2,0
2022-04-30,GODREJPROP,EQUITY,1673.2,1715.15,1503.55,1573.45,0
2022-05-31,GODREJPROP,EQUITY,1667.0,1668.55,1229.1,1399.5,0
2022-06-30,GODREJPROP,EQUITY,1398.0,1403.1,1129.55,1182.95,0
2022-07-31,GODREJPROP,EQUITY,1167.0,1515.0,1167.0,1507.6,0
2022-08-31,GODREJPROP,EQUITY,1514.25,1525.0,1285.15,1407.7,0
2022-09-30,GODREJPROP,EQUITY,1436.8,1483.5,1131.0,1193.9,0
2022-10-31,GODREJPROP,EQUITY,1201.8,1269.0,1151.5,1263.0,0
2022-11-30,GODREJPROP,EQUITY,1268.0,1319.9,1154.25,1305.15,0
2022-12-31,GODREJPROP,EQUITY,1315.0,1361.85,1165.25,1224.7,0
2023-01-31,GODREJPROP,EQUITY,1224.7,1264.0,1140.8,1181.6,0
2023-02-28,GODREJPROP,EQUITY,1189.0,1217.75,1061.05,1100.4,0
2023-03-31,GODREJPROP,EQUITY,1106.0,1184.6,1005.0,1031.05,0
