DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,GSPL,EQUITY,114.45,135.95,113.0,118.8,0
2015-02-28,GSPL,EQUITY,115.95,123.6,101.0,120.5,0
2015-03-31,GSPL,EQUITY,117.2,128.2,104.4,124.05,0
2015-04-30,GSPL,EQUITY,124.85,127.45,116.6,120.1,0
2015-05-31,GSPL,EQUITY,124.5,124.5,108.4,120.5,0
2015-06-30,GSPL,EQUITY,120.0,122.45,112.05,118.65,0
2015-07-31,GSPL,EQUITY,116.5,136.95,116.5,129.7,0
2015-08-31,GSPL,EQUITY,128.9,141.45,114.4,123.2,0
2015-09-30,GSPL,EQUITY,122.5,123.35,109.3,117.7,0
2015-10-31,GSPL,EQUITY,118.95,131.8,115.1,129.45,0
2015-11-30,GSPL,EQUITY,130.4,136.0,121.0,135.75,0
2015-12-31,GSPL,EQUITY,136.25,139.3,127.0,136.9,0
2016-01-31,GSPL,EQUITY,137.0,154.15,130.0,138.9,0
2016-02-29,GSPL,EQUITY,136.0,143.5,121.0,126.85,0
2016-03-31,GSPL,EQUITY,134.65,144.8,120.1,141.7,0
2016-04-30,GSPL,EQUITY,139.95,146.8,131.2,137.7,0
2016-05-31,GSPL,EQUITY,137.05,142.6,129.35,132.5,0
2016-06-30,GSPL,EQUITY,133.0,145.5,128.7,143.3,0
2016-07-31,GSPL,EQUITY,143.85,144.8,127.05,132.6,0
2016-08-31,GSPL,EQUITY,133.0,164.4,129.45,151.8,0
2016-09-30,GSPL,EQUITY,150.9,159.9,144.2,156.25,0
2016-10-31,GSPL,EQUITY,155.6,172.8,150.75,157.6,0
2016-11-30,GSPL,EQUITY,159.2,160.95,146.3,156.9,0
2016-12-31,GSPL,EQUITY,156.8,158.45,127.05,139.75,0
2017-01-31,GSPL,EQUITY,140.0,161.3,135.55,152.25,0
2017-02-28,GSPL,EQUITY,152.2,170.4,151.25,154.45,0
2017-03-31,GSPL,EQUITY,154.05,169.95,152.7,161.5,0
2017-04-30,GSPL,EQUITY,165.0,204.3,158.7,181.0,0
2017-05-31,GSPL,EQUITY,184.0,186.4,169.1,170.4,0
2017-06-30,GSPL,EQUITY,171.1,181.4,156.1,176.55,0
2017-07-31,GSPL,EQUITY,177.0,197.75,164.5,194.75,0
2017-08-31,GSPL,EQUITY,188.8,199.0,174.25,191.0,0
2017-09-30,GSPL,EQUITY,189.25,212.0,185.45,200.3,0
2017-10-31,GSPL,EQUITY,203.2,214.9,192.0,204.5,0
2017-11-30,GSPL,EQUITY,205.0,223.0,200.0,210.15,0
2017-12-31,GSPL,EQUITY,211.0,235.8,197.25,227.5,0
2018-01-31,GSPL,EQUITY,227.1,229.8,200.5,202.85,0
2018-02-28,GSPL,EQUITY,203.05,210.75,185.0,207.05,0
2018-03-31,GSPL,EQUITY,207.75,209.55,173.65,189.5,0
2018-04-30,GSPL,EQUITY,185.85,193.0,177.2,178.45,0
2018-05-31,GSPL,EQUITY,179.0,184.9,165.2,179.35,0
2018-06-30,GSPL,EQUITY,177.0,197.85,176.0,179.95,0
2018-07-31,GSPL,EQUITY,179.85,200.9,174.4,198.0,0
2018-08-31,GSPL,EQUITY,199.45,207.0,180.15,192.5,0
2018-09-30,GSPL,EQUITY,190.2,194.8,156.45,174.45,0
2018-10-31,GSPL,EQUITY,175.85,183.75,161.2,179.0,0
2018-11-30,GSPL,EQUITY,178.1,190.95,177.2,187.15,0
2018-12-31,GSPL,EQUITY,189.5,189.5,172.85,175.85,0
2019-01-31,GSPL,EQUITY,176.0,187.3,167.5,176.05,0
2019-02-28,GSPL,EQUITY,176.7,180.05,148.65,157.25,0
2019-03-31,GSPL,EQUITY,158.05,193.3,157.6,190.7,0
2019-04-30,GSPL,EQUITY,191.05,200.8,172.45,199.9,0
2019-05-31,GSPL,EQUITY,199.7,199.75,168.1,193.5,0
2019-06-30,GSPL,EQUITY,190.1,200.7,174.5,196.25,0
2019-07-31,GSPL,EQUITY,195.0,215.5,182.35,211.95,0
2019-08-31,GSPL,EQUITY,213.5,226.0,198.5,219.85,0
2019-09-30,GSPL,EQUITY,214.95,230.0,206.1,216.95,0
2019-10-31,GSPL,EQUITY,216.2,219.0,201.0,209.25,0
2019-11-30,GSPL,EQUITY,209.25,224.0,208.1,215.25,0
2019-12-31,GSPL,EQUITY,215.5,228.0,209.15,219.5,0
2020-01-31,GSPL,EQUITY,218.35,263.8,218.35,253.6,0
2020-02-29,GSPL,EQUITY,243.2,252.95,224.05,225.45,0
2020-03-31,GSPL,EQUITY,225.45,237.9,146.15,172.45,0
2020-04-30,GSPL,EQUITY,181.0,211.3,173.05,207.25,0
2020-05-31,GSPL,EQUITY,200.25,205.0,177.6,197.5,0
2020-06-30,GSPL,EQUITY,200.0,229.0,200.0,220.75,0
2020-07-31,GSPL,EQUITY,222.0,229.8,199.25,204.75,0
2020-08-31,GSPL,EQUITY,201.05,224.35,195.5,203.55,0
2020-09-30,GSPL,EQUITY,205.0,224.8,192.55,208.55,0
2020-10-31,GSPL,EQUITY,209.0,210.0,177.4,193.2,0
2020-11-30,GSPL,EQUITY,193.9,228.4,184.05,219.55,0
2020-12-31,GSPL,EQUITY,227.8,238.7,196.85,221.6,0
2021-01-31,GSPL,EQUITY,222.0,223.45,190.9,198.0,0
2021-02-28,GSPL,EQUITY,202.45,276.7,199.0,249.8,0
2021-03-31,GSPL,EQUITY,252.45,311.45,249.05,273.35,0
2021-04-30,GSPL,EQUITY,275.9,280.4,220.25,269.65,0
2021-05-31,GSPL,EQUITY,270.1,287.9,262.0,271.05,0
2021-06-30,GSPL,EQUITY,273.9,342.1,273.05,333.4,0
2021-07-31,GSPL,EQUITY,333.3,359.55,308.7,346.1,0
2021-08-31,GSPL,EQUITY,348.75,379.2,321.0,350.65,0
2021-09-30,GSPL,EQUITY,350.0,357.6,302.4,316.0,0
2021-10-31,GSPL,EQUITY,310.0,336.5,300.0,305.15,0
2021-11-30,GSPL,EQUITY,304.75,326.7,291.7,313.3,0
2021-12-31,GSPL,EQUITY,313.05,326.0,282.4,295.15,0
2022-01-31,GSPL,EQUITY,300.4,332.4,285.95,300.85,0
2022-02-28,GSPL,EQUITY,300.05,328.0,265.35,289.5,0
2022-03-31,GSPL,EQUITY,288.0,292.35,251.0,259.05,0
2022-04-30,GSPL,EQUITY,259.8,292.4,255.9,261.95,0
2022-05-31,GSPL,EQUITY,266.0,274.2,246.65,254.5,0
2022-06-30,GSPL,EQUITY,253.5,256.9,209.45,217.9,0
2022-07-31,GSPL,EQUITY,220.4,242.3,215.55,232.4,0
2022-08-31,GSPL,EQUITY,238.0,251.6,233.45,242.3,0
2022-09-30,GSPL,EQUITY,241.0,262.0,220.45,230.95,0
2022-10-31,GSPL,EQUITY,232.15,232.45,214.9,226.15,0
2022-11-30,GSPL,EQUITY,227.0,283.7,223.25,269.5,0
2022-12-31,GSPL,EQUITY,274.4,284.5,248.55,263.7,0
2023-01-31,GSPL,EQUITY,266.0,284.7,261.0,269.8,0
2023-02-28,GSPL,EQUITY,270.85,287.0,256.2,282.85,0
2023-03-31,GSPL,EQUITY,282.85,298.4,261.15,265.0,0
2023-04-30,GSPL,EQUITY,266.0,293.3,262.0,284.95,0
2023-05-31,GSPL,EQUITY,283.3,304.45,272.6,300.5,0
2023-06-30,GSPL,EQUITY,304.0,310.75,283.0,284.45,0
2023-07-31,GSPL,EQUITY,287.45,301.7,282.3,288.35,0
2023-08-31,GSPL,EQUITY,289.9,292.0,268.05,276.15,0
2023-09-30,GSPL,EQUITY,272.8,297.3,271.5,282.2,0
2023-10-31,GSPL,EQUITY,283.4,299.4,266.1,267.5,0
2023-11-30,GSPL,EQUITY,268.9,290.0,254.5,288.5,0
2023-12-31,GSPL,EQUITY,290.0,315.5,279.0,306.0,0
2024-01-31,GSPL,EQUITY,307.5,379.0,306.1,367.85,0
2024-02-29,GSPL,EQUITY,369.0,403.25,339.1,368.9,0
2024-03-31,GSPL,EQUITY,371.9,377.0,329.6,356.5,0
2024-04-30,GSPL,EQUITY,356.55,399.5,292.0,296.0,0
2024-05-31,GSPL,EQUITY,296.5,314.5,284.5,290.0,0
2024-06-30,GSPL,EQUITY,299.0,311.3,275.5,296.55,0
2024-07-31,GSPL,EQUITY,303.0,429.35,300.2,339.25,0
2024-08-31,GSPL,EQUITY,313.05,447.0,310.45,442.6,0
2024-09-30,GSPL,EQUITY,446.0,446.8,369.7,425.05,0
2024-10-31,GSPL,EQUITY,313.2,439.9,306.45,389.1,0
2024-11-30,GSPL,EQUITY,319.9,394.8,316.05,354.15,0
2024-12-31,GSPL,EQUITY,430.7,435.0,350.0,361.9,0
2025-01-31,GSPL,EQUITY,360.05,387.0,287.55,345.7,0
2025-02-28,GSPL,EQUITY,294.0,338.9,270.0,272.25,0
2025-03-31,GSPL,EQUITY,274.75,340.9,262.5,291.3,0
2025-04-30,GSPL,EQUITY,337.4,345.0,261.45,325.0,0
2025-05-31,GSPL,EQUITY,342.95,360.6,291.5,328.8,0
2025-06-30,GSPL,EQUITY,340.0,344.4,286.0,329.55,0
2025-07-31,GSPL,EQUITY,355.5,363.75,271.5,315.25,0
2025-08-31,GSPL,EQUITY,358.05,361.95,286.45,289.9,0
2025-09-30,GSPL,EQUITY,350.35,357.4,281.9,309.55,0
2025-10-31,GSPL,EQUITY,352.15,355.1,278.25,309.65,0
2025-11-30,GSPL,EQUITY,279.2,338.85,273.15,287.5,0
2025-12-31,GSPL,EQUITY,306.6,332.1,271.15,306.25,0
2026-01-31,GSPL,EQUITY,308.0,323.4,286.5,304.6,0
2026-02-28,GSPL,EQUITY,303.95,308.55,300.95,304.75,0
2026-03-31,GSPL,EQUITY,291.15,311.4,230.1,234.45,0
