DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-03-31,HAL,EQUITY,1152.0,1184.95,1121.0,1132.85,0
2018-04-30,HAL,EQUITY,1130.0,1164.0,1080.1,1124.35,0
2018-05-31,HAL,EQUITY,1119.0,1131.95,1005.05,1057.1,0
2018-06-30,HAL,EQUITY,1040.0,1040.05,840.0,844.4,0
2018-07-31,HAL,EQUITY,844.2,976.9,770.05,968.6,0
2018-08-31,HAL,EQUITY,978.0,999.0,885.0,892.25,0
2018-09-30,HAL,EQUITY,900.0,968.15,777.0,779.8,0
2018-10-31,HAL,EQUITY,795.0,827.7,740.0,760.6,0
2018-11-30,HAL,EQUITY,769.0,948.0,752.0,790.3,0
2018-12-31,HAL,EQUITY,789.0,825.3,743.0,806.85,0
2019-01-31,HAL,EQUITY,806.05,828.0,709.0,710.9,0
2019-02-28,HAL,EQUITY,711.05,747.95,610.05,652.8,0
2019-03-31,HAL,EQUITY,657.25,777.0,655.0,706.45,0
2019-04-30,HAL,EQUITY,702.0,729.5,665.25,667.85,0
2019-05-31,HAL,EQUITY,667.1,741.0,620.85,710.3,0
2019-06-30,HAL,EQUITY,710.0,758.0,670.0,714.5,0
2019-07-31,HAL,EQUITY,711.5,729.0,660.0,661.25,0
2019-08-31,HAL,EQUITY,659.9,680.0,625.0,650.05,0
2019-09-30,HAL,EQUITY,639.0,776.0,634.35,706.3,0
2019-10-31,HAL,EQUITY,717.9,815.0,661.5,762.85,0
2019-11-30,HAL,EQUITY,765.0,827.85,753.0,774.95,0
2019-12-31,HAL,EQUITY,776.0,792.85,711.0,730.4,0
2020-01-31,HAL,EQUITY,735.0,895.9,721.7,804.1,0
2020-02-29,HAL,EQUITY,760.0,825.0,683.05,686.05,0
2020-03-31,HAL,EQUITY,696.0,708.0,470.0,520.3,0
2020-04-30,HAL,EQUITY,543.85,622.0,513.55,527.15,0
2020-05-31,HAL,EQUITY,512.35,580.25,495.1,556.15,0
2020-06-30,HAL,EQUITY,560.0,817.9,555.15,772.15,0
2020-07-31,HAL,EQUITY,765.0,1028.0,754.7,872.45,0
2020-08-31,HAL,EQUITY,904.3,1423.0,900.0,926.15,0
2020-09-30,HAL,EQUITY,926.0,938.0,744.25,806.1,0
2020-10-31,HAL,EQUITY,813.0,828.7,684.4,687.1,0
2020-11-30,HAL,EQUITY,691.0,825.8,664.6,818.5,0
2020-12-31,HAL,EQUITY,832.0,885.0,761.0,846.25,0
2021-01-31,HAL,EQUITY,849.0,1048.0,847.6,925.3,0
2021-02-28,HAL,EQUITY,916.0,1115.0,915.0,1087.05,0
2021-03-31,HAL,EQUITY,1090.0,1123.85,973.0,994.95,0
