DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,HDFCBANK,EQUITY,951.0,1100.6,936.25,1077.35,0
2015-02-28,HDFCBANK,EQUITY,1068.5,1093.0,1034.5,1054.0,0
2015-03-31,HDFCBANK,EQUITY,1080.35,1099.0,1002.1,1022.7,0
2015-04-30,HDFCBANK,EQUITY,1035.0,1059.0,979.05,988.8,0
2015-05-31,HDFCBANK,EQUITY,999.05,1054.0,955.4,1050.55,0
2015-06-30,HDFCBANK,EQUITY,1048.95,1072.0,994.7,1067.15,0
2015-07-31,HDFCBANK,EQUITY,1061.35,1128.0,1060.05,1111.65,0
2015-08-31,HDFCBANK,EQUITY,1098.1,1105.95,1005.7,1027.45,0
2015-09-30,HDFCBANK,EQUITY,1021.3,1073.9,980.0,1068.8,0
2015-10-31,HDFCBANK,EQUITY,1107.0,1124.0,1067.05,1099.6,0
2015-11-30,HDFCBANK,EQUITY,1095.05,1095.9,1041.0,1077.75,0
2015-12-31,HDFCBANK,EQUITY,1077.05,1092.7,1040.1,1082.15,0
2016-01-31,HDFCBANK,EQUITY,1082.4,1108.0,1007.9,1049.85,0
2016-02-29,HDFCBANK,EQUITY,1065.0,1065.25,928.0,971.85,0
2016-03-31,HDFCBANK,EQUITY,998.0,1078.9,995.0,1071.15,0
2016-04-30,HDFCBANK,EQUITY,1068.8,1136.7,1042.85,1132.35,0
2016-05-31,HDFCBANK,EQUITY,1127.75,1195.0,1114.25,1181.9,0
2016-06-30,HDFCBANK,EQUITY,1182.95,1191.85,1144.25,1176.45,0
2016-07-31,HDFCBANK,EQUITY,1180.0,1251.25,1160.9,1246.2,0
2016-08-31,HDFCBANK,EQUITY,1249.0,1295.0,1213.8,1291.2,0
2016-09-30,HDFCBANK,EQUITY,1285.5,1318.45,1265.4,1272.85,0
2016-10-31,HDFCBANK,EQUITY,1281.0,1300.05,1224.15,1259.05,0
2016-11-30,HDFCBANK,EQUITY,1256.0,1289.0,1158.0,1199.6,0
2016-12-31,HDFCBANK,EQUITY,1202.3,1212.0,1163.6,1206.2,0
2017-01-31,HDFCBANK,EQUITY,1209.45,1300.0,1185.75,1286.65,0
2017-02-28,HDFCBANK,EQUITY,1286.2,1454.0,1280.5,1390.1,0
2017-03-31,HDFCBANK,EQUITY,1396.45,1479.95,1369.0,1442.55,0
2017-04-30,HDFCBANK,EQUITY,1435.25,1573.95,1427.55,1546.5,0
2017-05-31,HDFCBANK,EQUITY,1539.25,1648.0,1522.6,1636.2,0
2017-06-30,HDFCBANK,EQUITY,1639.0,1716.0,1620.55,1652.05,0
2017-07-31,HDFCBANK,EQUITY,1652.6,1798.8,1647.25,1784.4,0
2017-08-31,HDFCBANK,EQUITY,1807.0,1807.0,1731.15,1776.45,0
2017-09-30,HDFCBANK,EQUITY,1781.0,1868.0,1738.0,1805.7,0
2017-10-31,HDFCBANK,EQUITY,1808.0,1879.6,1757.85,1808.5,0
2017-11-30,HDFCBANK,EQUITY,1815.1,1875.5,1788.0,1853.7,0
2017-12-31,HDFCBANK,EQUITY,1854.9,1903.1,1799.0,1872.4,0
2018-01-31,HDFCBANK,EQUITY,1872.7,2013.5,1850.5,2005.7,0
2018-02-28,HDFCBANK,EQUITY,2006.0,2015.0,1841.55,1884.2,0
2018-03-31,HDFCBANK,EQUITY,1879.3,1900.0,1828.5,1886.1,0
2018-04-30,HDFCBANK,EQUITY,1912.95,1979.0,1860.3,1944.3,0
2018-05-31,HDFCBANK,EQUITY,1950.0,2160.0,1946.0,2139.45,0
2018-06-30,HDFCBANK,EQUITY,2150.0,2157.0,2009.1,2108.45,0
2018-07-31,HDFCBANK,EQUITY,2108.35,2220.0,2063.25,2179.5,0
2018-08-31,HDFCBANK,EQUITY,2162.8,2175.0,2058.25,2061.2,0
2018-09-30,HDFCBANK,EQUITY,2069.4,2078.95,1910.2,2006.05,0
2018-10-31,HDFCBANK,EQUITY,2009.8,2042.0,1885.0,1911.75,0
2018-11-30,HDFCBANK,EQUITY,1930.0,2137.55,1896.0,2128.45,0
2018-12-31,HDFCBANK,EQUITY,2131.0,2159.4,2032.0,2121.7,0
