DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,HFCL,EQUITY,18.15,20.45,16.4,16.9,0
2015-02-28,HFCL,EQUITY,16.95,17.3,15.35,15.75,0
2015-03-31,HFCL,EQUITY,15.6,17.4,13.2,13.35,0
2015-04-30,HFCL,EQUITY,14.85,16.4,13.3,13.45,0
2015-05-31,HFCL,EQUITY,13.95,14.45,11.95,12.0,0
2015-06-30,HFCL,EQUITY,12.1,12.75,9.25,11.55,0
2015-07-31,HFCL,EQUITY,11.8,15.3,11.6,13.25,0
2015-08-31,HFCL,EQUITY,15.55,16.9,10.85,13.25,0
2015-09-30,HFCL,EQUITY,13.15,16.9,11.65,16.45,0
2015-10-31,HFCL,EQUITY,16.3,18.7,15.75,15.9,0
2015-11-30,HFCL,EQUITY,15.9,19.9,14.4,19.15,0
2015-12-31,HFCL,EQUITY,19.6,22.2,16.85,20.55,0
2016-01-31,HFCL,EQUITY,20.6,24.65,16.65,20.85,0
2016-02-29,HFCL,EQUITY,21.85,22.25,15.15,16.8,0
2016-03-31,HFCL,EQUITY,18.25,18.7,14.1,16.2,0
2016-04-30,HFCL,EQUITY,16.2,19.75,16.05,18.35,0
2016-05-31,HFCL,EQUITY,18.3,19.15,15.7,16.8,0
2016-06-30,HFCL,EQUITY,16.85,19.2,16.0,18.3,0
2016-07-31,HFCL,EQUITY,18.25,19.7,17.5,17.55,0
2016-08-31,HFCL,EQUITY,17.6,17.75,15.85,17.1,0
2016-09-30,HFCL,EQUITY,16.85,17.4,14.6,14.85,0
2016-10-31,HFCL,EQUITY,14.9,16.5,14.65,15.15,0
2016-11-30,HFCL,EQUITY,15.2,15.6,11.0,12.65,0
2016-12-31,HFCL,EQUITY,12.7,13.55,11.9,12.55,0
2017-01-31,HFCL,EQUITY,12.65,14.8,12.45,13.9,0
2017-02-28,HFCL,EQUITY,13.9,15.6,13.1,14.1,0
2017-03-31,HFCL,EQUITY,14.15,14.4,12.5,12.75,0
2017-04-30,HFCL,EQUITY,13.3,16.95,13.3,15.4,0
2017-05-31,HFCL,EQUITY,15.3,16.05,12.8,12.9,0
2017-06-30,HFCL,EQUITY,12.85,13.6,11.85,11.9,0
2017-07-31,HFCL,EQUITY,12.0,19.15,11.95,18.15,0
2017-08-31,HFCL,EQUITY,17.85,19.2,14.6,17.95,0
2017-09-30,HFCL,EQUITY,18.2,35.95,18.05,24.1,0
2017-10-31,HFCL,EQUITY,24.35,31.4,22.95,29.5,0
2017-11-30,HFCL,EQUITY,29.65,32.0,26.3,28.65,0
2017-12-31,HFCL,EQUITY,28.95,31.6,25.65,28.65,0
2018-01-31,HFCL,EQUITY,29.0,36.65,28.6,29.2,0
2018-02-28,HFCL,EQUITY,29.45,31.4,24.55,29.95,0
2018-03-31,HFCL,EQUITY,30.1,30.7,24.65,25.85,0
2018-04-30,HFCL,EQUITY,27.7,28.45,25.95,27.9,0
2018-05-31,HFCL,EQUITY,28.0,28.8,25.25,25.75,0
2018-06-30,HFCL,EQUITY,25.3,35.25,24.25,28.95,0
2018-07-31,HFCL,EQUITY,29.05,31.35,24.55,25.95,0
2018-08-31,HFCL,EQUITY,26.25,27.05,23.8,25.7,0
2018-09-30,HFCL,EQUITY,25.9,26.4,18.45,19.75,0
2018-10-31,HFCL,EQUITY,19.7,22.45,18.5,21.1,0
2018-11-30,HFCL,EQUITY,21.55,21.7,18.0,18.1,0
2018-12-31,HFCL,EQUITY,18.2,22.55,17.0,21.2,0
2019-01-31,HFCL,EQUITY,21.3,25.15,20.9,22.8,0
2019-02-28,HFCL,EQUITY,22.9,23.15,20.95,21.15,0
2019-03-31,HFCL,EQUITY,21.25,25.3,21.25,22.55,0
2019-04-30,HFCL,EQUITY,22.7,24.4,21.8,22.15,0
2019-05-31,HFCL,EQUITY,22.0,22.75,19.7,21.15,0
2019-06-30,HFCL,EQUITY,21.15,22.1,19.45,19.5,0
2019-07-31,HFCL,EQUITY,19.75,22.25,18.65,19.55,0
2019-08-31,HFCL,EQUITY,19.4,20.5,18.4,18.8,0
2019-09-30,HFCL,EQUITY,18.55,20.3,17.8,18.0,0
2019-10-31,HFCL,EQUITY,18.1,19.35,16.8,17.75,0
2019-11-30,HFCL,EQUITY,17.8,18.2,16.95,17.1,0
2019-12-31,HFCL,EQUITY,17.2,20.05,16.95,17.55,0
2020-01-31,HFCL,EQUITY,17.65,18.45,16.8,16.95,0
2020-02-29,HFCL,EQUITY,16.8,17.5,14.1,14.55,0
2020-03-31,HFCL,EQUITY,14.75,14.95,8.1,9.05,0
2020-04-30,HFCL,EQUITY,8.95,12.75,8.65,10.85,0
2020-05-31,HFCL,EQUITY,10.6,11.0,8.7,9.5,0
2020-06-30,HFCL,EQUITY,9.7,16.8,9.7,15.9,0
2020-07-31,HFCL,EQUITY,16.0,16.5,11.3,12.5,0
2020-08-31,HFCL,EQUITY,12.25,18.7,12.15,15.4,0
2020-09-30,HFCL,EQUITY,15.6,18.3,13.7,15.85,0
2020-10-31,HFCL,EQUITY,16.05,17.95,15.7,17.25,0
2020-11-30,HFCL,EQUITY,17.35,19.8,16.75,18.45,0
2020-12-31,HFCL,EQUITY,20.0,27.25,19.65,25.8,0
2021-01-31,HFCL,EQUITY,25.95,34.65,25.6,28.9,0
2021-02-28,HFCL,EQUITY,28.75,31.85,25.9,29.15,0
2021-03-31,HFCL,EQUITY,29.35,30.6,25.0,25.15,0
2021-04-30,HFCL,EQUITY,25.4,29.0,23.2,27.8,0
2021-05-31,HFCL,EQUITY,27.9,51.4,27.6,45.3,0
2021-06-30,HFCL,EQUITY,45.7,72.7,42.6,67.5,0
2021-07-31,HFCL,EQUITY,67.85,95.7,66.25,83.5,0
2021-10-31,HFCL,EQUITY,79.5,82.85,68.8,71.25,0
2021-11-30,HFCL,EQUITY,73.0,79.1,68.0,71.8,0
2021-12-31,HFCL,EQUITY,72.5,93.7,70.45,78.8,0
2022-01-31,HFCL,EQUITY,81.3,101.35,75.6,79.35,0
2022-02-28,HFCL,EQUITY,84.25,85.75,63.0,72.75,0
2022-03-31,HFCL,EQUITY,71.5,79.65,68.85,78.7,0
2022-04-30,HFCL,EQUITY,79.0,86.3,73.75,74.2,0
2022-05-31,HFCL,EQUITY,68.2,70.1,57.6,62.95,0
2022-06-30,HFCL,EQUITY,64.0,66.3,51.55,55.15,0
2022-07-31,HFCL,EQUITY,55.15,71.8,54.25,66.55,0
2022-08-31,HFCL,EQUITY,66.4,77.8,64.5,74.3,0
2022-09-30,HFCL,EQUITY,74.25,81.4,68.65,72.85,0
2022-10-31,HFCL,EQUITY,75.0,83.4,73.15,82.7,0
2022-11-30,HFCL,EQUITY,83.15,85.2,76.5,79.5,0
2022-12-31,HFCL,EQUITY,79.9,88.8,65.65,73.7,0
2023-01-31,HFCL,EQUITY,73.9,77.65,67.1,69.3,0
2023-02-28,HFCL,EQUITY,70.0,71.5,62.8,63.85,0
2023-03-31,HFCL,EQUITY,63.9,68.7,55.75,60.95,0
2023-04-30,HFCL,EQUITY,61.5,65.7,60.35,64.8,0
2023-05-31,HFCL,EQUITY,65.0,69.2,62.8,64.7,0
2023-06-30,HFCL,EQUITY,64.8,72.3,64.3,64.95,0
2023-07-31,HFCL,EQUITY,67.05,68.1,63.45,63.8,0
2023-08-31,HFCL,EQUITY,66.3,76.9,64.4,76.2,0
2023-09-30,HFCL,EQUITY,77.4,80.95,71.2,77.15,0
2023-10-31,HFCL,EQUITY,76.7,78.25,61.5,65.2,0
2023-11-30,HFCL,EQUITY,65.35,71.25,64.25,66.65,0
2023-12-31,HFCL,EQUITY,67.0,87.4,65.95,84.15,0
2024-01-31,HFCL,EQUITY,85.9,108.8,81.2,103.1,0
2024-02-29,HFCL,EQUITY,103.95,117.8,89.95,107.3,0
2024-03-31,HFCL,EQUITY,107.95,112.3,80.25,91.8,0
2024-04-30,HFCL,EQUITY,92.55,103.8,89.55,100.5,0
2024-05-31,HFCL,EQUITY,101.85,131.5,90.2,103.75,0
2024-06-30,HFCL,EQUITY,108.1,130.5,83.85,113.17,0
2024-07-31,HFCL,EQUITY,114.99,141.5,105.4,134.54,0
2024-08-31,HFCL,EQUITY,131.0,152.0,128.58,149.62,0
2024-09-30,HFCL,EQUITY,152.7,171.0,130.51,148.39,0
2024-10-31,HFCL,EQUITY,127.0,156.35,111.51,121.69,0
2024-11-30,HFCL,EQUITY,123.85,135.93,120.02,129.09,0
2024-12-31,HFCL,EQUITY,147.85,152.29,109.81,112.63,0
2025-01-31,HFCL,EQUITY,112.86,114.93,70.11,98.03,0
2025-02-28,HFCL,EQUITY,80.87,94.1,70.22,79.19,0
2025-03-31,HFCL,EQUITY,79.5,90.09,68.56,79.1,0
2025-04-30,HFCL,EQUITY,99.9,102.75,69.86,79.39,0
2025-05-31,HFCL,EQUITY,101.05,105.11,67.45,87.59,0
2025-06-30,HFCL,EQUITY,102.45,102.84,74.16,86.54,0
2025-07-31,HFCL,EQUITY,107.6,110.45,71.6,75.57,0
2025-08-31,HFCL,EQUITY,109.05,109.38,65.7,70.23,0
2025-09-30,HFCL,EQUITY,107.2,108.15,64.95,72.88,0
2025-10-31,HFCL,EQUITY,104.7,104.94,70.17,73.51,0
2025-11-30,HFCL,EQUITY,79.89,93.6,65.75,70.17,0
2025-12-31,HFCL,EQUITY,93.25,93.25,60.72,67.79,0
2026-01-31,HFCL,EQUITY,67.79,71.29,59.82,68.61,0
2026-02-28,HFCL,EQUITY,69.5,71.0,67.85,68.51,0
2026-03-31,HFCL,EQUITY,66.24,77.2,64.5,70.76,0
