DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,IDEA,EQUITY,154.0,172.1,144.6,154.85,0
2015-02-28,IDEA,EQUITY,154.1,161.1,148.55,154.75,0
2015-03-31,IDEA,EQUITY,153.1,187.5,143.1,184.0,0
2015-04-30,IDEA,EQUITY,189.65,204.0,173.75,175.0,0
2015-05-31,IDEA,EQUITY,178.4,182.1,165.0,173.2,0
2015-06-30,IDEA,EQUITY,173.6,180.4,166.2,176.15,0
2015-07-31,IDEA,EQUITY,176.5,186.5,165.75,173.35,0
2015-08-31,IDEA,EQUITY,171.1,171.65,141.0,155.85,0
2015-09-30,IDEA,EQUITY,153.7,155.45,137.15,149.5,0
2015-10-31,IDEA,EQUITY,154.8,160.25,138.0,140.0,0
2015-11-30,IDEA,EQUITY,141.0,149.75,129.05,141.4,0
2015-12-31,IDEA,EQUITY,141.1,145.2,129.1,143.65,0
2016-01-31,IDEA,EQUITY,142.95,144.45,102.3,103.15,0
2016-02-29,IDEA,EQUITY,105.0,112.35,98.8,104.3,0
2016-03-31,IDEA,EQUITY,105.7,115.1,98.05,110.2,0
2016-04-30,IDEA,EQUITY,110.5,128.35,106.4,118.55,0
2016-05-31,IDEA,EQUITY,118.0,121.05,105.3,114.95,0
2016-06-30,IDEA,EQUITY,115.75,118.25,96.55,106.6,0
2016-07-31,IDEA,EQUITY,107.0,112.65,102.6,104.7,0
2016-08-31,IDEA,EQUITY,105.05,106.25,92.9,93.45,0
2016-09-30,IDEA,EQUITY,82.1,86.05,78.0,79.1,0
2016-10-31,IDEA,EQUITY,80.1,82.6,71.1,76.2,0
2016-11-30,IDEA,EQUITY,76.8,79.9,69.1,77.45,0
2016-12-31,IDEA,EQUITY,77.1,77.85,68.15,74.15,0
2017-01-31,IDEA,EQUITY,74.5,119.0,66.3,110.1,0
2017-02-28,IDEA,EQUITY,110.3,122.4,101.65,115.85,0
2017-03-31,IDEA,EQUITY,115.0,123.5,85.3,85.85,0
2017-04-30,IDEA,EQUITY,85.1,89.5,84.3,85.95,0
2017-05-31,IDEA,EQUITY,84.0,93.35,75.8,80.0,0
2017-06-30,IDEA,EQUITY,79.25,85.7,76.1,85.25,0
2017-07-31,IDEA,EQUITY,85.25,99.7,81.85,92.45,0
2017-08-31,IDEA,EQUITY,92.95,95.0,84.8,90.65,0
2017-09-30,IDEA,EQUITY,91.0,91.3,74.75,77.45,0
2017-10-31,IDEA,EQUITY,78.7,100.85,71.45,92.85,0
2017-11-30,IDEA,EQUITY,94.3,102.95,91.05,94.45,0
2017-12-31,IDEA,EQUITY,94.5,108.9,89.5,108.15,0
2018-01-31,IDEA,EQUITY,107.4,113.75,91.2,93.1,0
2018-02-28,IDEA,EQUITY,93.5,93.55,80.65,83.9,0
2018-03-31,IDEA,EQUITY,83.95,84.2,74.55,75.9,0
2018-04-30,IDEA,EQUITY,78.0,78.4,67.55,69.15,0
2018-05-31,IDEA,EQUITY,69.4,69.4,50.1,61.5,0
2018-06-30,IDEA,EQUITY,62.8,65.85,54.5,59.35,0
2018-07-31,IDEA,EQUITY,58.9,61.25,48.3,54.85,0
2018-08-31,IDEA,EQUITY,55.25,56.35,48.8,49.35,0
2018-09-30,IDEA,EQUITY,50.45,52.3,36.35,38.55,0
2018-10-31,IDEA,EQUITY,38.75,39.35,32.55,38.65,0
2018-11-30,IDEA,EQUITY,38.9,45.55,35.1,35.3,0
2018-12-31,IDEA,EQUITY,35.65,38.85,32.0,37.75,0
2019-01-31,IDEA,EQUITY,38.0,38.1,28.45,30.1,0
2019-02-28,IDEA,EQUITY,30.3,32.95,29.2,29.9,0
2019-03-31,IDEA,EQUITY,30.4,35.3,17.75,18.25,0
2019-04-30,IDEA,EQUITY,18.25,18.25,14.9,15.45,0
2019-05-31,IDEA,EQUITY,15.35,16.6,11.5,13.95,0
2019-06-30,IDEA,EQUITY,13.95,14.15,11.1,12.15,0
2019-07-31,IDEA,EQUITY,12.1,12.55,6.0,6.85,0
2019-08-31,IDEA,EQUITY,6.9,6.95,4.8,5.35,0
2019-09-30,IDEA,EQUITY,5.15,6.45,4.8,6.15,0
2019-10-31,IDEA,EQUITY,6.3,6.9,3.3,3.9,0
2019-11-30,IDEA,EQUITY,3.85,8.15,2.4,6.85,0
2019-12-31,IDEA,EQUITY,7.5,8.8,5.75,6.15,0
2020-01-31,IDEA,EQUITY,6.2,6.65,3.65,5.3,0
2020-02-29,IDEA,EQUITY,5.2,5.55,2.8,3.85,0
2020-03-31,IDEA,EQUITY,3.9,7.2,2.7,3.1,0
2020-04-30,IDEA,EQUITY,3.05,4.9,3.0,4.2,0
2020-05-31,IDEA,EQUITY,4.25,7.8,4.05,6.55,0
2020-06-30,IDEA,EQUITY,6.45,12.6,6.0,10.6,0
2020-07-31,IDEA,EQUITY,10.4,10.75,7.0,8.4,0
2020-08-31,IDEA,EQUITY,8.7,11.1,7.6,10.2,0
2020-09-30,IDEA,EQUITY,10.8,13.5,7.65,9.55,0
2020-10-31,IDEA,EQUITY,9.3,9.5,7.6,8.75,0
2020-11-30,IDEA,EQUITY,8.8,10.75,8.35,9.8,0
2020-12-31,IDEA,EQUITY,9.95,10.9,8.9,10.65,0
2021-01-31,IDEA,EQUITY,10.75,13.8,10.6,11.2,0
2021-02-28,IDEA,EQUITY,11.85,13.05,10.65,11.3,0
2021-03-31,IDEA,EQUITY,11.1,11.65,8.8,9.25,0
2021-04-30,IDEA,EQUITY,9.3,10.15,8.3,8.35,0
