DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-31,IDFCFIRSTB,EQUITY,47.25,49.5,43.6,45.2,0
2019-02-28,IDFCFIRSTB,EQUITY,45.3,46.25,41.95,44.75,0
2019-03-31,IDFCFIRSTB,EQUITY,45.25,55.7,45.15,55.5,0
2019-04-30,IDFCFIRSTB,EQUITY,55.9,56.85,49.1,49.95,0
2019-05-31,IDFCFIRSTB,EQUITY,49.45,51.2,40.0,45.4,0
2019-06-30,IDFCFIRSTB,EQUITY,45.25,45.7,39.8,43.25,0
2019-07-31,IDFCFIRSTB,EQUITY,43.5,45.35,36.0,41.95,0
2019-08-31,IDFCFIRSTB,EQUITY,41.95,46.75,39.6,43.55,0
2019-09-30,IDFCFIRSTB,EQUITY,42.75,44.55,39.4,40.2,0
2019-10-31,IDFCFIRSTB,EQUITY,40.2,45.0,36.2,44.65,0
2019-11-30,IDFCFIRSTB,EQUITY,44.55,47.95,40.9,46.85,0
2019-12-31,IDFCFIRSTB,EQUITY,47.0,47.65,42.4,45.15,0
2020-01-31,IDFCFIRSTB,EQUITY,45.35,45.95,40.2,40.7,0
2020-02-29,IDFCFIRSTB,EQUITY,39.2,42.7,36.6,36.8,0
2020-03-31,IDFCFIRSTB,EQUITY,37.3,39.25,17.65,21.1,0
2020-04-30,IDFCFIRSTB,EQUITY,20.7,26.9,19.5,21.9,0
2020-05-31,IDFCFIRSTB,EQUITY,21.1,23.25,18.45,22.1,0
2020-06-30,IDFCFIRSTB,EQUITY,23.0,29.25,22.4,25.7,0
2020-07-31,IDFCFIRSTB,EQUITY,25.95,29.2,24.1,26.6,0
2020-08-31,IDFCFIRSTB,EQUITY,26.4,34.5,26.05,32.0,0
2020-09-30,IDFCFIRSTB,EQUITY,32.25,32.75,26.85,29.95,0
2020-10-31,IDFCFIRSTB,EQUITY,30.05,32.25,29.75,30.6,0
2020-11-30,IDFCFIRSTB,EQUITY,31.1,38.5,29.9,36.75,0
2020-12-31,IDFCFIRSTB,EQUITY,37.3,38.7,32.9,37.05,0
2021-01-31,IDFCFIRSTB,EQUITY,37.05,52.45,36.85,47.2,0
2021-02-28,IDFCFIRSTB,EQUITY,47.15,66.8,46.55,63.45,0
2021-03-31,IDFCFIRSTB,EQUITY,63.75,68.85,55.3,55.7,0
2021-04-30,IDFCFIRSTB,EQUITY,56.2,58.35,49.15,54.7,0
2021-05-31,IDFCFIRSTB,EQUITY,54.2,60.15,53.0,58.5,0
2021-06-30,IDFCFIRSTB,EQUITY,58.55,62.0,53.45,54.2,0
2021-07-31,IDFCFIRSTB,EQUITY,54.35,55.0,50.0,52.0,0
2021-08-31,IDFCFIRSTB,EQUITY,48.65,52.1,40.75,42.95,0
2021-09-30,IDFCFIRSTB,EQUITY,44.6,51.6,44.0,47.65,0
2021-10-31,IDFCFIRSTB,EQUITY,47.65,53.5,46.7,49.5,0
2021-11-30,IDFCFIRSTB,EQUITY,50.4,52.95,44.3,44.6,0
2021-12-31,IDFCFIRSTB,EQUITY,45.0,52.7,43.55,48.35,0
2022-01-31,IDFCFIRSTB,EQUITY,49.65,50.6,43.95,46.75,0
2022-02-28,IDFCFIRSTB,EQUITY,47.6,49.45,37.6,42.1,0
2022-03-31,IDFCFIRSTB,EQUITY,41.75,43.55,37.7,39.7,0
2022-04-30,IDFCFIRSTB,EQUITY,39.65,44.2,39.15,39.5,0
2022-05-31,IDFCFIRSTB,EQUITY,39.35,40.8,33.05,36.3,0
2022-06-30,IDFCFIRSTB,EQUITY,36.2,36.5,28.95,31.45,0
2022-07-31,IDFCFIRSTB,EQUITY,31.35,37.8,30.6,37.55,0
2022-08-31,IDFCFIRSTB,EQUITY,42.0,50.4,41.9,49.15,0
2022-09-30,IDFCFIRSTB,EQUITY,49.5,53.75,46.2,49.85,0
2022-10-31,IDFCFIRSTB,EQUITY,49.85,59.45,49.05,56.1,0
2022-11-30,IDFCFIRSTB,EQUITY,56.4,59.7,54.8,58.6,0
2022-12-31,IDFCFIRSTB,EQUITY,58.75,64.3,52.3,58.8,0
2023-01-31,IDFCFIRSTB,EQUITY,58.5,61.85,54.2,58.2,0
2023-02-28,IDFCFIRSTB,EQUITY,58.95,60.35,53.0,55.15,0
2023-03-31,IDFCFIRSTB,EQUITY,55.25,58.1,52.1,55.05,0
2023-04-30,IDFCFIRSTB,EQUITY,55.85,62.0,53.35,61.45,0
2023-05-31,IDFCFIRSTB,EQUITY,64.2,72.0,63.0,71.65,0
2023-06-30,IDFCFIRSTB,EQUITY,71.5,84.5,70.85,79.4,0
2023-07-31,IDFCFIRSTB,EQUITY,80.35,88.3,79.05,87.2,0
2023-08-31,IDFCFIRSTB,EQUITY,88.3,95.8,85.55,93.35,0
2023-09-30,IDFCFIRSTB,EQUITY,91.8,100.7,89.1,95.5,0
2023-10-31,IDFCFIRSTB,EQUITY,95.65,95.65,81.45,82.7,0
2023-11-30,IDFCFIRSTB,EQUITY,82.75,88.9,80.8,85.2,0
2023-12-31,IDFCFIRSTB,EQUITY,85.8,92.45,85.4,88.9,0
2024-01-31,IDFCFIRSTB,EQUITY,88.8,89.65,78.9,84.35,0
2024-02-29,IDFCFIRSTB,EQUITY,84.2,84.65,77.8,81.05,0
2024-03-31,IDFCFIRSTB,EQUITY,81.35,82.85,75.05,75.4,0
2024-04-30,IDFCFIRSTB,EQUITY,76.2,86.1,75.95,82.15,0
2024-05-31,IDFCFIRSTB,EQUITY,82.35,82.65,75.15,76.4,0
2024-06-30,IDFCFIRSTB,EQUITY,80.65,84.5,71.15,82.16,0
2024-07-31,IDFCFIRSTB,EQUITY,81.34,82.07,66.32,75.99,0
2024-08-31,IDFCFIRSTB,EQUITY,81.18,81.35,70.43,73.84,0
2024-09-30,IDFCFIRSTB,EQUITY,73.59,76.07,65.13,74.35,0
2024-10-31,IDFCFIRSTB,EQUITY,79.2,79.34,59.3,65.93,0
2024-11-30,IDFCFIRSTB,EQUITY,78.93,79.09,62.4,64.08,0
2024-12-31,IDFCFIRSTB,EQUITY,71.83,72.87,61.2,63.14,0
2025-01-31,IDFCFIRSTB,EQUITY,63.29,77.39,56.43,63.24,0
2025-02-28,IDFCFIRSTB,EQUITY,57.97,82.29,56.45,58.39,0
2025-03-31,IDFCFIRSTB,EQUITY,58.39,82.7,52.6,54.96,0
2025-04-30,IDFCFIRSTB,EQUITY,62.31,82.0,56.36,64.89,0
