DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,IIFL,EQUITY,170.0,196.5,159.2,179.7,0
2015-02-28,IIFL,EQUITY,178.0,192.25,170.65,181.55,0
2015-03-31,IIFL,EQUITY,176.95,198.8,169.95,178.25,0
2015-04-30,IIFL,EQUITY,175.45,184.0,166.4,174.2,0
2015-05-31,IIFL,EQUITY,174.45,189.45,172.55,187.1,0
2015-06-30,IIFL,EQUITY,188.0,190.45,167.1,173.55,0
2015-07-31,IIFL,EQUITY,174.65,225.95,172.0,196.35,0
2015-08-31,IIFL,EQUITY,195.75,201.0,175.1,189.4,0
2015-09-30,IIFL,EQUITY,190.0,193.25,181.05,189.5,0
2015-10-31,IIFL,EQUITY,186.0,213.05,186.0,192.7,0
2015-11-30,IIFL,EQUITY,194.0,215.2,181.7,211.0,0
2015-12-31,IIFL,EQUITY,213.25,214.9,193.65,212.95,0
2016-01-31,IIFL,EQUITY,212.55,225.4,188.65,208.2,0
2016-02-29,IIFL,EQUITY,210.2,210.2,163.5,164.85,0
2016-03-31,IIFL,EQUITY,170.75,214.8,170.25,206.35,0
2016-04-30,IIFL,EQUITY,204.35,224.0,202.5,217.95,0
2016-05-31,IIFL,EQUITY,217.0,220.0,197.0,200.0,0
2016-06-30,IIFL,EQUITY,204.0,238.0,200.05,222.95,0
2016-07-31,IIFL,EQUITY,226.45,273.4,217.0,267.65,0
2016-08-31,IIFL,EQUITY,268.0,310.0,265.1,278.85,0
2016-09-30,IIFL,EQUITY,298.0,301.8,240.05,272.3,0
2016-10-31,IIFL,EQUITY,277.7,342.4,262.85,334.0,0
2016-11-30,IIFL,EQUITY,328.55,328.55,237.8,264.35,0
2016-12-31,IIFL,EQUITY,264.75,274.95,250.0,261.95,0
2017-01-31,IIFL,EQUITY,262.05,315.85,252.6,295.5,0
2017-02-28,IIFL,EQUITY,294.35,394.0,290.15,372.95,0
2017-03-31,IIFL,EQUITY,373.45,412.4,360.35,400.2,0
2017-04-30,IIFL,EQUITY,402.0,514.6,397.0,479.75,0
2017-05-31,IIFL,EQUITY,487.0,524.8,441.25,499.95,0
2017-06-30,IIFL,EQUITY,504.2,630.0,494.55,608.15,0
2017-07-31,IIFL,EQUITY,611.5,619.9,578.0,598.2,0
2017-08-31,IIFL,EQUITY,593.0,642.7,555.0,620.8,0
2017-09-30,IIFL,EQUITY,620.0,740.0,586.05,607.75,0
