DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,INDIACEM,EQUITY,84.65,115.65,80.35,107.5,0
2015-02-28,INDIACEM,EQUITY,107.5,110.9,88.15,100.4,0
2015-03-31,INDIACEM,EQUITY,100.95,109.8,82.2,86.15,0
2015-04-30,INDIACEM,EQUITY,88.75,112.55,86.5,90.85,0
2015-05-31,INDIACEM,EQUITY,94.3,95.75,86.25,91.75,0
2015-06-30,INDIACEM,EQUITY,93.0,97.2,74.55,94.25,0
2015-07-31,INDIACEM,EQUITY,94.25,99.0,82.4,92.6,0
2015-08-31,INDIACEM,EQUITY,92.45,93.9,63.7,72.55,0
2015-09-30,INDIACEM,EQUITY,72.0,79.5,68.0,78.1,0
2015-10-31,INDIACEM,EQUITY,86.55,88.85,76.25,78.45,0
2015-11-30,INDIACEM,EQUITY,78.8,89.9,75.0,88.95,0
2015-12-31,INDIACEM,EQUITY,89.5,97.5,79.2,96.85,0
2016-01-31,INDIACEM,EQUITY,97.45,102.0,78.4,93.85,0
2016-02-29,INDIACEM,EQUITY,91.4,93.0,63.9,66.45,0
2016-03-31,INDIACEM,EQUITY,71.9,87.5,70.8,86.25,0
2016-04-30,INDIACEM,EQUITY,85.9,95.9,83.6,89.25,0
2016-05-31,INDIACEM,EQUITY,88.95,95.15,83.0,94.2,0
2016-06-30,INDIACEM,EQUITY,94.55,114.3,92.5,113.05,0
2016-07-31,INDIACEM,EQUITY,113.5,126.1,107.5,124.35,0
2016-08-31,INDIACEM,EQUITY,124.3,153.95,115.45,149.8,0
2016-09-30,INDIACEM,EQUITY,152.45,156.25,138.0,144.0,0
2016-10-31,INDIACEM,EQUITY,145.4,164.2,145.0,157.05,0
2016-11-30,INDIACEM,EQUITY,159.0,162.7,104.3,119.65,0
2016-12-31,INDIACEM,EQUITY,120.6,120.7,105.1,116.6,0
2017-01-31,INDIACEM,EQUITY,118.8,148.95,118.15,145.7,0
2017-02-28,INDIACEM,EQUITY,146.25,173.8,144.75,170.1,0
2017-03-31,INDIACEM,EQUITY,170.9,171.75,153.0,162.45,0
2017-04-30,INDIACEM,EQUITY,165.25,221.3,159.35,216.45,0
2017-05-31,INDIACEM,EQUITY,211.0,226.25,179.0,204.55,0
2017-06-30,INDIACEM,EQUITY,205.0,224.6,185.25,197.55,0
2017-07-31,INDIACEM,EQUITY,198.65,218.3,196.55,203.95,0
2017-08-31,INDIACEM,EQUITY,205.0,205.25,168.35,178.0,0
2017-09-30,INDIACEM,EQUITY,178.0,198.0,164.45,172.3,0
2017-10-31,INDIACEM,EQUITY,174.1,199.1,172.65,194.2,0
2017-11-30,INDIACEM,EQUITY,195.0,198.15,161.4,173.85,0
2017-12-31,INDIACEM,EQUITY,173.95,186.9,152.0,183.45,0
2018-01-31,INDIACEM,EQUITY,183.05,205.95,165.85,168.15,0
2018-02-28,INDIACEM,EQUITY,168.75,171.5,146.35,159.25,0
2018-03-31,INDIACEM,EQUITY,159.0,160.85,135.7,141.75,0
2018-04-30,INDIACEM,EQUITY,154.7,155.85,142.55,147.05,0
2018-05-31,INDIACEM,EQUITY,147.7,148.5,121.8,129.95,0
2018-06-30,INDIACEM,EQUITY,126.1,126.7,102.0,105.7,0
2018-07-31,INDIACEM,EQUITY,105.7,121.0,97.1,117.05,0
2018-08-31,INDIACEM,EQUITY,117.6,128.0,107.2,126.4,0
2018-09-30,INDIACEM,EQUITY,126.4,127.65,99.3,101.2,0
2018-10-31,INDIACEM,EQUITY,101.45,102.35,79.95,89.8,0
2018-11-30,INDIACEM,EQUITY,90.65,99.4,87.05,93.95,0
2018-12-31,INDIACEM,EQUITY,94.35,100.0,82.8,96.1,0
2019-01-31,INDIACEM,EQUITY,96.5,96.7,78.3,84.25,0
2019-02-28,INDIACEM,EQUITY,84.85,91.8,74.75,87.65,0
2019-03-31,INDIACEM,EQUITY,88.4,108.7,88.0,108.3,0
2019-04-30,INDIACEM,EQUITY,109.95,116.35,99.25,107.1,0
2019-05-31,INDIACEM,EQUITY,106.8,116.95,90.1,105.6,0
2019-06-30,INDIACEM,EQUITY,105.55,109.8,90.5,99.8,0
2019-07-31,INDIACEM,EQUITY,99.8,107.4,83.0,87.8,0
2019-08-31,INDIACEM,EQUITY,86.9,91.5,67.75,73.95,0
2019-09-30,INDIACEM,EQUITY,72.5,91.9,71.4,79.05,0
2019-10-31,INDIACEM,EQUITY,79.65,86.0,78.95,83.85,0
2019-11-30,INDIACEM,EQUITY,84.2,88.9,77.1,80.7,0
2019-12-31,INDIACEM,EQUITY,80.5,81.3,69.5,71.4,0
2020-01-31,INDIACEM,EQUITY,71.25,89.8,71.25,81.95,0
2020-02-29,INDIACEM,EQUITY,77.7,111.9,69.6,96.35,0
2020-03-31,INDIACEM,EQUITY,99.8,111.75,71.95,105.85,0
2020-04-30,INDIACEM,EQUITY,102.6,111.4,99.0,103.8,0
2020-05-31,INDIACEM,EQUITY,101.65,140.0,97.0,125.55,0
2020-06-30,INDIACEM,EQUITY,126.4,139.55,123.5,128.25,0
2020-07-31,INDIACEM,EQUITY,128.45,129.8,110.7,111.4,0
2020-08-31,INDIACEM,EQUITY,113.6,124.6,112.7,114.6,0
2020-09-30,INDIACEM,EQUITY,115.05,130.2,107.5,117.05,0
2020-10-31,INDIACEM,EQUITY,118.0,125.1,114.4,118.35,0
2020-11-30,INDIACEM,EQUITY,117.0,163.85,115.8,158.6,0
2020-12-31,INDIACEM,EQUITY,156.05,180.65,134.1,169.2,0
2021-01-31,INDIACEM,EQUITY,168.9,185.8,153.7,154.7,0
2021-02-28,INDIACEM,EQUITY,164.7,174.9,158.3,162.5,0
2021-03-31,INDIACEM,EQUITY,177.65,187.65,154.8,167.35,0
2021-04-30,INDIACEM,EQUITY,168.9,186.25,160.5,163.2,0
2021-05-31,INDIACEM,EQUITY,162.95,211.4,162.2,182.25,0
2021-06-30,INDIACEM,EQUITY,182.8,200.85,180.45,191.95,0
2021-07-31,INDIACEM,EQUITY,192.75,205.5,187.3,192.15,0
2021-08-31,INDIACEM,EQUITY,193.2,201.6,154.75,163.6,0
2021-09-30,INDIACEM,EQUITY,176.25,202.5,171.9,200.3,0
2021-10-31,INDIACEM,EQUITY,201.95,227.85,189.05,206.1,0
2021-11-30,INDIACEM,EQUITY,206.5,232.0,183.0,184.05,0
2021-12-31,INDIACEM,EQUITY,184.1,199.9,170.15,192.25,0
2022-01-31,INDIACEM,EQUITY,201.1,259.95,197.75,222.95,0
2022-02-28,INDIACEM,EQUITY,233.25,234.4,181.75,202.15,0
2022-03-31,INDIACEM,EQUITY,200.5,217.3,182.6,209.5,0
2022-04-30,INDIACEM,EQUITY,209.9,235.35,201.1,206.8,0
2022-05-31,INDIACEM,EQUITY,204.9,205.95,150.7,169.1,0
2022-06-30,INDIACEM,EQUITY,170.0,172.45,145.45,156.5,0
2022-07-31,INDIACEM,EQUITY,156.5,197.7,154.65,196.85,0
2022-08-31,INDIACEM,EQUITY,193.85,234.8,185.1,228.45,0
2022-09-30,INDIACEM,EQUITY,229.5,298.95,226.2,269.1,0
2022-10-31,INDIACEM,EQUITY,269.9,282.5,225.0,241.1,0
2022-11-30,INDIACEM,EQUITY,242.5,255.45,226.15,240.0,0
