DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-07-31,INDIAMART,EQUITY,1313.7,1368.7,1188.0,1203.7,0
2019-08-31,INDIAMART,EQUITY,1260.0,1275.85,1102.95,1200.05,0
2019-09-30,INDIAMART,EQUITY,1213.9,1970.0,1193.1,1769.05,0
2019-10-31,INDIAMART,EQUITY,1780.0,2299.0,1765.25,1858.65,0
2019-11-30,INDIAMART,EQUITY,1869.75,2199.0,1728.0,2155.2,0
2019-12-31,INDIAMART,EQUITY,2160.0,2225.0,1961.9,2065.95,0
2020-01-31,INDIAMART,EQUITY,2070.0,2478.0,2000.0,2334.55,0
2020-02-29,INDIAMART,EQUITY,2271.0,2862.5,2222.0,2405.95,0
2020-03-31,INDIAMART,EQUITY,2499.0,2641.95,1641.05,1936.4,0
2020-04-30,INDIAMART,EQUITY,2020.0,2319.0,1975.0,2247.55,0
2020-05-31,INDIAMART,EQUITY,2301.0,2563.45,2101.0,2477.4,0
2020-06-30,INDIAMART,EQUITY,2499.0,2590.7,2125.95,2325.1,0
2020-07-31,INDIAMART,EQUITY,2324.9,2870.0,2035.0,2828.3,0
2020-08-31,INDIAMART,EQUITY,2928.0,3870.0,2788.0,3685.65,0
2020-09-30,INDIAMART,EQUITY,3765.0,5487.5,3681.1,4995.05,0
2020-10-31,INDIAMART,EQUITY,5140.0,5350.0,4605.8,4846.0,0
2020-11-30,INDIAMART,EQUITY,4846.0,5238.6,4630.8,5092.4,0
2020-12-31,INDIAMART,EQUITY,5139.9,6464.05,4911.0,6407.2,0
2021-01-31,INDIAMART,EQUITY,6411.0,8374.7,6382.25,7802.55,0
2021-02-28,INDIAMART,EQUITY,7840.0,9910.6,7785.55,8595.75,0
2021-03-31,INDIAMART,EQUITY,8652.45,8685.0,7605.55,7737.95,0
2021-04-30,INDIAMART,EQUITY,7761.0,8924.9,7660.0,7948.65,0
2021-05-31,INDIAMART,EQUITY,7848.65,7939.4,6654.0,7369.65,0
2021-06-30,INDIAMART,EQUITY,7373.5,7419.45,6779.2,6992.15,0
2021-07-31,INDIAMART,EQUITY,7079.0,7498.0,6950.0,7145.25,0
2021-08-31,INDIAMART,EQUITY,7111.0,7999.0,6992.0,7848.2,0
2021-09-30,INDIAMART,EQUITY,7650.0,9270.0,7580.0,8378.9,0
2021-10-31,INDIAMART,EQUITY,8519.7,9710.7,6872.9,7146.5,0
2021-11-30,INDIAMART,EQUITY,7248.9,7928.8,6976.15,7459.9,0
2021-12-31,INDIAMART,EQUITY,7430.1,7496.4,6290.0,6476.4,0
2022-01-31,INDIAMART,EQUITY,6629.0,6907.0,4301.1,4988.7,0
2022-02-28,INDIAMART,EQUITY,5239.0,5382.0,4555.0,4774.05,0
2022-03-31,INDIAMART,EQUITY,4749.0,4880.0,3960.0,4322.65,0
2022-04-30,INDIAMART,EQUITY,4356.8,5248.0,4331.25,4914.75,0
2022-05-31,INDIAMART,EQUITY,4888.0,4948.85,4050.25,4554.5,0
2022-06-30,INDIAMART,EQUITY,4575.85,4725.0,3785.1,3809.2,0
2022-07-31,INDIAMART,EQUITY,3822.5,4310.0,3676.0,4254.15,0
