DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,INDUSINDBK,EQUITY,803.4,884.8,786.55,870.2,0
2015-02-28,INDUSINDBK,EQUITY,865.1,889.8,820.5,864.5,0
2015-03-31,INDUSINDBK,EQUITY,925.0,949.9,850.9,886.0,0
2015-04-30,INDUSINDBK,EQUITY,926.0,967.0,806.1,823.8,0
2015-05-31,INDUSINDBK,EQUITY,839.85,880.0,795.15,873.95,0
2015-06-30,INDUSINDBK,EQUITY,870.0,885.45,787.0,872.7,0
2015-07-31,INDUSINDBK,EQUITY,872.6,989.3,862.0,977.7,0
2015-08-31,INDUSINDBK,EQUITY,973.0,973.0,830.25,858.05,0
2015-09-30,INDUSINDBK,EQUITY,852.95,958.1,809.25,942.45,0
2015-10-31,INDUSINDBK,EQUITY,964.0,973.35,902.35,911.9,0
2015-11-30,INDUSINDBK,EQUITY,911.9,939.0,880.0,935.25,0
2015-12-31,INDUSINDBK,EQUITY,940.0,971.95,903.75,968.95,0
2016-01-31,INDUSINDBK,EQUITY,968.0,972.3,866.8,928.8,0
2016-02-29,INDUSINDBK,EQUITY,927.0,932.0,799.0,830.0,0
2016-03-31,INDUSINDBK,EQUITY,874.9,970.0,871.0,967.6,0
2016-04-30,INDUSINDBK,EQUITY,966.65,1053.5,935.0,1048.85,0
2016-05-31,INDUSINDBK,EQUITY,1043.0,1113.55,1026.25,1102.85,0
2016-06-30,INDUSINDBK,EQUITY,1103.0,1130.0,1045.75,1111.6,0
2016-07-31,INDUSINDBK,EQUITY,1125.0,1192.0,1095.5,1175.65,0
2016-08-31,INDUSINDBK,EQUITY,1173.0,1211.9,1145.45,1186.2,0
2016-09-30,INDUSINDBK,EQUITY,1184.7,1233.0,1161.9,1195.95,0
2016-10-31,INDUSINDBK,EQUITY,1201.0,1245.6,1171.1,1199.8,0
2016-11-30,INDUSINDBK,EQUITY,1197.0,1236.45,1036.7,1086.65,0
2016-12-31,INDUSINDBK,EQUITY,1084.0,1116.95,1037.0,1107.9,0
2017-01-31,INDUSINDBK,EQUITY,1109.95,1269.0,1082.05,1252.05,0
2017-02-28,INDUSINDBK,EQUITY,1261.0,1365.85,1246.0,1312.6,0
2017-03-31,INDUSINDBK,EQUITY,1320.5,1431.0,1287.55,1425.15,0
2017-04-30,INDUSINDBK,EQUITY,1408.0,1483.45,1393.05,1444.95,0
2017-05-31,INDUSINDBK,EQUITY,1446.0,1504.7,1375.2,1480.7,0
2017-06-30,INDUSINDBK,EQUITY,1470.3,1538.0,1462.3,1478.95,0
2017-07-31,INDUSINDBK,EQUITY,1482.9,1650.8,1472.75,1645.75,0
2017-08-31,INDUSINDBK,EQUITY,1665.5,1684.0,1594.3,1656.75,0
2017-09-30,INDUSINDBK,EQUITY,1661.0,1804.0,1641.2,1682.2,0
2017-10-31,INDUSINDBK,EQUITY,1693.0,1758.0,1572.4,1627.15,0
2017-11-30,INDUSINDBK,EQUITY,1641.0,1692.0,1592.5,1661.95,0
2017-12-31,INDUSINDBK,EQUITY,1660.85,1694.9,1630.2,1648.9,0
2018-01-31,INDUSINDBK,EQUITY,1652.0,1761.0,1618.1,1753.1,0
2018-02-28,INDUSINDBK,EQUITY,1754.0,1817.8,1586.2,1680.75,0
2018-03-31,INDUSINDBK,EQUITY,1674.75,1807.0,1673.5,1796.75,0
2018-04-30,INDUSINDBK,EQUITY,1830.0,1903.2,1792.6,1898.0,0
2018-05-31,INDUSINDBK,EQUITY,1895.0,1995.0,1836.0,1955.45,0
2018-06-30,INDUSINDBK,EQUITY,1931.95,1995.0,1880.0,1932.2,0
2018-07-31,INDUSINDBK,EQUITY,1938.0,2001.75,1877.5,1995.15,0
2018-08-31,INDUSINDBK,EQUITY,2005.0,2038.0,1862.0,1906.6,0
2018-09-30,INDUSINDBK,EQUITY,1906.0,1918.85,1649.0,1690.05,0
2018-10-31,INDUSINDBK,EQUITY,1660.0,1695.95,1333.15,1425.1,0
2018-11-30,INDUSINDBK,EQUITY,1402.0,1674.45,1398.0,1631.8,0
2018-12-31,INDUSINDBK,EQUITY,1648.5,1661.85,1475.0,1599.3,0
2019-01-31,INDUSINDBK,EQUITY,1600.0,1610.0,1430.25,1505.55,0
2019-02-28,INDUSINDBK,EQUITY,1507.9,1557.15,1455.0,1473.85,0
2019-03-31,INDUSINDBK,EQUITY,1481.7,1834.4,1474.95,1780.0,0
2019-04-30,INDUSINDBK,EQUITY,1797.0,1823.75,1575.2,1606.5,0
2019-05-31,INDUSINDBK,EQUITY,1601.15,1658.0,1348.1,1605.35,0
2019-06-30,INDUSINDBK,EQUITY,1600.1,1667.0,1348.0,1410.5,0
2019-07-31,INDUSINDBK,EQUITY,1427.9,1556.0,1312.0,1412.85,0
2019-08-31,INDUSINDBK,EQUITY,1390.1,1462.05,1267.25,1395.75,0
2019-09-30,INDUSINDBK,EQUITY,1339.0,1554.75,1271.5,1383.55,0
2019-10-31,INDUSINDBK,EQUITY,1397.0,1410.2,1188.05,1313.2,0
2019-11-30,INDUSINDBK,EQUITY,1328.0,1581.6,1310.0,1569.1,0
2019-12-31,INDUSINDBK,EQUITY,1592.0,1596.55,1421.2,1510.0,0
2020-01-31,INDUSINDBK,EQUITY,1512.0,1585.0,1221.55,1258.85,0
2020-02-29,INDUSINDBK,EQUITY,1222.0,1346.05,1085.05,1104.05,0
2020-03-31,INDUSINDBK,EQUITY,1130.0,1136.95,235.55,351.3,0
2020-04-30,INDUSINDBK,EQUITY,350.0,491.85,310.2,468.15,0
2020-05-31,INDUSINDBK,EQUITY,433.0,480.0,330.0,393.65,0
2020-06-30,INDUSINDBK,EQUITY,402.3,548.5,401.05,474.8,0
2020-07-31,INDUSINDBK,EQUITY,480.5,577.5,475.15,523.75,0
2020-08-31,INDUSINDBK,EQUITY,508.0,712.0,483.25,630.2,0
2020-09-30,INDUSINDBK,EQUITY,638.1,662.5,485.0,527.4,0
2020-10-31,INDUSINDBK,EQUITY,540.0,647.8,537.0,585.7,0
2020-11-30,INDUSINDBK,EQUITY,590.0,880.9,590.0,857.65,0
2020-12-31,INDUSINDBK,EQUITY,902.0,948.0,813.65,894.95,0
2021-01-31,INDUSINDBK,EQUITY,895.0,983.0,789.0,846.1,0
2021-02-28,INDUSINDBK,EQUITY,982.4,1119.5,949.3,1062.95,0
2021-03-31,INDUSINDBK,EQUITY,1075.0,1104.0,928.85,954.45,0
2021-04-30,INDUSINDBK,EQUITY,964.0,997.0,811.0,934.95,0
2021-05-31,INDUSINDBK,EQUITY,929.0,1025.5,888.1,1013.0,0
2021-06-30,INDUSINDBK,EQUITY,1016.0,1050.0,960.0,1016.35,0
2021-07-31,INDUSINDBK,EQUITY,1011.0,1067.4,963.05,981.0,0
2021-08-31,INDUSINDBK,EQUITY,991.8,1055.0,964.1,992.4,0
2021-09-30,INDUSINDBK,EQUITY,1002.7,1189.35,984.15,1111.9,0
2021-10-31,INDUSINDBK,EQUITY,1116.8,1242.0,1108.65,1140.2,0
2021-11-30,INDUSINDBK,EQUITY,1158.0,1240.1,875.7,883.0,0
2021-12-31,INDUSINDBK,EQUITY,891.0,968.0,811.5,888.15,0
2022-01-31,INDUSINDBK,EQUITY,915.0,950.0,831.55,872.1,0
2022-02-28,INDUSINDBK,EQUITY,930.1,990.0,868.85,920.7,0
