DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,INFY,EQUITY,1968.95,2225.0,1913.05,2141.9,0
2015-02-28,INFY,EQUITY,2141.5,2336.0,2102.0,2265.75,0
2015-03-31,INFY,EQUITY,2303.0,2308.5,2132.0,2218.35,0
2015-04-30,INFY,EQUITY,2179.0,2245.0,1932.3,1942.25,0
2015-05-31,INFY,EQUITY,2000.0,2061.9,1908.0,2023.15,0
2015-06-30,INFY,EQUITY,2032.8,2064.0,968.0,984.35,0
2015-07-31,INFY,EQUITY,989.0,1149.0,932.65,1077.05,0
2015-08-31,INFY,EQUITY,1078.0,1186.2,1044.5,1094.4,0
2015-09-30,INFY,EQUITY,1090.0,1168.95,1055.0,1161.95,0
2015-10-31,INFY,EQUITY,1187.05,1219.8,1085.2,1135.45,0
2015-11-30,INFY,EQUITY,1130.0,1150.45,1011.25,1087.9,0
2015-12-31,INFY,EQUITY,1088.0,1110.0,1030.3,1105.4,0
2016-01-31,INFY,EQUITY,1100.0,1170.0,1030.85,1164.9,0
2016-02-29,INFY,EQUITY,1176.85,1190.0,1067.0,1084.05,0
2016-03-31,INFY,EQUITY,1137.05,1237.0,1125.0,1218.3,0
2016-04-30,INFY,EQUITY,1216.0,1267.9,1151.1,1208.1,0
2016-05-31,INFY,EQUITY,1210.0,1272.0,1170.65,1248.65,0
2016-06-30,INFY,EQUITY,1246.05,1277.0,1155.1,1170.8,0
2016-07-31,INFY,EQUITY,1180.0,1196.05,1052.0,1073.85,0
2016-08-31,INFY,EQUITY,1071.5,1095.0,1009.1,1035.85,0
2016-09-30,INFY,EQUITY,1039.05,1068.9,1024.0,1036.05,0
2016-10-31,INFY,EQUITY,1035.5,1082.7,993.15,997.5,0
2016-11-30,INFY,EQUITY,1006.8,1006.8,906.95,975.55,0
2016-12-31,INFY,EQUITY,976.0,1022.0,958.0,1010.6,0
2017-01-31,INFY,EQUITY,1011.1,1040.0,901.15,928.6,0
2017-02-28,INFY,EQUITY,921.1,1031.0,905.15,1012.4,0
2017-03-31,INFY,EQUITY,1012.0,1044.0,1000.4,1022.25,0
2017-04-30,INFY,EQUITY,1005.0,1005.4,910.2,918.95,0
2017-05-31,INFY,EQUITY,937.0,1000.0,920.0,977.05,0
2017-06-30,INFY,EQUITY,969.3,988.9,921.0,935.55,0
2017-07-31,INFY,EQUITY,941.1,1021.7,933.05,1011.2,0
2017-08-31,INFY,EQUITY,1006.0,1029.25,860.0,914.95,0
2017-09-30,INFY,EQUITY,915.95,925.9,873.65,899.9,0
2017-10-31,INFY,EQUITY,910.1,957.7,897.15,921.85,0
2017-11-30,INFY,EQUITY,925.0,1019.3,923.3,976.1,0
2017-12-31,INFY,EQUITY,979.4,1048.8,957.05,1042.05,0
2018-01-31,INFY,EQUITY,1037.7,1221.05,1018.6,1150.25,0
2018-02-28,INFY,EQUITY,1142.2,1189.5,1090.2,1172.6,0
2018-03-31,INFY,EQUITY,1169.6,1197.0,1126.25,1131.8,0
2018-04-30,INFY,EQUITY,1144.0,1214.4,1102.0,1199.5,0
2018-05-31,INFY,EQUITY,1198.9,1248.65,1155.0,1231.8,0
2018-06-30,INFY,EQUITY,1221.1,1315.0,1212.0,1307.2,0
2018-07-31,INFY,EQUITY,1314.0,1393.8,1268.1,1365.1,0
2018-08-31,INFY,EQUITY,1363.8,1454.3,1347.5,1441.1,0
2018-09-30,INFY,EQUITY,1449.0,1467.9,692.0,730.05,0
2018-10-31,INFY,EQUITY,737.5,754.9,629.9,686.4,0
2018-11-30,INFY,EQUITY,689.7,689.7,599.85,667.45,0
2018-12-31,INFY,EQUITY,673.15,713.7,637.35,658.95,0
2019-01-31,INFY,EQUITY,660.95,751.3,651.0,749.55,0
2019-02-28,INFY,EQUITY,751.35,772.25,721.3,734.3,0
2019-03-31,INFY,EQUITY,735.5,747.95,705.35,743.85,0
2019-04-30,INFY,EQUITY,742.0,773.0,712.6,751.35,0
2019-05-31,INFY,EQUITY,747.0,748.4,697.45,737.75,0
2019-06-30,INFY,EQUITY,729.8,759.0,728.15,732.0,0
2019-07-31,INFY,EQUITY,735.0,804.0,706.5,793.65,0
2019-08-31,INFY,EQUITY,786.45,817.35,760.15,814.9,0
2019-09-30,INFY,EQUITY,810.75,840.3,741.9,805.65,0
2019-10-31,INFY,EQUITY,807.0,807.55,615.1,685.6,0
2019-11-30,INFY,EQUITY,690.0,732.5,678.15,696.35,0
2019-12-31,INFY,EQUITY,703.1,737.95,688.55,731.15,0
2020-01-31,INFY,EQUITY,735.0,792.8,714.3,775.95,0
2020-02-29,INFY,EQUITY,782.0,811.6,722.05,731.7,0
2020-03-31,INFY,EQUITY,737.0,765.9,509.25,641.5,0
2020-04-30,INFY,EQUITY,603.5,720.0,582.15,715.5,0
2020-05-31,INFY,EQUITY,681.75,710.0,646.7,691.0,0
2020-06-30,INFY,EQUITY,698.75,751.6,685.25,735.95,0
2020-07-31,INFY,EQUITY,737.25,986.45,729.75,966.0,0
2020-08-31,INFY,EQUITY,960.45,974.4,914.6,928.6,0
2020-09-30,INFY,EQUITY,926.25,1037.0,912.1,1008.25,0
2020-10-31,INFY,EQUITY,1020.6,1186.0,1011.75,1060.6,0
2020-11-30,INFY,EQUITY,1065.0,1154.9,1051.1,1100.0,0
2020-12-31,INFY,EQUITY,1134.0,1258.85,1121.0,1255.8,0
2021-01-31,INFY,EQUITY,1257.9,1392.8,1231.0,1239.05,0
2021-02-28,INFY,EQUITY,1280.0,1332.0,1244.75,1253.3,0
2021-03-31,INFY,EQUITY,1282.25,1406.0,1279.2,1368.05,0
2021-04-30,INFY,EQUITY,1380.0,1451.7,1320.0,1354.35,0
2021-05-31,INFY,EQUITY,1340.8,1416.25,1311.3,1393.75,0
2021-06-30,INFY,EQUITY,1400.0,1591.0,1377.3,1580.8,0
2021-07-31,INFY,EQUITY,1576.85,1623.4,1533.75,1610.5,0
2021-08-31,INFY,EQUITY,1627.45,1757.0,1619.2,1706.45,0
2021-09-30,INFY,EQUITY,1677.35,1788.0,1655.0,1675.2,0
2021-10-31,INFY,EQUITY,1671.0,1848.0,1661.05,1667.75,0
2021-11-30,INFY,EQUITY,1677.5,1808.95,1669.15,1712.65,0
2021-12-31,INFY,EQUITY,1715.0,1909.8,1694.0,1887.75,0
2022-01-31,INFY,EQUITY,1898.45,1953.9,1665.0,1736.2,0
2022-02-28,INFY,EQUITY,1789.0,1792.8,1665.0,1715.6,0
2022-03-31,INFY,EQUITY,1710.0,1923.3,1691.0,1906.85,0
2022-04-30,INFY,EQUITY,1886.85,1910.3,1550.0,1567.55,0
2022-05-31,INFY,EQUITY,1547.25,1589.4,1399.25,1503.6,0
2022-06-30,INFY,EQUITY,1513.0,1536.6,1367.15,1461.9,0
2022-07-31,INFY,EQUITY,1454.0,1555.7,1410.65,1549.7,0
2022-08-31,INFY,EQUITY,1546.55,1622.0,1450.0,1492.95,0
2022-09-30,INFY,EQUITY,1478.0,1553.0,1355.0,1413.45,0
2022-10-31,INFY,EQUITY,1412.0,1546.4,1386.0,1537.65,0
2022-11-30,INFY,EQUITY,1553.05,1653.5,1485.0,1634.95,0
