DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,INTELLECT,EQUITY,89.9,134.4,85.4,108.6,0
2015-02-28,INTELLECT,EQUITY,110.0,120.65,98.35,107.35,0
2015-03-31,INTELLECT,EQUITY,109.1,123.9,97.1,107.2,0
2015-04-30,INTELLECT,EQUITY,110.85,143.3,101.6,113.5,0
2015-05-31,INTELLECT,EQUITY,116.5,119.4,104.75,113.2,0
2015-06-30,INTELLECT,EQUITY,113.45,113.85,97.55,103.0,0
2015-07-31,INTELLECT,EQUITY,103.4,142.0,101.2,140.1,0
2015-08-31,INTELLECT,EQUITY,155.0,203.4,147.4,169.0,0
2015-09-30,INTELLECT,EQUITY,165.5,180.8,156.65,172.45,0
2015-10-31,INTELLECT,EQUITY,189.3,258.5,183.0,249.2,0
2015-11-30,INTELLECT,EQUITY,248.85,302.45,235.1,270.55,0
2015-12-31,INTELLECT,EQUITY,272.0,294.5,252.0,280.3,0
2016-01-31,INTELLECT,EQUITY,279.75,287.0,201.5,231.1,0
2016-02-29,INTELLECT,EQUITY,232.5,237.7,154.6,162.5,0
2016-03-31,INTELLECT,EQUITY,181.6,229.8,177.55,225.85,0
2016-04-30,INTELLECT,EQUITY,225.2,248.3,221.8,230.3,0
2016-05-31,INTELLECT,EQUITY,228.75,236.0,202.15,211.55,0
2016-06-30,INTELLECT,EQUITY,212.65,216.8,181.65,203.7,0
2016-07-31,INTELLECT,EQUITY,206.5,232.8,195.6,219.65,0
2016-08-31,INTELLECT,EQUITY,221.0,222.4,179.2,188.05,0
2016-09-30,INTELLECT,EQUITY,184.05,210.7,169.0,173.55,0
2016-10-31,INTELLECT,EQUITY,175.3,192.6,172.05,188.4,0
2016-11-30,INTELLECT,EQUITY,190.0,192.3,118.9,143.3,0
2016-12-31,INTELLECT,EQUITY,144.5,175.75,129.35,139.7,0
2017-01-31,INTELLECT,EQUITY,140.95,155.85,138.85,141.7,0
2017-02-28,INTELLECT,EQUITY,142.0,152.2,107.8,111.4,0
2017-03-31,INTELLECT,EQUITY,112.5,124.8,111.9,115.0,0
2017-04-30,INTELLECT,EQUITY,119.5,134.4,116.35,129.9,0
2017-05-31,INTELLECT,EQUITY,138.6,138.6,114.5,125.45,0
2017-06-30,INTELLECT,EQUITY,125.0,127.5,115.8,123.25,0
2017-07-31,INTELLECT,EQUITY,122.5,135.0,108.7,110.15,0
2017-08-31,INTELLECT,EQUITY,110.55,114.4,96.5,107.4,0
2017-09-30,INTELLECT,EQUITY,106.5,133.8,106.5,119.15,0
2017-10-31,INTELLECT,EQUITY,120.25,142.45,117.35,140.55,0
2017-11-30,INTELLECT,EQUITY,143.0,154.0,135.5,139.85,0
2017-12-31,INTELLECT,EQUITY,140.8,177.3,135.0,164.75,0
2018-01-31,INTELLECT,EQUITY,162.5,195.45,156.2,177.9,0
2018-02-28,INTELLECT,EQUITY,179.2,204.9,166.0,193.95,0
2018-03-31,INTELLECT,EQUITY,194.0,199.95,157.25,165.3,0
2018-04-30,INTELLECT,EQUITY,169.35,199.7,165.15,199.1,0
2018-05-31,INTELLECT,EQUITY,200.0,224.85,192.0,207.35,0
2018-06-30,INTELLECT,EQUITY,199.35,227.0,175.1,193.5,0
2018-07-31,INTELLECT,EQUITY,193.5,212.0,174.55,205.6,0
2018-08-31,INTELLECT,EQUITY,207.0,281.0,200.0,270.15,0
2018-09-30,INTELLECT,EQUITY,271.0,283.7,192.1,203.0,0
2018-10-31,INTELLECT,EQUITY,200.25,265.85,189.55,251.1,0
2018-11-30,INTELLECT,EQUITY,251.7,280.95,215.1,229.75,0
2018-12-31,INTELLECT,EQUITY,231.15,247.8,203.15,224.6,0
2019-01-31,INTELLECT,EQUITY,225.05,232.85,180.1,180.7,0
2019-02-28,INTELLECT,EQUITY,183.0,191.1,151.05,185.45,0
2019-03-31,INTELLECT,EQUITY,187.7,213.8,185.55,203.35,0
2019-04-30,INTELLECT,EQUITY,206.0,234.35,206.0,227.3,0
2019-05-31,INTELLECT,EQUITY,226.3,259.9,215.7,257.0,0
2019-06-30,INTELLECT,EQUITY,254.65,278.0,254.15,265.5,0
2019-07-31,INTELLECT,EQUITY,265.15,291.8,211.5,225.4,0
2019-08-31,INTELLECT,EQUITY,222.35,230.8,200.2,213.35,0
2019-09-30,INTELLECT,EQUITY,208.0,229.0,175.0,182.4,0
2019-10-31,INTELLECT,EQUITY,182.5,196.9,174.7,190.85,0
2019-11-30,INTELLECT,EQUITY,191.5,198.5,138.95,149.85,0
2019-12-31,INTELLECT,EQUITY,149.85,154.75,137.2,138.35,0
