DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-10-31,IRCTC,EQUITY,626.0,953.5,625.0,881.7,0
2019-11-30,IRCTC,EQUITY,885.0,980.9,872.4,897.25,0
2019-12-31,IRCTC,EQUITY,902.0,954.7,860.1,933.45,0
2020-01-31,IRCTC,EQUITY,941.9,1235.0,890.1,1210.3,0
2020-02-29,IRCTC,EQUITY,1194.35,1994.0,1186.05,1743.8,0
2020-03-31,IRCTC,EQUITY,1810.0,1873.7,774.65,982.55,0
2020-04-30,IRCTC,EQUITY,1083.2,1509.0,1083.2,1324.35,0
2020-05-31,IRCTC,EQUITY,1305.0,1475.0,1202.25,1410.35,0
2020-06-30,IRCTC,EQUITY,1450.0,1595.0,1340.0,1358.65,0
2020-07-31,IRCTC,EQUITY,1363.65,1467.8,1332.15,1335.85,0
2020-08-31,IRCTC,EQUITY,1336.0,1414.0,1320.45,1344.25,0
2020-09-30,IRCTC,EQUITY,1336.0,1451.65,1321.15,1384.0,0
2020-10-31,IRCTC,EQUITY,1410.0,1410.0,1297.05,1315.2,0
2020-11-30,IRCTC,EQUITY,1320.2,1407.0,1300.0,1353.45,0
2020-12-31,IRCTC,EQUITY,1368.0,1800.0,1336.45,1437.8,0
2021-01-31,IRCTC,EQUITY,1447.0,1514.9,1417.05,1456.1,0
2021-02-28,IRCTC,EQUITY,1468.0,1809.95,1461.35,1759.65,0
2021-03-31,IRCTC,EQUITY,1970.5,2073.0,1703.0,1757.0,0
2021-04-30,IRCTC,EQUITY,1760.0,1818.0,1550.0,1791.4,0
2021-05-31,IRCTC,EQUITY,1761.0,1941.15,1681.5,1903.2,0
2021-06-30,IRCTC,EQUITY,1911.8,2184.0,1888.0,2033.85,0
2021-07-31,IRCTC,EQUITY,2047.8,2479.95,2030.3,2331.3,0
2021-08-31,IRCTC,EQUITY,2469.0,2759.5,2422.35,2752.0,0
2021-09-30,IRCTC,EQUITY,2746.0,4019.7,2743.0,3798.5,0
2021-10-31,IRCTC,EQUITY,4085.0,6396.3,639.45,845.7,0
2021-11-30,IRCTC,EQUITY,874.2,929.0,750.55,795.15,0
2021-12-31,IRCTC,EQUITY,809.0,878.2,780.7,831.75,0
2022-01-31,IRCTC,EQUITY,850.0,918.65,784.8,868.0,0
