DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,JKCEMENT,EQUITY,635.0,724.4,593.0,697.05,0
2015-02-28,JKCEMENT,EQUITY,699.95,756.0,670.0,708.45,0
2015-03-31,JKCEMENT,EQUITY,702.35,740.0,633.05,666.1,0
2015-04-30,JKCEMENT,EQUITY,688.8,720.0,615.2,645.5,0
2015-05-31,JKCEMENT,EQUITY,648.7,652.0,574.0,638.85,0
2015-06-30,JKCEMENT,EQUITY,650.0,680.0,572.0,674.4,0
2015-07-31,JKCEMENT,EQUITY,674.4,697.0,600.15,682.55,0
2015-08-31,JKCEMENT,EQUITY,663.05,685.0,574.0,626.3,0
2015-09-30,JKCEMENT,EQUITY,620.0,669.0,600.0,653.35,0
2015-10-31,JKCEMENT,EQUITY,652.15,693.0,600.25,685.45,0
2015-11-30,JKCEMENT,EQUITY,673.95,745.0,622.2,690.9,0
2015-12-31,JKCEMENT,EQUITY,695.6,698.5,572.0,577.05,0
2016-01-31,JKCEMENT,EQUITY,577.0,616.65,450.0,496.5,0
2016-02-29,JKCEMENT,EQUITY,496.0,550.0,425.0,478.35,0
2016-03-31,JKCEMENT,EQUITY,495.8,689.0,494.95,675.5,0
2016-04-30,JKCEMENT,EQUITY,669.95,684.4,590.1,593.25,0
2016-05-31,JKCEMENT,EQUITY,590.1,640.0,560.15,582.05,0
2016-06-30,JKCEMENT,EQUITY,575.0,672.0,575.0,666.25,0
2016-07-31,JKCEMENT,EQUITY,661.95,733.0,661.95,713.35,0
2016-08-31,JKCEMENT,EQUITY,713.3,847.9,704.1,796.05,0
2016-09-30,JKCEMENT,EQUITY,790.45,885.0,771.3,875.75,0
2016-10-31,JKCEMENT,EQUITY,880.0,1008.5,852.15,945.35,0
2016-11-30,JKCEMENT,EQUITY,969.0,970.0,628.1,727.15,0
2016-12-31,JKCEMENT,EQUITY,734.4,748.45,632.7,719.85,0
2017-01-31,JKCEMENT,EQUITY,739.8,748.0,680.0,722.9,0
2017-02-28,JKCEMENT,EQUITY,720.0,904.5,715.45,886.0,0
2017-03-31,JKCEMENT,EQUITY,886.0,944.0,836.0,934.95,0
2017-04-30,JKCEMENT,EQUITY,936.05,988.8,911.25,974.75,0
2017-05-31,JKCEMENT,EQUITY,974.0,1196.0,974.0,1109.8,0
2017-06-30,JKCEMENT,EQUITY,1101.55,1115.0,928.0,938.9,0
2017-07-31,JKCEMENT,EQUITY,949.0,1034.8,945.0,1018.0,0
2017-08-31,JKCEMENT,EQUITY,1019.0,1079.9,976.25,1005.1,0
2017-09-30,JKCEMENT,EQUITY,998.05,1071.8,924.95,954.0,0
2017-10-31,JKCEMENT,EQUITY,960.0,1008.1,941.1,1002.4,0
2017-11-30,JKCEMENT,EQUITY,996.85,1100.0,980.0,999.55,0
2017-12-31,JKCEMENT,EQUITY,1004.95,1121.0,975.3,1110.7,0
2018-01-31,JKCEMENT,EQUITY,1116.6,1194.8,1081.0,1114.9,0
2018-02-28,JKCEMENT,EQUITY,1122.0,1151.0,992.0,1011.8,0
2018-03-31,JKCEMENT,EQUITY,1018.0,1048.95,976.05,1015.05,0
2018-04-30,JKCEMENT,EQUITY,1008.0,1009.4,926.7,1000.2,0
2018-05-31,JKCEMENT,EQUITY,1000.2,1022.95,926.35,940.1,0
2018-06-30,JKCEMENT,EQUITY,948.0,948.0,860.0,869.85,0
2018-07-31,JKCEMENT,EQUITY,879.0,879.0,748.35,768.2,0
2018-08-31,JKCEMENT,EQUITY,774.45,819.0,750.0,800.6,0
2018-09-30,JKCEMENT,EQUITY,807.0,812.0,760.0,767.0,0
2018-10-31,JKCEMENT,EQUITY,772.05,773.85,649.55,672.65,0
2018-11-30,JKCEMENT,EQUITY,675.05,745.0,672.2,711.45,0
2018-12-31,JKCEMENT,EQUITY,721.45,774.7,701.05,713.55,0
2019-01-31,JKCEMENT,EQUITY,713.65,751.0,683.0,708.8,0
2019-02-28,JKCEMENT,EQUITY,716.9,772.35,682.5,725.4,0
2019-03-31,JKCEMENT,EQUITY,723.9,872.0,717.05,866.7,0
2019-04-30,JKCEMENT,EQUITY,873.0,924.0,826.85,903.35,0
2019-05-31,JKCEMENT,EQUITY,895.0,1075.0,824.15,1043.0,0
2019-06-30,JKCEMENT,EQUITY,1046.0,1068.5,972.05,1001.75,0
2019-07-31,JKCEMENT,EQUITY,1001.75,1024.85,935.95,966.0,0
2019-08-31,JKCEMENT,EQUITY,980.0,1085.05,921.3,1029.2,0
2019-09-30,JKCEMENT,EQUITY,983.85,1148.0,979.45,1050.35,0
