DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,KAJARIACER,EQUITY,594.9,744.0,575.0,727.55,0
2015-02-28,KAJARIACER,EQUITY,727.6,826.65,709.0,812.9,0
2015-03-31,KAJARIACER,EQUITY,802.0,832.4,743.75,807.2,0
2015-04-30,KAJARIACER,EQUITY,779.45,795.05,701.0,770.15,0
2015-05-31,KAJARIACER,EQUITY,779.0,855.0,749.3,846.1,0
2015-06-30,KAJARIACER,EQUITY,854.55,863.0,725.0,729.25,0
2015-07-31,KAJARIACER,EQUITY,730.1,799.0,720.05,745.95,0
2015-08-31,KAJARIACER,EQUITY,751.9,784.9,607.15,686.8,0
2015-09-30,KAJARIACER,EQUITY,685.0,804.0,675.0,797.6,0
2015-10-31,KAJARIACER,EQUITY,811.85,922.0,792.6,907.1,0
2015-11-30,KAJARIACER,EQUITY,907.1,962.35,842.1,944.75,0
2015-12-31,KAJARIACER,EQUITY,950.0,998.0,926.15,982.5,0
2016-01-31,KAJARIACER,EQUITY,982.5,995.0,895.55,974.45,0
2016-02-29,KAJARIACER,EQUITY,968.0,974.95,846.2,865.05,0
2016-03-31,KAJARIACER,EQUITY,889.9,966.9,880.95,957.85,0
2016-04-30,KAJARIACER,EQUITY,959.9,1074.8,936.15,1049.75,0
2016-05-31,KAJARIACER,EQUITY,1050.0,1113.0,1040.0,1090.25,0
2016-06-30,KAJARIACER,EQUITY,1070.0,1229.7,1070.0,1206.0,0
2016-07-31,KAJARIACER,EQUITY,1210.0,1275.0,1190.85,1269.85,0
2016-08-31,KAJARIACER,EQUITY,1269.85,1289.9,1220.05,1261.4,0
2016-09-30,KAJARIACER,EQUITY,1293.9,1427.0,1265.1,1389.15,0
2016-10-31,KAJARIACER,EQUITY,1399.0,1409.9,582.0,620.75,0
2016-11-30,KAJARIACER,EQUITY,632.05,639.9,440.15,533.6,0
2016-12-31,KAJARIACER,EQUITY,535.0,539.2,437.35,465.6,0
2017-01-31,KAJARIACER,EQUITY,468.7,605.25,468.6,579.3,0
2017-02-28,KAJARIACER,EQUITY,584.6,609.8,553.1,584.35,0
2017-03-31,KAJARIACER,EQUITY,587.4,594.0,545.55,583.5,0
2017-04-30,KAJARIACER,EQUITY,601.2,676.0,598.5,663.75,0
2017-05-31,KAJARIACER,EQUITY,653.1,789.8,627.1,701.0,0
2017-06-30,KAJARIACER,EQUITY,708.9,717.0,636.5,665.35,0
2017-07-31,KAJARIACER,EQUITY,661.1,686.45,640.2,676.65,0
2017-08-31,KAJARIACER,EQUITY,676.6,729.9,600.25,701.85,0
2017-09-30,KAJARIACER,EQUITY,705.7,767.7,682.2,708.8,0
2017-10-31,KAJARIACER,EQUITY,714.95,736.8,672.15,680.2,0
2017-11-30,KAJARIACER,EQUITY,684.45,742.85,670.6,724.05,0
2017-12-31,KAJARIACER,EQUITY,724.05,733.9,670.95,729.3,0
2018-01-31,KAJARIACER,EQUITY,730.0,764.9,626.15,631.65,0
2018-02-28,KAJARIACER,EQUITY,631.1,641.15,561.6,574.7,0
2018-03-31,KAJARIACER,EQUITY,574.95,586.2,535.3,572.55,0
2018-04-30,KAJARIACER,EQUITY,577.0,583.95,539.05,546.1,0
2018-05-31,KAJARIACER,EQUITY,547.0,579.55,501.25,549.15,0
2018-06-30,KAJARIACER,EQUITY,548.9,558.75,472.6,483.55,0
2018-07-31,KAJARIACER,EQUITY,485.0,485.0,414.2,443.9,0
2018-08-31,KAJARIACER,EQUITY,443.9,511.7,406.0,468.85,0
2018-09-30,KAJARIACER,EQUITY,471.0,483.5,363.8,367.4,0
2018-10-31,KAJARIACER,EQUITY,362.5,402.4,310.0,394.2,0
2018-11-30,KAJARIACER,EQUITY,397.25,469.95,391.75,439.65,0
2018-12-31,KAJARIACER,EQUITY,441.0,498.5,417.0,493.1,0
2019-01-31,KAJARIACER,EQUITY,496.0,554.65,487.55,538.05,0
2019-02-28,KAJARIACER,EQUITY,539.8,556.0,494.65,541.95,0
2019-03-31,KAJARIACER,EQUITY,543.85,598.75,542.0,589.85,0
2019-04-30,KAJARIACER,EQUITY,595.9,635.0,581.0,595.05,0
2019-05-31,KAJARIACER,EQUITY,592.0,649.65,546.0,636.1,0
2019-06-30,KAJARIACER,EQUITY,640.0,644.0,559.1,581.85,0
2019-07-31,KAJARIACER,EQUITY,585.95,599.6,450.0,474.0,0
2019-08-31,KAJARIACER,EQUITY,469.7,505.0,453.3,474.1,0
2019-09-30,KAJARIACER,EQUITY,460.55,605.7,443.0,549.15,0
2019-10-31,KAJARIACER,EQUITY,557.7,578.0,537.55,558.3,0
2019-11-30,KAJARIACER,EQUITY,557.0,574.65,507.1,536.05,0
2019-12-31,KAJARIACER,EQUITY,533.0,539.9,501.2,525.2,0
2020-01-31,KAJARIACER,EQUITY,527.5,590.0,522.35,580.45,0
2020-02-29,KAJARIACER,EQUITY,557.0,575.0,517.1,524.45,0
2020-03-31,KAJARIACER,EQUITY,524.45,554.0,332.3,375.85,0
2020-04-30,KAJARIACER,EQUITY,373.0,414.0,338.7,374.65,0
2020-05-31,KAJARIACER,EQUITY,358.0,360.75,295.55,342.0,0
2020-06-30,KAJARIACER,EQUITY,354.0,416.0,350.1,392.4,0
2020-07-31,KAJARIACER,EQUITY,392.5,436.0,384.8,405.4,0
2020-08-31,KAJARIACER,EQUITY,413.0,489.6,397.1,436.15,0
2020-09-30,KAJARIACER,EQUITY,438.0,569.65,425.1,553.5,0
2020-10-31,KAJARIACER,EQUITY,560.0,587.9,523.0,569.4,0
2020-11-30,KAJARIACER,EQUITY,567.0,649.75,553.55,647.9,0
2020-12-31,KAJARIACER,EQUITY,674.0,714.55,650.1,703.6,0
2021-01-31,KAJARIACER,EQUITY,706.0,857.85,691.7,824.7,0
2021-02-28,KAJARIACER,EQUITY,838.95,997.0,823.7,947.05,0
2021-03-31,KAJARIACER,EQUITY,945.0,1020.0,860.1,926.9,0
2021-04-30,KAJARIACER,EQUITY,931.8,990.0,851.05,912.95,0
2021-05-31,KAJARIACER,EQUITY,912.0,972.0,866.5,965.75,0
2021-06-30,KAJARIACER,EQUITY,970.0,1054.9,933.0,979.95,0
2021-07-31,KAJARIACER,EQUITY,984.35,1009.9,960.0,994.25,0
2021-08-31,KAJARIACER,EQUITY,1005.0,1219.9,960.0,1175.2,0
2021-09-30,KAJARIACER,EQUITY,1166.95,1270.0,1116.1,1197.0,0
2021-10-31,KAJARIACER,EQUITY,1184.0,1355.0,1175.15,1221.25,0
2021-11-30,KAJARIACER,EQUITY,1234.0,1245.0,1045.85,1141.1,0
2021-12-31,KAJARIACER,EQUITY,1133.15,1299.0,1102.7,1289.95,0
2022-01-31,KAJARIACER,EQUITY,1315.3,1374.55,1175.1,1337.55,0
2022-02-28,KAJARIACER,EQUITY,1340.0,1351.95,1075.1,1081.25,0
2022-03-31,KAJARIACER,EQUITY,1075.0,1097.15,900.6,1019.3,0
2022-04-30,KAJARIACER,EQUITY,1004.0,1075.0,993.1,1033.5,0
2022-05-31,KAJARIACER,EQUITY,1034.8,1091.95,918.05,1032.85,0
2022-06-30,KAJARIACER,EQUITY,1030.05,1058.1,898.0,947.7,0
2022-07-31,KAJARIACER,EQUITY,947.7,1181.0,937.2,1176.05,0
2022-08-31,KAJARIACER,EQUITY,1143.0,1214.0,1110.0,1164.95,0
2022-09-30,KAJARIACER,EQUITY,1188.9,1282.65,1119.0,1200.4,0
2022-10-31,KAJARIACER,EQUITY,1185.0,1205.0,1044.5,1081.25,0
2022-11-30,KAJARIACER,EQUITY,1099.0,1194.9,1009.7,1151.3,0
2022-12-31,KAJARIACER,EQUITY,1143.35,1212.0,1062.55,1160.2,0
2023-01-31,KAJARIACER,EQUITY,1162.25,1187.3,1021.0,1054.5,0
2023-02-28,KAJARIACER,EQUITY,1065.0,1124.6,1041.05,1074.65,0
2023-03-31,KAJARIACER,EQUITY,1070.0,1089.9,1006.5,1054.3,0
2023-04-30,KAJARIACER,EQUITY,1059.0,1139.65,1049.95,1094.8,0
2023-05-31,KAJARIACER,EQUITY,1088.4,1304.25,1086.6,1277.7,0
2023-06-30,KAJARIACER,EQUITY,1275.0,1325.0,1219.0,1257.6,0
2023-07-31,KAJARIACER,EQUITY,1262.9,1490.0,1224.95,1437.6,0
2023-08-31,KAJARIACER,EQUITY,1440.0,1523.8,1412.5,1470.75,0
2023-09-30,KAJARIACER,EQUITY,1470.0,1495.0,1300.0,1322.1,0
2023-10-31,KAJARIACER,EQUITY,1322.1,1382.4,1168.0,1261.35,0
2023-11-30,KAJARIACER,EQUITY,1267.7,1340.15,1252.5,1338.0,0
