DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2021-03-31,KALYANKJIL,EQUITY,73.95,81.0,67.65,68.1,0
2021-04-30,KALYANKJIL,EQUITY,68.6,75.0,59.75,59.9,0
2021-05-31,KALYANKJIL,EQUITY,59.7,72.7,56.3,66.8,0
2021-06-30,KALYANKJIL,EQUITY,67.0,89.75,67.0,78.25,0
2021-07-31,KALYANKJIL,EQUITY,78.2,79.6,70.3,70.95,0
2021-08-31,KALYANKJIL,EQUITY,72.15,75.7,61.0,67.1,0
2021-09-30,KALYANKJIL,EQUITY,66.0,74.4,64.5,72.9,0
2021-10-31,KALYANKJIL,EQUITY,73.1,81.85,70.2,76.25,0
2021-11-30,KALYANKJIL,EQUITY,76.3,83.6,64.45,67.05,0
2021-12-31,KALYANKJIL,EQUITY,67.7,72.55,64.7,68.45,0
2022-01-31,KALYANKJIL,EQUITY,68.45,74.9,63.4,66.55,0
2022-02-28,KALYANKJIL,EQUITY,67.45,71.5,55.65,58.95,0
2022-03-31,KALYANKJIL,EQUITY,58.95,64.0,57.7,58.75,0
2022-04-30,KALYANKJIL,EQUITY,59.7,67.05,59.15,60.9,0
2022-05-31,KALYANKJIL,EQUITY,61.1,66.25,57.0,60.15,0
2022-06-30,KALYANKJIL,EQUITY,60.2,61.95,55.05,59.9,0
2022-07-31,KALYANKJIL,EQUITY,58.5,67.1,58.05,65.05,0
2022-08-31,KALYANKJIL,EQUITY,65.75,84.2,65.4,81.65,0
2022-09-30,KALYANKJIL,EQUITY,84.6,101.4,80.5,96.3,0
2022-10-31,KALYANKJIL,EQUITY,96.9,108.7,93.6,102.5,0
2022-11-30,KALYANKJIL,EQUITY,103.3,109.4,90.3,105.9,0
2022-12-31,KALYANKJIL,EQUITY,106.95,134.2,104.35,126.55,0
2023-01-31,KALYANKJIL,EQUITY,126.6,127.7,103.05,117.95,0
2023-02-28,KALYANKJIL,EQUITY,119.3,120.8,103.5,113.65,0
2023-03-31,KALYANKJIL,EQUITY,114.3,124.6,105.0,105.35,0
2023-04-30,KALYANKJIL,EQUITY,106.0,107.6,100.95,102.7,0
2023-05-31,KALYANKJIL,EQUITY,106.5,111.4,104.0,105.65,0
2023-06-30,KALYANKJIL,EQUITY,105.65,148.6,104.9,147.05,0
2023-07-31,KALYANKJIL,EQUITY,148.9,187.5,147.3,174.7,0
2023-08-31,KALYANKJIL,EQUITY,172.55,261.0,162.65,251.8,0
2023-09-30,KALYANKJIL,EQUITY,255.95,261.9,202.8,227.55,0
2023-10-31,KALYANKJIL,EQUITY,228.0,309.75,221.65,288.7,0
2023-11-30,KALYANKJIL,EQUITY,289.0,359.15,286.15,325.1,0
2023-12-31,KALYANKJIL,EQUITY,324.9,362.0,311.05,354.1,0
2024-01-31,KALYANKJIL,EQUITY,355.15,391.8,343.0,350.2,0
2024-02-29,KALYANKJIL,EQUITY,358.5,409.7,321.95,396.85,0
2024-03-31,KALYANKJIL,EQUITY,398.6,439.0,352.15,427.8,0
2024-04-30,KALYANKJIL,EQUITY,437.95,449.7,396.8,414.1,0
2024-05-31,KALYANKJIL,EQUITY,414.85,505.0,377.05,388.45,0
2024-06-30,KALYANKJIL,EQUITY,394.0,546.0,372.35,501.15,0
2024-07-31,KALYANKJIL,EQUITY,500.4,729.3,485.1,579.4,0
2024-08-31,KALYANKJIL,EQUITY,497.75,624.95,490.0,615.2,0
2024-09-30,KALYANKJIL,EQUITY,649.0,786.25,637.75,730.25,0
2024-10-31,KALYANKJIL,EQUITY,500.0,773.0,497.0,657.15,0
2024-11-30,KALYANKJIL,EQUITY,509.25,767.0,500.25,724.45,0
2024-12-31,KALYANKJIL,EQUITY,664.25,784.45,660.55,766.25,0
2025-01-31,KALYANKJIL,EQUITY,760.0,780.0,420.65,503.1,0
2025-02-28,KALYANKJIL,EQUITY,460.2,593.6,452.55,462.25,0
2025-03-31,KALYANKJIL,EQUITY,464.05,587.3,418.0,467.25,0
2025-04-30,KALYANKJIL,EQUITY,510.0,598.35,426.0,516.55,0
2025-05-31,KALYANKJIL,EQUITY,567.0,603.15,486.5,560.4,0
2025-06-30,KALYANKJIL,EQUITY,564.0,569.5,447.1,555.85,0
2025-07-31,KALYANKJIL,EQUITY,777.05,781.15,429.0,594.7,0
2025-08-31,KALYANKJIL,EQUITY,724.45,724.65,470.25,504.15,0
2025-09-30,KALYANKJIL,EQUITY,708.9,709.4,442.25,454.3,0
2025-10-31,KALYANKJIL,EQUITY,660.0,661.6,406.0,509.7,0
2025-11-30,KALYANKJIL,EQUITY,404.5,587.5,399.4,505.35,0
2025-12-31,KALYANKJIL,EQUITY,512.1,545.0,417.65,485.35,0
2026-01-31,KALYANKJIL,EQUITY,486.9,535.0,347.5,361.65,0
2026-02-28,KALYANKJIL,EQUITY,400.35,417.5,399.05,410.1,0
2026-03-31,KALYANKJIL,EQUITY,394.95,407.95,361.1,388.35,0
