DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,KOTAKBANK,EQUITY,1263.8,1444.0,1233.55,1322.2,0
2015-02-28,KOTAKBANK,EQUITY,1320.0,1366.0,1236.25,1337.75,0
2015-03-31,KOTAKBANK,EQUITY,1404.0,1424.95,1275.7,1313.25,0
2015-04-30,KOTAKBANK,EQUITY,1370.0,1475.3,1297.3,1332.9,0
2015-05-31,KOTAKBANK,EQUITY,1347.85,1434.9,1311.0,1399.3,0
2015-06-30,KOTAKBANK,EQUITY,1400.0,1414.2,1258.0,1385.8,0
2015-07-31,KOTAKBANK,EQUITY,1379.6,1459.0,683.8,695.4,0
2015-08-31,KOTAKBANK,EQUITY,694.0,724.75,621.9,651.7,0
2015-09-30,KOTAKBANK,EQUITY,646.8,670.0,594.5,648.1,0
2015-10-31,KOTAKBANK,EQUITY,659.0,693.8,642.0,687.65,0
2015-11-30,KOTAKBANK,EQUITY,688.0,702.95,634.65,692.35,0
2015-12-31,KOTAKBANK,EQUITY,693.5,723.85,663.0,720.05,0
2016-01-31,KOTAKBANK,EQUITY,720.0,729.85,651.0,683.6,0
2016-02-29,KOTAKBANK,EQUITY,687.0,697.3,585.75,630.4,0
2016-03-31,KOTAKBANK,EQUITY,647.25,694.9,632.05,680.65,0
2016-04-30,KOTAKBANK,EQUITY,682.0,719.8,655.5,717.15,0
2016-05-31,KOTAKBANK,EQUITY,714.2,754.5,692.5,746.55,0
2016-06-30,KOTAKBANK,EQUITY,749.75,775.0,710.75,763.35,0
2016-07-31,KOTAKBANK,EQUITY,764.0,787.5,739.15,763.5,0
2016-08-31,KOTAKBANK,EQUITY,766.0,814.95,748.0,806.9,0
2016-09-30,KOTAKBANK,EQUITY,812.0,825.4,766.1,777.0,0
2016-10-31,KOTAKBANK,EQUITY,788.95,822.0,764.0,819.35,0
2016-11-30,KOTAKBANK,EQUITY,819.9,825.5,736.2,755.45,0
2016-12-31,KOTAKBANK,EQUITY,755.0,756.45,704.1,719.7,0
2017-01-31,KOTAKBANK,EQUITY,720.0,802.1,693.35,774.15,0
2017-02-28,KOTAKBANK,EQUITY,777.5,814.4,739.15,802.1,0
2017-03-31,KOTAKBANK,EQUITY,802.1,886.4,802.05,872.2,0
2017-04-30,KOTAKBANK,EQUITY,880.0,921.0,867.2,901.95,0
2017-05-31,KOTAKBANK,EQUITY,917.25,981.45,900.25,966.05,0
2017-06-30,KOTAKBANK,EQUITY,963.35,1004.65,936.0,955.75,0
2017-07-31,KOTAKBANK,EQUITY,953.1,1031.7,940.2,1021.65,0
2017-08-31,KOTAKBANK,EQUITY,1015.8,1023.25,962.0,976.0,0
2017-09-30,KOTAKBANK,EQUITY,979.0,1045.4,968.0,1002.25,0
2017-10-31,KOTAKBANK,EQUITY,1006.1,1115.05,985.15,1025.05,0
2017-11-30,KOTAKBANK,EQUITY,1032.0,1050.0,982.55,1000.3,0
2017-12-31,KOTAKBANK,EQUITY,1003.0,1038.0,992.5,1010.2,0
2018-01-31,KOTAKBANK,EQUITY,1011.85,1119.5,992.5,1108.95,0
2018-02-28,KOTAKBANK,EQUITY,1105.1,1131.0,1030.6,1090.55,0
2018-03-31,KOTAKBANK,EQUITY,1088.1,1108.5,1028.4,1047.8,0
2018-04-30,KOTAKBANK,EQUITY,1108.9,1218.8,1075.0,1211.1,0
2018-05-31,KOTAKBANK,EQUITY,1232.0,1400.0,1214.1,1334.6,0
2018-06-30,KOTAKBANK,EQUITY,1334.0,1360.0,1293.0,1342.95,0
2018-07-31,KOTAKBANK,EQUITY,1348.85,1417.0,1285.5,1306.85,0
2018-08-31,KOTAKBANK,EQUITY,1304.85,1326.1,1238.0,1287.25,0
2018-09-30,KOTAKBANK,EQUITY,1292.0,1295.0,1120.15,1141.6,0
2018-10-31,KOTAKBANK,EQUITY,1090.0,1219.2,1002.2,1119.15,0
2018-11-30,KOTAKBANK,EQUITY,1123.7,1238.4,1101.1,1233.95,0
2018-12-31,KOTAKBANK,EQUITY,1240.0,1345.95,1171.0,1256.5,0
2019-01-31,KOTAKBANK,EQUITY,1254.0,1307.95,1198.0,1255.75,0
2019-02-28,KOTAKBANK,EQUITY,1257.05,1311.0,1210.0,1213.1,0
2019-03-31,KOTAKBANK,EQUITY,1221.7,1364.65,1217.35,1334.5,0
2019-04-30,KOTAKBANK,EQUITY,1336.0,1397.0,1317.05,1386.55,0
2019-05-31,KOTAKBANK,EQUITY,1394.0,1555.9,1366.3,1522.15,0
2019-06-30,KOTAKBANK,EQUITY,1513.2,1540.9,1451.1,1477.1,0
2019-07-31,KOTAKBANK,EQUITY,1486.9,1546.85,1442.15,1519.55,0
2019-08-31,KOTAKBANK,EQUITY,1505.95,1534.0,1423.1,1431.45,0
2019-09-30,KOTAKBANK,EQUITY,1414.1,1683.95,1398.65,1644.45,0
2019-10-31,KOTAKBANK,EQUITY,1638.8,1657.0,1549.3,1574.5,0
2019-11-30,KOTAKBANK,EQUITY,1572.0,1635.0,1541.0,1615.2,0
2019-12-31,KOTAKBANK,EQUITY,1614.5,1734.8,1600.2,1684.35,0
2020-01-31,KOTAKBANK,EQUITY,1689.0,1729.0,1576.0,1691.75,0
2020-02-29,KOTAKBANK,EQUITY,1645.6,1740.0,1613.75,1620.35,0
2020-03-31,KOTAKBANK,EQUITY,1631.0,1644.0,1001.0,1296.05,0
2020-04-30,KOTAKBANK,EQUITY,1181.65,1380.0,1087.0,1357.2,0
2020-05-31,KOTAKBANK,EQUITY,1297.0,1302.9,1110.0,1224.0,0
2020-06-30,KOTAKBANK,EQUITY,1249.0,1428.2,1228.35,1360.45,0
2020-07-31,KOTAKBANK,EQUITY,1319.0,1424.7,1267.0,1365.75,0
2020-08-31,KOTAKBANK,EQUITY,1320.0,1501.5,1302.0,1401.35,0
2020-09-30,KOTAKBANK,EQUITY,1419.85,1442.0,1230.6,1268.2,0
2020-10-31,KOTAKBANK,EQUITY,1280.0,1602.0,1278.9,1547.4,0
2020-11-30,KOTAKBANK,EQUITY,1555.0,1948.4,1534.8,1907.1,0
2020-12-31,KOTAKBANK,EQUITY,1880.0,2027.0,1809.0,1995.6,0
2021-01-31,KOTAKBANK,EQUITY,1996.9,2007.95,1701.0,1712.95,0
2021-02-28,KOTAKBANK,EQUITY,1830.0,2049.0,1773.0,1780.35,0
2021-03-31,KOTAKBANK,EQUITY,1845.0,1991.0,1742.6,1753.0,0
2021-04-30,KOTAKBANK,EQUITY,1770.0,1845.45,1669.2,1748.8,0
2021-05-31,KOTAKBANK,EQUITY,1735.0,1813.25,1685.0,1807.7,0
2021-06-30,KOTAKBANK,EQUITY,1815.0,1825.0,1698.45,1705.85,0
2021-07-31,KOTAKBANK,EQUITY,1709.9,1768.5,1626.0,1654.8,0
2021-08-31,KOTAKBANK,EQUITY,1665.0,1824.9,1657.5,1753.7,0
2021-09-30,KOTAKBANK,EQUITY,1752.0,2077.8,1744.0,2005.5,0
2021-10-31,KOTAKBANK,EQUITY,1994.9,2253.0,1931.0,2031.15,0
2021-11-30,KOTAKBANK,EQUITY,2055.0,2127.6,1932.7,1961.9,0
2021-12-31,KOTAKBANK,EQUITY,1979.0,1989.9,1721.0,1796.1,0
2022-01-31,KOTAKBANK,EQUITY,1830.0,1976.15,1782.2,1857.25,0
2022-02-28,KOTAKBANK,EQUITY,1910.8,1948.0,1737.95,1842.75,0
2022-03-31,KOTAKBANK,EQUITY,1811.8,1830.0,1672.55,1753.85,0
2022-04-30,KOTAKBANK,EQUITY,1749.3,1840.0,1683.4,1790.75,0
2022-05-31,KOTAKBANK,EQUITY,1768.0,1951.75,1743.0,1846.85,0
2022-06-30,KOTAKBANK,EQUITY,1840.0,1877.0,1631.0,1661.1,0
2022-07-31,KOTAKBANK,EQUITY,1645.0,1856.9,1636.0,1810.35,0
2022-08-31,KOTAKBANK,EQUITY,1851.7,1942.45,1811.3,1915.45,0
2022-09-30,KOTAKBANK,EQUITY,1916.95,1987.2,1757.7,1819.2,0
2022-10-31,KOTAKBANK,EQUITY,1808.0,1925.0,1773.3,1901.95,0
2022-11-30,KOTAKBANK,EQUITY,1908.0,1997.55,1871.65,1947.05,0
2022-12-31,KOTAKBANK,EQUITY,1955.0,1961.75,1794.2,1827.25,0
2023-01-31,KOTAKBANK,EQUITY,1827.8,1836.5,1683.85,1731.0,0
2023-02-28,KOTAKBANK,EQUITY,1745.0,1803.9,1687.75,1729.25,0
2023-03-31,KOTAKBANK,EQUITY,1729.25,1765.0,1643.5,1732.85,0
2023-04-30,KOTAKBANK,EQUITY,1745.0,1943.3,1739.05,1938.05,0
2023-05-31,KOTAKBANK,EQUITY,1929.95,2064.4,1895.55,2014.35,0
2023-06-30,KOTAKBANK,EQUITY,1968.0,1979.15,1815.3,1846.55,0
2023-07-31,KOTAKBANK,EQUITY,1860.0,1987.75,1849.15,1856.55,0
2023-08-31,KOTAKBANK,EQUITY,1840.55,1847.9,1746.5,1758.75,0
2023-09-30,KOTAKBANK,EQUITY,1763.9,1836.0,1729.0,1735.7,0
2023-10-31,KOTAKBANK,EQUITY,1730.0,1779.95,1688.4,1739.4,0
2023-11-30,KOTAKBANK,EQUITY,1731.0,1784.25,1717.85,1755.45,0
2023-12-31,KOTAKBANK,EQUITY,1760.0,1926.5,1748.25,1908.1,0
2024-01-31,KOTAKBANK,EQUITY,1909.0,1919.0,1752.4,1825.25,0
2024-02-29,KOTAKBANK,EQUITY,1830.0,1850.0,1667.4,1689.45,0
2024-03-31,KOTAKBANK,EQUITY,1695.5,1803.9,1695.0,1785.5,0
2024-04-30,KOTAKBANK,EQUITY,1795.0,1845.5,1602.0,1623.95,0
2024-05-31,KOTAKBANK,EQUITY,1590.0,1857.95,1543.85,1680.4,0
2024-06-30,KOTAKBANK,EQUITY,1721.45,1847.95,1645.0,1802.5,0
2024-07-31,KOTAKBANK,EQUITY,1820.95,1857.95,1729.05,1807.9,0
2024-08-31,KOTAKBANK,EQUITY,1854.0,1857.25,1744.55,1780.8,0
2024-09-30,KOTAKBANK,EQUITY,1767.7,1942.0,1758.45,1853.95,0
2024-10-31,KOTAKBANK,EQUITY,1843.0,1916.0,1723.95,1731.1,0
2024-11-30,KOTAKBANK,EQUITY,1830.85,1852.0,1679.05,1765.25,0
2024-12-31,KOTAKBANK,EQUITY,1803.9,1834.15,1715.2,1786.05,0
2025-01-31,KOTAKBANK,EQUITY,1779.25,2186.5,1723.75,1901.3,0
2025-02-28,KOTAKBANK,EQUITY,2141.0,2223.6,1893.9,1902.95,0
2025-03-31,KOTAKBANK,EQUITY,1905.55,2202.5,1895.2,2171.2,0
2025-04-30,KOTAKBANK,EQUITY,1891.05,2301.9,1877.2,2208.1,0
2025-05-31,KOTAKBANK,EQUITY,1937.8,2166.0,1902.35,2074.7,0
