DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-05-31,KPITTECH,EQUITY,94.1,105.0,91.1,97.05,0
2019-06-30,KPITTECH,EQUITY,95.1,100.5,91.85,96.75,0
2019-07-31,KPITTECH,EQUITY,95.0,99.7,69.8,79.45,0
2019-08-31,KPITTECH,EQUITY,80.45,99.8,76.1,97.15,0
2019-09-30,KPITTECH,EQUITY,97.75,104.85,87.15,95.3,0
2019-10-31,KPITTECH,EQUITY,96.35,105.3,87.45,91.1,0
2019-11-30,KPITTECH,EQUITY,91.0,100.35,84.8,97.9,0
2019-12-31,KPITTECH,EQUITY,96.35,98.8,85.3,93.7,0
2020-01-31,KPITTECH,EQUITY,92.75,112.5,85.55,99.45,0
2020-02-29,KPITTECH,EQUITY,95.3,101.0,80.5,81.75,0
2020-03-31,KPITTECH,EQUITY,81.0,89.1,34.35,35.25,0
2020-04-30,KPITTECH,EQUITY,36.25,55.75,35.5,55.75,0
2020-05-31,KPITTECH,EQUITY,59.85,60.45,38.95,49.25,0
2020-06-30,KPITTECH,EQUITY,51.7,66.9,51.7,63.0,0
2020-07-31,KPITTECH,EQUITY,63.65,72.5,60.05,64.3,0
2020-08-31,KPITTECH,EQUITY,63.5,95.85,63.1,84.35,0
2020-09-30,KPITTECH,EQUITY,84.35,127.0,67.5,122.35,0
2020-10-31,KPITTECH,EQUITY,124.8,126.0,93.2,94.2,0
2020-11-30,KPITTECH,EQUITY,94.5,108.4,89.75,106.9,0
2020-12-31,KPITTECH,EQUITY,109.8,144.3,104.35,142.0,0
2021-01-31,KPITTECH,EQUITY,141.1,148.65,126.8,142.8,0
2021-02-28,KPITTECH,EQUITY,140.6,150.0,130.1,144.6,0
2021-03-31,KPITTECH,EQUITY,142.5,185.0,135.2,177.55,0
2021-04-30,KPITTECH,EQUITY,177.5,209.0,171.55,197.25,0
2021-05-31,KPITTECH,EQUITY,195.25,250.6,195.25,243.3,0
2021-06-30,KPITTECH,EQUITY,245.5,266.45,220.0,259.7,0
2021-07-31,KPITTECH,EQUITY,264.7,315.65,245.2,281.75,0
2021-08-31,KPITTECH,EQUITY,284.9,385.3,284.0,336.8,0
2021-09-30,KPITTECH,EQUITY,330.0,375.75,306.25,341.75,0
2021-10-31,KPITTECH,EQUITY,341.0,354.9,300.25,308.7,0
2021-11-30,KPITTECH,EQUITY,309.0,508.0,306.05,494.65,0
2021-12-31,KPITTECH,EQUITY,503.95,619.9,451.95,612.95,0
2022-01-31,KPITTECH,EQUITY,610.4,766.0,591.6,646.25,0
2022-02-28,KPITTECH,EQUITY,637.0,653.0,510.25,568.5,0
2022-03-31,KPITTECH,EQUITY,564.5,619.7,534.4,601.05,0
2022-04-30,KPITTECH,EQUITY,603.8,635.0,505.3,553.85,0
2022-05-31,KPITTECH,EQUITY,541.95,554.85,440.4,530.3,0
2022-06-30,KPITTECH,EQUITY,532.7,550.9,451.55,517.65,0
