DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-05-31,LICI,EQUITY,872.0,918.95,801.0,811.3,0
2022-06-30,LICI,EQUITY,811.4,817.45,650.0,673.9,0
2022-07-31,LICI,EQUITY,675.0,724.4,669.0,677.8,0
2022-08-31,LICI,EQUITY,682.4,706.6,667.2,673.5,0
2022-09-30,LICI,EQUITY,671.0,678.0,617.0,621.65,0
2022-10-31,LICI,EQUITY,622.0,635.8,588.0,603.95,0
2022-11-30,LICI,EQUITY,608.95,684.9,603.1,636.3,0
2022-12-31,LICI,EQUITY,638.0,754.25,638.0,684.6,0
2023-01-31,LICI,EQUITY,685.0,737.8,639.2,653.3,0
2023-02-28,LICI,EQUITY,660.0,665.4,566.0,578.4,0
2023-03-31,LICI,EQUITY,581.3,619.0,530.05,534.35,0
2023-04-30,LICI,EQUITY,549.4,556.2,543.0,549.9,0
2023-05-31,LICI,EQUITY,552.0,615.5,549.1,595.15,0
2023-06-30,LICI,EQUITY,595.0,654.0,593.95,632.25,0
2023-07-31,LICI,EQUITY,625.1,642.9,614.25,639.95,0
2023-08-31,LICI,EQUITY,648.0,679.0,634.0,645.3,0
2023-09-30,LICI,EQUITY,645.3,691.0,643.05,649.75,0
2023-10-31,LICI,EQUITY,648.1,651.85,597.35,602.25,0
2023-11-30,LICI,EQUITY,603.85,699.0,598.25,679.5,0
2023-12-31,LICI,EQUITY,685.0,843.9,667.15,832.5,0
2024-01-31,LICI,EQUITY,831.5,971.9,831.0,949.75,0
2024-02-29,LICI,EQUITY,956.9,1092.0,926.0,1022.8,0
2024-03-31,LICI,EQUITY,1027.2,1049.0,865.0,916.15,0
2024-04-30,LICI,EQUITY,925.0,1016.35,924.0,978.25,0
2024-05-31,LICI,EQUITY,982.9,1066.75,888.6,1012.7,0
2024-06-30,LICI,EQUITY,1058.35,1085.0,901.0,988.75,0
2024-07-31,LICI,EQUITY,998.0,1197.0,924.15,1176.1,0
2024-08-31,LICI,EQUITY,1017.0,1148.4,999.1,1064.25,0
2024-09-30,LICI,EQUITY,1038.9,1048.9,964.0,1006.95,0
2024-10-31,LICI,EQUITY,1032.95,1062.0,888.3,923.05,0
2024-11-30,LICI,EQUITY,1052.95,1062.9,872.0,985.5,0
2024-12-31,LICI,EQUITY,1019.9,1034.9,878.45,892.0,0
2025-01-31,LICI,EQUITY,896.0,977.9,805.0,845.45,0
2025-02-28,LICI,EQUITY,798.0,970.95,727.55,740.5,0
2025-03-31,LICI,EQUITY,741.0,968.2,715.3,799.4,0
2025-04-30,LICI,EQUITY,835.0,953.85,723.2,795.75,0
2025-05-31,LICI,EQUITY,837.0,961.45,793.2,954.45,0
2025-06-30,LICI,EQUITY,842.65,980.0,760.05,972.8,0
2025-07-31,LICI,EQUITY,877.9,947.0,742.8,895.0,0
2025-08-31,LICI,EQUITY,877.0,949.05,771.1,852.15,0
2025-09-30,LICI,EQUITY,872.0,913.8,760.0,900.35,0
2025-10-31,LICI,EQUITY,845.0,970.95,748.0,894.7,0
2025-11-30,LICI,EQUITY,745.1,968.5,742.6,894.45,0
2025-12-31,LICI,EQUITY,801.3,928.0,731.4,854.9,0
2026-01-31,LICI,EQUITY,855.0,863.6,797.65,824.5,0
2026-02-28,LICI,EQUITY,882.0,896.5,845.0,849.4,0
2026-03-31,LICI,EQUITY,824.0,845.0,737.05,765.65,0
