DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,LT,EQUITY,1493.8,1750.0,1485.55,1700.55,0
2015-02-28,LT,EQUITY,1696.0,1765.0,1550.0,1758.95,0
2015-03-31,LT,EQUITY,1782.0,1859.0,1613.45,1719.65,0
2015-04-30,LT,EQUITY,1736.55,1819.95,1625.6,1631.3,0
2015-05-31,LT,EQUITY,1635.0,1669.75,1558.2,1654.45,0
2015-06-30,LT,EQUITY,1674.0,1817.0,1643.0,1782.8,0
2015-07-31,LT,EQUITY,1782.95,1888.0,1737.85,1791.25,0
2015-08-31,LT,EQUITY,1780.0,1844.2,1575.0,1602.9,0
2015-09-30,LT,EQUITY,1580.0,1629.6,1412.35,1466.25,0
2015-10-31,LT,EQUITY,1563.7,1610.0,1400.0,1410.75,0
2015-11-30,LT,EQUITY,1400.0,1404.0,1326.0,1374.6,0
2015-12-31,LT,EQUITY,1375.0,1382.9,1264.5,1275.45,0
2016-01-31,LT,EQUITY,1279.0,1291.0,1069.1,1101.65,0
2016-02-29,LT,EQUITY,1124.0,1174.95,1016.05,1076.0,0
2016-03-31,LT,EQUITY,1143.0,1249.0,1133.2,1216.7,0
2016-04-30,LT,EQUITY,1212.0,1288.75,1177.8,1254.6,0
2016-05-31,LT,EQUITY,1246.0,1496.45,1223.3,1473.55,0
2016-06-30,LT,EQUITY,1470.05,1517.0,1401.0,1496.5,0
2016-07-31,LT,EQUITY,1504.8,1615.0,1500.7,1558.85,0
2016-08-31,LT,EQUITY,1559.05,1586.0,1419.2,1512.95,0
2016-09-30,LT,EQUITY,1507.1,1545.95,1411.5,1433.15,0
2016-10-31,LT,EQUITY,1438.05,1520.0,1431.3,1480.7,0
2016-11-30,LT,EQUITY,1481.0,1481.05,1304.5,1382.75,0
2016-12-31,LT,EQUITY,1386.4,1402.5,1302.5,1349.1,0
2017-01-31,LT,EQUITY,1356.05,1470.25,1349.15,1446.25,0
2017-02-28,LT,EQUITY,1447.95,1511.0,1446.3,1469.2,0
2017-03-31,LT,EQUITY,1472.0,1593.65,1460.0,1574.9,0
2017-04-30,LT,EQUITY,1661.0,1774.0,1647.85,1749.8,0
2017-05-31,LT,EQUITY,1724.0,1833.95,1677.6,1760.7,0
2017-06-30,LT,EQUITY,1760.0,1808.05,1661.3,1687.6,0
2017-07-31,LT,EQUITY,1688.0,1756.7,1153.5,1193.95,0
2017-08-31,LT,EQUITY,1191.0,1191.85,1113.05,1136.3,0
2017-09-30,LT,EQUITY,1134.95,1250.5,1115.9,1142.05,0
2017-10-31,LT,EQUITY,1155.55,1243.5,1123.2,1222.3,0
2017-11-30,LT,EQUITY,1226.1,1274.95,1203.1,1216.55,0
2017-12-31,LT,EQUITY,1216.15,1275.95,1175.0,1258.25,0
2018-01-31,LT,EQUITY,1261.0,1441.65,1242.85,1416.5,0
2018-02-28,LT,EQUITY,1458.9,1470.0,1276.0,1318.15,0
2018-03-31,LT,EQUITY,1319.0,1332.9,1259.25,1310.9,0
2018-04-30,LT,EQUITY,1331.0,1405.0,1290.2,1400.9,0
2018-05-31,LT,EQUITY,1420.0,1424.95,1311.0,1370.4,0
2018-06-30,LT,EQUITY,1375.95,1385.0,1206.0,1275.1,0
2018-07-31,LT,EQUITY,1277.9,1346.9,1242.9,1302.3,0
2018-08-31,LT,EQUITY,1306.0,1374.0,1226.0,1369.55,0
2018-09-30,LT,EQUITY,1375.0,1390.0,1250.15,1272.1,0
2018-10-31,LT,EQUITY,1274.0,1304.0,1182.5,1297.5,0
2018-11-30,LT,EQUITY,1337.45,1438.15,1321.6,1432.5,0
2018-12-31,LT,EQUITY,1435.05,1459.7,1343.65,1437.55,0
2019-01-31,LT,EQUITY,1445.0,1445.0,1268.2,1314.3,0
2019-02-28,LT,EQUITY,1315.5,1334.55,1201.1,1292.95,0
2019-03-31,LT,EQUITY,1300.3,1415.0,1277.05,1385.3,0
2019-04-30,LT,EQUITY,1390.1,1426.95,1336.6,1348.55,0
2019-05-31,LT,EQUITY,1349.45,1607.0,1285.3,1557.55,0
2019-06-30,LT,EQUITY,1563.7,1573.9,1495.25,1553.2,0
2019-07-31,LT,EQUITY,1563.45,1591.65,1360.5,1387.3,0
2019-08-31,LT,EQUITY,1380.0,1389.9,1274.0,1328.25,0
2019-09-30,LT,EQUITY,1296.0,1551.0,1289.1,1474.25,0
2019-10-31,LT,EQUITY,1480.0,1496.45,1381.05,1473.05,0
2019-11-30,LT,EQUITY,1476.7,1481.05,1314.15,1330.55,0
2019-12-31,LT,EQUITY,1330.55,1342.9,1268.2,1298.2,0
2020-01-31,LT,EQUITY,1308.4,1377.0,1292.0,1369.3,0
2020-02-29,LT,EQUITY,1290.0,1325.0,1162.0,1187.55,0
2020-03-31,LT,EQUITY,1205.0,1212.35,661.0,808.5,0
2020-04-30,LT,EQUITY,791.1,943.0,762.8,897.55,0
2020-05-31,LT,EQUITY,861.0,937.5,791.7,932.25,0
2020-06-30,LT,EQUITY,944.65,995.0,874.0,943.65,0
2020-07-31,LT,EQUITY,941.0,964.4,896.3,913.45,0
