DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,LUPIN,EQUITY,1428.4,1591.15,1365.35,1585.3,0
2015-02-28,LUPIN,EQUITY,1587.0,1745.15,1523.0,1737.5,0
2015-03-31,LUPIN,EQUITY,1749.0,2036.95,1743.0,2008.4,0
2015-04-30,LUPIN,EQUITY,2039.65,2115.0,1683.05,1772.55,0
2015-05-31,LUPIN,EQUITY,1810.0,1854.9,1588.25,1833.25,0
2015-06-30,LUPIN,EQUITY,1778.0,1898.0,1675.0,1886.05,0
2015-07-31,LUPIN,EQUITY,1893.0,1983.5,1590.05,1696.7,0
2015-08-31,LUPIN,EQUITY,1670.0,1945.0,1634.1,1935.55,0
2015-09-30,LUPIN,EQUITY,1910.0,2067.75,1785.0,2034.0,0
2015-10-31,LUPIN,EQUITY,2092.0,2129.0,1885.0,1928.9,0
2015-11-30,LUPIN,EQUITY,1928.9,1935.2,1759.6,1786.95,0
2015-12-31,LUPIN,EQUITY,1800.0,1879.0,1688.5,1837.25,0
2016-01-31,LUPIN,EQUITY,1836.1,1859.0,1636.0,1710.75,0
2016-02-29,LUPIN,EQUITY,1703.0,1911.9,1603.0,1754.55,0
2016-03-31,LUPIN,EQUITY,1776.0,1874.6,1280.0,1479.25,0
2016-04-30,LUPIN,EQUITY,1475.9,1617.85,1435.0,1607.25,0
2016-05-31,LUPIN,EQUITY,1616.0,1689.0,1443.3,1474.75,0
2016-06-30,LUPIN,EQUITY,1479.65,1558.7,1397.4,1539.7,0
2016-07-31,LUPIN,EQUITY,1545.0,1750.0,1542.05,1739.85,0
2016-08-31,LUPIN,EQUITY,1743.0,1747.9,1470.7,1482.2,0
2016-09-30,LUPIN,EQUITY,1509.9,1588.4,1455.0,1486.25,0
2016-10-31,LUPIN,EQUITY,1486.25,1544.0,1442.1,1488.35,0
2016-11-30,LUPIN,EQUITY,1532.0,1547.2,1390.65,1504.85,0
2016-12-31,LUPIN,EQUITY,1505.0,1545.0,1397.3,1486.95,0
2017-01-31,LUPIN,EQUITY,1488.0,1529.8,1450.05,1470.7,0
2017-02-28,LUPIN,EQUITY,1471.0,1573.6,1424.7,1474.1,0
2017-03-31,LUPIN,EQUITY,1479.4,1498.0,1440.0,1445.2,0
2017-04-30,LUPIN,EQUITY,1444.0,1457.05,1318.7,1338.35,0
2017-05-31,LUPIN,EQUITY,1270.0,1327.0,1080.1,1161.0,0
2017-06-30,LUPIN,EQUITY,1150.0,1194.0,1047.6,1059.85,0
