DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,MARICO,EQUITY,328.0,369.5,315.1,360.8,0
2015-02-28,MARICO,EQUITY,361.7,374.35,338.65,357.75,0
2015-03-31,MARICO,EQUITY,357.0,398.8,354.4,385.75,0
2015-04-30,MARICO,EQUITY,388.0,428.4,381.3,401.7,0
2015-05-31,MARICO,EQUITY,390.8,455.95,365.2,439.6,0
2015-06-30,MARICO,EQUITY,424.75,467.0,400.2,449.65,0
2015-07-31,MARICO,EQUITY,452.9,454.1,417.05,440.05,0
2015-08-31,MARICO,EQUITY,431.1,457.0,382.0,405.55,0
2015-09-30,MARICO,EQUITY,403.8,414.5,384.0,404.2,0
2015-10-31,MARICO,EQUITY,403.5,408.0,381.15,387.2,0
2015-11-30,MARICO,EQUITY,387.9,438.0,378.6,422.65,0
2015-12-31,MARICO,EQUITY,425.35,468.6,216.65,226.15,0
2016-01-31,MARICO,EQUITY,225.9,233.45,207.3,221.65,0
2016-02-29,MARICO,EQUITY,226.05,246.0,215.6,236.75,0
2016-03-31,MARICO,EQUITY,236.8,252.9,235.0,244.3,0
2016-04-30,MARICO,EQUITY,244.55,263.5,240.0,259.1,0
2016-05-31,MARICO,EQUITY,261.9,268.7,240.05,249.2,0
2016-06-30,MARICO,EQUITY,250.1,266.5,249.0,263.6,0
2016-07-31,MARICO,EQUITY,264.9,289.35,263.3,284.25,0
2016-08-31,MARICO,EQUITY,286.55,306.9,278.75,291.5,0
2016-09-30,MARICO,EQUITY,295.1,302.75,269.2,275.5,0
2016-10-31,MARICO,EQUITY,277.5,289.9,272.6,281.95,0
2016-11-30,MARICO,EQUITY,278.1,278.15,235.05,252.65,0
2016-12-31,MARICO,EQUITY,252.65,261.6,238.05,260.45,0
2017-01-31,MARICO,EQUITY,260.0,264.5,252.65,257.25,0
2017-02-28,MARICO,EQUITY,257.1,282.8,252.55,281.2,0
2017-03-31,MARICO,EQUITY,281.0,299.95,276.8,294.85,0
2017-04-30,MARICO,EQUITY,295.8,325.3,295.1,315.2,0
2017-05-31,MARICO,EQUITY,315.0,322.45,301.1,314.0,0
2017-06-30,MARICO,EQUITY,313.75,325.0,304.5,314.35,0
2017-07-31,MARICO,EQUITY,314.0,335.9,312.8,334.7,0
2017-08-31,MARICO,EQUITY,317.0,337.85,309.7,315.45,0
2017-09-30,MARICO,EQUITY,315.9,348.7,307.4,310.75,0
2017-10-31,MARICO,EQUITY,315.0,323.9,307.5,315.25,0
2017-11-30,MARICO,EQUITY,317.0,318.2,288.25,306.0,0
2017-12-31,MARICO,EQUITY,307.0,325.3,293.05,322.5,0
2018-01-31,MARICO,EQUITY,322.5,328.0,304.4,309.4,0
2018-02-28,MARICO,EQUITY,307.75,319.0,294.55,308.15,0
2018-03-31,MARICO,EQUITY,308.25,333.8,299.55,326.05,0
2018-04-30,MARICO,EQUITY,326.0,334.05,313.2,332.55,0
2018-05-31,MARICO,EQUITY,333.0,347.8,304.55,321.85,0
2018-06-30,MARICO,EQUITY,325.5,352.9,319.8,331.65,0
2018-07-31,MARICO,EQUITY,331.65,374.75,330.0,364.1,0
2018-08-31,MARICO,EQUITY,365.5,387.85,345.3,369.45,0
2018-09-30,MARICO,EQUITY,373.1,374.7,320.0,333.05,0
2018-10-31,MARICO,EQUITY,334.0,341.9,290.0,321.3,0
2018-11-30,MARICO,EQUITY,324.7,369.25,317.6,356.75,0
2018-12-31,MARICO,EQUITY,358.0,396.6,344.45,373.4,0
2019-01-31,MARICO,EQUITY,375.4,391.4,358.0,366.75,0
2019-02-28,MARICO,EQUITY,367.5,384.65,324.25,339.7,0
2019-03-31,MARICO,EQUITY,342.0,353.0,330.5,346.65,0
2019-04-30,MARICO,EQUITY,347.35,369.3,344.45,359.4,0
2019-05-31,MARICO,EQUITY,360.2,375.0,346.1,371.95,0
2019-06-30,MARICO,EQUITY,374.0,380.45,360.6,370.55,0
2019-07-31,MARICO,EQUITY,371.15,382.7,354.85,366.8,0
2019-08-31,MARICO,EQUITY,366.65,401.75,350.4,391.1,0
2019-09-30,MARICO,EQUITY,386.1,404.0,369.0,394.25,0
2019-10-31,MARICO,EQUITY,394.0,400.9,362.25,365.85,0
2019-11-30,MARICO,EQUITY,367.1,375.0,348.3,359.9,0
2019-12-31,MARICO,EQUITY,359.75,359.75,327.6,341.6,0
2020-01-31,MARICO,EQUITY,341.85,353.95,313.0,315.35,0
2020-02-29,MARICO,EQUITY,305.0,315.35,292.15,298.75,0
2020-03-31,MARICO,EQUITY,302.0,311.4,234.0,274.85,0
2020-04-30,MARICO,EQUITY,263.0,315.55,257.0,287.0,0
2020-05-31,MARICO,EQUITY,291.0,349.5,289.3,343.8,0
2020-06-30,MARICO,EQUITY,345.5,354.65,325.5,351.9,0
2020-07-31,MARICO,EQUITY,355.0,368.9,338.75,363.45,0
2020-08-31,MARICO,EQUITY,366.1,380.7,361.65,368.9,0
2020-09-30,MARICO,EQUITY,368.9,382.8,333.0,363.0,0
2020-10-31,MARICO,EQUITY,363.0,379.45,345.75,356.65,0
2020-11-30,MARICO,EQUITY,359.9,389.75,357.1,367.7,0
2020-12-31,MARICO,EQUITY,373.0,420.8,372.1,402.65,0
2021-01-31,MARICO,EQUITY,403.6,432.5,401.8,415.6,0
2021-02-28,MARICO,EQUITY,419.0,433.95,390.7,397.55,0
2021-03-31,MARICO,EQUITY,402.0,412.45,379.1,411.3,0
2021-04-30,MARICO,EQUITY,411.3,427.6,399.0,411.45,0
2021-05-31,MARICO,EQUITY,420.05,480.75,416.1,475.2,0
2021-06-30,MARICO,EQUITY,475.5,543.8,474.0,530.8,0
2021-07-31,MARICO,EQUITY,532.0,553.2,519.0,546.7,0
2021-08-31,MARICO,EQUITY,550.0,552.15,511.0,544.45,0
2021-09-30,MARICO,EQUITY,548.75,587.35,544.0,547.5,0
2021-10-31,MARICO,EQUITY,555.0,607.7,548.65,568.45,0
2021-11-30,MARICO,EQUITY,571.0,577.4,526.5,538.35,0
2021-12-31,MARICO,EQUITY,538.0,538.5,488.55,512.65,0
2022-01-31,MARICO,EQUITY,504.5,509.45,455.65,482.55,0
2022-02-28,MARICO,EQUITY,502.5,518.0,477.0,514.7,0
2022-03-31,MARICO,EQUITY,514.0,535.0,468.5,503.7,0
2022-04-30,MARICO,EQUITY,507.55,547.85,500.75,521.7,0
2022-05-31,MARICO,EQUITY,526.0,551.9,487.05,533.65,0
2022-06-30,MARICO,EQUITY,532.95,538.55,471.05,477.9,0
2022-07-31,MARICO,EQUITY,478.0,533.2,477.6,518.0,0
2022-08-31,MARICO,EQUITY,523.9,533.45,505.0,525.6,0
2022-09-30,MARICO,EQUITY,526.6,554.35,505.7,537.85,0
2022-10-31,MARICO,EQUITY,540.0,541.8,502.1,524.55,0
2022-11-30,MARICO,EQUITY,527.2,542.0,481.5,507.35,0
2022-12-31,MARICO,EQUITY,509.15,535.0,499.8,509.85,0
2023-01-31,MARICO,EQUITY,509.85,520.45,490.4,498.1,0
2023-02-28,MARICO,EQUITY,498.1,511.5,485.1,491.9,0
2023-03-31,MARICO,EQUITY,495.0,501.55,470.0,479.8,0
2023-04-30,MARICO,EQUITY,483.95,499.9,462.7,496.4,0
2023-05-31,MARICO,EQUITY,503.0,549.5,492.05,543.05,0
2023-06-30,MARICO,EQUITY,544.0,558.75,520.4,530.95,0
2023-07-31,MARICO,EQUITY,534.5,578.15,513.3,560.55,0
2023-08-31,MARICO,EQUITY,560.8,587.9,546.05,570.05,0
2023-09-30,MARICO,EQUITY,574.25,591.75,556.0,561.65,0
2023-10-31,MARICO,EQUITY,576.45,595.0,521.85,536.55,0
2023-11-30,MARICO,EQUITY,538.1,545.75,516.05,538.65,0
2023-12-31,MARICO,EQUITY,540.0,553.85,520.85,548.5,0
2024-01-31,MARICO,EQUITY,550.0,556.0,508.6,527.85,0
2024-02-29,MARICO,EQUITY,530.95,554.7,515.5,522.6,0
2024-03-31,MARICO,EQUITY,523.25,529.9,486.3,497.2,0
2024-04-30,MARICO,EQUITY,497.2,524.0,490.55,518.0,0
2024-05-31,MARICO,EQUITY,517.5,618.7,510.45,595.55,0
2024-06-30,MARICO,EQUITY,609.0,667.2,592.0,613.0,0
2024-07-31,MARICO,EQUITY,620.5,694.2,601.0,674.1,0
2024-08-31,MARICO,EQUITY,632.0,692.8,629.0,647.15,0
2024-09-30,MARICO,EQUITY,665.0,713.5,600.55,695.4,0
