DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,MARUTI,EQUITY,3320.25,3758.5,3320.25,3647.35,0
2015-02-28,MARUTI,EQUITY,3647.35,3725.0,3400.0,3604.4,0
2015-03-31,MARUTI,EQUITY,3648.1,3734.35,3537.95,3697.35,0
2015-04-30,MARUTI,EQUITY,3646.0,3873.0,3386.1,3725.85,0
2015-05-31,MARUTI,EQUITY,3753.0,3805.0,3544.4,3785.7,0
2015-06-30,MARUTI,EQUITY,3785.9,4077.4,3691.35,4023.35,0
2015-07-31,MARUTI,EQUITY,4034.9,4359.0,3907.0,4331.45,0
2015-08-31,MARUTI,EQUITY,4449.0,4692.4,4062.1,4167.2,0
2015-09-30,MARUTI,EQUITY,4170.0,4763.45,4010.0,4685.6,0
2015-10-31,MARUTI,EQUITY,4449.0,4559.0,4216.5,4449.0,0
2015-11-30,MARUTI,EQUITY,4470.0,4790.0,4425.2,4606.9,0
2015-12-31,MARUTI,EQUITY,4609.0,4702.0,4406.05,4621.95,0
2016-01-31,MARUTI,EQUITY,4621.0,4668.0,3870.0,4095.85,0
2016-02-29,MARUTI,EQUITY,3952.6,3985.0,3193.25,3236.5,0
2016-03-31,MARUTI,EQUITY,3542.95,3777.8,3450.6,3716.3,0
2016-04-30,MARUTI,EQUITY,3700.45,3932.75,3418.5,3794.65,0
2016-05-31,MARUTI,EQUITY,3799.9,4180.0,3751.6,4161.6,0
2016-06-30,MARUTI,EQUITY,4170.7,4217.0,3866.6,4187.2,0
2016-07-31,MARUTI,EQUITY,4188.6,4824.0,4125.0,4757.6,0
2016-08-31,MARUTI,EQUITY,4798.95,5103.9,4772.25,5053.65,0
2016-09-30,MARUTI,EQUITY,5078.0,5634.1,5075.0,5477.3,0
2016-10-31,MARUTI,EQUITY,5661.0,5948.0,5574.6,5876.15,0
2016-11-30,MARUTI,EQUITY,5919.0,5974.0,4765.3,5266.0,0
2016-12-31,MARUTI,EQUITY,5266.0,5377.9,5035.05,5319.55,0
2017-01-31,MARUTI,EQUITY,5320.05,5939.0,5267.8,5894.25,0
2017-02-28,MARUTI,EQUITY,5900.0,6233.9,5842.2,5922.5,0
2017-03-31,MARUTI,EQUITY,5960.0,6226.8,5800.0,6015.7,0
2017-04-30,MARUTI,EQUITY,6110.0,6589.8,6021.0,6524.85,0
2017-05-31,MARUTI,EQUITY,6662.0,7248.0,6602.0,7211.0,0
2017-06-30,MARUTI,EQUITY,7242.0,7480.9,7085.05,7217.6,0
2017-07-31,MARUTI,EQUITY,7238.9,7765.0,7211.2,7750.05,0
2017-08-31,MARUTI,EQUITY,7878.9,7885.0,7380.0,7700.3,0
2017-09-30,MARUTI,EQUITY,7747.5,8200.0,7651.0,7978.2,0
2017-10-31,MARUTI,EQUITY,8055.35,8279.0,7690.0,8211.25,0
2017-11-30,MARUTI,EQUITY,8251.0,8696.0,8080.0,8599.1,0
2017-12-31,MARUTI,EQUITY,8660.0,9996.4,8450.05,9729.55,0
2018-01-31,MARUTI,EQUITY,9749.0,9789.0,9250.0,9509.7,0
2018-02-28,MARUTI,EQUITY,9545.0,9563.7,8601.5,8850.95,0
2018-03-31,MARUTI,EQUITY,8874.0,9084.0,8542.1,8861.1,0
2018-04-30,MARUTI,EQUITY,9078.0,9315.45,8715.1,8814.95,0
2018-05-31,MARUTI,EQUITY,8915.0,8998.0,8255.5,8537.2,0
2018-06-30,MARUTI,EQUITY,8840.0,9094.95,8726.05,8825.6,0
2018-07-31,MARUTI,EQUITY,8878.0,9929.0,8750.0,9520.55,0
2018-08-31,MARUTI,EQUITY,9535.0,9587.75,9012.2,9096.4,0
2018-09-30,MARUTI,EQUITY,9100.0,9118.95,7292.65,7347.95,0
2018-10-31,MARUTI,EQUITY,7354.0,7485.0,6500.0,6616.4,0
2018-11-30,MARUTI,EQUITY,6648.95,7727.0,6600.0,7661.6,0
2018-12-31,MARUTI,EQUITY,7688.5,7949.75,7170.0,7465.5,0
2019-01-31,MARUTI,EQUITY,7449.75,7511.0,6317.7,6641.15,0
2019-02-28,MARUTI,EQUITY,6679.0,7320.0,6652.55,6829.7,0
2019-03-31,MARUTI,EQUITY,6876.8,7232.0,6480.0,6672.55,0
2019-04-30,MARUTI,EQUITY,6730.8,7539.35,6630.0,6666.4,0
2019-05-31,MARUTI,EQUITY,6550.0,7193.9,6441.4,6869.85,0
2019-06-30,MARUTI,EQUITY,6760.0,7099.0,6322.85,6534.65,0
2019-07-31,MARUTI,EQUITY,6600.0,6618.0,5446.05,5469.7,0
2019-08-31,MARUTI,EQUITY,5469.7,6466.7,5450.0,6123.75,0
2019-09-30,MARUTI,EQUITY,6062.0,7177.9,5791.25,6715.8,0
2019-10-31,MARUTI,EQUITY,6720.0,7758.7,6558.15,7559.4,0
2019-11-30,MARUTI,EQUITY,7599.95,7649.0,7000.0,7245.85,0
2019-12-31,MARUTI,EQUITY,7291.0,7431.95,6864.1,7368.6,0
2020-01-31,MARUTI,EQUITY,7377.0,7569.9,6895.55,6913.5,0
2020-02-29,MARUTI,EQUITY,6780.0,7120.35,6103.2,6283.1,0
2020-03-31,MARUTI,EQUITY,6400.95,6480.0,4030.0,4288.3,0
2020-04-30,MARUTI,EQUITY,4250.0,5602.95,4001.1,5358.8,0
2020-05-31,MARUTI,EQUITY,4995.0,5666.75,4637.5,5610.8,0
2020-06-30,MARUTI,EQUITY,5690.0,6007.2,5391.05,5838.3,0
2020-07-31,MARUTI,EQUITY,5838.3,6393.65,5750.0,6262.75,0
2020-08-31,MARUTI,EQUITY,6199.0,7175.7,6185.0,6839.95,0
2020-09-30,MARUTI,EQUITY,6860.45,7349.9,6270.15,6743.45,0
2020-10-31,MARUTI,EQUITY,6838.2,7332.0,6764.65,6965.15,0
2020-11-30,MARUTI,EQUITY,7044.9,7252.35,6753.1,7035.8,0
2020-12-31,MARUTI,EQUITY,7110.0,8013.15,7105.0,7649.6,0
2021-01-31,MARUTI,EQUITY,7654.0,8329.0,7170.0,7206.65,0
2021-02-28,MARUTI,EQUITY,7534.9,7799.0,6822.2,6866.15,0
2021-03-31,MARUTI,EQUITY,7060.0,7338.8,6740.0,6859.2,0
2021-04-30,MARUTI,EQUITY,6950.0,6991.5,6415.0,6455.65,0
2021-05-31,MARUTI,EQUITY,6430.0,7100.0,6400.0,7086.3,0
2021-06-30,MARUTI,EQUITY,7107.55,7698.0,6821.0,7515.9,0
2021-07-31,MARUTI,EQUITY,7500.0,7690.0,6936.0,6977.7,0
2021-08-31,MARUTI,EQUITY,7100.0,7248.6,6591.0,6846.1,0
2021-09-30,MARUTI,EQUITY,6852.7,7521.55,6708.2,7338.05,0
2021-10-31,MARUTI,EQUITY,7164.8,7814.8,7155.65,7482.4,0
2021-11-30,MARUTI,EQUITY,7401.0,8368.0,6990.7,7067.8,0
2021-12-31,MARUTI,EQUITY,7191.0,7640.0,7035.85,7426.45,0
2022-01-31,MARUTI,EQUITY,7600.0,8971.65,7520.0,8597.3,0
2022-02-28,MARUTI,EQUITY,8579.7,8989.8,8114.1,8314.15,0
2022-03-31,MARUTI,EQUITY,8197.7,8199.0,6536.55,7561.3,0
2022-04-30,MARUTI,EQUITY,7574.0,8067.5,7350.0,7717.8,0
2022-05-31,MARUTI,EQUITY,7650.0,8100.0,7062.35,7966.35,0
2022-06-30,MARUTI,EQUITY,7975.05,8634.6,7555.0,8470.75,0
2022-07-31,MARUTI,EQUITY,8440.0,8943.0,8305.6,8773.55,0
2022-08-31,MARUTI,EQUITY,8985.0,9196.85,8564.0,9082.25,0
2022-09-30,MARUTI,EQUITY,9026.5,9451.0,8558.2,8828.15,0
2022-10-31,MARUTI,EQUITY,8970.0,9769.0,8510.0,9527.6,0
2022-11-30,MARUTI,EQUITY,9635.0,9636.9,8786.0,8974.15,0
2022-12-31,MARUTI,EQUITY,9019.05,9025.0,8076.05,8394.6,0
2023-01-31,MARUTI,EQUITY,8365.0,8943.85,8249.15,8895.3,0
2023-02-28,MARUTI,EQUITY,8937.0,9030.45,8530.0,8624.35,0
2023-03-31,MARUTI,EQUITY,8620.0,8776.25,8130.0,8292.15,0
2023-04-30,MARUTI,EQUITY,8521.95,8850.0,8403.05,8589.55,0
2023-05-31,MARUTI,EQUITY,8796.65,9488.8,8743.0,9367.7,0
2023-06-30,MARUTI,EQUITY,9337.5,9853.5,9222.0,9789.05,0
