DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-06-30,MOTHERSON,EQUITY,123.0,125.3,112.0,118.15,0
2022-07-31,MOTHERSON,EQUITY,117.1,137.5,113.65,127.3,0
2022-08-31,MOTHERSON,EQUITY,130.95,135.1,120.3,122.9,0
2022-09-30,MOTHERSON,EQUITY,126.35,129.8,102.75,109.0,0
2022-10-31,MOTHERSON,EQUITY,74.9,78.35,61.8,64.5,0
2022-11-30,MOTHERSON,EQUITY,64.85,75.1,64.1,74.75,0
2022-12-31,MOTHERSON,EQUITY,75.0,76.3,66.1,74.15,0
2023-01-31,MOTHERSON,EQUITY,74.3,79.25,70.3,75.5,0
2023-02-28,MOTHERSON,EQUITY,75.9,84.25,72.6,79.65,0
2023-03-31,MOTHERSON,EQUITY,80.0,83.75,61.8,67.1,0
2023-04-30,MOTHERSON,EQUITY,67.6,73.85,66.85,73.4,0
2023-05-31,MOTHERSON,EQUITY,74.75,82.6,74.6,79.05,0
2023-06-30,MOTHERSON,EQUITY,79.0,88.25,78.65,85.7,0
2023-07-31,MOTHERSON,EQUITY,90.85,100.9,90.0,98.3,0
2023-08-31,MOTHERSON,EQUITY,98.85,103.0,93.25,95.8,0
2023-09-30,MOTHERSON,EQUITY,95.8,103.4,95.05,96.0,0
2023-10-31,MOTHERSON,EQUITY,96.05,98.5,88.7,91.95,0
2023-11-30,MOTHERSON,EQUITY,92.7,93.7,86.8,92.05,0
2023-12-31,MOTHERSON,EQUITY,92.9,102.85,90.2,101.95,0
2024-01-31,MOTHERSON,EQUITY,102.8,118.0,101.35,113.25,0
2024-02-29,MOTHERSON,EQUITY,114.2,122.75,109.9,119.2,0
2024-03-31,MOTHERSON,EQUITY,119.35,126.5,107.5,117.1,0
2024-04-30,MOTHERSON,EQUITY,117.15,133.4,116.8,131.2,0
2024-05-31,MOTHERSON,EQUITY,131.0,207.6,122.45,151.25,0
2024-06-30,MOTHERSON,EQUITY,159.7,200.2,142.0,190.31,0
2024-07-31,MOTHERSON,EQUITY,197.55,207.6,176.9,196.57,0
2024-08-31,MOTHERSON,EQUITY,205.81,206.36,177.7,195.28,0
2024-09-30,MOTHERSON,EQUITY,187.0,216.99,165.84,211.39,0
2024-10-31,MOTHERSON,EQUITY,203.7,215.87,179.66,180.95,0
2024-11-30,MOTHERSON,EQUITY,196.5,201.9,158.8,162.46,0
2024-12-31,MOTHERSON,EQUITY,185.41,190.0,152.4,156.12,0
2025-01-31,MOTHERSON,EQUITY,156.29,156.43,93.42,141.26,0
2025-02-28,MOTHERSON,EQUITY,130.0,154.25,115.46,118.59,0
2025-03-31,MOTHERSON,EQUITY,119.33,156.2,103.82,130.96,0
2025-04-30,MOTHERSON,EQUITY,137.51,154.83,94.12,133.27,0
2025-05-31,MOTHERSON,EQUITY,137.9,158.66,93.49,153.12,0
2025-06-30,MOTHERSON,EQUITY,138.49,158.47,102.08,154.83,0
2025-07-31,MOTHERSON,EQUITY,154.5,158.92,92.56,97.17,0
2025-08-31,MOTHERSON,EQUITY,153.01,155.71,89.86,92.75,0
2025-09-30,MOTHERSON,EQUITY,152.47,152.92,97.25,105.65,0
2025-10-31,MOTHERSON,EQUITY,148.8,162.25,98.91,105.39,0
2025-11-30,MOTHERSON,EQUITY,124.0,160.05,101.08,116.31,0
2025-12-31,MOTHERSON,EQUITY,128.99,146.0,90.1,119.94,0
2026-01-31,MOTHERSON,EQUITY,120.4,124.71,106.32,112.9,0
2026-02-28,MOTHERSON,EQUITY,130.82,136.15,130.0,133.34,0
2026-03-31,MOTHERSON,EQUITY,126.2,131.8,106.25,109.38,0
