DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,MRF,EQUITY,37950.0,40307.0,37011.0,40036.9,0
2015-02-28,MRF,EQUITY,40000.0,41782.0,37000.0,41200.75,0
2015-03-31,MRF,EQUITY,41305.0,42474.9,36908.3,38750.65,0
2015-04-30,MRF,EQUITY,39986.0,41990.0,36402.15,36664.15,0
2015-05-31,MRF,EQUITY,37813.0,38098.9,35118.35,35874.3,0
2015-06-30,MRF,EQUITY,36200.0,36380.0,31502.05,34230.85,0
2015-07-31,MRF,EQUITY,34199.0,41179.95,34031.15,40839.25,0
2015-08-31,MRF,EQUITY,42699.0,46399.0,36679.05,40392.2,0
2015-09-30,MRF,EQUITY,40199.0,42185.0,37768.0,41935.95,0
2015-10-31,MRF,EQUITY,43100.05,43500.0,39510.0,39751.4,0
2015-11-30,MRF,EQUITY,39888.0,40200.0,37734.7,38866.1,0
2015-12-31,MRF,EQUITY,39090.0,40058.75,38178.05,39877.5,0
2016-01-31,MRF,EQUITY,40092.35,41424.65,34500.05,35626.25,0
2016-02-29,MRF,EQUITY,34100.0,35095.0,31183.2,32547.05,0
2016-03-31,MRF,EQUITY,34200.0,39000.0,33351.1,38296.75,0
2016-04-30,MRF,EQUITY,38249.95,38249.95,33555.45,33787.75,0
2016-05-31,MRF,EQUITY,33755.0,34750.0,31002.0,33774.45,0
2016-06-30,MRF,EQUITY,33700.0,33879.0,30101.0,33077.65,0
2016-07-31,MRF,EQUITY,33077.65,35840.05,33050.0,33844.15,0
2016-08-31,MRF,EQUITY,33960.0,38087.95,33650.0,37431.8,0
2016-09-30,MRF,EQUITY,37390.0,51515.45,37235.0,50872.55,0
2016-10-31,MRF,EQUITY,51810.0,54650.0,46199.95,47955.55,0
2016-11-30,MRF,EQUITY,48288.0,53357.9,46451.0,49900.1,0
2016-12-31,MRF,EQUITY,50799.95,53448.0,47512.3,48905.65,0
2017-01-31,MRF,EQUITY,49000.0,55945.0,48799.75,51659.5,0
2017-02-28,MRF,EQUITY,51401.0,52840.0,49577.0,51835.05,0
2017-03-31,MRF,EQUITY,51999.0,61220.0,51086.7,60954.45,0
2017-04-30,MRF,EQUITY,60993.55,70500.0,60062.4,67909.2,0
2017-05-31,MRF,EQUITY,68944.0,69188.0,62000.0,65559.1,0
2017-06-30,MRF,EQUITY,65619.5,74147.5,65619.5,68325.9,0
2017-07-31,MRF,EQUITY,68458.5,71500.0,68201.0,69198.75,0
2017-08-31,MRF,EQUITY,69276.1,70999.8,62382.05,64089.6,0
2017-09-30,MRF,EQUITY,64090.0,65650.0,61000.0,63005.3,0
2017-10-31,MRF,EQUITY,63480.0,67343.9,62409.8,66422.45,0
2017-11-30,MRF,EQUITY,66789.9,70500.0,63614.05,68583.5,0
2017-12-31,MRF,EQUITY,68601.0,74500.0,65323.9,72357.05,0
2018-01-31,MRF,EQUITY,72572.0,73570.0,66750.0,68113.35,0
2018-02-28,MRF,EQUITY,68115.0,73840.0,67200.0,73391.6,0
2018-03-31,MRF,EQUITY,73391.6,74100.0,68170.0,72513.25,0
2018-04-30,MRF,EQUITY,75350.0,81425.95,73745.95,79933.45,0
2018-05-31,MRF,EQUITY,79900.0,81400.0,72701.0,75734.05,0
2018-06-30,MRF,EQUITY,75400.0,76860.0,72605.0,74974.45,0
2018-07-31,MRF,EQUITY,75270.0,81190.95,73666.0,79490.35,0
2018-08-31,MRF,EQUITY,79987.0,80396.8,73000.0,74026.75,0
2018-09-30,MRF,EQUITY,73777.0,74169.95,62300.0,63598.55,0
2018-10-31,MRF,EQUITY,64100.0,64959.95,59601.0,64498.55,0
