DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,MUTHOOTFIN,EQUITY,196.0,234.9,190.55,211.15,0
2015-02-28,MUTHOOTFIN,EQUITY,211.0,224.15,203.7,219.9,0
2015-03-31,MUTHOOTFIN,EQUITY,238.15,240.25,190.0,207.05,0
2015-04-30,MUTHOOTFIN,EQUITY,204.9,209.45,178.2,183.5,0
2015-05-31,MUTHOOTFIN,EQUITY,185.5,204.0,174.5,195.05,0
2015-06-30,MUTHOOTFIN,EQUITY,195.0,205.9,173.5,202.05,0
2015-07-31,MUTHOOTFIN,EQUITY,203.65,236.8,190.05,198.25,0
2015-08-31,MUTHOOTFIN,EQUITY,194.7,201.0,151.0,172.5,0
2015-09-30,MUTHOOTFIN,EQUITY,169.0,175.5,152.2,164.2,0
2015-10-31,MUTHOOTFIN,EQUITY,164.0,190.0,162.4,180.35,0
2015-11-30,MUTHOOTFIN,EQUITY,185.0,186.0,175.0,181.1,0
2015-12-31,MUTHOOTFIN,EQUITY,181.0,198.0,175.25,179.65,0
2016-01-31,MUTHOOTFIN,EQUITY,180.3,193.0,167.85,192.3,0
2016-02-29,MUTHOOTFIN,EQUITY,198.0,202.0,170.3,173.85,0
2016-03-31,MUTHOOTFIN,EQUITY,176.55,179.9,172.05,178.75,0
2016-04-30,MUTHOOTFIN,EQUITY,178.7,213.45,176.0,203.1,0
2016-05-31,MUTHOOTFIN,EQUITY,197.5,238.5,189.1,232.4,0
2016-06-30,MUTHOOTFIN,EQUITY,233.5,296.0,232.7,293.05,0
2016-07-31,MUTHOOTFIN,EQUITY,295.9,340.0,266.5,331.75,0
2016-08-31,MUTHOOTFIN,EQUITY,332.1,406.8,323.5,375.75,0
2016-09-30,MUTHOOTFIN,EQUITY,361.0,388.9,330.2,348.8,0
2016-10-31,MUTHOOTFIN,EQUITY,354.7,377.35,334.15,358.9,0
2016-11-30,MUTHOOTFIN,EQUITY,373.65,373.8,280.0,302.95,0
2016-12-31,MUTHOOTFIN,EQUITY,305.4,307.55,262.0,282.7,0
2017-01-31,MUTHOOTFIN,EQUITY,285.0,330.0,281.15,305.65,0
2017-02-28,MUTHOOTFIN,EQUITY,308.95,364.6,307.0,356.3,0
2017-03-31,MUTHOOTFIN,EQUITY,356.9,389.95,325.0,368.95,0
2017-04-30,MUTHOOTFIN,EQUITY,381.75,419.4,373.1,394.3,0
2017-05-31,MUTHOOTFIN,EQUITY,395.5,415.5,357.45,412.65,0
2017-06-30,MUTHOOTFIN,EQUITY,412.6,481.95,403.35,455.15,0
