DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-01-31,NAM-INDIA,EQUITY,347.7,373.9,341.4,363.65,0
2020-02-29,NAM-INDIA,EQUITY,334.95,452.9,326.5,390.5,0
2020-03-31,NAM-INDIA,EQUITY,408.0,413.95,207.7,249.2,0
2020-04-30,NAM-INDIA,EQUITY,258.5,301.95,209.5,246.75,0
2020-05-31,NAM-INDIA,EQUITY,240.0,260.0,225.05,255.2,0
2020-06-30,NAM-INDIA,EQUITY,258.85,322.0,258.4,314.35,0
2020-07-31,NAM-INDIA,EQUITY,316.0,326.7,262.0,265.85,0
2020-08-31,NAM-INDIA,EQUITY,265.65,297.75,259.0,272.6,0
2020-09-30,NAM-INDIA,EQUITY,272.95,288.7,249.0,262.1,0
2020-10-31,NAM-INDIA,EQUITY,264.4,277.8,263.1,271.85,0
2020-11-30,NAM-INDIA,EQUITY,272.0,305.0,268.5,290.4,0
2020-12-31,NAM-INDIA,EQUITY,287.5,319.1,283.25,297.4,0
2021-01-31,NAM-INDIA,EQUITY,297.95,343.55,297.95,322.15,0
2021-02-28,NAM-INDIA,EQUITY,333.2,351.8,270.0,329.8,0
2021-03-31,NAM-INDIA,EQUITY,347.0,374.7,314.05,338.3,0
2021-04-30,NAM-INDIA,EQUITY,337.1,362.35,323.0,341.7,0
2021-05-31,NAM-INDIA,EQUITY,339.0,375.5,335.05,370.5,0
2021-06-30,NAM-INDIA,EQUITY,373.55,385.5,350.1,366.2,0
2021-07-31,NAM-INDIA,EQUITY,369.0,439.35,366.0,399.1,0
2021-08-31,NAM-INDIA,EQUITY,404.05,427.95,374.1,424.1,0
2021-09-30,NAM-INDIA,EQUITY,403.1,454.3,403.1,425.35,0
2021-10-31,NAM-INDIA,EQUITY,449.5,476.45,410.4,418.35,0
2021-11-30,NAM-INDIA,EQUITY,419.95,431.7,360.8,366.3,0
2021-12-31,NAM-INDIA,EQUITY,368.9,378.8,316.7,351.85,0
2022-01-31,NAM-INDIA,EQUITY,355.3,375.55,317.95,343.5,0
2022-02-28,NAM-INDIA,EQUITY,346.1,351.65,296.0,307.8,0
2022-03-31,NAM-INDIA,EQUITY,306.5,352.1,286.0,347.65,0
2022-04-30,NAM-INDIA,EQUITY,345.5,356.95,312.95,316.5,0
2022-05-31,NAM-INDIA,EQUITY,312.0,314.5,259.0,284.0,0
2022-06-30,NAM-INDIA,EQUITY,281.4,293.75,264.5,271.25,0
2022-07-31,NAM-INDIA,EQUITY,270.6,301.5,269.05,279.3,0
2022-08-31,NAM-INDIA,EQUITY,282.5,326.1,281.55,301.9,0
2022-09-30,NAM-INDIA,EQUITY,301.0,302.95,260.5,268.65,0
