DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,NTPC,EQUITY,144.2,147.4,137.2,143.65,0
2015-02-28,NTPC,EQUITY,144.45,159.5,136.8,158.45,0
2015-03-31,NTPC,EQUITY,156.0,164.75,142.7,146.85,0
2015-04-30,NTPC,EQUITY,148.5,160.0,146.9,150.3,0
2015-05-31,NTPC,EQUITY,151.5,152.1,131.3,136.55,0
2015-06-30,NTPC,EQUITY,136.6,140.85,134.6,137.65,0
2015-07-31,NTPC,EQUITY,137.35,139.35,128.15,135.05,0
2015-08-31,NTPC,EQUITY,135.15,138.0,107.1,121.45,0
2015-09-30,NTPC,EQUITY,120.1,130.0,112.4,123.75,0
2015-10-31,NTPC,EQUITY,129.5,137.65,124.55,132.8,0
2015-11-30,NTPC,EQUITY,132.45,139.3,129.7,130.9,0
2015-12-31,NTPC,EQUITY,131.1,148.85,129.3,146.25,0
2016-01-31,NTPC,EQUITY,146.3,147.0,130.8,142.45,0
2016-02-29,NTPC,EQUITY,140.0,140.5,116.9,119.5,0
2016-03-31,NTPC,EQUITY,123.7,131.85,122.3,128.85,0
2016-04-30,NTPC,EQUITY,128.7,144.0,125.05,139.3,0
2016-05-31,NTPC,EQUITY,139.3,147.95,133.4,143.15,0
2016-06-30,NTPC,EQUITY,142.9,157.0,141.55,156.3,0
2016-07-31,NTPC,EQUITY,155.3,160.4,142.85,158.35,0
2016-08-31,NTPC,EQUITY,158.6,170.0,156.7,159.25,0
2016-09-30,NTPC,EQUITY,159.2,164.0,147.3,148.0,0
2016-10-31,NTPC,EQUITY,148.75,154.95,143.3,152.25,0
2016-11-30,NTPC,EQUITY,151.7,165.2,149.0,163.15,0
2016-12-31,NTPC,EQUITY,163.15,168.0,157.9,164.75,0
2017-01-31,NTPC,EQUITY,165.05,178.25,161.1,172.35,0
2017-02-28,NTPC,EQUITY,172.65,176.0,162.25,162.95,0
2017-03-31,NTPC,EQUITY,163.45,166.75,154.7,166.0,0
2017-04-30,NTPC,EQUITY,165.9,169.3,158.4,164.5,0
2017-05-31,NTPC,EQUITY,162.6,163.5,153.15,160.2,0
2017-06-30,NTPC,EQUITY,160.2,163.4,155.0,158.95,0
2017-07-31,NTPC,EQUITY,158.9,171.85,155.3,164.2,0
2017-08-31,NTPC,EQUITY,165.85,178.65,163.75,168.75,0
2017-09-30,NTPC,EQUITY,167.45,171.4,164.1,167.45,0
2017-10-31,NTPC,EQUITY,168.0,188.0,167.2,181.25,0
2017-11-30,NTPC,EQUITY,181.2,186.85,173.55,181.15,0
2017-12-31,NTPC,EQUITY,182.8,183.7,173.55,177.0,0
2018-01-31,NTPC,EQUITY,177.05,180.3,168.75,170.25,0
2018-02-28,NTPC,EQUITY,169.25,169.8,158.85,163.25,0
2018-03-31,NTPC,EQUITY,163.7,172.75,160.05,169.7,0
2018-04-30,NTPC,EQUITY,169.15,180.0,165.5,172.15,0
2018-05-31,NTPC,EQUITY,172.75,176.2,162.7,167.55,0
2018-06-30,NTPC,EQUITY,164.8,165.4,149.5,159.65,0
2018-07-31,NTPC,EQUITY,159.0,159.6,149.85,154.85,0
2018-08-31,NTPC,EQUITY,154.8,174.55,152.75,171.5,0
2018-09-30,NTPC,EQUITY,172.5,175.4,164.4,166.85,0
2018-10-31,NTPC,EQUITY,167.5,170.3,154.8,159.65,0
2018-11-30,NTPC,EQUITY,159.75,160.6,137.55,140.3,0
2018-12-31,NTPC,EQUITY,140.35,151.6,134.05,149.05,0
2019-01-31,NTPC,EQUITY,148.95,150.3,136.65,139.7,0
2019-02-28,NTPC,EQUITY,140.0,142.95,128.0,141.25,0
2019-03-31,NTPC,EQUITY,141.7,160.8,128.1,134.7,0
2019-04-30,NTPC,EQUITY,136.4,138.3,131.45,134.05,0
2019-05-31,NTPC,EQUITY,133.3,136.65,122.4,133.25,0
2019-06-30,NTPC,EQUITY,134.4,142.0,131.4,141.35,0
2019-07-31,NTPC,EQUITY,142.2,145.85,125.5,126.55,0
2019-08-31,NTPC,EQUITY,126.4,127.75,113.85,121.65,0
2019-09-30,NTPC,EQUITY,118.0,129.65,114.05,117.5,0
2019-10-31,NTPC,EQUITY,118.0,124.2,114.7,122.4,0
2019-11-30,NTPC,EQUITY,123.0,123.2,114.8,116.35,0
2019-12-31,NTPC,EQUITY,115.75,119.7,111.5,119.05,0
2020-01-31,NTPC,EQUITY,119.05,125.0,110.9,112.85,0
2020-02-29,NTPC,EQUITY,109.45,118.9,103.8,106.55,0
2020-03-31,NTPC,EQUITY,109.35,111.0,73.2,84.2,0
2020-04-30,NTPC,EQUITY,82.05,101.0,78.85,95.05,0
2020-05-31,NTPC,EQUITY,92.2,98.85,85.75,97.85,0
2020-06-30,NTPC,EQUITY,98.4,103.8,89.9,95.8,0
2020-07-31,NTPC,EQUITY,94.7,95.45,85.85,87.0,0
2020-08-31,NTPC,EQUITY,86.5,108.0,85.35,96.4,0
2020-09-30,NTPC,EQUITY,97.5,101.15,82.15,85.1,0
2020-10-31,NTPC,EQUITY,85.8,90.65,78.1,87.6,0
2020-11-30,NTPC,EQUITY,88.3,97.05,83.05,94.7,0
2020-12-31,NTPC,EQUITY,94.65,107.25,93.8,99.35,0
2021-01-31,NTPC,EQUITY,99.95,104.35,88.15,88.95,0
2021-02-28,NTPC,EQUITY,92.9,110.95,92.9,107.3,0
2021-03-31,NTPC,EQUITY,108.45,114.7,102.0,106.55,0
2021-04-30,NTPC,EQUITY,107.5,108.75,97.05,102.45,0
2021-05-31,NTPC,EQUITY,101.4,114.85,101.05,110.5,0
2021-06-30,NTPC,EQUITY,110.95,121.0,109.5,116.4,0
2021-07-31,NTPC,EQUITY,116.8,122.0,115.25,118.2,0
2021-08-31,NTPC,EQUITY,118.6,119.5,111.95,115.95,0
2021-09-30,NTPC,EQUITY,115.1,144.25,112.4,141.85,0
2021-10-31,NTPC,EQUITY,145.55,152.1,128.55,132.65,0
2021-11-30,NTPC,EQUITY,133.2,140.8,124.7,127.25,0
2021-12-31,NTPC,EQUITY,130.0,132.95,119.1,124.4,0
2022-01-31,NTPC,EQUITY,127.0,144.0,126.75,142.05,0
2022-02-28,NTPC,EQUITY,142.0,142.75,123.65,133.5,0
2022-03-31,NTPC,EQUITY,132.8,136.15,130.25,135.0,0
2022-04-30,NTPC,EQUITY,138.0,166.35,136.8,156.2,0
2022-05-31,NTPC,EQUITY,158.0,161.9,141.65,156.0,0
2022-06-30,NTPC,EQUITY,156.45,160.2,134.95,142.9,0
2022-07-31,NTPC,EQUITY,142.0,154.45,136.1,152.95,0
2022-08-31,NTPC,EQUITY,157.1,165.45,152.6,164.0,0
2022-09-30,NTPC,EQUITY,163.0,176.15,155.0,159.65,0
2022-10-31,NTPC,EQUITY,159.85,174.7,158.95,173.1,0
2022-11-30,NTPC,EQUITY,174.0,182.95,164.15,172.2,0
2022-12-31,NTPC,EQUITY,173.5,175.65,161.9,166.45,0
2023-01-31,NTPC,EQUITY,167.05,172.65,164.0,171.15,0
2023-02-28,NTPC,EQUITY,172.25,174.25,162.55,170.5,0
2023-03-31,NTPC,EQUITY,170.95,181.7,169.95,175.1,0
2023-04-30,NTPC,EQUITY,178.3,178.3,166.8,172.0,0
2023-05-31,NTPC,EQUITY,176.45,179.25,171.95,173.85,0
2023-06-30,NTPC,EQUITY,173.6,191.65,171.85,189.15,0
2023-07-31,NTPC,EQUITY,193.5,218.95,184.75,218.35,0
2023-08-31,NTPC,EQUITY,225.05,225.15,211.8,220.3,0
2023-09-30,NTPC,EQUITY,217.85,251.5,216.15,245.55,0
2023-10-31,NTPC,EQUITY,244.35,247.2,227.75,235.8,0
2023-11-30,NTPC,EQUITY,236.7,261.65,232.1,261.3,0
2023-12-31,NTPC,EQUITY,262.35,315.5,261.75,311.15,0
2024-01-31,NTPC,EQUITY,312.0,325.75,296.55,317.5,0
2024-02-29,NTPC,EQUITY,320.05,348.05,315.9,335.6,0
2024-03-31,NTPC,EQUITY,335.6,359.95,305.75,335.8,0
2024-04-30,NTPC,EQUITY,339.0,366.0,336.15,363.2,0
2024-05-31,NTPC,EQUITY,363.2,381.25,346.5,359.0,0
2024-06-30,NTPC,EQUITY,385.0,393.2,315.3,378.35,0
2024-07-31,NTPC,EQUITY,372.6,433.0,361.55,416.0,0
